"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2003-04-21,149.9,155.95,142.5,154.05,155.2,10046,15.32
2003-04-22,155.3,155.3,148.4,148.5,149,5411,8.17
2003-04-23,149.65,158.75,148,149,149.15,37304,57.38
2003-04-24,151.05,152,145.8,147.35,146.3,17140,25.55
2003-04-25,147.75,147.8,145.1,145.9,145.65,5212,7.62
2003-04-28,146.05,146.05,141.1,141.5,141.85,16248,23.32
2003-04-29,143.5,146.9,143.5,145,145.05,11674,16.93
2003-04-30,143.55,148.75,142.5,144.55,144.3,8218,11.85
2003-05-02,145,145,142.55,143,143.3,4049,5.82
2003-05-05,142.65,146.5,142.65,144.1,144.35,8578,12.4
2003-05-06,146,146,142,142,142.25,6790,9.76
2003-05-07,143.1,145,142.2,143,143.1,13236,19.06
2003-05-08,142.35,144.3,142,142.7,142.95,6058,8.67
2003-05-09,143.15,144.5,141.65,144,143.75,10364,14.87
2003-05-12,144.95,145.4,143,143.55,143.65,20859,30.07
2003-05-13,145.3,152,144.7,145.15,145.5,29433,43.35
2003-05-14,147,151.9,146.75,151.9,150.05,32744,48.89
2003-05-15,152,159.9,150.5,158.2,158.7,87318,137.09
2003-05-16,161.25,162.5,154.15,156,156.2,35324,55.77
2003-05-19,158.2,158.2,153.25,153.5,153.95,24134,37.32
2003-05-20,154,159,153,159,158,265341,418.81
2003-05-21,161.85,165,158.5,159.1,159.95,54361,88.25
2003-05-22,161.5,162,155.1,155.35,156.2,17278,27.39
2003-05-23,156.5,159.9,153.75,154.55,155.25,12209,19.18
2003-05-26,157,157.9,152,152.15,152.8,13413,20.73
2003-05-27,155,156,148.5,148.55,149,18540,28.19
2003-05-28,153.8,153.95,144.7,145.9,145.85,24598,36.06
2003-05-29,149.8,154.9,145,151,149.85,46045,69.36
2003-05-30,151,153.9,150,151.45,150.9,34575,52.34
2003-06-02,146,150.65,146,148.15,148.6,16846,25.11
2003-06-03,160,160,150,158,155.1,45047,68.89
2003-06-04,159,164,157.6,159.5,159.85,86714,139.3
2003-06-05,163,163.9,153,154,153.85,31632,50
2003-06-06,155.05,158.5,151.5,153.05,153.4,21918,33.85
2003-06-09,156.8,157,152,153,152.4,15292,23.48
2003-06-10,152,155,150,150,150.2,20663,31.37
2003-06-11,152.75,152.95,147,147.6,148.15,29502,43.92
2003-06-12,149.2,151.7,147.5,148,147.8,16898,25.19
2003-06-13,148,150.9,146.5,147,146.75,23136,34.14
2003-06-16,148.5,149.35,145.15,145.8,145.65,12775,18.74
2003-06-17,148.9,153,147.1,152.45,151.65,33556,50.58
2003-06-18,154.7,154.7,147.65,148.5,148.55,26108,39.52
2003-06-19,149.9,151.95,147.1,147.65,148.55,28553,42.51
2003-06-20,149.5,151.7,148.55,150,150.05,20837,31.28
2003-06-23,152,158.25,152,153,153.65,98677,153.05
2003-06-24,150.1,150.9,142.5,143.25,143.3,114520,167.75
2003-06-25,146,148,145,147.1,147.45,34158,50.19
2003-06-26,147.65,153,147.6,153,152.1,72124,108.81
2003-06-27,153.7,156.4,152.5,155,155.35,93887,145.31
2003-06-30,155.7,172,155.05,159.05,159.3,82822,131.76
2003-07-01,161.95,163.95,156.15,162.35,162,88884,142.45
2003-07-02,164.9,176.95,162.55,173.95,174.1,198132,340.51
2003-07-03,179.15,180,169.4,170,170.1,106074,183.45
2003-07-04,172,172,164.4,165,165.05,50569,84.92
2003-07-07,168,171.75,166,168.15,169,50239,85.1
2003-07-08,167.05,169.4,162.5,162.55,163.1,21169,34.92
2003-07-09,168.55,168.55,157.25,157.7,158.65,21618,34.97
2003-07-10,158,161.5,157.15,160.5,160.15,17067,27.25
2003-07-11,160.1,165,160,160.5,161.15,18442,29.91
2003-07-14,161.5,174.95,161.5,174.85,174.1,143380,245.4
2003-07-15,174,177,171,174.45,173.85,92233,159.61
2003-07-16,174,186,174,186,184.35,146904,265.69
2003-07-17,185,191,176.35,178.5,179.1,129185,239.82
2003-07-18,173.2,182,173,176.75,175.85,37747,66.68
2003-07-21,175,185.9,175,184,183.65,81703,149.24
2003-07-22,182.65,182.65,174.1,182.5,181.1,45327,81.03
2003-07-23,178.05,189,178.05,182.5,182.1,43722,79.49
2003-07-24,181,184.45,181,184,182.8,26947,49.09
2003-07-25,181.5,202.9,181.5,202.9,201.2,288752,569.28
2003-07-28,210,228.9,202,215.3,218.85,447987,968.06
2003-07-29,224.4,224.4,213.1,216.3,215.45,153518,335.05
2003-07-30,218.4,222,215,215.95,215.5,63353,138.19
2003-07-31,218.9,222,213,215.1,214.95,94962,206.84
2003-08-01,219,221,215,217.1,216.15,55051,119.35
2003-08-04,217,217,209.05,213,213.9,30276,64.57
2003-08-05,216.9,219.3,206.1,210,209.7,50553,107.7
2003-08-06,204.5,210,198.1,202.85,201.7,52199,106.17
2003-08-07,204,208,203.1,208,206.2,32005,65.61
2003-08-08,206,214.2,205.1,206,206.1,36129,75.68
2003-08-11,207.8,210,199.1,199.75,201.2,18843,38.58
2003-08-12,204.5,204.5,197,199,198.75,19703,39.57
2003-08-13,200.5,202,195,195,196.2,18178,35.94
2003-08-14,200,207,198,198,199.4,45615,92.66
2003-08-18,203,237,201,234.05,231.55,230661,510.69
2003-08-19,236,237.7,210.1,212,212.25,78435,173.78
2003-08-20,218.7,234.9,215.05,226.85,227.8,168712,382.64
2003-08-21,202.2,233.75,202.2,216.5,215.75,133875,297.62
2003-08-22,218,225,214,217.1,217.05,114801,251.62
2003-08-25,218,221,203.25,203.25,206.4,72978,154.52
2003-08-26,207,215,207,213.5,213.55,47408,100.41
2003-08-27,216.75,218.9,213.6,215,216.05,53374,115.46
2003-08-28,218,219.4,210,212.7,212.25,55426,118.23
2003-08-29,214,214.75,208,211,209.95,25017,53.01
2003-09-01,208,212.6,207.65,207.75,208.15,23026,48.3
2003-09-02,210,218,209.25,211.6,212.7,71849,152.93
2003-09-03,216.8,217.95,202,204,205,51376,107.87
2003-09-04,206,228.95,206,225.25,225.5,185580,408.42
2003-09-05,223.1,231,217.5,228.9,225.8,81109,180.91
2003-09-08,224.1,225.95,216.05,222.1,223.5,34679,76.94
2003-09-09,221.5,223.9,221,222,222,68311,151.73
2003-09-10,221,230,218,229.95,226.35,44580,99.66
2003-09-11,221.3,252,221.3,251,249.55,375802,914.36
2003-09-12,250,250,232.5,242.5,243.85,128284,312.57
2003-09-15,247,264.3,236.1,247,250.6,164246,416.04
2003-09-16,253,253,243.3,249.8,248.3,53811,133.32
2003-09-17,250,258.2,248.7,253,252.7,86362,218.37
2003-09-18,252.95,254,236,239.9,242.35,24094,59.61
2003-09-19,240,249.5,232,233,235.3,38241,91.5
2003-09-22,233,244.45,233,236.95,235.6,21460,51.24
2003-09-23,227,239.95,227,239.95,237.3,13959,32.91
2003-09-24,232.5,239.9,232.5,235.5,235.9,11429,27.08
2003-09-25,221.15,244.5,221.15,240,237.7,29684,71.23
2003-09-26,244.8,255,238,254.4,252.5,133807,332.02
2003-09-29,258.5,271,250,270,266.55,139530,366.4
2003-09-30,268,275.5,267.05,271.45,273.2,86390,234.9
2003-10-01,277,302,277,290.25,288.95,271501,787.77
2003-10-03,290,299,285,296.5,294.7,109609,322.41
2003-10-06,299.95,299.95,290.1,292,291.7,62140,183.33
2003-10-07,293.2,296.95,284.3,292,293,35651,104.04
2003-10-08,293,315,290.5,311.9,305.6,168665,512.78
2003-10-09,305,323.9,305,322,320.45,147978,469.87
2003-10-10,325,355,321,355,350.5,320547,1092.48
2003-10-13,350,394,350,376.6,383.65,502814,1932.43
2003-10-14,385,385,355,359,358.25,259506,955.16
2003-10-15,359.9,378,358.9,368,366.35,117944,433.53
2003-10-16,361,373,355,356.6,357.9,100793,366.53
2003-10-17,363.9,365.4,352.5,359,356.55,100757,362
2003-10-20,362,362.45,335.6,343.1,340.2,49795,174.27
2003-10-21,342,368,333.4,341,339.3,142123,494.2
2003-10-22,348.8,350,335.6,335.6,337.55,75888,259.53
2003-10-23,340,362,330,330,330.2,135964,454.49
2003-10-24,333.4,345,329.05,340.65,340.85,90469,304.2
2003-10-25,343,346.9,340,341.2,341.45,24435,83.94
2003-10-27,343,343,330,332,330.65,39997,133.98
2003-10-28,332.5,335.75,328.5,330.3,330.15,54271,179.69
2003-10-29,330,341,329,337.1,338.25,57372,193.15
2003-10-30,340,347.85,330.3,347.85,339.35,42749,144.32
2003-10-31,341,349.9,338,341.5,342.55,47866,164.89
2003-11-03,347.75,358,346,358,353.35,92479,325.42
2003-11-04,357.9,362,332.75,338,345.65,70737,249.99
2003-11-05,345.6,347.5,331.5,335,333.6,48455,164.53
2003-11-06,336,343,336,339,338.5,35165,119.3
2003-11-07,343.4,343.4,334.5,335.5,335.35,48734,164.25
2003-11-10,335,339,331.1,336.55,336.75,7539,25.37
2003-11-11,342.15,343,338,339,340.15,29586,100.55
2003-11-12,341,348.9,339,345.6,345.35,43437,149.24
2003-11-13,345,348.95,340.25,345.8,343.5,36925,127.12
2003-11-14,349,350,339,341,341.75,33748,115.68
2003-11-15,342,342,336,339,337.9,6607,22.34
2003-11-17,333.1,342,333.1,340.35,340.3,18377,62.44
2003-11-18,342.75,344,340,343,342.4,18934,64.74
2003-11-19,341,341,333.7,334.15,335.15,23010,77.35
2003-11-20,338,340,325.05,325.1,329.15,24218,80.71
2003-11-21,329,329,302.1,325,321.65,67901,212.77
2003-11-24,333,339.95,330,333,333.8,32603,108.85
2003-11-25,337,338.8,323.05,334,335.4,65710,218.04
2003-11-27,334,345.8,334,345,342.15,75221,256.19
2003-11-28,343.1,345.8,340.1,343.25,343.8,43475,149.29
2003-12-01,350,363.6,348,362,360.65,130487,467.06
2003-12-02,364,369.9,355.05,365,363.6,197122,711.54
2003-12-03,375,384.85,365.05,365.05,370.5,195056,733.79
2003-12-04,368.1,375,352.5,355,355.65,33490,121.11
2003-12-05,357.95,363.5,342.05,346.5,344.45,27295,96.61
2003-12-08,347,348,336.4,338,339.4,14926,51.01
2003-12-09,342,346.9,338,341,340.5,29026,99.21
2003-12-10,344,353,338,338,339.95,26406,91.15
2003-12-11,344,347,335.1,341.6,338.25,22246,76.08
2003-12-12,345,362.85,342.2,360,359.2,66023,233.04
2003-12-15,365.5,375,358,365,366.15,127188,469.22
2003-12-16,370,370,344,356.1,358.45,40367,145.64
2003-12-17,361,370.7,359.05,362.3,363.5,43146,157.73
2003-12-18,361.1,364.85,355,363,363.85,30374,109.42
2003-12-19,369.85,372,356,356.15,357.95,59263,217.58
2003-12-22,364,399,364,381.3,382.55,179792,690.61
2003-12-23,389.4,398.7,376.65,377,380.7,86928,335.15
2003-12-24,381.2,384,368.5,369,371.85,30400,113.84
2003-12-26,375.9,378.5,363.1,370.05,369.7,49769,185.33
2003-12-29,375.75,399,372.9,399,393.1,89695,346.24
2003-12-30,395.5,407,374,381,382.5,94906,374.31
2003-12-31,385,386,377.05,383.5,383.2,50805,193.56
2004-01-01,399,399,383,391.9,391.5,54051,210.59
2004-01-02,397.5,397.5,379,383,384.7,100956,392.64
2004-01-05,388,390.9,370,373,372.35,98363,371.09
2004-01-06,375.8,375.8,363,363,368.25,84575,312.61
