"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1999-11-24",244.25,244.25,244.25,244.25,244.25,200,0.49
"1999-11-25",263.8,263.8,263.8,263.8,263.8,900,2.37
"1999-11-26",284.9,284.9,276.55,284.9,284.9,28600,81.44
"1999-11-29",307,307.7,296.5,307.7,307.7,111000,339.08
"1999-11-30",323.7,332.35,312.1,332.35,332.35,44700,145.38
"1999-12-01",358.95,358.95,339.25,358.95,358.95,82000,292.89
"1999-12-02",370,375,335.5,341.1,338.5,62900,219.1
"1999-12-03",346,352,330,345,347,37000,127.11
"1999-12-06",336,349.9,319.25,319.55,322.4,51900,169.55
"1999-12-07",314,347.25,300,326.8,325.75,98100,316.39
"1999-12-08",340,351.85,320.5,337.8,339.15,93100,321.22
"1999-12-09",329.1,366.3,329.1,366.3,366.3,55600,195.91
"1999-12-10",390,395.6,373,395.6,395.6,63100,248.91
"1999-12-13",423,427.25,392,409.1,416.55,112700,467.99
"1999-12-14",406,416,383.25,383.25,387.35,86000,341.08
"1999-12-15",385,385,356.4,356.4,359.1,47200,170.37
"1999-12-16",353,387.85,352.05,387.85,387.85,39400,147.18
"1999-12-17",396.75,410,390,394,395.05,42200,168.89
"1999-12-20",393,398,363.45,366.1,371.1,49100,183.64
"1999-12-21",367,368.75,345,349,351.8,56700,203.12
"1999-12-22",375,379.95,374,379.95,379.95,31700,120.2
"1999-12-23",380.05,410.35,380,410.35,410.35,41400,165.63
"1999-12-24",401,412,377.75,380,381.7,28100,108.57
"1999-12-27",361,380,351.2,351.2,351.35,21000,75.62
"1999-12-28",352.9,369.8,341,355.05,360.45,41700,150.68
"1999-12-29",373.95,389.3,367,389.3,389.3,35900,138.26
"1999-12-30",420,420.45,405.5,420.45,420.45,23500,98.65
"2000-01-03",450,454.1,450,454.1,454.1,11500,52.2
"2000-01-04",490,490.05,431,489.95,485.6,71000,338.16
"2000-01-05",451,504,448,470,461.7,88500,423.42
"2000-01-06",494,494,425,440,442.45,54300,242.38
"2000-01-07",415,435,407.05,407.05,407.05,15700,64.88
"2000-01-10",435,435,374.9,374.9,377,43500,169.21
"2000-01-11",389,390,346.9,357.85,348.55,42300,152.12
"2000-01-12",360,373,336.55,351.95,349.85,26700,93.93
"2000-01-13",357.95,360,338,341.05,343.1,14800,51.52
"2000-01-14",341,341,326,338.9,334.9,10000,33.32
