"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2011-08-12",53.85,53.85,49.3,49.95,50.05,98188151,49996.43
"2011-08-16",50.9,51.3,49,49.2,49.3,12435359,6228.64
"2011-08-17",49.65,49.8,48,48.1,48.15,4804559,2338.7
"2011-08-18",48.15,48.5,46.15,46.2,46.3,4346287,2041.48
"2011-08-19",46.05,46.05,44.65,44.95,44.9,4196723,1889.71
"2011-08-22",45,45.4,44.4,44.6,44.7,3144678,1407.58
"2011-08-23",45.05,46.95,44.65,46.2,46.45,4208711,1950.79
"2011-08-24",46.4,48.2,46,47.3,47.25,3142285,1493.46
"2011-08-25",47.7,48.2,47,47.55,47.45,1740800,828.33
"2011-08-26",47.7,47.9,45.8,46.35,46.15,1769056,827.22
"2011-08-29",47,53.05,46.75,51.8,50.8,6213609,3111.87
"2011-08-30",52.5,52.8,49.25,49.8,49.8,10696584,5463.96
"2011-09-02",50.05,51.3,48.6,50.45,50.55,3811454,1918.97
"2011-09-05",50,52,49.55,51.4,51.5,5493057,2815.32
"2011-09-06",51.15,52.25,50.6,51.75,51.8,5941534,3074.88
"2011-09-07",52,52.7,51.35,52.15,52.1,5477769,2858.38
"2011-09-08",52.05,52.2,51.55,51.75,51.8,2291566,1189.77
"2011-09-09",51.9,52.2,50.8,50.9,50.95,1657760,852.26
"2011-09-12",50.95,51.65,49.7,50.55,50.8,2943855,1489.08
"2011-09-13",51.4,51.55,50.1,50.1,50.2,1345797,684.23
"2011-09-14",50.8,50.8,50.1,50.15,50.2,737756,371.16
"2011-09-15",50.6,51.1,50.1,50.1,50.25,956407,481.88
"2011-09-16",50.35,50.65,49.9,50.1,50.05,985457,494.73
"2011-09-19",49.55,50.4,49.55,49.75,49.95,698587,349.01
"2011-09-20",50,50.35,49.55,49.9,49.95,742380,371.48
"2011-09-21",50,51,49.9,50.5,50.55,1324373,670.28
"2011-09-22",50,50.3,49,49.1,49.1,1156544,573.9
