"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,46.2,46.7,44.5,NA,NA,NA,NA
1998-03-23,44.75,45.75,44.75,45.5,45.5,8200,3.71
1998-03-24,45.55,45.75,42.75,43.5,43.6,176000,77.77
1998-03-25,45.15,47.5,44,47.25,46.65,117400,53.71
1998-03-26,47.9,51.25,44.25,45.3,45.15,498300,236.96
1998-03-27,45.5,45.9,44.55,45,45.05,299300,136.74
1998-03-30,46.45,49.55,45.25,45.6,45.8,321200,152.24
1998-03-31,45.9,46.65,44,44,44.4,197100,88.63
1998-04-01,46.4,48.1,46,46.5,46.65,330000,155.79
1998-04-02,47,49.15,45.85,46.2,46.25,364700,173.31
1998-04-03,47,47.45,46.35,47.3,47.1,249500,117.12
1998-04-06,48,51.85,47.75,51.85,51.85,600800,303
1998-04-07,52.5,53.5,50.25,51.2,51.1,314400,162.5
1998-04-09,51.5,56.25,51.5,56.25,56.1,320200,173.58
1998-04-10,58,61.75,56.25,60.1,59.9,416000,247.48
1998-04-13,55,63,55,60.75,60.35,478800,289.81
1998-04-15,62.5,65.8,62.5,63.55,63.45,399100,254.74
1998-04-16,64,64.75,57.25,57.5,57.95,233300,139.72
1998-04-17,57.5,60,55.5,59,59.05,236800,137.08
1998-04-20,59.45,59.45,54.55,55.4,55.3,224900,128.25
1998-04-21,56,56.5,54.15,55.95,55.7,310500,171.91
1998-04-22,59,61.3,58,58.55,58.55,300400,179.96
1998-04-23,58.05,60.9,56.25,56.4,56.8,125700,73.04
1998-04-24,56.4,57.5,51.2,55.3,54.95,232700,129.25
1998-04-27,55.4,56,52.15,53,53.2,116300,62.96
1998-04-28,53.75,53.75,49,51,49.95,142000,71.68
1998-04-29,53,53.45,47.7,48.4,48.55,142100,72.22
1998-04-30,47.5,49.8,44,49.1,49.2,134300,63.24
1998-05-04,49.95,53.25,49.95,53.25,52.5,145500,74.83
1998-05-05,53.4,53.95,51.6,53.95,53,99500,52.16
1998-05-06,54,54,50,50.1,50.4,66400,34.11
1998-05-08,49.7,49.7,48,48.2,48.4,90500,44.12
1998-05-11,51.05,51.05,47.3,47.45,47.45,37800,18.01
1998-05-12,45.5,45.8,42.7,45,44.9,138700,61.48
1998-05-13,46,47.5,41.5,42.05,43.35,129200,58.06
