"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2006-03-17",225,243.8,205.15,231,232.55,20061111,47096.13
"2006-03-20",234.75,241.7,230,234.65,235.1,3450640,8158.2
"2006-03-21",235.75,253.7,235.5,244.2,243.8,5209708,12879.11
"2006-03-22",243.7,244.6,228.1,231.75,232.4,1911397,4507.87
"2006-03-23",233.9,248.4,233.9,244.5,243.4,2170224,5255.88
"2006-03-24",248.7,248.7,240.35,244.75,244.65,1092428,2670.39
"2006-03-27",245,248.4,242.1,246.25,246.15,557831,1371.1
"2006-03-28",248,258,243.5,249.85,250.5,1901377,4816.85
"2006-03-29",252,254.15,245,245.3,245.95,334951,835.9
"2006-03-30",249,251.65,241.7,242.25,243.05,258214,638.02
"2006-03-31",242,246.9,239.4,241.55,242.15,156175,380.87
"2006-04-03",243,247,238.5,240.5,240.7,359644,875.46
"2006-04-04",242.2,249,238,246,245.7,247973,608.16
"2006-04-05",246.6,250,245,248,248.65,155426,384.6
"2006-04-07",248.85,250.95,236.1,237.2,238.7,184663,447.98
"2006-04-10",239,244.7,235.05,235.05,235.5,92631,220.4
"2006-04-12",240,240.45,227,228,228.1,84149,195.66
"2006-04-13",228.9,234.5,223.35,232,232.3,103845,237.57
"2006-04-17",235.95,239.9,225,227.55,228.8,118366,270.7
"2006-04-18",230,232.8,226.05,226.5,226.75,52595,120.23
"2006-04-19",230,230,225.05,225.05,225.95,29557,67.15
"2006-04-20",225.3,230,220,227,224.35,158089,353.9
"2006-04-21",227,233.35,225,227.45,225.8,70593,161.36
"2006-04-24",225.8,231,224.5,231,227.8,60313,137.68
"2006-04-25",229.45,233.9,227.5,229,230.4,191696,441.7
"2006-04-26",229.95,235.2,227.05,232.95,232.1,60601,140.44
"2006-04-27",233,236.65,231.05,231.05,232.8,69170,162.16
"2006-04-28",226.05,239,221,235,234.7,115212,269.95
"2006-04-29",238,238.45,229,230.9,231.8,43406,102.06
"2006-05-02",228.35,236.45,228.35,234.65,234.55,48080,112.5
"2006-05-03",236.4,250,230.05,243,243.1,192630,465.48
"2006-05-04",245,251,235.05,250.95,249.7,190078,472.37
