"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2001-09-27",31,39,29.7,30.4,29.95,19364,6.07
"2001-09-28",31.1,33.9,27.55,32.3,32.75,61884,19.71
"2001-10-01",32.55,32.95,31.15,31.4,31.75,25546,8.11
"2001-10-03",32.85,32.85,30,30.1,30.2,12954,3.98
"2001-10-04",31,33,29.35,32.4,32.25,46305,14.31
"2001-10-05",32.3,32.9,32.05,32.2,32.3,32034,10.37
"2001-10-08",30,31,28.65,31,30.75,15211,4.64
"2001-10-09",30.6,31.3,30.5,31.15,31.05,15104,4.67
"2001-10-10",31.5,32,30.75,31.85,31.75,25920,8.19
"2001-10-11",31.75,34.8,31.65,33.8,34.15,62387,20.61
"2001-10-12",34,35.35,34,34.25,34.3,47699,16.54
"2001-10-15",35.1,35.75,34,34.75,34.85,32691,11.42
"2001-10-16",35.5,35.7,34.75,35.2,35.2,32557,11.48
"2001-10-17",36.1,36.1,34.45,34.5,34.6,56996,20.1
"2001-10-18",34.15,35.8,34.1,35.5,35.65,24590,8.65
"2001-10-19",36,36,34.65,34.65,34.9,43772,15.47
"2001-10-22",36,41.9,36,41.9,41.9,118429,47.84
"2001-10-23",49.7,49.7,43.05,44.3,43.8,155481,69.96
"2001-10-24",44.75,44.8,42,43,43,62945,27.12
"2001-10-25",43,45,42.5,44.5,44.1,45768,20.05
"2001-10-29",45.25,47,45,45,45.15,63636,29.07
"2001-10-30",43.25,44.75,42.1,42.5,42.6,45670,19.67
"2001-10-31",41.75,43.5,41,41.3,41.15,53832,22.66
"2001-11-01",42.5,44.2,41.65,43.5,43.75,65559,28.29
"2001-11-02",44.4,46.25,43.25,44.5,44.3,123326,55.27
"2001-11-05",46.25,47,43.1,44.1,43.95,66880,29.69
"2001-11-06",44.15,45.2,43.25,43.25,43.85,36582,16.22
"2001-11-07",45,48.5,43.95,46.25,46.35,175259,80.85
"2001-11-08",45.9,49.6,45.8,49.4,49.2,252458,122.37
"2001-11-09",50,52,48.2,48.2,48.9,162077,81.1
"2001-11-12",50.35,50.85,49.05,49.1,49.65,86829,43.16
"2001-11-13",49.5,49.9,47.05,48,47.7,57732,27.75
"2001-11-14",49.1,49.35,47.5,48.1,48,35049,16.92
"2001-11-15",49.5,49.5,48,48.45,48.4,52624,25.48
"2001-11-19",49,54,49,52.5,52.95,232460,121.25
"2001-11-20",53,55.55,52.4,53,52.95,174549,93.43
"2001-11-21",53,54,52.5,52.55,52.85,78672,41.87
"2001-11-22",53,63.45,53,63.45,63.25,401588,234.9
"2001-11-23",65,67,60.35,62.7,63.15,308787,196.08
"2001-11-26",65,70,64.75,66.5,65.95,228453,151.6
"2001-11-27",68,68.6,62.25,62.55,63.55,156501,102.9
"2001-11-28",64,65,59.5,60.85,60.05,144602,90.09
"2001-11-29",60.05,61.25,56,61,60.55,94421,55.75
"2001-12-03",63.8,67,61,64.5,64.4,192086,123.85
"2001-12-04",64.5,70.85,64.5,69.65,69.1,330318,225.09
"2001-12-05",72.95,76.2,71.05,75,74.65,405991,299.2
"2001-12-06",82,84,75.1,75.75,77.15,461312,358.87
"2001-12-07",75,75,71.15,71.55,71.5,141081,102.32
"2001-12-10",73,74.5,72.25,73.15,72.7,146071,106.96
"2001-12-11",73,74,69.3,69.5,69.95,92152,66.4
"2001-12-12",71.7,73,70,70.5,71.1,142577,102.35
"2001-12-13",70.5,71.75,60.3,65.05,64.45,160742,104.37
"2001-12-14",66,66.4,62.5,65.05,65.1,89618,58.33
"2001-12-18",65.1,66,60.25,61.45,62.15,76943,48.06
"2001-12-19",63.6,63.6,56,57.1,57.05,64102,38.15
"2001-12-20",55.1,57.1,52.15,55.85,54.05,116764,64.39
"2001-12-21",52.1,54.8,50,51.2,51.15,72540,37.31
"2001-12-24",49,49.5,45,49.3,48.7,108769,51.71
"2001-12-26",50,54,48.5,49.75,50.55,63531,32.62
"2001-12-27",50.55,51.5,48,48.25,48.9,43360,21.64
"2001-12-28",49,51.5,48,51,50.7,42319,20.97
"2001-12-31",52,57.9,52,57.9,57.05,95746,53.64
"2002-01-01",59.6,62,55.75,55.75,56.8,110677,65.51
"2002-01-02",57.5,60,56.5,59.3,58.7,63473,37.16
"2002-01-03",63.1,63.1,58.7,59.05,59.2,54473,32.42
"2002-01-04",58,62.35,58,59.7,60.4,144501,87.09
"2002-01-07",64.1,64.1,61.15,62.35,61.6,94714,59.1
"2002-01-08",64,64,59.15,60,59.9,49329,29.76
"2002-01-09",60,61,57,57,57.35,56180,33.21
"2002-01-10",61.6,61.6,56.3,58.05,57.5,37555,21.65
"2002-01-11",58.5,60.4,54.1,56.5,55.1,84084,48.35
"2002-01-14",60,60,58.1,59.3,58.85,36403,21.43
"2002-01-15",62,62,57.85,58.1,58.4,28497,16.66
"2002-01-16",60,60,57.2,57.4,57.6,19063,11.09
"2002-01-17",58.9,59.8,56.1,59,58.2,49289,28.59
"2002-01-18",60.1,69.3,60.1,66.15,66.85,567981,378.15
"2002-01-21",66.25,69.8,65,65.5,65.3,213806,143.24
"2002-01-22",66.65,68.9,65.65,67.5,66.85,193258,130.24
"2002-01-23",68.4,68.4,63.6,64.7,64.35,122677,80.33
"2002-01-24",65,65,57.5,58.3,57.85,293856,173.25
"2002-01-25",59,60.5,58.15,59.35,58.65,100446,59.42
"2002-01-28",61,61,58,58,58.25,38105,22.43
"2002-01-29",60.5,60.5,57,57.25,57.1,49758,28.81
"2002-01-30",56.75,56.95,54.05,54.7,54.45,74297,40.93
"2002-01-31",56.2,58,55.4,56.85,56.3,79839,45.25
"2002-02-01",58.35,58.35,55.65,55.8,56.15,54616,30.94
"2002-02-04",56.75,56.85,55,55,55.1,31048,17.28
"2002-02-05",54.65,55.85,54.55,54.7,54.75,28708,15.81
"2002-02-06",55.3,55.5,54.1,55,55.05,51649,28.32
"2002-02-07",56,56,50,52.05,50.85,159148,83.68
"2002-02-08",52.5,53.8,52.35,52.5,52.65,74787,39.55
"2002-02-11",55,55,53.2,54,54.05,77770,42.1
"2002-02-12",55,56,48.5,52.05,51.8,245569,127.12
"2002-02-13",52.9,53.6,51.9,53,52.3,68679,36.35
