"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2016-02-26,323,330.75,310.55,325.2,327.1,71492,229.07
2016-02-29,323.85,343.6,315.6,336.5,336.4,80703,263.02
2016-03-01,336.5,339.9,324,325,325.15,61922,203.94
2016-03-02,331,344.95,327,328.1,329.2,111006,371.25
2016-03-03,332,332.05,320.3,321.5,321.7,81493,263.04
2016-03-04,323,332,320,322,321.4,33074,107.08
2016-03-08,322,328.9,311.5,315,314.25,66713,211.84
2016-03-09,317.25,327,311,315.75,315.25,61955,194.53
2016-03-10,320.85,337,312.25,335,330.45,147885,476.29
2016-03-11,331.95,337,327.85,335.25,334.25,135207,446.96
2016-03-14,331.1,341.65,331.1,335.95,337.65,74412,250.86
2016-03-15,335.05,348,332.4,344.15,344.6,77763,264.85
2016-03-16,335,344.9,335,340,340.15,157433,535.19
2016-03-17,343.95,346.6,334.6,340,339.2,83329,282.88
2016-03-18,333.3,340,322.4,334,333.05,86238,285.27
2016-03-21,339.95,344,327.95,327.95,329.3,92930,312.56
2016-03-22,335,341.75,327,328,329.05,126408,420.65
2016-03-23,330.35,334.4,325.1,326,327.75,64233,211.84
2016-03-28,329.8,332.5,315.55,318.25,319.8,187764,600.69
2016-03-29,324.95,327.6,316.3,318.35,320.8,203686,658.04
2016-03-30,319,328.45,319,321.7,324.65,191636,623.87
2016-03-31,324.8,349.4,322,341.5,344.05,170840,574.22
2016-04-01,341.8,347.8,335.95,345,344.9,62766,216.24
2016-04-04,346,346,335.5,338,337.8,229571,776.47
2016-04-05,337.5,343.5,336,339,340.15,43018,146.29
2016-04-06,343.7,349,339.2,347.8,345.3,31498,108.27
2016-04-07,344.1,356.95,341.45,347.95,348.5,587947,2036.47
2016-04-08,349.1,351.9,341.4,342.45,341.75,36918,127.06
2016-04-11,341.5,348,333,345.5,345.8,33191,113.78
2016-04-12,346,357,345.6,350.6,350.7,114227,403.36
2016-04-13,350.75,363.8,350,353,353.1,352685,1251.66
2016-04-18,343,364.4,343,355.25,357.85,106030,381.44
2016-04-20,360.2,372,354,356,359.7,103582,374.74
2016-04-21,359.95,366,352.1,358,360.6,70017,250.08
2016-04-22,362,374.25,358,373.8,372.35,90731,333.85
2016-04-25,372.35,375.05,367,370,373.45,151456,565.6
2016-04-26,375,379,370.1,370.15,374.7,132378,495.76
2016-04-27,373.2,374.95,364,367.75,367.75,26019,96.14
2016-04-28,365.05,368.7,344.05,345.65,349.05,253180,909.35
2016-04-29,354.65,367,350.45,363.2,365.2,220550,782.47
2016-05-02,364.95,374.5,358.25,369.05,372.75,131924,483.45
2016-05-03,371.2,376.7,368,370,370,69278,256.49
2016-05-04,362.55,372,361,363.2,367.1,81742,301.35
2016-05-05,368.7,368.7,355.95,362,360.9,164701,594.94
2016-05-06,360.95,370,356.4,362.15,362.3,85194,309.44
2016-05-09,367.85,370.35,361.75,368.05,369.45,113391,416.29
2016-05-10,367.75,370.1,359.45,360,360.85,105703,383.45
2016-05-11,361,365,358.05,363,362.8,150584,546.04
2016-05-12,364.95,370.05,364,370,369.95,176544,648.56
2016-05-13,369.95,377.4,365.3,374,373.75,209678,776.32
2016-05-16,375.85,390.85,373.25,381.5,383,85947,329.42
2016-05-17,383.9,386,373.3,374.5,379.35,63931,242.81
2016-05-18,378.85,380.5,374,379,379.9,33835,128.19
2016-05-19,382.3,382.3,371.95,377,377.4,63214,237.28
2016-05-20,370.25,374.05,359.95,369.85,368.15,190382,703.47
2016-05-23,374.65,377,370.4,374,372.55,173903,647.85
2016-05-24,371.95,384.45,370.6,380.65,380.45,49299,185.56
2016-05-25,383.85,385.55,374.8,380.2,382.1,47073,178.94
2016-05-26,377.55,379.95,365,365.05,366.3,261917,965.31
2016-05-27,368.95,382.8,365.25,381.8,380.45,136266,509.55
2016-05-30,379.25,382.95,375,382,381.95,231335,882.97
2016-05-31,378,383.5,345,363,356.05,873463,3163.02
2016-06-01,369.5,376,359.15,364,363.1,359556,1329.67
2016-06-02,366.8,373,345,369.1,369.9,135859,500.28
2016-06-03,363.55,382.8,363.55,381.25,380.6,210270,796.08
2016-06-06,375,407,371.25,397.5,399.2,483055,1922.93
2016-06-07,399,404.95,391.7,402.45,398.8,480473,1915.8
2016-06-08,404.95,448,403.75,423.05,424.6,895813,3840.88
2016-06-09,421,442.5,415,422,419.75,449065,1929.96
2016-06-10,425.95,454,425.7,449.05,442.25,937363,4113.51
2016-06-13,440,467,429.95,432.5,434.2,967757,4287.93
2016-06-14,435.8,451,429.75,434.6,433.05,316501,1388.71
2016-06-15,436.95,443.35,429.25,434.9,434.75,458141,1992.2
2016-06-16,435.3,454,425.75,428.7,428.75,1161468,5076.32
2016-06-17,460,514.5,456,472.7,473.85,8217917,40237.83
2016-06-20,473.75,530,471.2,502,500.15,7609858,38693.83
2016-06-21,506,515,486.7,505,504.85,2182451,11003.31
2016-06-22,509.9,513,498,501.05,504.2,2467264,12477.84
2016-06-23,503.05,508.7,496.1,507.95,506.3,1546484,7783.4
2016-06-24,480,540.65,475.05,532,535.25,3732927,19271.67
2016-06-27,535,564.7,523,550,552.05,2478506,13670.78
2016-06-28,545.5,553.7,535,537,538.9,980407,5315.71
2016-06-29,543.5,547.4,528.2,540.25,540.5,761996,4109.54
2016-06-30,542,544.9,528.65,530,532.75,328768,1759.7
2016-07-01,533,538,523.65,528.1,529.15,428096,2264.81
2016-07-04,533.8,535.75,522.25,527.5,528.75,394206,2077.52
2016-07-05,527.75,530.95,423,512,508.5,1351993,6844.44
2016-07-07,506.4,520.9,492.6,496,498.1,751801,3833.39
2016-07-08,502.6,518,495.2,505.7,504.4,781963,3994.15
2016-07-11,513.3,524.1,501.5,503,505,717670,3695.32
2016-07-12,507.5,515,505.15,506,507.85,575898,2938.09
2016-07-13,511.4,523,500.2,518.5,506,2201759,11140.45
2016-07-14,516.1,524.45,500,506,504.6,1224820,6204.9
2016-07-15,507,533.95,502.25,514.5,513.4,1482145,7685.8
2016-07-18,513,520,502,504,505.65,431694,2216.96
2016-07-19,509.2,520,502,511.2,511.45,2066489,10498.74
2016-07-20,511,565,509,562.15,559.95,3237726,17760.92
2016-07-21,566.7,592.4,548,557,555.9,2071009,11850.34
2016-07-22,557.9,578.4,551,557.2,555.25,841198,4734.23
2016-07-25,558,601,544,580,584.85,1509478,8719.3
2016-07-26,581.95,594.7,572.1,582.55,578.1,901467,5259.33
2016-07-27,580.05,598,575.3,594,593.8,659867,3886.83
2016-07-28,594,618,576.1,589,589.05,1130069,6770.1
2016-07-29,589.05,594.95,567,583.5,579.95,658441,3817.25
2016-08-01,583,585.45,551.2,559,556.3,634317,3594.09
2016-08-02,560,561.9,523,535.05,532.55,636881,3435.06
2016-08-03,536,554.7,533.65,548.05,549.25,840961,4604.35
2016-08-04,554.5,569,541,549,550.75,840650,4657.79
2016-08-05,552,556.15,476.7,548,551.6,691117,3786.42
2016-08-08,562.4,568.4,538.1,539.5,542.2,820935,4536.45
2016-08-09,523,546.8,511.25,534.65,534,1813078,9726.52
2016-08-10,535,540,510,513,517.15,880800,4638.22
2016-08-11,512,517,500,505.3,510.65,577403,2934.28
2016-08-12,512.4,521,488.3,507,507.75,1115758,5666.05
2016-08-16,507,510.45,497.8,500.6,500.45,318796,1600
2016-08-17,502,523.6,500,521.25,516.8,409208,2090.45
2016-08-18,521.9,525,505.5,509.25,507,1031068,5290.68
2016-08-19,508,510.15,493.25,498,498.95,1365931,6896.96
2016-08-22,500.2,505,492.35,500,500.35,373151,1864.95
2016-08-23,502,524.35,500.7,512,512.3,725916,3726.85
2016-08-24,514.55,528.7,513,523.4,523.55,399373,2080.05
2016-08-25,521.6,539.6,517.1,537.9,533.45,599266,3186.08
2016-08-26,535,551,530.35,545.2,547.65,652186,3546.74
2016-08-29,545,549.95,530.3,546.7,546.6,345259,1875.68
2016-08-30,548.6,569.45,546.4,563.6,565.35,590885,3309.79
2016-08-31,568.8,583.4,562.4,577,579.8,911811,5237.33
2016-09-01,580,580,552.7,570.3,568.95,417767,2352.6
2016-09-02,568.95,574.75,555.1,572,572.05,253070,1437.1
2016-09-06,573.5,604.8,567.9,596.7,595.7,570890,3390.94
2016-09-07,597,599.75,575,579,580.25,436791,2556.36
2016-09-08,582,628,582,600,599.1,1380728,8366.71
2016-09-09,600,602.75,582,594.5,593.95,316996,1873.06
2016-09-12,585,609.75,581.55,602,605.3,537563,3200.46
2016-09-14,606.05,619.65,602.4,605,606.8,291254,1777.73
2016-09-15,603.7,612.8,583.1,598.8,599.4,478466,2845.08
2016-09-16,604.5,606.8,580.1,583.5,586.45,585602,3459.5
2016-09-19,575.15,584.6,568,570,570.1,643819,3697.02
2016-09-20,574,577.2,566.4,567.45,569.1,374039,2139.15
2016-09-21,569.5,574,564.5,565,567.75,186871,1064.47
2016-09-22,574.4,574.75,566.1,567.05,569.1,317259,1804.91
2016-09-23,571.75,592,564,566.15,565.6,839516,4810.24
2016-09-26,565.7,569.5,558.15,563,560.25,663353,3723.58
2016-09-27,565,569.8,550.5,550.5,552.15,644953,3596.45
2016-09-28,549.5,563,548.3,549.8,551.7,311038,1720.79
2016-09-29,558.8,560,536.25,550.2,553.95,524669,2882.92
2016-09-30,548.1,564,540,556.55,555.6,290786,1598.01
2016-10-03,563.75,564,555,558,558.55,351677,1966.56
2016-10-04,558.6,560,553,560,558.4,308422,1720.57
2016-10-05,558.55,569.15,553,558,562.25,493393,2769.15
2016-10-06,561,564,551.65,552.65,555.1,179105,999.9
