"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2016-07-01,540,548.95,518,519.3,520.3,20001438,106500.39
2016-07-04,523.5,533.9,521.3,530.35,531.05,3591938,18984.31
2016-07-05,530,532.5,516.25,517.5,517.5,1611597,8449.41
2016-07-07,518.75,520.6,504.55,506.5,506.2,1050990,5371.98
2016-07-08,506.4,510.75,498.55,503,502.5,1306333,6587.26
2016-07-11,508,511.75,502,503,503.4,963350,4880.36
2016-07-12,505.4,506,495.1,496.35,496.75,790935,3946.53
2016-07-13,497.5,504.25,492.65,500.9,500.25,835625,4172.7
2016-07-14,500.9,509.95,498,505.3,506.55,676085,3412.61
2016-07-15,507.45,513.9,502.05,507.55,506.8,801549,4079.31
2016-07-18,507.8,511.8,503.1,510.65,509.9,500134,2544.53
2016-07-19,510.1,514.2,508,509.25,509.45,306063,1561.89
2016-07-20,510.1,512.75,509,510,510.1,436612,2229.3
2016-07-21,510.05,513.75,502.45,502.95,503.9,376728,1918.73
2016-07-22,504.8,509.75,504,509,508.1,246857,1253.04
2016-07-25,508.45,509.45,503.15,506.2,504.55,209098,1058.17
2016-07-26,506,507.25,497.7,500,499.4,203104,1022.49
2016-07-27,498.4,503.95,496.6,498,498,208083,1040.46
2016-07-28,499.7,511.25,496,506.5,506.35,653293,3299.8
2016-07-29,507,515.6,506.2,509,508.8,544200,2774.19
2016-08-01,509,515,504,514.2,512.35,1819762,9241.3
2016-08-02,514.85,521.95,514,518.5,519.4,1016034,5272.42
2016-08-03,519,523.95,509.1,510.55,511.35,461560,2382.07
2016-08-04,513.5,518.5,509.95,518.05,517,369454,1904.71
2016-08-05,517.95,522,514.05,520.1,519.55,417478,2168.41
2016-08-08,522,532.4,521,530.05,530.3,657734,3468.2
2016-08-09,530.25,547.3,527.55,539.75,540.3,1274819,6873.99
2016-08-10,542,542,532,534.5,535.1,399445,2137.86
2016-08-11,534.6,538.45,529.6,531.5,532.5,209485,1117.29
2016-08-12,534.7,539.7,533,535.1,536.85,219502,1178.88
2016-08-16,536.9,540,534.15,538,537.1,351340,1885.97
2016-08-17,537.25,551.1,537.1,548.8,549.35,881986,4817.8
2016-08-18,551,573.4,550.95,569.05,570.9,1206667,6819.58
2016-08-19,573.4,582,563.55,575.75,577.35,749894,4324.08
2016-08-22,580.7,594.8,575,591.4,591.55,1282012,7519.97
2016-08-23,593.95,603,565.1,580,580.45,1419004,8370.52
2016-08-24,580,598,579.95,596.1,595.9,416093,2459.64
2016-08-25,598,598,585,585.75,586.75,273017,1615.09
2016-08-26,590,598,589.95,595,596.3,292354,1738.19
2016-08-29,598,615,596.3,614.3,613.9,640981,3903.42
2016-08-30,616.6,650,616,642.55,641.85,940134,5958.83
2016-08-31,645,661.4,640,653.9,652.25,872126,5681.86
2016-09-01,654.5,658,631.55,633.5,636.15,849646,5489.88
2016-09-02,635.4,649.95,612,636,635.3,1048848,6605.19
2016-09-06,640,654.7,635.5,652.8,651.85,398256,2572.87
2016-09-07,655.9,656,640.55,649.5,647,284368,1850.34
2016-09-08,650,653,645.5,648,649.35,146259,949.28
2016-09-09,648,653.9,641.3,643.5,643.7,210462,1362.45
2016-09-12,635,635,617.25,619.9,619.95,275224,1724.86
2016-09-14,622.5,638.85,622.5,632,631.35,264287,1666.14
2016-09-15,621,622.9,606.5,609.2,609.95,226065,1389.28
2016-09-16,612.25,619,601.2,606.8,605.65,174090,1064.91
2016-09-19,609.8,615,606.15,607.95,607.9,100918,614.93
2016-09-20,609.4,609.4,598,601.95,602.7,111000,670.2
2016-09-21,604.7,606.7,601.45,603,602.95,81843,494.42
2016-09-22,612,621.15,607,612.5,613.8,232404,1427.94
2016-09-23,618,627.8,616.1,619.2,619.9,362475,2256.39
2016-09-26,622.4,624.3,617.55,622,622.05,171555,1066.41
2016-09-27,625,636.95,622.15,635.05,634.8,231825,1465.71
2016-09-28,637,664.95,635.5,661,661.6,963282,6307.9
2016-09-29,667.7,679.95,639.1,659.95,647.2,970935,6398.47
2016-09-30,654.6,666.5,650.35,663,660.15,364893,2400.21
2016-10-03,668.1,674.9,666.7,670,669.5,308161,2067.99
2016-10-04,673.8,731.9,664.3,719.3,722.05,1339659,9485.26
2016-10-05,722,722,695.05,698,698.45,494612,3469.69
2016-10-06,703,708.75,691.55,699,698.7,685208,4806.21
2016-10-07,702.6,705.7,697,703.5,703.2,178621,1252.86
2016-10-10,706.1,725,703.2,716.8,716.9,454819,3263.2
2016-10-13,718,718,689.3,690,691.35,384721,2689.25
2016-10-14,696.95,729.9,694,728.1,725.15,562782,4023.17
2016-10-17,729.9,774,729.1,755.95,758.85,720761,5423.73
2016-10-18,763.4,766.25,747,756,755.5,333380,2517.77
2016-10-19,759.8,767,751,760.05,760.3,252187,1913.69
2016-10-20,763,765.8,753.4,762,759.1,222318,1684.61
2016-10-21,762.4,803.25,756.45,789,789.5,472430,3727.6
2016-10-24,793.3,797.5,786,793,791.15,306697,2426.98
2016-10-25,790,794.6,766.1,770,769.1,305433,2357.73
2016-10-26,765.25,785,762.05,765,764.7,212184,1633.72
2016-10-27,764.7,768.9,748,762,752.85,204834,1547.68
2016-10-28,757.7,774.35,754.4,760.6,759.8,425564,3249.5
2016-10-30,766.9,770,763,769,767.65,35099,269.3
2016-11-01,773.5,780,767.35,776,774.5,148947,1154.02
2016-11-02,752,765.15,752,759,758.2,90938,690.58
2016-11-03,758,767.45,751.2,755,755.6,73935,561.11
2016-11-04,752.1,758.9,712.05,720,719.35,251873,1840.66
2016-11-07,733.5,737.8,704.05,709.4,708.85,162941,1172.19
2016-11-08,713,722.45,699,712.8,715.4,186133,1317.7
2016-11-09,635.1,740,635.1,725.2,728.4,270403,1911.29
2016-11-10,742,758.9,740,749.5,747.5,137893,1030
2016-11-11,755,767.15,742,750.2,747.3,236564,1786.57
2016-11-15,747.3,753.45,730.25,744.9,744.35,106195,786.57
2016-11-16,753.6,769.95,724.75,739.45,733.6,184775,1392.07
2016-11-17,735.55,777.95,735.55,773.5,770.4,263875,2019.49
2016-11-18,774.9,781,743,745.5,748.9,301226,2274.88
2016-11-21,758.95,764,735,745,741,133055,994.12
2016-11-22,745.25,756.1,730.6,734.65,736.75,94191,696.08
2016-11-23,743.85,746.65,728,729.7,730.9,97277,715.99
2016-11-24,731.4,742,724.75,738,735.7,104570,768.42
2016-11-25,747.95,771.9,740,771,770.55,188861,1439.02
2016-11-28,774.95,794.9,761.25,772.9,771.1,256254,2006.2
2016-11-29,805,828,771,780,778.25,1291736,10305.89
