"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,42.25,42.25,41.1,NA,NA,NA,NA
1998-03-24,42.5,43.4,40,40,40.05,1500,0.62
1998-03-25,43.5,44,41,43.75,42.2,1500,0.64
1998-03-26,41,45,38.25,43,43,4400,1.87
1998-03-27,40,40,40,40,40,100,0.04
1998-03-30,43,43,38,38,38,1800,0.71
1998-03-31,40.9,40.9,38,38,38.05,400,0.16
1998-04-01,39.55,40.9,39,39,39,1400,0.55
1998-04-02,39.5,39.5,38.1,38.1,38.1,200,0.08
1998-04-03,40.25,40.25,39,39,39,200,0.08
1998-04-06,38.1,38.25,38.1,38.25,38.25,900,0.34
1998-04-07,38,38,37.25,37.25,37.3,2300,0.87
1998-04-09,41,41.05,41,41.05,41.05,300,0.12
1998-04-10,42,43.95,38,42.9,42.9,2800,1.15
1998-04-13,42,43.5,42,42.5,43.35,2800,1.2
1998-04-15,46.85,47.7,46,47.7,47.7,4800,2.27
1998-04-16,49,49,45,45,45.5,5100,2.41
1998-04-17,46.5,47,43.5,44,44,500,0.23
1998-04-20,44,44.5,43.25,44.5,44.5,1500,0.66
1998-04-21,43.3,44.3,43.25,44,43.65,1100,0.48
1998-04-22,45,46,45,45.05,45.05,1300,0.59
1998-04-23,42,42,42,42,42,200,0.08
1998-04-24,42.9,43,42,42,42,300,0.13
1998-04-27,40,40,38.75,38.75,38.75,400,0.16
1998-04-28,37.55,41.5,37.1,41.5,39.8,1600,0.61
1998-04-29,41.5,41.5,41.5,41.5,41.5,100,0.04
1998-04-30,40.05,40.05,40.05,40.05,40.05,100,0.04
1998-05-04,38.5,38.5,38.5,38.5,38.5,100,0.04
1998-05-05,39,41,38.95,41,41,500,0.2
1998-05-06,39.5,39.5,38,38,38,400,0.15
1998-05-11,37,39,35.1,39,39,1400,0.52
1998-05-12,37,37,37,37,37,100,0.04
1998-05-13,35.55,35.55,35.5,35.5,35.5,200,0.07
1998-05-14,35.6,37.25,35,37.25,37.25,500,0.18
1998-05-15,37.5,38,37.25,38,38,600,0.22
1998-05-19,37.9,41,37.9,41,39.9,500,0.2
1998-05-20,41,41,41,41,41,100,0.04
1998-05-21,41.8,41.95,37.5,37.5,37.5,400,0.16
1998-05-25,36.3,37,36,37,37,1600,0.58
1998-05-26,35.2,36,35,36,35.85,2000,0.7
1998-05-27,39,39,35.5,35.5,35.5,500,0.18
1998-05-28,35.75,36,35.25,36,36,300,0.11
1998-05-29,35,36.95,33.65,34,34,3800,1.34
1998-06-01,34.9,36.75,34.9,36.75,36.75,300,0.11
1998-06-02,34.55,34.55,34.55,34.55,34.55,100,0.03
1998-06-03,36,36,36,36,36,400,0.14
1998-06-05,35.1,35.1,33.1,33.1,33.1,300,0.1
1998-06-08,32.1,32.1,31,31,31,1200,0.38
1998-06-09,32,32.25,31,32.25,32.25,1300,0.41
1998-06-10,31.05,31.05,31,31,31,1800,0.56
1998-06-11,33,33.65,31.4,33.65,33.65,900,0.29
1998-06-12,31.4,31.4,31.4,31.4,31.4,700,0.22
1998-06-15,31.3,31.3,31.3,31.3,31.3,500,0.16
1998-06-16,28.5,31,28.5,31,31,900,0.28
1998-06-22,31,31,31,31,31,200,0.06
1998-06-23,28.5,29.55,28.5,28.7,28.7,2100,0.6
1998-06-24,30.5,31.5,30.5,31.5,31.5,400,0.12
1998-06-25,34.45,34.45,34.45,34.45,34.45,100,0.03
1998-06-26,34.25,35,34.25,35,34.5,500,0.17
1998-06-30,34.75,34.75,34.75,34.75,34.75,100,0.03
1998-07-01,33,34.85,33,34.85,34.85,1400,0.47
1998-07-02,34.45,34.65,34.45,34.65,34.5,500,0.17
1998-07-06,33,33,33,33,33,100,0.03
1998-07-08,34.5,34.5,34.5,34.5,34.5,500,0.17
1998-07-09,35,35,35,35,35,600,0.21
1998-07-10,34.4,34.4,34.4,34.4,34.4,100,0.03
1998-07-14,34,34,34,34,34,100,0.03
1998-07-15,34,34,34,34,34,100,0.03
1998-07-17,33.5,34,33.5,34,34,200,0.07
1998-07-20,34.1,34.1,34,34,34.05,200,0.07
1998-07-21,33.5,33.5,33.5,33.5,33.5,200,0.07
1998-07-22,33.55,33.55,33.55,33.55,33.55,300,0.1
1998-07-23,33,33,33,33,33,200,0.07
1998-07-24,32,32,32,32,32,200,0.06
1998-07-28,31.8,31.8,31.8,31.8,31.8,200,0.06
1998-07-30,30.8,30.8,30.8,30.8,30.8,100,0.03
1998-07-31,29.05,29.85,29,29.85,29.85,600,0.18
1998-08-03,30,31.85,30,31.85,30.9,200,0.06
1998-08-04,29.3,29.3,29.25,29.3,29.25,600,0.18
1998-08-05,30.5,30.5,30.5,30.5,30.5,100,0.03
1998-08-06,29.3,29.3,29.3,29.3,29.3,100,0.03
1998-08-07,28.5,28.5,28.05,28.05,28.05,300,0.08
1998-08-10,27.95,28,27,27,27,1100,0.31
1998-08-11,27.4,28,27.4,28,27.75,1300,0.36
1998-08-12,27.55,28,27.55,28,28,200,0.06
1998-08-13,27.9,28,27.9,28,28,200,0.06
1998-08-14,27.3,27.3,27.3,27.3,27.3,1000,0.27
1998-08-17,25.5,29.45,25.5,29.45,29.45,700,0.19
1998-08-18,29.5,29.5,29.5,29.5,29.5,100,0.03
1998-08-19,29,29,28,28,28,300,0.09
1998-08-20,26.95,27,26.95,27,27,200,0.05
1998-08-27,27,27,24.9,24.9,24.95,1300,0.34
1998-08-28,25.05,26.85,25,25,25,2100,0.54
1998-08-31,25,25.25,24.8,25,25,900,0.22
1998-09-01,25,25,24.55,24.6,24.6,800,0.2
1998-09-02,26.5,26.5,25.5,26,26,1300,0.34
1998-09-03,26,26,25.65,25.65,25.65,900,0.23
1998-09-07,26.95,26.95,26.95,26.95,26.95,100,0.03
1998-09-08,26.9,26.9,25.65,25.65,25.65,400,0.11
1998-09-09,27.35,27.35,27,27,27,400,0.11
1998-09-10,25.2,25.2,25.2,25.2,25.2,100,0.03
1998-09-14,27.25,27.25,27.25,27.25,27.25,1300,0.35
1998-09-15,27.95,28,27.25,28,28,1300,0.36
1998-09-16,29,30,29,30,29.85,1900,0.57
1998-09-17,30.5,30.5,30.45,30.45,30.45,200,0.06
1998-09-18,32,32.75,31,32.75,32.75,1700,0.53
1998-09-21,31.25,31.5,30.3,31.5,31.5,1600,0.5
1998-09-22,29.5,30.6,29.5,30.6,30.6,400,0.12
1998-09-23,31,31.5,30,30,30.4,1200,0.37
1998-09-24,31.75,31.75,30.5,30.5,30.5,300,0.09
1998-09-25,31.5,31.85,30.5,30.5,30.5,1300,0.41
1998-09-28,30,30,28.1,28.15,28.15,4400,1.28
1998-09-29,28,30,27,28,28,4900,1.39
1998-09-30,26.6,28,26.55,26.65,27.15,6200,1.69
1998-10-05,25.1,26,25,26,26,1100,0.28
1998-10-06,25.25,25.25,24.25,25,24.65,14800,3.65
1998-10-07,25.05,26.5,25.05,26.5,26.5,9000,2.32
1998-10-08,26.45,26.5,25.05,26.45,26.45,3600,0.91
1998-10-09,26.9,27.5,26.9,27.5,27.5,3700,1
1998-10-12,27.35,27.35,27.35,27.35,27.35,100,0.03
1998-10-13,26,26,26,26,26,200,0.05
1998-10-14,27,27,26.95,27,27,2500,0.67
