"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",1840,1940,1840,NA,NA,NA,NA
"1998-03-24",1950,2025,1950,2000,2000,650,12.85
"1998-03-25",2100,2100,2100,2100,2100,50,1.05
"1998-03-26",2125,2150,2055,2055,2055,250,5.28
"1998-03-27",2020,2040,2020,2040,2040,150,3.05
"1998-03-30",2025,2025,2010,2010,2010,200,4.04
"1998-03-31",1950,1950,1931.05,1931.05,1933,200,3.88
"1998-04-01",1975,2000,1975,2000,2000,350,6.99
"1998-04-02",1988,2000,1988,2000,2000,300,5.99
"1998-04-03",1975,1975,1975,1975,1975,50,0.99
"1998-04-06",2000,2165,2000,2165,2165,750,15.5
"1998-04-07",2207.5,2216,2207.5,2211.1,2211.1,300,6.64
"1998-04-09",2432.25,2432.25,2432.25,2432.25,2432.25,400,9.73
"1998-04-10",2650,2670,2350,2350,2443.5,1200,30.16
"1998-04-13",2459.5,2467,2202,2202,2282.55,3350,80.03
"1998-04-15",2500,2500,2380,2499.5,2499.5,950,23.5
"1998-04-16",2490,2500,2490,2500,2500,300,7.49
"1998-04-17",2488,2488,2486,2486,2486,350,8.7
"1998-04-20",2440,2484.95,2301,2301,2365.2,1100,26.66
"1998-04-21",2400,2444.95,2330,2405,2391.65,3000,72.43
"1998-04-22",2500,2539,2350,2350,2353.5,1800,43.57
"1998-04-24",2270,2270,2200,2250,2250,450,10.03
"1998-04-27",2350,2350,2260,2300,2297.5,600,13.75
"1998-04-28",2250,2250.5,2132,2132,2144.35,550,12.04
"1998-05-06",2650,2742,2627.15,2627.15,2634.85,1450,38.97
"1998-05-08",2625,2625,2590,2607,2607,600,15.69
"1998-05-12",2406.1,2475,2406,2475,2475,350,8.56
"1998-05-13",2425.05,2425.05,2400,2400,2406.55,500,12.05
"1998-05-14",2375,2416,2350,2416,2416,500,11.95
"1998-05-15",2444,2490,2422,2474,2474,500,12.32
"1998-05-19",2463,2535,2463,2535,2535,400,9.99
"1998-05-20",2520,2520,2520,2520,2520,50,1.26
"1998-05-25",2450,2460,2450,2460,2456.65,300,7.36
"1998-05-26",2421,2421,2355,2355,2355,100,2.39
"1998-05-27",2500,2500,2400,2400,2400,5150,128.6
"1998-05-28",2399,2400,2300,2300,2300,450,10.58
"1998-05-29",2300,2398,2290,2398,2315.6,250,5.79
"1998-06-02",2105,2110,2105,2110,2110,100,2.11
"1998-06-03",2200,2200,2106,2106,2106,150,3.21
"1998-06-04",2200,2200,2150,2150,2150,150,3.25
"1998-06-05",2100,2100,2014,2014,2014,200,4.07
"1998-06-08",1935,1935,1935,1935,1935,50,0.97
"1998-06-09",1940,1979,1910,1979,1952.25,500,9.7
"1998-06-12",2000,2018,1978,2018,2018,350,6.99
"1998-06-15",1885,1900,1885,1900,1900,150,2.84
"1998-06-16",1900,1900,1712,1885,1885,150,2.75
"1998-06-17",1980,1980,1895,1895,1895,200,3.88
"1998-06-18",1900,1900,1900,1900,1900,50,0.95
"1998-06-19",1950,1950,1800.05,1800.05,1830,150,2.81
"1998-06-23",1801,1801,1750,1750,1750,150,2.67
"1998-06-24",1869,1874,1869,1874,1874,150,2.81
"1998-06-25",1925,1925,1900,1925,1925,150,2.88
"1998-06-26",1925,1925,1905,1925,1925,200,3.84
"1998-06-30",1921,1945,1900,1900,1900,400,7.68
"1998-07-01",1900,1900,1900,1900,1900,50,0.95
"1998-07-03",1840,1840,1800,1800,1800,100,1.82
"1998-07-06",1870,1870,1870,1870,1870,100,1.87
"1998-07-07",1910,1950,1910,1950,1950,150,2.9
"1998-07-08",2050,2105,2050,2105,2105,400,8.34
"1998-07-09",2050.05,2050.05,2035,2050,2043,350,7.15
"1998-07-10",2010,2010,2010,2010,2010,50,1
"1998-07-13",2000,2000,1960,1960,1960,600,11.95
"1998-07-14",1930,1989,1930,1989,1959.5,100,1.96
"1998-07-15",1945.05,1945.05,1935,1935,1935,150,2.91
"1998-07-16",1999,2000,1999,2000,2000,100,2
"1998-07-17",2000,2025,1954,1954,1954,250,5
"1998-07-20",1950,1950,1916.5,1916.5,1916.5,300,5.83
"1998-07-21",1975,1975,1909,1909,1909.65,300,5.78
"1998-07-22",2025,2025,1975,1995,1994,650,13
"1998-07-23",1955,1955,1907,1907,1907,400,7.72
"1998-07-24",1925,1935,1925,1935,1935,100,1.93
"1998-07-27",1940,1940,1940,1940,1940,50,0.97
