"Index","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"2004-01-01",NA,NA,NA,1000,36177665,303.99
"2004-01-02",NA,NA,NA,1028.25,38498817,369
"2004-01-05",NA,NA,NA,1024.37,35192512,346.43
"2004-01-06",NA,NA,NA,1007.26,41173273,379.91
"2004-01-07",NA,NA,NA,982.49,29396473,299.97
"2004-01-08",NA,NA,NA,1007.53,27514265,306.72
"2004-01-09",NA,NA,NA,1020.28,44399785,472.75
"2004-01-12",NA,NA,NA,1011.17,30293872,339.92
"2004-01-13",NA,NA,NA,1017.38,31366545,286.58
"2004-01-14",NA,NA,NA,1030.82,38607570,385.79
"2004-01-15",NA,NA,NA,1019.91,42170850,382.18
"2004-01-16",NA,NA,NA,993.7,31596742,276.16
"2004-01-19",NA,NA,NA,999.64,25980549,237.22
"2004-01-20",NA,NA,NA,984.73,24407827,220.41
"2004-01-21",NA,NA,NA,910.71,27652187,233.21
"2004-01-22",NA,NA,NA,882.46,31266652,258.82
"2004-01-23",NA,NA,NA,925.24,28707340,241.26
"2004-01-27",NA,NA,NA,954.91,22639003,214.17
"2004-01-28",NA,NA,NA,934.31,31168102,256.99
"2004-01-29",NA,NA,NA,929,28267203,242.41
"2004-01-30",NA,NA,NA,900.66,22448024,211.92
"2004-02-03",NA,NA,NA,863.32,24836438,218.06
"2004-02-04",NA,NA,NA,891.79,25274380,237.5
"2004-02-05",NA,NA,NA,899.89,23600438,224.18
"2004-02-06",NA,NA,NA,909.86,20757416,193.63
"2004-02-09",NA,NA,NA,933.44,22826950,223.63
"2004-02-10",NA,NA,NA,935.31,23178439,206.17
"2004-02-11",NA,NA,NA,945.49,25692093,209.5
"2004-02-12",NA,NA,NA,961.76,33799580,298.42
"2004-02-13",NA,NA,NA,968.39,24330934,240.41
"2004-02-16",NA,NA,NA,977.27,22734643,224
"2004-02-17",NA,NA,NA,976.23,18535697,202.39
"2004-02-18",NA,NA,NA,975.95,16567852,203.54
"2004-02-19",NA,NA,NA,952.66,19308553,239.03
"2004-02-20",NA,NA,NA,949.54,19063157,226.14
"2004-02-23",NA,NA,NA,928.24,15872000,168.11
"2004-02-24",NA,NA,NA,928.78,14734562,155.28
"2004-02-25",NA,NA,NA,920.02,15357569,178.25
"2004-02-26",NA,NA,NA,912.89,17698502,188.35
"2004-02-27",NA,NA,NA,922.42,15242305,136.87
"2004-03-01",NA,NA,NA,938.64,16155060,172.02
"2004-03-03",NA,NA,NA,936.81,15854073,159.46
"2004-03-04",NA,NA,NA,930.82,13043768,156.87
"2004-03-05",NA,NA,NA,934.91,13955899,169.52
"2004-03-08",NA,NA,NA,952.52,20258796,216.32
"2004-03-09",NA,NA,NA,945.76,21830379,213.29
"2004-03-10",NA,NA,NA,934.28,15591475,164.03
