"Index","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
2004-01-01,NA,NA,NA,1000,NA,NA
2004-01-02,NA,NA,NA,1017.13,NA,NA
2004-01-05,NA,NA,NA,1007.38,NA,NA
2004-01-06,NA,NA,NA,985.81,NA,NA
2004-01-07,NA,NA,NA,971.03,NA,NA
2004-01-08,NA,NA,NA,1002.12,NA,NA
2004-01-09,NA,NA,NA,1003.77,NA,NA
2004-01-12,NA,NA,NA,986.77,NA,NA
2004-01-13,NA,NA,NA,991.98,NA,NA
2004-01-14,NA,NA,NA,1003.96,NA,NA
2004-01-15,NA,NA,NA,995,NA,NA
2004-01-16,NA,NA,NA,964.29,NA,NA
2004-01-19,NA,NA,NA,963.5,NA,NA
2004-01-20,NA,NA,NA,948.59,NA,NA
2004-01-21,NA,NA,NA,877.17,NA,NA
2004-01-22,NA,NA,NA,849.48,NA,NA
2004-01-23,NA,NA,NA,895.59,NA,NA
2004-01-27,NA,NA,NA,922.94,NA,NA
2004-01-28,NA,NA,NA,903.34,NA,NA
2004-01-29,NA,NA,NA,899.02,NA,NA
2004-01-30,NA,NA,NA,874.16,NA,NA
2004-02-03,NA,NA,NA,821.16,NA,NA
2004-02-04,NA,NA,NA,835.84,NA,NA
2004-02-05,NA,NA,NA,837.69,NA,NA
2004-02-06,NA,NA,NA,837.71,NA,NA
2004-02-09,NA,NA,NA,858.19,NA,NA
2004-02-10,NA,NA,NA,858.86,NA,NA
2004-02-11,NA,NA,NA,861.4,NA,NA
2004-02-12,NA,NA,NA,864.07,NA,NA
2004-02-13,NA,NA,NA,886.71,NA,NA
2004-02-16,NA,NA,NA,902.73,NA,NA
2004-02-17,NA,NA,NA,899.58,NA,NA
2004-02-18,NA,NA,NA,897.73,NA,NA
2004-02-19,NA,NA,NA,870.39,NA,NA
2004-02-20,NA,NA,NA,866.72,NA,NA
2004-02-23,NA,NA,NA,848.67,NA,NA
2004-02-24,NA,NA,NA,851.57,NA,NA
2004-02-25,NA,NA,NA,839.35,NA,NA
2004-02-26,NA,NA,NA,834.58,NA,NA
2004-02-27,NA,NA,NA,832.06,NA,NA
2004-03-01,NA,NA,NA,846.25,NA,NA
2004-03-03,NA,NA,NA,847.46,NA,NA
2004-03-04,NA,NA,NA,841.67,NA,NA
2004-03-05,NA,NA,NA,847.47,NA,NA
2004-03-08,NA,NA,NA,855.65,NA,NA
2004-03-09,NA,NA,NA,846.53,NA,NA
2004-03-10,NA,NA,NA,842.11,NA,NA
2004-03-11,NA,NA,NA,833.51,NA,NA
2004-03-12,NA,NA,NA,830.6,NA,NA
2004-03-15,NA,NA,NA,811.96,NA,NA
2004-03-16,NA,NA,NA,793.8,NA,NA
2004-03-17,NA,NA,NA,798.13,NA,NA
2004-03-18,NA,NA,NA,785.35,NA,NA
2004-03-19,NA,NA,NA,781.43,NA,NA
2004-03-22,NA,NA,NA,752.06,NA,NA
2004-03-23,NA,NA,NA,744.51,NA,NA
2004-03-24,NA,NA,NA,744.56,NA,NA
2004-03-25,NA,NA,NA,759.82,NA,NA
2004-03-26,NA,NA,NA,780.97,NA,NA
2004-03-29,NA,NA,NA,793.91,NA,NA
2004-03-30,NA,NA,NA,809.78,NA,NA
2004-03-31,NA,NA,NA,817.97,NA,NA
2004-04-01,NA,NA,NA,844.3,NA,NA
2004-04-02,NA,NA,NA,853.09,NA,NA
2004-04-05,NA,NA,NA,863.83,NA,NA
2004-04-06,NA,NA,NA,854.44,NA,NA
2004-04-07,NA,NA,NA,853.11,NA,NA
2004-04-08,NA,NA,NA,859.9,NA,NA
2004-04-12,NA,NA,NA,866.3,NA,NA
2004-04-13,NA,NA,NA,874.27,NA,NA
2004-04-15,NA,NA,NA,885.74,NA,NA
2004-04-16,NA,NA,NA,899.47,NA,NA
2004-04-17,NA,NA,NA,913.83,NA,NA
2004-04-19,NA,NA,NA,898.95,NA,NA
2004-04-20,NA,NA,NA,894.64,NA,NA
2004-04-21,NA,NA,NA,909.77,NA,NA
2004-04-22,NA,NA,NA,924.67,NA,NA
2004-04-23,NA,NA,NA,929.19,NA,NA
2004-04-27,NA,NA,NA,883.22,NA,NA
2004-04-28,NA,NA,NA,887.05,NA,NA
2004-04-29,NA,NA,NA,893.29,NA,NA
2004-04-30,NA,NA,NA,890.89,NA,NA
2004-05-03,NA,NA,NA,870.49,NA,NA
2004-05-04,NA,NA,NA,896.09,NA,NA
2004-05-05,NA,NA,NA,906.11,NA,NA
2004-05-06,NA,NA,NA,922.81,NA,NA
2004-05-07,NA,NA,NA,913.68,NA,NA
2004-05-10,NA,NA,NA,901.07,NA,NA
2004-05-11,NA,NA,NA,860.98,NA,NA
2004-05-12,NA,NA,NA,873.55,NA,NA
2004-05-13,NA,NA,NA,877.57,NA,NA
2004-05-14,NA,NA,NA,808.44,NA,NA
2004-05-17,NA,NA,NA,718.8,NA,NA
2004-05-18,NA,NA,NA,771.81,NA,NA
2004-05-19,NA,NA,NA,806.15,NA,NA
2004-05-20,NA,NA,NA,813.02,NA,NA
2004-05-21,NA,NA,NA,807.75,NA,NA
2004-05-24,NA,NA,NA,837.06,NA,NA
2004-05-25,NA,NA,NA,834.79,NA,NA
2004-05-26,NA,NA,NA,839.46,NA,NA
2004-05-27,NA,NA,NA,832.87,NA,NA
2004-05-28,NA,NA,NA,801,NA,NA
2004-05-31,NA,NA,NA,774.45,NA,NA
2004-06-01,NA,NA,NA,782.66,NA,NA
2004-06-02,NA,NA,NA,787.18,NA,NA
2004-06-03,NA,NA,NA,777.97,NA,NA
2004-06-04,NA,NA,NA,776.34,NA,NA
2004-06-07,NA,NA,NA,785.15,NA,NA
2004-06-08,NA,NA,NA,786.49,NA,NA
2004-06-09,NA,NA,NA,792.84,NA,NA
2004-06-10,NA,NA,NA,798.16,NA,NA
2004-06-11,NA,NA,NA,792.02,NA,NA
2004-06-14,NA,NA,NA,771.01,NA,NA
2004-06-15,NA,NA,NA,777.66,NA,NA
2004-06-16,NA,NA,NA,777.84,NA,NA
2004-06-17,NA,NA,NA,780.08,NA,NA
2004-06-18,NA,NA,NA,778.25,NA,NA
2004-06-21,NA,NA,NA,770.41,NA,NA
2004-06-22,NA,NA,NA,763.03,NA,NA
2004-06-23,NA,NA,NA,743.88,NA,NA
2004-06-24,NA,NA,NA,742.77,NA,NA
2004-06-25,NA,NA,NA,759.67,NA,NA
2004-06-28,NA,NA,NA,780.09,NA,NA
2004-06-29,NA,NA,NA,784.51,NA,NA
2004-06-30,NA,NA,NA,786.47,NA,NA
2004-07-01,NA,NA,NA,796.91,NA,NA
2004-07-02,NA,NA,NA,799.97,NA,NA
2004-07-05,NA,NA,NA,795.34,NA,NA
2004-07-06,NA,NA,NA,801.32,NA,NA
2004-07-07,NA,NA,NA,804.74,NA,NA
2004-07-08,NA,NA,NA,776.74,NA,NA
2004-07-09,NA,NA,NA,794.73,NA,NA
2004-07-12,NA,NA,NA,805.79,NA,NA
2004-07-13,NA,NA,NA,803.08,NA,NA
