"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2004-08-30",162,199.4,150.25,193.1,194.6,3498191,6591.88
"2004-08-31",192,192.85,185.2,186.35,186.9,684153,1286.96
"2004-09-01",187.35,190,181.35,181.8,182.25,398793,740.98
"2004-09-02",184,186.75,176.15,177.75,177.3,348771,634.19
"2004-09-03",178,182,176.55,177.2,177.25,276982,496.11
"2004-09-06",178.95,180.1,171.65,172.45,172.2,276887,483.72
"2004-09-07",173.75,175.9,172,173.95,173.3,196484,341.47
"2004-09-08",174,174.7,170.35,171.25,171.05,131703,226.86
"2004-09-09",172.4,172.8,166.25,166.45,166.95,148246,250.64
"2004-09-10",168.4,170.9,165,169.7,168.95,183095,309.36
"2004-09-13",169,183.75,169,179.25,179.2,597023,1066.62
"2004-09-14",180,183.95,177,179.8,180.15,313849,567.78
"2004-09-15",181.4,181.8,175,176.45,176.25,182486,325.01
"2004-09-16",170.1,176.5,170.1,172,171.8,160770,277.6
"2004-09-17",173.95,173.95,172,172.5,172.4,95335,164.78
"2004-09-20",175,175,171,171.5,171.25,57695,99.18
"2004-09-21",171.9,174.9,171.3,173,173.3,103328,178.98
"2004-09-22",173,175.5,172,172.5,172.5,103062,179.1
"2004-09-23",171,172.3,168.35,168.55,168.8,86052,146.45
"2004-09-24",166.5,169.7,166.25,167.05,167,73490,123.66
"2004-09-27",168.5,169,166.2,167.35,167.05,38104,63.87
"2004-09-28",169,169,164,164,164.25,55736,92.34
"2004-09-29",166,167.6,163.55,165.15,165.05,50576,83.62
"2004-09-30",169,169,166,166.1,166.65,71485,119.75
"2004-10-01",166.5,168.75,165,167.65,167.75,63757,106.75
"2004-10-04",169.9,173.9,168,168.5,168.3,81702,138.89
"2004-10-05",169.1,172.35,168.65,169.25,169.4,87757,149.47
"2004-10-06",168,175,168,168.55,169.3,169783,290.96
"2004-10-07",171,171,168.2,169.5,168.95,50003,84.82
"2004-10-08",168.5,173.3,168.5,169.8,169.95,118980,203.3
"2004-10-09",170.95,171.65,170.1,171.1,171.15,31800,54.36
"2004-10-11",180,180,168.2,169.25,168.65,77799,133.4
"2004-10-12",171.8,172,166.1,167.2,166.75,53162,89.52
"2004-10-14",167,171,166.4,168.5,169.55,85699,145.29
"2004-10-15",170.5,173,166.15,166.7,166.65,79132,134.28
"2004-10-18",170,170,164.5,164.5,165,41687,69.47
"2004-10-19",167.95,167.95,162.6,163.25,163,54846,90.13
"2004-10-20",164.05,165,162,164.5,164.05,46969,76.74
