"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2008-09-18",928,930,780,911.9,917.2,37544,334.69
"2008-09-19",965,991,930,980,976.85,38774,373
"2008-09-22",980.1,990,925.5,927.9,933.3,23361,222.86
"2008-09-23",925,941.95,906,910,911.15,31840,295.87
"2008-09-24",875,930,875,886.25,893.75,33423,302.93
"2008-09-25",905,910,823.1,825,836.55,91733,776.41
"2008-09-26",828,836.7,781.1,785,794.55,55446,450.02
"2008-09-29",790,790,731.95,760.1,765.05,47724,358.01
"2008-09-30",725,814,700.55,774,770.2,55829,435.17
"2008-10-01",774,790,755.05,771,773.15,54653,424.47
"2008-10-03",771,780,695,705,702.45,48445,351.24
"2008-10-06",691,691,621.05,646,634.65,42471,273.95
"2008-10-07",640,670,606.05,628.5,622.5,28246,177.9
"2008-10-08",570,600,540,565,563.1,49863,284.47
"2008-10-10",560,560,455.05,518,504.55,68684,337.84
"2008-10-13",531,549.9,520,538.2,538.3,31127,167.27
"2008-10-14",560,591,520.25,533,536,58871,322.19
"2008-10-15",525,525,485.1,488.5,491.85,24644,124.59
"2008-10-16",405,488,405,471.35,468.45,86620,388.52
"2008-10-17",475.5,510,422,425.15,431.1,60497,282.85
"2008-10-20",432,475,425,450,445.7,101944,452.06
"2008-10-21",451,494,429.7,485,488.45,83817,396.87
"2008-10-22",482,497,450.25,470.1,468.55,40734,191.96
"2008-10-23",442,509.5,442,489,486.55,44249,213.12
"2008-10-24",476.8,479,414,421,433.2,21875,98.42
"2008-10-27",427,515,405.05,477,473.3,65003,288.26
"2008-10-28",529,529,491,524.65,517.15,18020,92.02
"2008-10-29",530,591,521,557.9,553.5,146173,812.64
"2008-10-31",598,620,565,615,607.6,60660,362.39
"2008-11-03",640,640,586.3,590.65,598.65,49489,301.47
"2008-11-04",600,630,571.1,620.1,621.4,55744,338.85
"2008-11-05",635,658.9,585.15,594.5,607.2,70422,444.01
"2008-11-06",585,648.95,581.3,625,623.1,47730,295.07
"2008-11-07",610.6,629,590.1,599.9,594,28975,176.25
"2008-11-10",599,627,599,610,611.4,19901,121.91
"2008-11-11",599.15,630,552.1,558,567.8,42555,252.29
"2008-11-12",555,581,544,553.1,555.75,17717,100.42
