"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2009-09-30",1096,1156.7,1090,1135,1141.2,19748012,223877.07
"2009-10-01",1102,1173.7,1102,1167,1166.35,3074254,35463.78
"2009-10-05",1152,1165.9,1136.6,1143,1140.55,919832,10581.13
"2009-10-06",1149.8,1157.2,1132.1,1143.3,1144.9,627957,7185.9
"2009-10-07",1153.8,1160.7,1140,1141.45,1141.6,698216,8032.98
"2009-10-08",1145,1179.8,1142,1178.1,1170.2,788173,9138.99
"2009-10-09",1176,1210,1165,1183,1195.65,1047417,12449.44
"2009-10-12",1184,1210,1176,1193,1195.7,464697,5551.35
"2009-10-14",1198,1227.75,1185,1192.5,1190.45,581221,7015.84
"2009-10-15",1198,1204.9,1180.05,1184.9,1184.55,301790,3593.52
"2009-10-16",1188.65,1203,1182,1191.1,1191,313011,3735.12
"2009-10-17",1240,1240,1180,1189.1,1189.8,35143,418.95
"2009-10-20",1196,1203.5,1172,1174,1177.85,156941,1861.75
"2009-10-21",1184,1194,1157,1166,1166.1,309098,3657.14
"2009-10-22",1165,1184.4,1158,1168,1164.95,338413,3973.97
"2009-10-23",1174.9,1179.45,1161.2,1165,1164.7,216929,2538.68
"2009-10-26",1151.3,1175,1145,1158,1156.4,209553,2423.58
"2009-10-27",1150.05,1150.05,1114.2,1140,1140.35,407594,4635.23
"2009-10-28",1141,1141,1111,1130.2,1130.2,243141,2745.53
"2009-10-29",1125.25,1137.9,1115.1,1132,1132.25,65246,736.8
"2009-10-30",1145,1145,1110,1111.9,1120.6,117100,1325.22
"2009-11-03",1102,1127.5,1102,1120.95,1120,179969,2013.91
"2009-11-04",1124.9,1159,1120,1150.5,1150.85,284546,3248.87
"2009-11-05",1127,1154,1127,1153,1148.9,49813,568.75
"2009-11-06",1155,1168.55,1146.25,1160,1156.5,295089,3421.96
"2009-11-09",1150.05,1167,1150.05,1160.05,1165.05,93970,1090.62
"2009-11-10",1157,1169.9,1142,1149,1147.75,286131,3301.75
"2009-11-11",1147,1191,1145.4,1173.05,1181.35,325326,3788.43
"2009-11-12",1190,1193,1170,1185,1182.6,143567,1698.72
"2009-11-13",1175,1223.7,1168,1189,1194.45,440047,5277.68
"2009-11-16",1200,1205,1183.25,1200,1200.55,114113,1368.8
"2009-11-17",1200,1209,1195,1205,1204.55,104357,1255.66
"2009-11-18",1202,1220.9,1199,1210,1210.95,153001,1851.45
"2009-11-19",1210,1220.1,1201.1,1211,1216.95,83081,1007.55
"2009-11-20",1214.1,1217,1202,1210,1213.15,218820,2655.85
"2009-11-23",1210,1217.4,1206,1209,1209.9,42584,515.66
"2009-11-24",1229.9,1229.9,1190,1200,1200.6,36517,437.93
"2009-11-25",1198.2,1263.45,1190,1244,1246.65,725321,8880.14
"2009-11-26",1242,1246,1236,1242,1242.4,134899,1675.25
"2009-11-27",1239.9,1254,1212,1235,1243.3,171900,2126.6
"2009-11-30",1245.5,1288.8,1245,1288,1271.9,175633,2216.74
"2009-12-01",1280,1343.8,1275,1319.9,1323.15,344503,4499.97
"2009-12-02",1333.5,1374,1250.25,1346.9,1348.3,284901,3845.73
"2009-12-03",1351.7,1359,1281,1283,1292.2,310227,4053.23
"2009-12-04",1300,1309.9,1251.75,1256.5,1255.35,173346,2196.82
"2009-12-07",1261,1280.5,1251,1271.95,1276.05,76784,977
"2009-12-08",1275,1285,1262,1267.95,1268.2,44266,563.6
"2009-12-09",1264.1,1285,1246.25,1247,1249.1,64014,808.13
"2009-12-10",1245,1255,1222.25,1239,1237.55,128698,1586.91
"2009-12-11",1247.9,1254,1231,1241,1241.6,36703,456.27
"2009-12-14",1249.8,1256,1211,1240,1240.05,33757,419
"2009-12-15",1245,1249.8,1200,1240,1240.15,236248,2928.67
"2009-12-16",1240,1255,1230.25,1237,1235.55,19460,241.86
"2009-12-17",1244,1244,1235,1240,1238.55,66167,819.27
"2009-12-18",1236,1269,1230.3,1255.1,1251.85,45635,573.68
"2009-12-21",1252.25,1259,1222.25,1227,1233.05,33216,412.3
"2009-12-22",1240,1240,1220,1230,1230.4,31655,389.12
"2009-12-23",1230.4,1255,1230,1240,1242.15,32708,408.51
"2009-12-24",1248.95,1257.9,1245.1,1250.25,1252.15,20814,260.37
"2009-12-29",1254,1271.9,1245.3,1270,1263.9,157968,1997.3
"2009-12-30",1264,1269.9,1230,1239.8,1241.25,24049,301.06
"2009-12-31",1263,1265,1239,1241,1241.9,24639,306.65
"2010-01-04",1259.9,1259.9,1235,1242.5,1240.3,41769,519.53
"2010-01-05",1259.55,1265,1237.05,1249.9,1250.55,129799,1616
"2010-01-06",1255.1,1268,1242.5,1250,1248.8,63129,790.45
"2010-01-07",1246.1,1255,1231.3,1241.5,1241.4,36209,451.02
"2010-01-08",1248.9,1268,1230,1265,1262.95,64337,807.72
"2010-01-11",1267,1274.7,1250,1256.05,1259.75,54451,686.14
"2010-01-12",1260,1265,1234.95,1239,1240.05,36010,449.54
"2010-01-13",1226.3,1259,1226.3,1249.95,1245.65,31814,395.31
"2010-01-14",1250.1,1270,1248,1255,1259.05,96901,1222.13
"2010-01-15",1255,1267.95,1240,1242,1240.5,36573,455.28
"2010-01-18",1250,1250,1227,1235.1,1233.6,37890,469.39
"2010-01-19",1239.7,1242.55,1226,1228,1228.35,19680,243.05
"2010-01-20",1235,1247.35,1217.05,1220,1220.1,29826,367.33
"2010-01-21",1227.6,1237,1191,1199,1198.15,43326,524.13
"2010-01-22",1190,1198,1160,1190,1192.25,110104,1306.5
"2010-01-25",1190.1,1191.5,1167.15,1190,1184.4,72505,851.1
"2010-01-27",1184.4,1190,1166.2,1172.05,1170.5,54098,638.71
"2010-01-28",1175,1215.6,1162.15,1165,1169.4,140230,1662.94
"2010-01-29",1172.1,1172.1,1117,1125,1122.2,116076,1312.94
"2010-02-01",1125,1154,1125,1146.4,1145.7,178368,2035.77
"2010-02-02",1150,1165,1150,1161.6,1160.4,86896,1008.01
"2010-02-03",1166,1197,1166,1190.55,1191.45,148002,1753.27
"2010-02-04",1194,1238.6,1175.6,1175.6,1185.95,164218,1959.51
"2010-02-05",1170,1170,1152,1162,1161.85,53140,617.47
"2010-02-06",1165,1175,1160.05,1174,1170.2,7721,90.28
"2010-02-08",1152.3,1172,1150,1158,1155,36319,420.02
"2010-02-09",1154.3,1191,1150,1188,1187.05,46606,550.18
"2010-02-10",1180.3,1185,1161.4,1166,1166.8,27007,317.64
"2010-02-11",1175,1175,1160,1161.9,1164.3,12727,148.6
"2010-02-15",1165,1169.1,1141.25,1145,1147.45,72336,831.78
"2010-02-16",1145,1157,1144.25,1147.25,1149.45,39360,452.57
"2010-02-17",1157,1169.95,1138.85,1141,1144.9,155228,1780.96
"2010-02-18",1150,1156,1145.15,1147,1148.05,26585,305.83
"2010-02-19",1132,1153.65,1132,1150,1147.55,78275,896.93
"2010-02-22",1151,1165,1146.25,1146.55,1147.3,16439,189.77
"2010-02-23",1131.5,1154,1131.5,1145,1136.7,24412,278.81
"2010-02-24",1138.05,1165,1133,1142,1146.6,18255,208.77
"2010-02-25",1152,1159,1143.15,1155,1152.4,13464,154.75
"2010-02-26",1155,1165,1147,1150.2,1157.9,51024,590.89
"2010-03-02",1160.1,1160.1,1135,1142.1,1138.45,60927,694.9
"2010-03-03",1140,1178,1137.95,1165,1149.35,287125,3289.26
"2010-03-04",1150,1163.8,1135,1140,1140.15,415723,4740.24
"2010-03-05",1156.6,1156.6,1129.5,1137.4,1139.5,137559,1567.05
"2010-03-08",1152.8,1153.8,1130,1135,1133.35,378523,4299
"2010-03-09",1133,1140,1120,1123,1121.85,269582,3032.64
"2010-03-10",1140,1148,1121,1126,1125.45,49961,563.43
"2010-03-11",1127,1135,1121.15,1131,1131,27167,306.27
"2010-03-12",1128,1138,1125.1,1127,1126.95,78785,893.42
"2010-03-15",1127,1145.5,1118,1135,1136.8,148546,1682.62
"2010-03-16",1130.1,1152,1127.05,1143.2,1140.65,308703,3520.38
"2010-03-17",1141,1148.85,1115,1117,1116.55,69041,779.8
"2010-03-18",1117,1133.3,1115.2,1118.5,1117.8,43590,489.77
"2010-03-19",1110.1,1124.9,1106,1109.8,1111.85,150440,1677.01
"2010-03-22",1110,1110,1101.1,1107,1106.45,142867,1578.94
"2010-03-23",1119,1124,1100.25,1108.95,1108.35,67778,754.9
"2010-03-25",1112,1120.95,1110.3,1115.5,1118.35,186416,2085.82
"2010-03-26",1120.1,1135.25,1112.1,1125.05,1128.6,53058,596.88
"2010-03-29",1118.05,1145.5,1118,1145,1142.85,64636,736.26
"2010-03-30",1148.3,1158,1140,1157,1155.75,43625,502.47
"2010-03-31",1152.25,1165,1115,1155,1154.75,72053,832.13
"2010-04-01",1131,1164,1131,1146.7,1149.95,84145,973.53
"2010-04-05",1135,1157.25,1131.3,1149.3,1155.05,141240,1628.43
"2010-04-06",1155,1168.05,1150,1151,1152.45,52446,609.63
"2010-04-07",1162.95,1165,1145,1147.25,1149.15,62676,722.63
"2010-04-08",1146.3,1156,1142.05,1150,1149.1,101108,1162.94
"2010-04-09",1150,1152,1140,1150,1146.95,85349,980.58
"2010-04-12",1132,1148.25,1119,1123,1126.5,144683,1632.34
"2010-04-13",1126,1144,1123.1,1144,1142.1,33784,383.98
"2010-04-15",1145.5,1151.8,1136.05,1150,1145.95,203767,2342
"2010-04-16",1120.1,1152,1120.1,1147.8,1140.8,87683,995.5
"2010-04-19",1140,1140,1115,1118.5,1118.15,27088,303.12
"2010-04-20",1117.5,1131.95,1111.25,1119,1117.7,72241,807.42
"2010-04-21",1120,1149,1120,1138,1138.8,43893,498.38
"2010-04-22",1145,1149,1122.5,1124.25,1125.55,24835,282.14
"2010-04-23",1148,1148,1111,1126,1123.6,114339,1279.95
"2010-04-26",1120,1140,1047.6,1121.55,1120.3,21465,241.26
"2010-04-27",1132.8,1138.05,1120.3,1131.2,1132.05,16272,184.35
"2010-04-28",1125,1136.8,1115,1123,1121.6,12350,138.6
"2010-04-29",1120,1129,1120,1123,1122.1,6109,68.57
"2010-04-30",1132,1132,1113,1117,1117.2,38842,433.89
"2010-05-03",1111,1127.7,1106.2,1122.25,1119.3,12864,143.64
"2010-05-04",1128.9,1134,1116.85,1125.05,1125.15,65846,740.38
"2010-05-05",1106,1124.9,1106,1123.5,1121.95,17513,195.88
"2010-05-06",1120,1160,1118,1143,1141.95,757863,8639.12
"2010-05-07",1135,1155,1122,1125,1128.7,43714,498.54
"2010-05-10",1127,1140,1125.85,1130,1129.85,20215,228.85
"2010-05-11",1134.9,1140,1120,1130,1136.1,21793,246.05
"2010-05-12",1130,1168.95,1125,1167,1164.15,209248,2409.49
"2010-05-13",1165,1173,1150.05,1165.8,1167.8,22974,267.94
"2010-05-14",1195,1195,1150.1,1173.05,1176.1,67081,785.72
"2010-05-17",1158.9,1182,1147.75,1170,1173.85,59510,696.68
"2010-05-18",1170,1177,1164.15,1175,1171.35,14441,169.14
"2010-05-19",1169.8,1171,1136.85,1165,1162.7,17622,204.28
"2010-05-20",1220.8,1270,1220.8,1260.65,1259.75,550559,6868.98
"2010-05-21",1225,1275,1200,1266,1253.55,503039,6196.72
"2010-05-24",1245.15,1299,1219,1225,1227.35,23667,293.04
"2010-05-25",1201.1,1241,1201.1,1229,1235.65,147944,1797.21
"2010-05-26",1247,1252.6,1222.1,1240,1238,59942,742.27
"2010-05-27",1265,1278,1247.85,1254,1266,105235,1328.67
"2010-05-28",1267.9,1270,1246.05,1263,1258.95,24935,313.68
"2010-05-31",1260,1272,1250,1265,1264.4,95124,1203.11
"2010-06-01",1270,1270,1260,1266,1265.8,40692,515.03
"2010-06-02",1260,1280.9,1260,1277,1276.65,251129,3201.54
"2010-06-03",1289.45,1324,1253,1314,1314.3,100694,1308.65
"2010-06-04",1325,1350,1276.55,1317,1298.6,137020,1806.18
"2010-06-07",1285,1315,1240.1,1270,1271.1,217615,2786.72
"2010-06-08",1255.95,1284,1241.5,1276.7,1271.55,31340,395.26
"2010-06-09",1265,1325,1255,1289,1303.6,279889,3632.62
"2010-06-10",1299,1314.95,1285.3,1287,1296.3,44648,580.31
"2010-06-11",1290.6,1308,1270,1278,1280.45,134019,1740.53
"2010-06-14",1273.2,1350,1255,1349,1344,277317,3578.12
"2010-06-15",1344,1344,1284,1286,1288.3,62335,816.04
"2010-06-16",1290.1,1305,1260,1261,1267.35,68366,873.99
"2010-06-17",1260.2,1290,1254.05,1260,1266.25,46335,588.36
"2010-06-18",1260.25,1279.6,1256.05,1262,1266.85,27207,344.63
"2010-06-21",1275,1290,1262,1267,1265.45,47171,601.95
"2010-06-22",1262,1307.95,1262,1278.5,1279.35,60860,782.51
"2010-06-23",1279.35,1313,1279.35,1298.85,1298.55,51734,673.38
"2010-06-24",1300,1312.5,1286,1302.9,1304.8,74610,973.68
"2010-06-25",1310,1393,1294,1345,1359.65,511865,6934.67
"2010-06-28",1370,1560,1340.1,1380.25,1380.85,2215874,32201.85
"2010-06-29",1389,1443.3,1366,1427.3,1430.85,1105877,15676.66
"2010-06-30",1405.5,1477.3,1401.55,1443,1442.4,1036529,15029.46
"2010-07-01",1434,1475,1430.05,1436,1443.45,649888,9467.94
"2010-07-02",1448.8,1477,1411,1416,1429.65,214442,3118.24
"2010-07-05",1444,1444,1405,1416.1,1410.9,101812,1446.48
"2010-07-06",1411,1431,1405,1427,1423.9,144896,2058.16
"2010-07-07",1427,1429.7,1391.2,1394,1395.85,123398,1739.41
"2010-07-08",1410,1442,1397,1398,1406.6,181848,2587.82
"2010-07-09",1418,1427.7,1382,1386.1,1387.4,167416,2349.05
"2010-07-12",1398.9,1404,1355,1362,1362.6,143284,1976.95
"2010-07-13",1363.95,1400,1332.1,1372,1373.8,121469,1677.39
"2010-07-14",1376.1,1400,1345.1,1362,1356.65,264044,3608.55
"2010-07-15",1370,1370.75,1315.5,1360,1345.8,170251,2284.56
"2010-07-16",1340,1363,1336.1,1350,1349.75,210144,2838.29
"2010-07-19",1344,1353.8,1330,1332.8,1333.85,149528,2001.78
"2010-07-20",1347,1347,1327,1332,1335.45,123409,1648.87
"2010-07-21",1342.8,1349,1325,1335,1334.55,96010,1282.94
"2010-07-22",1339.8,1340,1326.1,1328.1,1338.3,51728,690.28
"2010-07-23",1340,1362,1334,1351.4,1352.2,183931,2473.03
