"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",245.65,245.65,240.1,NA,NA,NA,NA
"1998-03-24",247.95,256.5,241.9,250.25,250.2,15800,39.26
"1998-03-25",255,275.25,255,275.25,275.25,20400,54.75
"1998-03-26",290,290,268.75,272,272.65,18700,52.13
"1998-03-27",268.95,275.5,268.95,274.9,274.7,5900,16.12
"1998-03-30",277,281.95,265,265,266.45,8400,22.87
"1998-03-31",263,280,259.15,280,275.65,36900,98.59
"1998-04-01",280,284.9,275,279,280,28100,78.36
"1998-04-02",283.9,300,280,281,281,36600,105.67
"1998-04-03",283,284,278.1,281.55,281.8,9100,25.58
"1998-04-06",279,285,270,283.85,283.1,20100,56.4
"1998-04-07",281.15,295,279.3,295,291.5,55300,159.15
"1998-04-09",303,320.65,300.5,320.65,320.15,54800,171.7
"1998-04-10",315,330,310,311,310.35,26700,84.49
"1998-04-13",302.5,308,286.5,293,289.9,31000,91.26
"1998-04-15",309.5,317.9,302.2,304.9,304.45,19900,61.05
"1998-04-16",311,311,297.05,298,298.55,9000,27.12
"1998-04-17",297,297,287.2,294.1,292.25,11200,32.84
"1998-04-20",290.05,298,290,296.2,296.15,16900,49.7
"1998-04-21",294.45,294.45,280,287,289.15,28500,82.46
"1998-04-22",297,297,285.5,285.5,285.5,9700,28.26
"1998-04-23",283,286,276,279.4,278.15,5000,14.05
"1998-04-24",271,273,262.3,269,271.35,5100,13.69
"1998-04-27",268,274,266.35,270,270.3,6100,16.43
"1998-04-28",268.9,273,264,265,268.55,20900,56.39
"1998-04-29",275.8,275.9,268.5,268.5,269.85,7400,20.07
"1998-04-30",269.4,275,268.05,273,273,4600,12.45
"1998-05-04",274.9,281.5,265,272.75,272.75,8200,22.65
"1998-05-05",274.95,285,272.8,280,281.65,11100,30.94
"1998-05-06",283.9,283.9,278.5,281.05,280.75,15800,44.27
"1998-05-08",279.9,280,275.25,280,278.4,5800,16.1
"1998-05-11",285,286,277.55,279.25,279.25,5700,16.06
"1998-05-12",279,279.05,267.25,270,270.95,11600,31.58
"1998-05-13",268,268,261.15,264.05,264.05,8600,22.74
"1998-05-14",261.25,262.9,245,259.9,258.75,9700,24.76
"1998-05-15",260,264,257,263.1,263,5600,14.64
"1998-05-18",263,265,262,262,264.2,201800,533.79
"1998-05-19",261.55,262.95,257,259,259,9900,25.69
"1998-05-20",265,266,260,262.5,263.6,4700,12.4
"1998-05-21",260.15,265,260.15,262,262.95,34400,90.52
"1998-05-22",263.5,264,260,262,262.35,11500,30.18
"1998-05-25",261,262,256.05,260,260,9400,24.46
"1998-05-26",262,262,251.25,255,255.3,26300,68.73
"1998-05-27",260,260,252.3,252.35,252.65,3600,9.17
"1998-05-28",251.15,260,247,257.05,257.45,3300,8.42
"1998-05-29",251,256,247.1,255.75,255.75,4300,10.88
"1998-06-01",255.25,263.45,249.9,249.9,249.9,8100,20.97
"1998-06-02",245,251.4,231,231,233.45,4500,10.88
"1998-06-03",244,245,241.25,244.45,243.85,3100,7.52
"1998-06-04",241,247.75,240,243.65,244.8,2100,5.13
"1998-06-05",240,240.95,221.5,221.5,228.6,4900,11.52
"1998-06-08",221,221,206,208.95,208.05,4200,8.83
"1998-06-09",210,211,207,208.5,208.15,7800,16.29
"1998-06-10",210,213.95,208,208,208,4300,9.04
"1998-06-11",196,204.5,193.1,204.5,204.3,2600,5.23
"1998-06-12",208.05,214,206.25,209.3,209.15,4700,9.87
"1998-06-15",208.75,208.95,200.5,200.5,200.55,3700,7.51
"1998-06-16",196.5,196.5,188.15,188.6,190.4,5200,10.04
"1998-06-17",199,203,199,199,199.9,5500,11.04
"1998-06-18",202,207,195.5,200,197.4,6100,12.27
"1998-06-19",195,195,186.55,190,191.1,5300,10.2
"1998-06-22",180,190,180,189,189.15,17900,33.66
"1998-06-23",183,186,175.1,175.1,179.85,20800,38.04
"1998-06-24",185,189.65,185,188,187.8,26400,49.47
"1998-06-25",193,194.9,189.05,190,190,20100,38.26
"1998-06-26",190.05,206.5,188,195,195.7,31300,61.46
"1998-06-29",200,200,191,191,193.8,40100,79.26
"1998-06-30",195.95,195.95,174.5,176.9,178.05,24200,44.1
"1998-07-01",178,182.8,177,179,179.9,25500,45.92
"1998-07-02",181.95,181.95,175,181.8,178.1,8700,15.58
"1998-07-03",177,178.5,175,175.05,175.85,7900,13.92
"1998-07-06",177.5,179.95,177,179,178.65,4800,8.54
"1998-07-07",178.9,180.5,174,175.5,176.55,34400,61.27
"1998-07-08",181.5,190.65,180.6,190.65,190.6,6300,11.75
"1998-07-09",192,198.85,190,191.95,191.05,6700,12.95
"1998-07-10",192,194.95,189.8,189.8,190,12300,23.43
"1998-07-13",188.15,191.9,186.5,186.5,186.5,4100,7.77
"1998-07-14",186,186,180,180.5,181,4600,8.37
"1998-07-15",183,185,175,178.75,176.1,20200,36.56
"1998-07-16",178,180.95,176.55,176.95,177,14400,25.61
"1998-07-17",179.85,182.5,177,180.3,180.3,87200,156.99
