"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2007-03-16,329,339,261.1,268,271.8,5111102,14387.63
2007-03-19,281.7,282.8,264.2,269.65,268.5,1768371,4873.72
2007-03-20,272,276,256.9,259.25,259.25,636655,1695.77
2007-03-21,260.1,262,245.8,247.2,248.45,469142,1189.39
2007-03-22,251.6,254,242.15,242.15,244.8,427544,1060.34
2007-03-23,244.1,293.8,240,293.8,293.8,1516769,4148.51
2007-03-26,310,338,296.5,300,300.4,3240966,10153.64
2007-03-28,298.9,311.95,273.1,294.6,298.2,2079439,6115.37
2007-03-29,295.1,314.8,295,304,302.4,1716241,5252.68
2007-03-30,308,309.3,294.05,295,296.6,578000,1746.02
2007-04-02,290,292,275,288,284.85,266950,759.94
2007-04-03,289,300,286.55,287.5,290,435174,1275.99
2007-04-04,293.5,297.8,283,284,284.35,163908,475.41
2007-04-05,280,296.65,279.1,280.1,282.05,238839,685.2
2007-04-09,284.5,338.5,283.2,338.5,338.5,867976,2722.39
2007-04-10,350,390,327.4,331.6,331.5,2676428,9244.15
2007-04-11,333.4,347.4,322.05,335,333.45,1002426,3360.63
2007-04-12,330,339,322.1,326.4,326.55,607119,2011.69
2007-04-13,330,342.5,325.35,329,328.4,434044,1450.05
2007-04-16,332.1,389.9,331.15,361,365,2064244,7589.19
2007-04-17,362,368,335.1,342.8,339.55,1085785,3836.82
2007-04-18,343.5,392.9,340.05,363.15,366.05,2491657,9197.91
2007-04-19,355,370.9,345,360.1,361.05,960337,3477.7
2007-04-20,365.9,377.8,357.35,359.5,361.8,718160,2654.82
2007-04-23,369,374.3,353,356.2,356.35,434168,1579.18
2007-04-24,352,362,347.1,350,349.65,271669,965.59
2007-04-25,350,364,350,356.4,354.5,285461,1021.68
2007-04-26,361,363.9,345,350.25,349,196140,697.89
2007-04-27,354.75,354.75,332,334,334.45,181611,620.75
2007-04-30,339.75,343,330.1,338.1,336.95,118238,398.14
2007-05-03,342,355.6,341.25,342.15,344.45,190321,664.3
2007-05-04,345,349.85,334.5,342.95,340.1,108187,370.56
2007-05-07,347.5,361,345.05,350,346.95,290333,1023.05
2007-05-08,353.8,355.4,345,349,346.3,123273,431.28
2007-05-09,349.9,384,346,367.5,367.7,1747879,6448.24
2007-05-10,371,441.25,362.1,441.25,422.95,3303107,13343.1
2007-05-11,400,488.9,400,456,468,7354033,33537.54
2007-05-14,432.25,477.4,385,463,461.5,1983062,9185.9
2007-05-15,462,462,428.5,435,434.65,1034366,4614.05
2007-05-16,421.25,447.4,421.25,427.05,431.95,376949,1656.09
2007-05-17,449.9,457,428.15,429,434.5,407508,1807.82
2007-05-18,420.1,424,412.8,412.8,412.8,40207,166.17
2007-05-21,412,412,392.2,392.2,392.2,16628,65.3
2007-05-22,377,411.3,372.6,409,408.85,41301,156.87
2007-05-23,392.15,404.8,388.45,400,399.4,22260,87.72
2007-05-24,380,404,380,381,382.45,8279,32.06
2007-05-25,367,387,365.35,387,378.85,14661,54.81
2007-05-28,383.95,383.95,365.1,373,372.25,9137,33.87
2007-05-29,375,375,366,373.7,373.05,9339,34.67
2007-05-30,371,383,367,381,380.1,15724,59.7
2007-05-31,372,399.15,372,399.15,395.25,13856,54.25
2007-06-01,400,408,390,395,395.7,9043,35.96
2007-06-04,385,399,385,385,387.35,2004,7.87
2007-06-05,383.55,384.05,377.15,381.1,381.4,2031,7.73
2007-06-06,386.95,386.95,364.05,365.3,367.85,3577,13.3
2007-06-07,359.2,377.7,358,360,360.35,3909,14.22
2007-06-08,361.2,375,358,365,363.55,4612,16.81
2007-06-11,351.2,373.9,350,370,366.35,6008,22.12
2007-06-12,365,369.9,360,366.9,363.45,5186,18.84
2007-06-13,350,369,350,369,365.55,4142,15.06
2007-06-14,377.7,378,363.05,378,375.8,4906,18.28
2007-06-15,369,389,368,380.25,381.2,9790,37.25
2007-06-18,381,393,381,390,389.9,5863,22.82
2007-06-19,388,394.9,387,390,390.3,4060,15.85
2007-06-20,392,402,390,402,401.95,8974,35.84
2007-06-21,412,412,390,409,405.6,6923,27.97
2007-06-22,410,410.5,392,405,404.15,2367,9.49
2007-06-25,395,405,391.15,405,403.75,3911,15.67
2007-06-26,393.15,402,391,398,400,1944,7.73
2007-06-27,391.6,401,390,396,397.8,3804,15.13
2007-06-28,393,406,392.5,400.05,402.6,3535,14.23
