"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2012-09-21",477.8,477.8,465,470,471.95,115603,542.29
"2012-09-24",477.5,483.85,466.65,482.35,479.35,50565,240.07
"2012-09-25",470,493.55,467.75,470,471.1,60029,287.02
"2012-09-26",470,472,452.3,461.5,460.8,90209,416.56
"2012-09-27",461.15,474.75,457.2,459.6,459.55,107062,497.68
"2012-09-28",446,472.7,446,462.3,464.2,79856,373.02
"2012-10-01",463.95,470.55,460.05,462,462.4,34458,160.32
"2012-10-03",463.7,470.8,460.65,469,470.15,52722,245.84
"2012-10-04",474,477.5,468.5,474.95,475.75,45072,213.67
"2012-10-05",467,476.95,467,468.9,471.15,46700,220.58
"2012-10-08",460,473.95,460,471.9,470.45,34960,164.31
"2012-10-09",472.85,473.45,465.25,468.05,468.2,36459,171.07
"2012-10-10",468.75,470.95,458.75,461.65,460.15,52968,246.25
"2012-10-11",461.25,467,454,466,465.25,52638,242.81
"2012-10-12",467.2,472,461.55,467,467.15,41088,191.59
"2012-10-15",464.95,471.9,462.2,465.5,465.1,46611,217.36
"2012-10-16",468.85,470,460.15,468.5,468.15,51153,238.85
"2012-10-17",469.85,477.05,467.25,476.1,473.4,91583,432.68
"2012-10-18",467,476.85,467,470,470.5,65961,310.14
"2012-10-19",472,480,469,478.9,475.6,54034,256.08
"2012-10-22",477,492.75,475,490.45,488.9,109934,532.73
"2012-10-23",495,495,483.1,492.5,489.6,38349,187.5
"2012-10-25",494,494,480,487.7,484.6,210272,1018.77
"2012-10-26",487.5,498,479.5,495.3,495.8,71349,349.77
"2012-10-29",487.15,503.85,487.15,492.25,495,71271,354.13
"2012-10-30",495.1,500,486.45,494.2,497.05,69405,342.27
"2012-10-31",494.45,504.2,490,494.2,496.6,75914,378.38
"2012-11-01",498.95,498.95,486.35,494.25,493,63603,312.92
"2012-11-02",492.1,497.9,489,490.3,493.9,33558,165.48
"2012-11-05",494.05,499.4,475.05,490,488.15,97262,473.23
"2012-11-06",497.4,497.4,477.1,489,490.85,81087,394.51
"2012-11-07",486.05,489.95,478.5,478.5,481.5,84760,409.22
"2012-11-08",489,489,468.55,476.7,476.85,118705,564.47
"2012-11-09",471.55,489.95,465.15,469,468.95,186714,876.26
"2012-11-12",470,476.7,468.1,475.5,474.4,136885,644.1
"2012-11-13",477.9,479.35,475,479,477.3,4542,21.69
"2012-11-15",485,485,467,469.5,468.3,209854,987.25
"2012-11-16",469.1,476,469,474.8,471.45,41432,195.51
"2012-11-19",476,477,472,474.05,474.6,45002,213.52
"2012-11-20",471.15,477,470,473.05,474.6,128557,608.64
"2012-11-21",476.1,484.15,469.55,483.15,483,47921,229.97
"2012-11-22",484.95,484.95,480.05,481.5,480.95,31920,153.57
"2012-11-23",481.15,491.5,479,488.5,488.1,34268,166.2
"2012-11-26",491,496,488.15,492,492.6,101479,499.07
"2012-11-27",491.05,494.9,488.2,490.85,490.8,158688,779.02
"2012-11-29",492,500.5,488.2,500,498.15,214624,1056.39
"2012-11-30",500.9,507.95,492.05,495.5,497.9,275571,1380.72
"2012-12-03",498.35,498.35,484,496.9,495.15,149758,734.39
"2012-12-04",493.95,504.95,490,497.35,500.55,67853,337.54
"2012-12-05",505,508,501.2,506.5,506,55678,281.16
"2012-12-06",508.95,514.95,505.1,514.95,514.4,254230,1301.56
"2012-12-07",514.3,533,508.5,525.25,525.05,344345,1807.71
"2012-12-10",525.95,558,524.95,551,550.2,396056,2161.2
"2012-12-11",553.5,618,542,600.95,601.95,1691737,10170.23
"2012-12-12",609,610,559.3,569.4,569.4,687425,3923.42
"2012-12-13",573.95,589.05,564,575,573.75,250276,1442.32
"2012-12-14",579.65,579.75,550,559,556.85,113235,637.05
"2012-12-17",563.8,564.5,547.35,550,549.85,82323,455.81
"2012-12-18",543,555,533.25,538.05,541,192039,1039.1
"2012-12-19",547.85,575,538.35,569,561.8,304175,1679.26
"2012-12-20",568,578.8,558.1,570,569.5,233373,1323.71
"2012-12-21",569.95,577.85,537.65,542,542.85,319684,1778.94
"2012-12-24",544.25,548,537,544,544.35,188550,1023.46
"2012-12-26",544,562,544,550,549.4,145016,803.34
"2012-12-27",545.2,561.6,545,548.65,548.3,382047,2099.88
"2012-12-28",554.15,554.15,530,540,536.5,65250,354.32
"2012-12-31",537.5,549,516.4,521.2,521.9,88675,466.21
"2013-01-01",524.95,530,518.45,519.75,521.15,38850,204.04
"2013-01-02",522.5,532.5,522.1,526.25,523.65,38193,201.01
"2013-01-03",526.8,543,525,539,539.5,90032,480.62
"2013-01-04",539.5,564.3,529.95,560,561,170646,944.51
"2013-01-07",561,567.8,546.1,547,554.25,80014,446.67
"2013-01-08",546.9,566.7,539,561.35,563.1,142684,798.61
"2013-01-09",560.65,574.35,560.6,570.5,570.45,96950,552.69
"2013-01-10",572.05,578.8,570.3,570.8,571.4,72751,416.8
"2013-01-11",572.05,575,560.15,573.95,572.95,35512,202.77
"2013-01-14",572.95,578,551.55,574,575.2,74041,422.45
"2013-01-15",570.25,576,568,576,571.6,50240,287.07
"2013-01-16",573.4,580,561,569,564.8,29903,169.93
"2013-01-17",570,570.5,555.1,566.15,568.95,22733,128.31
"2013-01-18",572,574,561.2,569,573.75,45396,259.43
"2013-01-21",569.95,574.95,560,564.6,566.7,23585,133.58
"2013-01-22",563.05,570,558,559.2,561.55,12093,68.07
"2013-01-23",562.05,565,546.1,564.45,558.2,32519,180.33
