"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2004-03-26,17,17,12,14.65,14.65,16018474,2424.86
2004-03-29,14.75,14.95,14.5,14.65,14.65,5636059,827.03
2004-03-30,14.65,15.15,14.6,14.75,14.75,4607081,685.85
2004-03-31,14.75,15,14.65,14.75,14.7,2937356,434.53
2004-04-01,14.85,15.4,14.75,15.4,15.3,4630374,702.17
2004-04-02,15.5,17.25,15.3,17,17,18985344,3134.84
2004-04-05,17.35,20.15,17,19.1,19.1,48930279,9152
2004-04-06,19.5,20.7,18.95,19.85,19.75,33317046,6559.5
2004-04-07,19.95,20.35,19.4,19.9,20,20577175,4084.01
2004-04-08,20.1,20.1,19.4,19.7,19.7,12590516,2482.44
2004-04-12,19.9,22.1,19.75,21.1,21.1,28632420,6059.08
2004-04-13,21.4,21.45,20.15,20.85,20.8,13831626,2880.28
2004-04-15,21,21.6,20.65,21.25,21.15,12755570,2699.92
2004-04-16,21.25,22.15,21,21.9,21.9,15619155,3394.86
2004-04-17,22,25.15,22,24.9,24.8,20497964,4951.59
2004-04-19,25,26.8,24.95,25.9,25.8,35238860,9090.11
2004-04-20,25.95,26.4,24.4,24.6,24.85,21020026,5247.13
2004-04-21,24.6,25.5,24.25,25.1,25.25,13402100,3361.96
2004-04-22,25.35,25.45,24.75,24.95,24.95,8609547,2166.07
2004-04-23,25,25.55,24.05,24.4,24.3,9807034,2420.56
2004-04-27,24.35,24.45,21.05,22.1,22.15,11221186,2533.58
2004-04-28,22,23.35,21.55,23.2,23.05,13579621,3058.6
2004-04-29,23,24.05,23,23.6,23.55,10386028,2451.47
2004-04-30,23.2,24.05,23,23.15,23.15,8819136,2077.2
2004-05-03,23.15,23.25,21.7,22.25,22.3,8968077,2000.25
2004-05-04,22.5,23.6,22.5,23.45,23.3,6659151,1546.36
2004-05-05,23.6,23.85,23.2,23.65,23.65,5980683,1410.44
2004-05-06,24.5,24.65,24,24.4,24.3,6354915,1542.96
2004-05-07,24.7,24.7,23.55,23.85,24.05,7541079,1806.49
2004-05-10,23.6,24,22.5,23.9,23.9,5325152,1255.83
2004-05-11,23.25,23.45,22.5,22.55,22.6,5432367,1246.24
2004-05-12,23,23.5,22.15,23.15,23.2,8533895,1959.78
2004-05-13,22.55,24.2,21.35,23.3,23.2,10410393,2420.92
2004-05-14,23.5,23.5,20.55,21.15,21.1,9825664,2142.41
2004-05-17,20.5,20.6,16.9,20.2,20.1,9870079,1907.81
2004-05-18,20,22.1,19.3,21.9,21.85,6925063,1484.44
2004-05-19,22.15,23.7,22.15,23.65,23.55,9617625,2227.03
2004-05-20,23.75,26.5,23.5,23.6,23.6,6224376,1481.09
2004-05-21,23.5,24.55,22.5,23.65,23.65,9122803,2168.7
2004-05-24,23.95,24.25,23.6,23.6,23.65,3637424,866.56
2004-05-25,23.5,23.95,21.15,23.6,23.7,3582733,848.05
2004-05-26,24,24.2,23.6,23.6,23.6,2259274,534.82
2004-05-27,23.6,24.2,23.6,23.7,23.6,4742194,1130.93
2004-05-28,24,24,22.9,23.3,23.25,4606513,1079.39
2004-05-31,23.5,23.5,22.2,23.1,22.9,4831723,1099.02
2004-06-01,22.9,23.85,22.9,23.7,23.65,4697220,1108.66
2004-06-02,23.65,23.9,23.6,23.65,23.65,2098885,496.72
2004-06-03,23.9,23.9,22.75,23,23,3398988,786.43
2004-06-04,21.15,23.2,21.15,23,22.95,1510988,346.54
2004-06-07,23.1,23.15,22.7,22.9,22.95,1507845,346.44
2004-06-08,23.05,23.25,22.6,22.75,22.7,1012415,230.59
2004-06-09,22.75,22.9,22.5,22.55,22.55,952473,216.17
2004-06-10,22.6,22.75,22.4,22.5,22.55,843762,190.52
2004-06-11,22.7,22.7,22,22.15,22.15,1594133,354.45
2004-06-14,22.25,22.25,21.4,22.05,21.9,1535147,335.72
2004-06-15,22,22.3,21.6,21.7,21.65,943097,206.01
2004-06-16,22.4,22.4,21.15,21.3,21.3,1194323,257.69
2004-06-17,21.25,21.5,21,21.2,21.1,983141,207.35
2004-06-18,21.4,21.45,21,21.2,21.25,947912,200.89
2004-06-21,21.25,21.35,20.75,20.85,21.1,733700,155.48
2004-06-22,21.05,21.05,20.35,20.75,20.65,1035764,214.39
2004-06-23,21,21,19.3,19.5,19.5,1597171,313.92
2004-06-24,19.9,19.9,18.95,19.6,19.5,1282255,248
2004-06-25,19.25,20.6,19.25,20.2,20.2,1389338,279.72
2004-06-28,20.6,20.65,20.25,20.45,20.4,792286,162.21
2004-06-29,20.5,22,20.35,21.95,21.75,2533382,542.12
2004-06-30,22.1,22.4,21.5,21.5,21.6,1209931,265.78
2004-07-01,21.95,21.95,21.3,21.7,21.55,590387,126.76
2004-07-02,21.5,22.25,21.1,22.1,22.1,1523025,334.34
2004-07-05,22.1,22.3,21.85,22.05,22,897170,197.53
2004-07-06,21.75,22.15,21.7,22.1,22.05,857067,187.74
2004-07-07,22.25,22.5,21.9,22,22,820397,181.23
2004-07-08,22.5,22.5,21.05,21.15,21.4,1315612,288.58
2004-07-09,21.1,21.9,20,21.7,21.6,953766,202.29
2004-07-12,21.55,22.1,21.5,21.7,21.65,556595,121.2
2004-07-13,21.95,21.95,21.4,21.4,21.5,435625,94.15
2004-07-14,21.5,21.8,21.3,21.4,21.4,466647,100.32
2004-07-15,21.5,22,20.8,22,21.9,722551,156.96
2004-07-16,22.05,22.45,21.8,22.05,22.05,1105987,244.72
2004-07-19,22,22.4,22,22.2,22.15,1006935,223.34
2004-07-20,22,22.45,21.8,21.8,21.9,638899,140.42
2004-07-21,22.1,22.2,21.7,22.05,21.95,450961,99.12
2004-07-22,22.2,23.6,21.95,23.25,22.95,5385894,1235.37
2004-07-23,23.3,24.05,22.9,23.5,23.55,5068571,1199.02
2004-07-26,23.6,23.6,22.75,22.95,22.85,1547669,358.59
2004-07-27,23.25,23.25,22.35,22.45,22.4,837152,189.33
2004-07-28,22.75,22.75,22.05,22.2,22.2,775560,173.02
2004-07-29,22.5,23.5,22.3,22.7,22.8,2137441,491.92
2004-07-30,22.7,23,22.05,22.05,22.1,1965161,442.02
2004-08-02,22.15,23.4,21.6,23.35,22.95,4553002,1027.37
2004-08-03,23.5,23.75,22.75,23.05,23,6166432,1433.87
2004-08-04,22.95,23,22.15,22.2,22.25,1855200,415.79
2004-08-05,22,22.7,22,22.45,22.35,1406214,315.38
2004-08-06,22.6,22.7,22.1,22.25,22.2,1761963,394.23
2004-08-09,22,22.5,21.75,22.25,22.2,979887,217.71
2004-08-10,22.65,22.65,22,22.1,22.05,1042000,231.11
2004-08-11,22.2,22.35,21.55,21.7,21.65,1156341,252.48
2004-08-12,21.75,22,21.4,21.55,21.5,915629,198.01
2004-08-13,21.5,21.7,21.4,21.65,21.55,605296,130.67
2004-08-16,21.75,22.25,21.45,21.95,21.95,1060109,232.37
2004-08-17,22,22.9,22,22.75,22.75,2064113,463.72
2004-08-18,22.9,22.9,21.95,22,22.05,757826,168.88
2004-08-19,22.35,22.6,21.8,21.95,21.9,763909,168.7
2004-08-20,22,22.45,21.85,22.15,22.2,1066679,236
2004-08-23,22.4,22.45,21.45,21.45,21.5,786843,170.7
2004-08-24,21.5,23.1,21.5,22.9,22.95,3894286,880.37
2004-08-25,22.95,25.05,22.55,24.7,24.55,13086530,3127.72
2004-08-26,25,25,23.7,23.95,23.85,5761234,1398.41
2004-08-27,23.8,24.2,23.4,23.65,23.65,1848478,439.94
2004-08-30,24.15,24.15,23.7,23.9,23.8,1448307,346.7
2004-08-31,23.95,24.4,23.6,24.15,24.25,2166557,520.26
2004-09-01,24.5,25.05,24.1,24.15,24.15,3594786,882.43
2004-09-02,25.25,25.7,24.05,25.3,25.35,8136049,2035.95
2004-09-03,25.6,25.7,24.8,25.25,25.45,6897455,1741.58
2004-09-06,25.2,25.6,24.7,24.8,24.85,2304087,580.24
2004-09-07,25,25.25,24.7,24.75,24.8,1066836,265.89
2004-09-08,24.75,25.05,24.55,24.8,24.9,1641311,408.27
2004-09-09,25,25.15,24.15,24.2,24.25,1120873,274.46
2004-09-10,24.9,24.9,24.1,24.25,24.3,693005,168.8
2004-09-13,24.5,24.5,23.85,23.9,23.9,744401,179.63
2004-09-14,24.15,24.15,23.6,23.65,23.65,652432,154.72
2004-09-15,23.75,24,23.55,23.8,23.85,867572,206.18
2004-09-16,24,24.45,23.75,24.25,24.3,1369610,330.91
2004-09-17,24.45,24.5,23.75,23.85,23.85,815309,195.86
2004-09-20,24,24.35,23.75,23.75,23.8,812712,195.15
2004-09-21,23.8,24.1,23.65,23.9,23.85,715847,170.82
2004-09-22,24,24.1,23.7,23.9,23.9,727262,173.64
2004-09-23,24,24.65,23.65,23.7,23.75,1362901,328.06
2004-09-24,23.85,24.2,23.65,23.75,23.7,636678,152.03
2004-09-27,23.95,24.25,23.7,24.2,24,710165,169.47
2004-09-28,24.25,24.4,23.8,23.85,23.85,888953,213.94
2004-09-29,24,24.15,23.65,23.65,23.75,489054,116.53
2004-09-30,23.7,24.35,23.7,23.75,23.8,1056788,253.6
2004-10-01,24,24.05,23.65,23.75,23.7,524222,124.75
2004-10-04,19.5,24.2,19.5,23.75,23.8,1112830,265.95
2004-10-05,24,24.05,23.6,23.8,23.8,981084,233.04
2004-10-06,23.8,24.75,23.7,24.3,24.1,2703776,657.49
2004-10-07,24,25.25,24,24.7,24.75,5040746,1246.5
2004-10-08,24.8,24.8,24.25,24.25,24.35,1153631,282.26
2004-10-09,24.5,24.65,24.25,24.35,24.3,419816,102.3
2004-10-11,24.5,24.95,23.65,23.7,23.75,909281,218.46
2004-10-12,24,24,23.2,23.35,23.4,846218,198.45
2004-10-14,23.5,23.6,22.6,23.45,23.35,645400,150.81
2004-10-15,23.5,23.55,23.25,23.3,23.3,443507,103.63
2004-10-18,26,26,23.45,23.55,23.55,690739,164.4
2004-10-19,23.8,23.85,23.4,23.55,23.5,406930,95.72
2004-10-20,24.5,24.5,23.7,23.8,23.8,844106,202.77
2004-10-21,24,24.1,23.6,23.65,23.75,520659,124.16
2004-10-25,23.9,23.9,22.8,22.9,22.9,685940,158.8
2004-10-26,23.1,23.4,22.8,23.2,23.15,541869,125.47
2004-10-27,23.4,23.7,23.3,23.6,23.5,473847,111.41
2004-10-28,23.75,23.85,23.3,23.3,23.4,461743,108.58
2004-10-29,23.45,23.45,23.15,23.4,23.25,308850,71.86
2004-11-01,23.5,23.55,23.2,23.25,23.25,543017,126.63
2004-11-02,23.5,24,23.1,23.25,23.35,1096528,257.53
2004-11-03,23.5,24.7,23.2,24.35,24.35,2063492,497.07
2004-11-04,24.2,24.5,23.8,23.8,23.85,691020,166.13
2004-11-05,24.4,24.4,23.5,23.7,23.6,843068,200.69
2004-11-08,23.9,24.4,23.55,23.65,23.6,745379,177.73
2004-11-09,24,24,23.4,23.45,23.45,522718,123.29
2004-11-10,23.75,23.75,23.35,23.45,23.45,396076,93.04
2004-11-11,23.3,23.6,23.3,23.35,23.35,439003,102.71
2004-11-12,23.5,23.7,23.35,23.5,23.4,256215,60.11
2004-11-16,23.5,23.5,23.05,23.15,23.15,636035,147.52
2004-11-17,22.8,23.45,22.8,23.2,23.2,664183,154.81
2004-11-18,23.2,23.5,23.15,23.3,23.25,829840,193.11
2004-11-19,23.4,23.8,23.25,23.3,23.3,1093215,256.86
2004-11-22,23.05,23.7,23,23.55,23.5,801450,187.02
2004-11-23,23.75,24,23.45,23.9,23.8,1260739,300.03
2004-11-24,24,24,23.6,23.7,23.7,803074,191.29
2004-11-25,23.55,23.9,23.35,23.45,23.45,855835,202.43
2004-11-29,23.5,24.2,23.25,23.85,23.9,1015084,240.34
2004-11-30,24.1,24.1,23.35,23.5,23.45,785636,185.4
2004-12-01,23,23.5,23,23.3,23.2,692368,160.98
2004-12-02,23.5,23.8,23.2,23.25,23.25,990142,231.09
2004-12-03,23.45,24,23.05,23.2,23.15,1828361,426.79
2004-12-06,23.55,23.65,23.1,23.5,23.45,1745352,408.36
2004-12-07,23.8,23.8,23.05,23.1,23.1,1167160,270.48
2004-12-08,23.1,23.4,22.95,23.05,23,959822,221.85
2004-12-09,23.25,23.25,22.6,22.85,22.7,1200845,273.92
2004-12-10,23.05,23.05,22.5,22.65,22.7,1070211,243.1
2004-12-13,22.8,22.95,22.6,22.9,22.85,592385,134.8
2004-12-14,23.2,23.5,23,23.2,23.2,1159617,269.8
2004-12-15,23.45,23.45,23.1,23.1,23.15,704714,164.11
2004-12-16,23.4,24.6,23.05,24,23.95,5386106,1293.07
2004-12-17,24.3,24.3,23.55,23.65,23.6,2070814,495.78
2004-12-20,23.55,28.35,23.55,28.35,28.2,16243305,4327.7
2004-12-21,28.5,32.2,28.5,29.95,29.8,25180450,7663.58
2004-12-22,31,31,28.65,28.85,28.8,8355689,2465.86
2004-12-23,29,31.55,28.35,30.1,30.1,7432890,2246.49
2004-12-24,30,31,29.9,30.25,30.1,4651067,1412.55
2004-12-27,30,31,28.5,29.75,29.8,4052682,1221.7
2004-12-28,30.8,30.8,29.5,30,30,3827653,1154.51
2004-12-29,30.45,30.55,29.6,30.1,30.05,2428763,729.56
2004-12-30,30.15,33.1,30.05,31.35,31.2,8087572,2558.59
2004-12-31,31.9,32.2,31.1,31.5,31.5,4164887,1316.76
2005-01-03,31.95,37.8,31.5,37.8,37.7,28301583,10198.77
2005-01-04,39,39.4,36.3,37,37,15861651,5960.03
2005-01-05,36.5,38,33.65,35.2,35.3,12918979,4645.77
2005-01-06,35.5,37.15,33.6,35.75,35.8,8922801,3168.07
2005-01-07,36.15,43,36,43,42.45,34867033,14266.22
2005-01-10,44.7,48.8,43.1,45.25,45.85,42907453,19935.23
2005-01-11,46.7,47.9,43.55,44.25,44.05,20848025,9540.51
2005-01-12,44.8,46,39.9,41.25,40.65,19330698,8385.22
2005-01-13,41,44,41,43.9,43.5,10738500,4609.77
2005-01-14,44.15,44.4,42.2,43.2,42.85,5851334,2534
2005-01-17,43,43.8,38.2,40.05,39.85,9847781,3982.43
2005-01-18,40.4,43.2,39.65,40.45,40.3,7875272,3196.82
2005-01-19,40.2,40.95,39.3,39.3,39.6,4206436,1680.73
2005-01-20,39.6,39.7,38.1,38.45,38.45,2829175,1093.36
2005-01-24,38.8,42.1,38,40.2,40.3,10381485,4211.66
2005-01-25,40.6,41.65,39.4,41.4,41.15,7015451,2874.16
2005-01-27,41.6,44.45,41.5,43.25,43.35,11723877,5088.35
2005-01-28,43.5,44.3,42.3,43,42.7,5454676,2357.28
2005-01-31,43.25,46.2,43,44.15,44.25,7359135,3282.91
2005-02-01,44.75,44.75,42.9,44.1,43.85,5488842,2397.51
2005-02-02,46,46,44,44.15,44.15,6908768,3097.8
2005-02-03,44.15,45.35,43.55,43.9,43.9,3455690,1535
2005-02-04,44.3,44.8,43.1,43.4,43.25,2946949,1288.73
2005-02-07,43.8,45.1,43.15,43.55,43.6,4492070,1984
2005-02-08,43.7,44.65,43.35,43.65,43.7,3322370,1461.22
2005-02-09,44.15,46.65,43.85,45.85,46.1,16263841,7439.7
2005-02-10,46.4,48.45,45.75,46.4,46.1,13906771,6535.84
2005-02-11,46.5,47.15,45.15,45.6,45.65,3949433,1819.55
2005-02-14,46.05,46.6,45,45.6,45.55,4831990,2211.16
