"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",180.5,190,180,NA,NA,NA,NA
"1998-03-23",193.9,194,193,194,194,600,1.16
"1998-03-24",191,196,190,196,194.8,2600,5.02
"1998-03-25",198,199,195.05,199,198.35,2500,4.92
"1998-03-26",197,197.9,186.05,187,190,3400,6.54
"1998-03-27",189.75,191,188,189.3,189.3,1700,3.23
"1998-03-30",188,190,187.5,188,188,1500,2.83
"1998-03-31",189.05,191,186.25,190.9,189.55,3600,6.77
"1998-04-01",200,208,189,194,194,2600,5.12
"1998-04-02",196,198,195.05,195.05,195.05,1900,3.74
"1998-04-03",194,195,192,194,194,1600,3.09
"1998-04-06",191.25,194,191.25,192.25,192.25,1300,2.51
"1998-04-07",192,195.95,192,194.5,195.15,2100,4.06
"1998-04-09",205,213.95,205,208.9,208.9,13000,27.3
"1998-04-10",209.95,209.95,205,206,205.95,11800,24.34
"1998-04-13",202,204.95,200.1,202,200.3,7400,14.96
"1998-04-15",215,220.35,211.6,220.35,220.35,8400,18.24
"1998-04-16",229,230,214.55,217.1,217.2,7800,17.2
"1998-04-17",215.3,217.8,210.05,217.8,214.95,5500,11.71
"1998-04-20",215.05,222.2,215.05,218,218.25,7800,17.07
"1998-04-21",216.7,227.9,216.7,227.9,225.05,6800,15.08
"1998-04-22",234.9,247.6,232,243.95,243.8,15400,37.75
"1998-04-23",238,241.9,226,231.35,231.9,14400,33.76
"1998-04-24",225,230,218,226.5,225.2,7800,17.41
"1998-04-27",226.5,229.9,226,226.1,226.1,2100,4.76
"1998-04-28",221,221.1,213.75,213.75,216.4,10100,21.92
"1998-04-29",215,225,210.25,214.8,212.4,3100,6.75
"1998-04-30",216,218,210,218,217.15,4700,10.07
"1998-05-04",213.15,222,213.15,218,217.5,4100,8.87
"1998-05-05",224.95,227.5,219.1,227.5,225.05,6900,15.4
"1998-05-06",225.9,225.9,216,217.25,217.25,3900,8.54
"1998-05-08",219.95,232,218.5,227,225.6,3500,7.86
"1998-05-11",225,225,221.5,225,223.7,900,2.01
"1998-05-12",216,216.4,206.7,216.4,213.8,2900,6.16
"1998-05-13",209.3,213.5,206,206,208.95,2900,6.11
"1998-05-14",196.1,213.5,196.1,213.5,213.35,2900,5.98
"1998-05-15",209.05,212,209.05,209.35,209.35,700,1.47
"1998-05-18",215.75,219.5,214,214.1,214.15,1700,3.66
"1998-05-19",218.75,220,217.5,220,219.8,3200,7
