"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2002-04-26,40,40,35,37.3,37.4,4000760,1481.55
2002-04-29,38.5,39.1,37.65,39.1,38.6,2602886,995.77
2002-04-30,39,40.35,38.5,40.15,40.1,1377334,548.07
2002-05-02,40.25,46.1,40.25,45.1,44.8,3348126,1478.2
2002-05-03,45.8,47.45,44.55,46.95,46.45,2689672,1239.91
2002-05-06,47,48.25,45.95,46.8,46.7,1609113,755.68
2002-05-07,46.85,46.85,44.65,45,45.3,964485,440.66
2002-05-08,45.5,45.7,42.6,44.25,43.4,642380,282.02
2002-05-09,44.7,44.7,42.85,43.8,43.7,507464,221.35
2002-05-10,48,48,42.9,43.6,43.35,315013,136.45
2002-05-13,44,45,43.9,44.7,44.65,525301,234.53
2002-05-14,45,45,43.25,43.35,43.5,226877,100.2
2002-05-15,43.8,44.25,42.4,42.5,42.6,280129,120.75
2002-05-16,42.8,42.8,41.1,41.1,41.25,164177,68.32
2002-05-17,41,41.65,39,40.25,40.15,361286,145.29
2002-05-20,39.95,40,38.3,38.6,38.7,237898,93.1
2002-05-21,38.5,38.5,36.05,37.5,37.25,271686,101.39
2002-05-22,36.55,38.2,36.4,37.25,37.15,173312,64.53
2002-05-23,37.75,38.1,37,37.7,37.6,218721,82.41
2002-05-24,38.5,39.65,38.4,39.6,38.85,278098,108.71
2002-05-27,39.5,39.8,38.8,39,39.1,200227,78.55
2002-05-28,39.5,40,38,38.25,38.1,184105,70.63
2002-05-29,38.85,39.95,38.55,39.95,39.6,159961,62.94
2002-05-30,40,41.3,38.6,39,39,428481,171.92
2002-05-31,39.75,40.45,38.25,39,38.95,263603,103.35
2002-06-03,40.5,40.5,37.5,38.05,38.1,218914,84.44
2002-06-04,39.45,40.2,38.3,39.5,39.4,354639,140.45
2002-06-05,41,43.4,39.65,42.85,42.75,1684248,707.47
2002-06-06,43.75,44.5,41.35,42.1,42.15,578726,247.5
2002-06-07,43.15,44.5,41.95,43.15,42.9,995319,433.02
2002-06-10,43.95,45.5,42.8,45.25,45,1017568,450.86
2002-06-11,46.55,50.75,45.5,50.7,50.05,2337784,1123.11
2002-06-12,49.05,51.7,47.8,48.5,48.55,1649690,820.06
2002-06-13,49.9,50,47.9,48.3,48.15,489751,239.52
2002-06-14,48.9,49.25,47.1,47.9,47.95,479743,232.11
2002-06-17,55,55,47.55,47.95,47.9,400849,195.34
2002-06-18,48.2,48.8,46.6,46.8,46.9,233272,110.75
2002-06-19,48.75,50.85,47.1,47.4,47.4,592542,287.36
2002-06-20,49.9,49.9,47,48.4,48.4,459609,221.74
2002-06-21,49,50,48.25,49.5,49.3,775902,381.8
2002-06-24,49.9,49.9,47.5,48.9,48.7,209455,101.87
2002-06-25,48.9,48.9,47.5,47.6,47.85,109162,52.45
2002-06-26,56,56,46.75,47.5,47.05,181066,85.44
2002-06-27,47.4,48.2,46.9,47.85,47.4,160630,76.3
2002-06-28,48.5,48.85,47.5,48,48.2,235146,113.22
2002-07-01,48,48.7,47.75,47.95,47.85,165194,79.63
2002-07-02,48,48.35,47.25,47.5,47.5,130681,62.62
2002-07-03,47.3,47.85,47.3,47.4,47.55,61176,29.1
2002-07-04,47.8,49.5,47.6,48.5,48.6,482631,234.74
2002-07-05,49.5,49.75,48,49.2,49.25,692191,338.67
2002-07-08,49.5,50.2,49,49,49.3,558394,277.38
2002-07-09,49.5,49.6,48.5,48.7,48.85,143266,70.36
2002-07-10,48.8,49.4,48.25,49.2,49.15,232603,113.81
2002-07-11,48.5,49.5,46.5,47,46.8,286849,137.41
2002-07-12,47.25,48,47.1,47.35,47.55,134682,64.06
2002-07-15,56.1,56.1,46.8,48.6,48.85,391697,189.61
2002-07-16,48,48.9,47.1,47.3,47.5,223167,107.19
2002-07-17,47.9,47.9,46.25,46.7,46.65,93777,43.84
2002-07-18,47.05,47.5,46.4,47.1,46.9,54268,25.57
2002-07-19,43,47,43,46.5,46.5,63512,29.64
2002-07-22,46,46,44.6,44.8,44.8,101702,46.08
2002-07-23,46.2,46.2,44.1,45.9,45.6,64350,29.18
2002-07-24,45.1,46,45,45.6,45.7,122866,56.01
2002-07-25,48.5,48.5,45.25,45.45,45.6,83583,38.42
2002-07-26,45.45,46,44.1,45,44.55,168555,75.42
2002-07-29,45,45.9,43.1,43.65,43.5,194543,85.81
2002-07-30,44.75,44.9,43.5,43.5,43.7,120816,53.28
2002-07-31,43.7,43.7,42.65,42.85,42.9,150579,64.8
