"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2004-04-07",32,46.85,31.1,44.25,44.8,80469751,32538.59
"2004-04-08",45,45.65,41.3,42.15,41.9,32315425,13886.57
"2004-04-12",42.25,48.2,42.25,44.95,45.05,28040910,12787.95
"2004-04-13",45.5,45.7,43.4,44.4,44.3,10634390,4717.15
"2004-04-15",44.45,47.4,43.4,45.55,45.15,14855262,6799.36
"2004-04-16",45.5,49.7,45.5,49.1,48.95,24501672,11776.04
"2004-04-17",49.15,58.75,49.15,58.35,57.35,32843823,18155.25
"2004-04-19",59,61.2,54.65,55.25,55.2,44900680,25710.43
"2004-04-20",55.5,55.85,51.3,51.5,51.85,22060587,11612.98
"2004-04-21",51.25,54,50.65,53.45,53.1,15790234,8356.76
"2004-04-22",53.8,54.7,53.05,54.05,53.5,8865052,4776.18
"2004-04-23",54.25,56.7,51.8,53.05,52.65,11381727,6139.01
"2004-04-27",52,52,45.55,48.05,48.3,11682673,5772.97
"2004-04-28",48.25,50.25,48.25,49.4,49.25,11621060,5712.53
"2004-04-29",49.5,51.45,48.5,49.9,49.9,10311209,5187.39
"2004-04-30",49.75,51.1,48.35,48.85,48.85,5897781,2944.21
"2004-05-03",49,49.15,44.7,47.6,47.4,7508813,3515.98
"2004-05-04",48.45,50.2,48.2,49.45,49.15,3977170,1965.06
"2004-05-05",49.7,52.15,49.15,51.65,51.4,9787501,4995.14
"2004-05-06",52.4,53.5,52.4,52.85,52.8,6764509,3579.36
"2004-05-07",53.2,53.3,50.4,50.9,51.15,7883664,4070.37
"2004-05-10",51.5,52,49,51.25,51.3,7733864,3953.14
"2004-05-11",49.65,50.75,48,48.1,48.45,5132763,2537.98
"2004-05-12",48.4,50.35,48.4,49.3,49.3,4432065,2182.78
"2004-05-13",48,53.75,45.1,52.5,52.3,11155675,5732.67
"2004-05-14",52.55,53.3,47,48,48,7219796,3577.75
"2004-05-17",48.5,48.5,38.4,39.6,39.9,4041809,1657.64
"2004-05-18",40,46.6,40,46.25,46,6267961,2780.94
"2004-05-19",48.7,49.9,46.6,48.05,48.3,4259771,2055.41
"2004-05-20",49,50,47.55,48.15,48,3339749,1627.29
"2004-05-21",47.85,47.85,46.15,47.2,47.25,2505232,1180.91
"2004-05-24",48,49.4,47.85,47.95,48.1,2307521,1120.39
"2004-05-25",47.95,47.95,46.7,46.95,47.05,1608563,759.12
"2004-05-26",47.85,49.25,47.5,48.5,48.55,3108672,1508.43
"2004-05-27",48.4,53,47.6,51.6,51.25,13057847,6716.85
"2004-05-28",50.6,53.2,49.5,52.2,52.25,11544812,6016.57
"2004-05-31",53,53,47.55,49.15,49.2,6196845,3048.64
"2004-06-01",49.5,52.15,49.3,51.4,50.95,4610988,2365.54
"2004-06-02",51.65,51.85,50.45,51.1,50.9,1507650,770.85
"2004-06-03",51.6,51.9,48.7,49.25,49.55,2781782,1403.2
"2004-06-04",49.3,51.6,48.8,50.8,50.75,3211996,1624.96
"2004-06-07",51.4,51.85,50.1,50.4,50.35,1456186,739.52
"2004-06-08",51,51.1,49.75,50.05,50.1,1203583,606.72
"2004-06-09",50.45,50.65,49.65,49.7,49.85,1095114,549.44
"2004-06-10",49.9,50.5,49.4,49.55,49.55,666448,332.18
"2004-06-11",49.65,51.35,49.25,49.75,49.55,2121171,1068.8
"2004-06-14",49.75,50,48.35,49.5,49.3,1202179,589.57
"2004-06-15",49.55,50.2,47.5,47.85,47.8,1668123,808.83
"2004-06-16",48.5,49.1,47.5,47.8,47.75,725899,350.02
"2004-06-17",48.35,48.35,46.6,47.4,47.1,1229544,578.12
"2004-06-18",47.5,47.6,45.3,47,46.05,1397698,648.66
"2004-06-21",46.5,46.85,45.7,46.5,46.15,859856,397.73
"2004-06-22",46.5,46.5,44.3,44.65,44.9,1055384,475.08
"2004-06-23",45.3,45.65,42.55,43.45,43.15,1052336,458.35
"2004-06-24",43.45,43.45,42.1,43.25,43.15,561210,240.09
"2004-06-25",43.5,47.1,42.5,46.25,46.3,1877874,859.25
"2004-06-28",46.5,47.45,46.25,46.5,46.7,726510,340.11
"2004-06-29",46.8,47.45,45.6,46.8,46.8,897763,418.96
"2004-06-30",47.1,48.8,46.9,47.3,47.25,1334913,636.22
"2004-07-01",48,48.7,47.55,48.15,48.1,1114169,536.47
"2004-07-02",48,48.65,47.05,48.15,48.1,680827,326.94
"2004-07-05",48.45,48.5,47.2,48,48,477373,229.41
"2004-07-06",48.05,50.35,48,49.85,49.8,2719071,1347.68
"2004-07-07",50.4,51.75,49.65,50.55,50.4,2364338,1205.34
"2004-07-08",50.95,53.4,49.5,49.6,50.2,5039633,2621.08
"2004-07-09",49,50.4,43.15,49.35,49.45,883381,433.92
"2004-07-12",48,50.45,47.8,48.8,49,447179,221.02
"2004-07-13",49.3,49.95,48.1,48.4,48.5,328458,160.03
"2004-07-14",49.9,49.9,47.4,47.5,48,377645,182.84
"2004-07-15",48.5,49,47.2,48.6,48.65,335940,162.71
"2004-07-16",48.95,50.8,48.5,50.2,50.3,971788,484.14
"2004-07-19",50.3,52.2,49.7,50.1,50.15,1652221,843.91
"2004-07-20",50.1,50.1,49,49.2,49.15,365593,180.61
"2004-07-21",54.5,54.5,49.25,50.25,50.1,790918,396.11
"2004-07-22",50.9,54.8,50.2,54.5,54.15,6914520,3696.84
"2004-07-23",54.85,57.1,54.6,55.8,56,6506841,3648.82
"2004-07-26",55.9,55.9,52.5,53.1,52.95,2203326,1187.83
"2004-07-27",53.7,53.9,50.35,50.8,50.65,2062061,1067.71
"2004-07-28",50.8,50.8,48.5,48.8,48.7,3283203,1618.02
"2004-07-29",49,49.8,48.1,48.5,48.6,2354212,1155.62
"2004-07-30",49.35,50.8,48.8,49.85,49.6,2608237,1304.33
"2004-08-02",49.9,51,49.2,50.25,50.15,1731525,868.06
"2004-08-03",50.8,51.65,47,50.2,50.15,3061956,1552.32
"2004-08-04",50.25,50.25,49.05,49.1,49.2,1068018,528.68
"2004-08-05",54,54,49.25,49.75,49.8,990575,493.71
"2004-08-06",50.7,51.6,49.55,50.1,50.1,2974306,1501.86
"2004-08-09",51.5,51.5,49.1,49.35,49.55,973335,482.17
"2004-08-10",51.9,51.9,49.45,49.55,49.65,1232251,615.06
"2004-08-11",49.9,50.65,48.25,48.75,48.45,2112441,1047.94
"2004-08-12",48.5,49.2,47.5,47.9,47.85,1195976,576.76
"2004-08-13",48.2,48.45,47.3,47.75,47.75,952716,455.94
"2004-08-16",48.2,48.25,47.5,47.9,47.85,641738,306.72
"2004-08-17",48.5,49.45,48.15,48.95,48.8,893460,436.68
"2004-08-18",49.4,49.4,47.35,47.6,47.55,889858,429.27
"2004-08-19",48,48.35,47.2,47.55,47.65,708009,337.62
"2004-08-20",47.65,48.7,47.2,48.05,47.8,1006728,481.41
"2004-08-23",48.85,48.85,45.6,45.75,46.35,710294,332.54
"2004-08-24",46.4,50.1,46,49.85,49.8,2796595,1355.78
"2004-08-25",50.8,54.3,50.05,52.55,52.85,11924304,6301.74
"2004-08-26",52.95,53.9,51.9,52.45,52.25,3120363,1649.28
"2004-08-27",52.8,53.9,51.3,52.45,52,2116657,1112.06
"2004-08-30",52.7,53.45,52.25,52.45,52.5,1785581,943.3
"2004-08-31",52.75,54.75,52.4,54.55,54.35,3155623,1695
"2004-09-01",55.4,55.75,53.2,53.5,53.45,3314069,1806.7
"2004-09-02",54,57.95,52.8,56.5,56.4,10805354,6065.89
"2004-09-03",57.5,58.45,56.25,57.2,57.25,6411524,3674.02
"2004-09-06",58.3,58.65,56.55,56.85,56.9,3352794,1931.57
"2004-09-07",57.35,57.35,55.35,55.65,55.75,1868367,1051.54
"2004-09-08",56,57.55,55.7,56.6,56.6,2743236,1555.75
"2004-09-09",56.9,57.9,55.75,56,56.15,2815425,1603.06
"2004-09-10",56.4,57.1,55.95,56.15,56.3,1811217,1024.58
"2004-09-13",56.7,56.95,55.45,55.7,55.7,981681,552.02
"2004-09-14",56,56,54.4,54.45,54.55,825949,454.08
"2004-09-15",54.9,56.6,53.8,56.2,56.15,2919078,1621.48
"2004-09-16",56.25,56.7,55.7,56.5,56.3,1752788,985.31
"2004-09-17",56.55,57,55.35,55.65,55.75,1296890,730.32
"2004-09-20",56,57,55.05,55.1,55.35,1042526,583.66
"2004-09-21",55.6,57.5,55.6,56.8,56.75,2294609,1302.51
"2004-09-22",57.1,57.95,56.5,56.95,56.95,2624808,1503.08
"2004-09-23",57.15,57.3,55.8,56.05,56.05,1098887,621.02
"2004-09-24",56.1,56.8,55.6,55.7,55.8,846538,475.15
