"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2006-01-04",270,309.4,270,292.25,294.95,13493309,40264.55
"2006-01-05",297,299.5,280.25,281.95,282.6,2561756,7432.69
"2006-01-06",282.9,283.85,271.05,273,275.45,1458627,4039.18
"2006-01-09",275.2,282.4,272.55,280.35,280,768134,2135.75
"2006-01-10",281.1,290,278.25,280,280.1,703707,1995.83
"2006-01-12",274,285.5,274,277.4,279,314842,884.31
"2006-01-13",280,285.1,272,272.55,274.3,243554,682.34
"2006-01-16",273.6,280.8,271.05,271.45,273.35,215211,595.64
"2006-01-17",274.9,276.9,264.15,266,265.3,145047,393.07
"2006-01-18",262,270,256,267,264.65,124609,327.5
"2006-01-19",269.8,272.8,265.15,270,271.2,107393,289.13
"2006-01-20",274.9,283.9,270,270.1,272.55,289170,801.67
"2006-01-23",272,288.95,270.15,279,284.45,398111,1121.98
"2006-01-24",283.8,303,282.25,292.1,291.35,916628,2704.9
"2006-01-25",294.8,299.9,289,299,297.25,355035,1049.96
"2006-01-27",301,307.9,289,292,291.95,617562,1860.25
"2006-01-30",295,296,282,289,287.25,108904,314.18
"2006-01-31",289.4,293.95,275.45,281,280.75,330461,937.96
"2006-02-01",282,284,265,265.75,266.9,117315,321.54
"2006-02-02",269.8,273.3,251.25,259,255.95,216043,558.65
"2006-02-03",260.9,260.9,252.5,254.5,255.2,79298,203.13
"2006-02-06",252.1,265,252.1,260,258.65,84284,219.71
"2006-02-07",259.25,263.1,257,263,261.2,48348,125.58
"2006-02-08",260.1,267.9,255.5,266.4,266,146156,382.16
"2006-02-10",270,278,266.5,269.5,270.05,84881,230.28
"2006-02-13",275.5,294.4,267.5,293,288.45,340673,960.08
"2006-02-14",293,299.9,266.8,291.5,292.15,306916,897.94
"2006-02-15",295,295,282.1,288.95,289.3,88156,254.4
"2006-02-16",273.1,291.5,273.1,286,286.45,59220,169.21
"2006-02-17",289,306.25,280.1,302,300,743599,2218.27
"2006-02-20",303,303.8,284.05,292,292.6,297556,868.15
"2006-02-21",293,296,288,293,292.3,112083,326.91
"2006-02-22",294.8,299.85,280.45,282.45,284.7,217230,636.41
"2006-02-23",287.45,288,275.15,282,281.05,104359,294.75
"2006-02-24",283.75,289,280,283,285.25,80911,230.97
"2006-02-27",280.1,291,280.1,291,288.95,35942,103.21
"2006-02-28",289.9,289.9,278,280,279.45,71307,201.89
"2006-03-01",283.75,284.45,281,281.1,282.55,43140,122.02
"2006-03-02",286.9,288,282,285.8,285.15,72225,205.13
"2006-03-03",289.7,289.7,282,287,283.7,20398,57.9
"2006-03-06",287.95,287.95,280,285,284.95,61762,175.97
"2006-03-07",286.8,296.8,283.25,290,290.05,58737,170.52
"2006-03-08",289,292,280.25,288,284.4,36270,104.5
"2006-03-09",286.8,287,277.15,284,284.6,32276,91.58
"2006-03-10",286,288.9,284.2,288.9,287.15,19464,55.73
"2006-03-13",288,288.8,280,280,281.1,7846,22.26
"2006-03-14",280,301.9,280,289,290.45,82441,242
"2006-03-16",295,295,285.6,289,289.1,17461,50.46
"2006-03-17",295,295,286,290,290.5,24815,71.87
"2006-03-20",294.9,294.9,287.2,291.6,290.5,25742,74.82
"2006-03-21",294.9,298.4,289,290,290.85,34198,100.46
"2006-03-22",290,296.9,288.1,291.55,291.9,28552,83.63
"2006-03-23",290.5,294,288.05,290,290,10107,29.36
"2006-03-24",290,293,289,290,290,13885,40.35
"2006-03-27",286.2,299,286.2,288.05,291.8,22206,65.35
"2006-03-28",292.95,295,280,280,284.05,23174,66.45
"2006-03-29",286,295,283.05,292,288.25,18238,52.43
"2006-03-30",290.9,295,286.1,293.6,293.15,15691,45.76
"2006-03-31",298,344.4,293,306.5,308.1,304089,963.37
"2006-04-03",312,333.9,309,333,328.1,250987,808.67
"2006-04-04",332,335.3,311.2,316,314.9,103293,331.49
"2006-04-05",317.7,326,314.3,315,316.95,48621,155.97
"2006-04-07",316.6,331.85,316.5,325,325.7,108001,351.88
"2006-04-10",325,331,313,315,314.95,65148,207.27
"2006-04-12",318.8,335,306.3,310,309.6,88102,282.32
"2006-04-13",309,318,303,317.5,314.25,60604,190.21
"2006-04-17",318.95,325,308,310,314,98372,309.76
"2006-04-18",313.95,318.7,313,317.75,315.2,29556,93.17
"2006-04-19",317.9,318,303,306.95,306,31260,96.78
"2006-04-20",306,317,305.2,310.35,314.9,25380,79.7
"2006-04-21",322,322,309,310.5,310.6,8695,27.13
"2006-04-24",323.5,329.95,307,313,310.05,17854,56.62
"2006-04-25",319,320,308.5,312,310,31534,98
"2006-04-26",314.9,314.9,305,308.25,308.85,10731,33.3
"2006-04-27",311,324.65,305.15,319.05,321.7,43571,138.24
"2006-04-28",303.35,321,291.35,318,318.15,10870,34
"2006-04-29",318,325,310.3,320,320.15,8513,27.24
"2006-05-02",327.8,327.8,312,320,320.2,13748,43.9
"2006-05-03",320.2,324.9,316,320,320.3,10626,34.11
"2006-05-04",320,323.8,316.25,320,320.1,6610,21.18
"2006-05-05",320,324,317.3,320,320.15,52924,169.38
"2006-05-08",321.25,322,312,320.05,320.15,31400,100.49
"2006-05-09",320,323.95,314,314,314.3,10123,32.21
"2006-05-10",316,319,314,315.05,316.05,3603,11.37
"2006-05-11",325,325,300.05,305,305.3,9737,29.81
"2006-05-12",302.2,315,302.2,314,312,10750,33.56
"2006-05-15",321.5,334.35,295,303.5,301.55,51741,161.6
"2006-05-16",307,310,256,300,296.65,18254,53.81
"2006-05-17",306,307,296,296.25,299.1,13653,41.24
"2006-05-18",276.65,310,276.65,290,290,17983,51.97
"2006-05-19",320,320,275,278.85,277.4,7686,22.07
"2006-05-22",285,285,252.1,276,271.65,28366,76.65
"2006-05-23",252,277.9,252,269,269.3,2962,7.86
"2006-05-24",269,290,269,290,285.4,5048,14.14
"2006-05-25",295,295,270,273.85,274.55,5171,14.2
"2006-05-26",287,294.7,276.15,280,279.55,3157,8.97
"2006-05-29",283,283.5,270,270,273.05,2934,8.17
"2006-05-30",275,284,271.45,271.45,272.25,1949,5.35
"2006-05-31",265,279,253.6,269,267.15,4117,10.9
"2006-06-01",271,278.95,250.1,250.2,257.35,9688,25.07
