"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2003-06-18,28.35,40,28.35,37,37.1,3215,1.16
2003-06-19,34.1,38.1,34.1,36,36,6101,2.25
2003-06-20,30,38.5,30,38.5,38.1,9584,3.59
2003-06-23,38.95,39.5,37.55,38.3,38.5,25349,9.86
2003-06-24,33,38.5,33,37.9,38,9264,3.53
2003-06-25,33,38,33,37.45,37.7,7289,2.73
2003-06-26,34.1,38,34.1,38,37.65,8724,3.25
2003-06-27,36,36.95,34.5,36.5,36.65,10176,3.67
2003-06-30,36.9,37,34.6,34.6,35,10207,3.62
2003-07-01,33.2,36.25,33.2,35.1,35.2,4618,1.64
2003-07-02,35,39.8,35,37.95,37.55,25127,9.58
2003-07-03,39.5,39.5,38.2,38.3,38.55,12942,5
2003-07-04,38.95,39,37,37.1,37.1,10406,3.95
2003-07-07,33,38.75,33,37.9,37.6,9182,3.46
2003-07-08,35.1,38,35.1,37,37.2,10011,3.74
2003-07-09,33,37,33,36.5,36.1,11139,4.05
2003-07-10,35.45,37,35.2,36.2,36.65,6808,2.45
2003-07-11,35.05,36.85,35.05,36.85,36.3,5861,2.12
2003-07-14,33,38.5,33,37.65,38.05,7004,2.59
2003-07-15,35,39,35,37.8,38,10151,3.82
2003-07-16,38,38.45,37.25,38,38.2,9875,3.76
2003-07-17,34.1,38.75,34.1,38,38.4,17425,6.66
2003-07-18,35.15,39,35.15,38,37.95,3956,1.5
2003-07-21,35.55,38,35.55,37.75,37.2,4886,1.84
2003-07-22,35.1,37.3,35.1,36.75,36.85,3759,1.38
2003-07-23,33,37,33,36.75,36.75,1659,0.61
2003-07-24,36.25,36.75,36.25,36.5,36.45,1591,0.58
2003-07-25,33.35,36.75,33.35,36.5,36.3,2946,1.07
2003-07-28,36.05,36.85,35.35,36.65,36.6,6935,2.51
2003-07-29,36.6,39.2,36,38.3,38.05,10006,3.75
2003-07-30,38.2,38.6,37.3,37.7,37.5,13206,5.01
2003-07-31,34,39.4,34,39.05,38.9,11786,4.51
2003-08-01,39.7,39.7,37.55,38.6,38.65,14539,5.57
2003-08-04,36.05,38.4,36.05,38,37.75,6757,2.57
2003-08-05,35,40,35,38.5,38.8,23753,9.25
2003-08-06,37.5,39.2,37.5,37.7,37.75,6133,2.34
2003-08-07,38.5,39.35,38,38,38.35,11828,4.59
2003-08-08,39.8,39.8,37.6,38.15,38.1,6337,2.41
2003-08-11,40,40,38,38.25,38.3,4298,1.65
2003-08-12,39.4,39.4,37.95,37.95,38,3955,1.51
2003-08-13,40.5,40.5,37.5,39.5,39.05,21279,8.23
2003-08-14,39.35,41.5,39,39.95,39.75,19020,7.63
2003-08-18,39.5,41.5,39.35,41.45,41.25,21163,8.6
2003-08-19,42.8,42.8,39.85,40.9,40.75,17240,6.98
2003-08-20,40.5,42,39.9,39.9,40.1,12195,4.98
2003-08-21,41.05,41.25,39,39.8,39.35,13086,5.23
2003-08-22,39.5,40,38.75,39.25,39.1,7976,3.14
2003-08-25,39.4,39.85,37.45,38.15,39.05,15465,6
2003-08-26,39,39.8,38.75,39,39.1,7851,3.08
2003-08-27,38,41.5,38,40.25,40.2,17919,7.25
2003-08-28,40.2,40.55,39.6,40,39.95,4057,1.62
2003-08-29,42.55,42.55,38.65,38.65,38.8,6216,2.44
2003-09-01,38.5,41,37.5,41,40.7,19169,7.69
2003-09-02,40.2,41.85,39.15,41.3,41.45,18554,7.57
2003-09-03,43.9,43.9,40.05,40.3,40.65,11413,4.66
2003-09-04,40,41.4,40,40,40.05,9971,4.05
2003-09-05,39.3,40.85,39.1,39.1,39.15,10772,4.28
2003-09-08,38.6,41,38.6,41,40.3,17953,7.13
2003-09-09,40.4,41,39.05,40.5,40.65,27079,10.9
2003-09-10,41,41,39.5,40,40.2,8958,3.6
2003-09-11,40.25,41.8,39.9,40.25,40.55,13694,5.59
2003-09-12,38.7,41.5,38.7,40.1,40.2,10278,4.19
2003-09-15,39.05,39.9,39,39.35,39.6,3727,1.47
2003-09-16,39.5,40,38.65,39.75,39.55,2400,0.95
2003-09-17,39.75,39.75,38.75,39.3,39.35,13354,5.22
2003-09-18,38.85,39.45,38.85,39.1,39.05,2144,0.84
2003-09-19,38.05,39.75,38.05,39.75,38.8,11253,4.36
2003-09-22,38.8,39,38,38,38.2,5755,2.22
2003-09-23,38.5,39,38.3,38.7,38.6,2992,1.15
2003-09-24,38.5,39.8,38.25,39.15,39.5,7892,3.07
2003-09-25,38.5,39.35,38.1,38.95,38.85,18177,7
2003-09-26,39.3,42.7,39.3,42.5,42.4,80514,33.69
2003-09-29,43.05,44,39.75,40,40.25,62424,26.06
2003-09-30,41.45,41.45,39.65,40,40,18605,7.48
2003-10-01,39.2,40.6,39.2,39.8,39.8,4213,1.68
2003-10-03,39.1,40.75,39.1,39.7,40.15,6084,2.45
2003-10-06,40.5,41.9,40.05,41.5,41.35,21538,8.91
2003-10-07,43,43,40.9,42,41.8,14203,5.9
2003-10-08,42,42.9,40,40.95,40.9,16331,6.75
2003-10-09,41.4,41.6,40.5,40.7,40.8,8563,3.51
2003-10-10,41,42,40.05,40.75,40.85,15028,6.21
2003-10-13,41.75,41.8,41,41.35,41.2,8113,3.35
2003-10-14,40.05,41.85,40.05,40.8,40.9,13367,5.51
2003-10-15,40.8,41.25,40.1,40.1,40.25,11393,4.63
2003-10-16,40.3,42,40.3,41.25,41.5,20731,8.61
2003-10-17,41.05,41.9,40.55,40.55,40.65,6789,2.8
2003-10-20,41,41.45,39.6,39.6,40,8129,3.28
2003-10-21,39.95,40,39,39.1,39.15,7112,2.79
2003-10-22,39.05,39.9,38.55,38.55,38.75,4539,1.77
