"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",74.05,75.5,74.05,NA,NA,NA,NA
"1998-03-23",75.5,76,75.05,75.05,75.05,8600,6.5
"1998-03-24",77,82.6,68,80,79.7,373500,289.06
"1998-03-25",82.7,83,79.1,82.6,82.8,124250,101.64
"1998-03-26",82.7,83.9,78.6,79.6,79.6,81100,65.4
"1998-03-27",78,80,77.15,80,80,228100,177.85
"1998-03-30",80,87.5,75,76.6,77.3,151950,122.04
"1998-03-31",75.55,76.75,73.15,74.25,73.9,158500,118.78
"1998-04-01",75.1,76.9,73.25,76.15,76.2,49250,37.36
"1998-04-02",76.9,78.25,75.5,78,77.5,86600,66.55
"1998-04-03",80.25,85.25,80.25,85.25,85.25,88650,74.33
"1998-04-06",92,92.3,92,92.3,92.3,36450,33.62
"1998-04-07",92.35,92.35,92.35,92.35,92.35,3450,3.19
"1998-04-09",101.6,101.6,101.6,101.6,101.6,850,0.86
"1998-04-10",113,115.45,112,115.45,115.45,105000,119.56
"1998-04-13",115.45,115.5,113,115.5,115.5,43550,50.18
"1998-04-15",126.1,127.05,122,127.05,127.05,246700,312.67
"1998-04-16",129.75,129.75,114.35,114.35,114.4,221850,261.44
"1998-04-17",114.75,124,106,122,121.75,254700,296.74
"1998-04-20",122,125,116,120,120,255600,308.39
"1998-04-21",120,124.2,118.3,122.9,122.65,326950,394.51
"1998-04-22",127,130,118,118.7,119.85,154600,190.58
"1998-04-23",115,119.5,112.25,112.5,113.8,92200,107.48
"1998-04-24",119.3,119.5,109,116.5,116.25,345450,400.49
"1998-04-27",117,117.5,110.5,112.2,111.5,46200,52.47
"1998-04-28",110.5,111.4,100.95,102.35,103,123900,132.55
"1998-04-29",107.5,111.5,103.05,104.35,104.75,85150,92.18
"1998-04-30",101.5,109.75,99,107.5,108.5,75600,79.35
"1998-05-04",111,119.35,110,119.35,119.35,97950,114.78
"1998-05-05",115.4,128.65,115.4,128.65,128.65,198300,248.49
"1998-05-06",134,136,124.05,125.45,125.05,196700,252.87
"1998-05-08",128,137.6,125,136.5,137.05,719900,968.56
"1998-05-11",131.65,139,131.65,134.9,135.5,309150,412.9
"1998-05-12",131,131.5,121.95,127.75,126.15,333050,416.72
"1998-05-13",121,126.5,118.1,120.55,119.5,154200,187.62
"1998-05-14",121.5,131.45,121.5,131.45,131.45,160950,204.24
"1998-05-15",135,144.6,135,142,142.55,377000,535.75
"1998-05-18",142,148.9,142,142.8,142.95,100550,146.2
"1998-05-19",142.35,145,140.5,144.05,142.8,205050,292.61
"1998-05-20",146,147.75,141,141.5,142.2,134750,195.7
"1998-05-21",140,142.8,128,129.75,130.9,191250,254.07
"1998-05-22",128.05,144,128,144,144,446800,631.39
"1998-05-25",144,152,142.5,149,149.35,501900,736.88
"1998-05-26",149,154.4,147.55,149.75,150.2,404500,611.21
"1998-05-27",154.9,165.2,154.25,155.5,155.05,498000,786.84
"1998-05-28",153,157.5,151.1,152.5,151.85,176550,271.96
"1998-05-29",150.3,154.1,144.5,151,150.75,288200,431.96
"1998-06-01",152,154.5,145.1,147.9,147.4,248050,373.3
"1998-06-02",147.5,148,137,144,141.85,226150,322.94
"1998-06-03",141.5,143,128.1,135.75,134.4,284350,382.6
"1998-06-04",137,138,132,132.1,132.3,188400,253.78
"1998-06-05",130.5,131.95,121,122,121.7,267500,335.26
"1998-06-08",124,124.3,109.55,112.6,111.45,337300,377.72
"1998-06-09",113.95,117.5,107.1,116,115.05,214500,243.51
"1998-06-10",115,115,103.6,103.6,103.7,370500,395.38
"1998-06-11",98,102,93.35,100.05,100.65,337750,326.81
"1998-06-12",102.75,109.9,102.5,102.5,103.3,269600,285.28
"1998-06-15",103.5,103.5,93,93,93,193850,183.82
"1998-06-16",88,91.45,86.45,89.25,89,237700,209.38
"1998-06-17",95,97.9,89.95,97.9,97.45,255050,242.61
"1998-06-18",100,104,90.1,93,92.6,188350,182.87
"1998-06-19",88.05,90,84.7,86.8,85.6,155050,134.52
"1998-06-22",83.5,83.5,77.1,78.9,77.9,237600,186.43
"1998-06-23",78,80,71.5,78.9,79.15,315650,241.31
"1998-06-24",78.25,82.05,76.5,76.6,76.9,244400,193.7
"1998-06-25",78.9,81.9,77.5,78.5,79.15,205150,162.89
"1998-06-26",80,83.9,75.05,81,80.2,305250,246.01
"1998-06-29",78.1,88.2,78,88.2,88.15,474200,407.76
"1998-06-30",93,95,79.35,80,79.7,695950,567.92
"1998-07-01",79,79.5,73.5,76.2,76.8,406300,311.19
"1998-07-02",75.15,76.5,74.35,75.2,74.95,110850,83.57
"1998-07-03",74.1,74.45,67.5,67.5,67.6,187900,132.09
