"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2016-03-18,67,67.5,64.75,64.9,65.25,1554362,1022.53
2016-03-21,64.6,67.35,64.6,66,66.05,3025945,1995.75
2016-03-22,67.2,69.9,67.2,68.75,68.8,3444536,2369.63
2016-03-23,69.2,69.65,68.1,68.75,68.8,1581436,1089.12
2016-03-28,69.7,71.85,68.5,69.35,69.4,2951872,2074.99
2016-03-29,69.85,71.2,67.6,67.95,68,4314224,2986.31
2016-03-30,70.45,70.85,67.05,67.7,67.85,4722343,3226.76
2016-03-31,68.05,69.2,67.35,67.9,67.9,1524333,1039.17
2016-04-01,67.8,68.95,67.45,68.05,68.3,1153054,787.75
2016-04-04,68.45,68.8,67.5,67.7,67.65,746931,507.4
2016-04-05,67.65,67.75,65.2,65.5,65.75,972249,646.38
2016-04-06,66,67.15,65.5,66.7,66.45,980771,649.09
2016-04-07,66.9,67.4,65.4,65.5,65.75,860180,570.99
2016-04-08,65.85,66.6,65.05,65.7,65.65,718219,472.6
2016-04-11,66.8,68.35,66.15,68.2,68,1897264,1279.08
2016-04-12,68.3,69.35,67.15,68.75,68.8,1973428,1350.65
2016-04-13,69.5,69.7,67.55,67.65,67.7,1750113,1197.7
2016-04-18,68.15,70.7,66.95,67.1,67.15,2993478,2038.9
2016-04-20,67.5,69.45,67.3,68.3,68.25,2241254,1529.59
2016-04-21,68.7,69.2,67,67.25,67.3,1307614,887.65
2016-04-22,67.9,69.25,67.25,67.8,68.1,2877897,1965.6
2016-04-25,68.6,68.6,66.45,66.65,66.6,1002042,675.01
2016-04-26,66.65,67.6,66.2,67,66.9,881237,589.76
2016-04-27,67.25,68.2,66.5,66.9,67,1109590,745.23
2016-04-28,67.5,68.15,65,65.45,65.7,1224493,816.79
2016-04-29,66,67.25,64.75,64.9,65.15,2078115,1372.08
2016-05-02,65.4,67.45,64.8,65.85,66.05,1655123,1096.1
2016-05-03,67.8,70.2,66,66.4,66.4,5849353,3990.7
2016-05-04,66.3,66.85,65.05,65.15,65.2,1091990,719.66
2016-05-05,65.3,69,65,67.8,67.7,3836208,2586.73
2016-05-06,67.7,67.9,66.25,66.4,66.55,975203,652.7
2016-05-09,67,67.35,66.25,66.5,66.75,1000221,667.29
2016-05-10,66.75,66.85,65.9,66.05,66.1,699884,464.16
2016-05-11,65.2,66.75,64.75,66.35,66.4,1431882,942.92
2016-05-12,66.55,66.65,65.6,65.9,65.95,578346,382.14
2016-05-13,65.8,66.15,64.7,64.7,64.9,830398,542.24
2016-05-16,67.05,67.5,65.6,66.2,66.15,1383255,918.39
2016-05-17,66.65,66.7,65.35,65.35,65.5,603517,398.11
2016-05-18,65.2,65.5,64.65,64.7,64.75,669478,434.8
2016-05-19,64.95,65.35,63.8,64.15,64,592212,381.41
2016-05-20,64.4,64.55,62.05,62.2,62.25,595658,375.96
2016-05-23,62.7,63,61.25,61.3,61.65,414590,257.02
2016-05-24,61.7,62,59.1,59.2,59.35,513483,308.29
2016-05-25,60,60.2,57.8,57.85,58.1,889203,523.41
2016-05-26,58.4,60,57.1,57.1,57.8,1121151,655.97
2016-05-27,57.95,59.75,57.55,58.3,58.25,2610283,1531.45
2016-05-30,58.65,59.4,58.1,59.1,58.95,757295,445.65
2016-05-31,59.55,60.5,59.05,59.95,59.6,1104496,660.44
2016-06-01,59.95,60.9,59.55,59.75,59.65,810041,488.02
2016-06-02,59.55,60.3,58.8,59.55,59.65,651521,388.2
2016-06-03,60.2,60.4,59,59.1,59.1,560322,334.38
2016-06-06,59.1,59.55,58.7,58.9,58.9,525059,309.84
2016-06-07,58.65,60.65,58.65,59.5,59.25,1089734,650.87
2016-06-08,60.7,67.8,60.7,65.05,65.1,8825728,5746.09
2016-06-09,65.85,66.2,64.5,65.3,65.25,1723194,1123.38
2016-06-10,65.4,65.5,62.65,63.2,63.15,1343505,859.33
2016-06-13,62.75,62.75,60.9,61.4,61.3,687314,422.78
2016-06-14,61.8,64,61.7,62.65,62.7,1122124,707.13
2016-06-15,63.35,63.65,62.3,62.45,62.45,655151,412.21
2016-06-16,62.3,62.5,61.05,61.3,61.4,444734,273.77
2016-06-17,62.85,64.3,61.05,61.45,61.35,2723118,1702.26
2016-06-20,61.2,67.95,60.1,66.15,66.1,6976468,4575.16
2016-06-21,66.95,67.9,65.05,65.3,65.35,2838757,1886.75
2016-06-22,65.3,65.5,62.65,62.95,63,1052539,671.01
2016-06-23,63.7,65.7,63.1,63.85,64.15,1902869,1227.69
2016-06-24,58.05,62.5,58.05,62.25,62.05,1504203,921.84
2016-06-27,62.15,64.4,62.15,62.9,63.1,1054468,667.66
2016-06-28,63.3,64.45,63.05,63.2,63.25,795708,505.86
2016-06-29,63.7,64.45,63.05,63.15,63.25,929571,591.49
2016-06-30,63.65,64.6,63.05,63.3,63.3,1485497,948.01
2016-07-01,63.6,68.25,63.4,66,65.75,6452338,4265.78
2016-07-04,66.2,67.45,65.15,66.15,66.45,2542424,1685.18
2016-07-05,66.7,67.35,65.45,65.6,65.8,1959557,1299.75
2016-07-07,66.5,67.35,65.8,66.9,66.95,2228212,1487.03
2016-07-08,67.05,67.6,65.3,65.45,65.6,1023987,679.11
2016-07-11,66.5,66.85,65.25,65.4,65.55,798779,527.02
2016-07-12,66,66,64.25,64.45,64.45,833284,541.56
2016-07-13,64.7,65.8,63.25,63.8,63.85,955977,614.58
2016-07-14,64,65.1,63.6,64.2,64.35,953910,613.34
2016-07-15,64.7,64.85,62.7,62.9,63.05,743357,472.63
2016-07-18,63.4,70.35,63.25,64.65,64.65,8057767,5413.95
2016-07-19,65,65.7,63.8,64.25,64.2,1111519,719.09
2016-07-20,64.25,65.25,64.2,64.65,64.5,860487,556.63
2016-07-21,64.85,65.5,63.7,64.1,64.05,825690,532.93
2016-07-22,64.35,66.95,63.75,65.35,65.35,2671996,1757.79
2016-07-25,65.75,65.75,64.05,65.15,64.8,1124952,729.47
2016-07-26,64.8,66.35,64.1,64.75,64.55,1019507,666.01
2016-07-27,65.1,65.4,63.45,64.85,64.9,889726,574.27
2016-07-28,66.95,67.85,65.9,67.4,67.3,3043903,2038.94
2016-07-29,67.45,69.35,66.8,68.6,68.45,2480142,1695.64
2016-08-01,72,73,68.6,69.75,69.7,6864452,4840.96
2016-08-02,70,70.1,67.05,67.5,67.5,1011287,691.55
2016-08-03,67.95,67.95,65.55,65.8,65.85,902792,599.21
2016-08-04,66.3,66.95,65.25,65.3,65.5,827483,545.31
2016-08-05,65.75,66.5,65.4,65.85,66,838834,552.79
2016-08-08,66.45,66.6,65.75,65.8,65.9,535305,354
2016-08-09,66.2,66.2,64.6,65.2,65.05,456339,298.13
2016-08-10,65.15,65.65,63.75,64.25,64,683713,440.13
2016-08-11,64.35,65.3,63.5,63.9,63.85,590765,378.36
2016-08-12,64.2,64.3,63.4,63.8,63.8,689060,439.85
2016-08-16,64.1,64.1,63,63.5,63.65,471840,299.35
2016-08-17,63.7,64.9,63.5,64.35,64.35,601931,386.69
2016-08-18,64.5,66.25,63.9,65.95,65.85,1368429,893.81
2016-08-19,66.95,67.4,66.25,66.6,66.7,1642148,1098.18
2016-08-22,67.6,67.9,66,66.25,66.2,1021412,681.09
2016-08-23,66.2,66.6,64.9,65.2,65.3,881994,579.3
2016-08-24,65.6,66.25,64.45,65,65.1,1582403,1032.22
2016-08-25,65.4,65.75,64.5,64.9,64.8,689710,448.88
2016-08-26,65.25,65.7,63.8,63.95,64,877085,565.78
2016-08-29,63.95,64.2,63,63.05,63.2,1407350,894.8
2016-08-30,63.55,66.15,63.55,65.2,65.25,1989791,1292.1
2016-08-31,65.45,66.35,64.2,64.6,64.75,1229755,803.41
2016-09-01,65,65.35,63.25,63.65,63.55,794851,510.82
2016-09-02,64.1,64.75,63.2,63.8,64,576249,369.21
2016-09-06,64.3,65.4,64,65.25,65.1,953640,617.35
2016-09-07,65.75,67.15,65.3,65.85,65.7,2275431,1506.29
