"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2008-03-12,129.9,129.9,118.75,120.25,121.3,111680940,136449.69
2008-03-13,116.35,121.6,108.5,115,113.6,23368659,26914.19
2008-03-14,115,116.75,109.35,112.75,112.45,6662967,7511.42
2008-03-17,106,109,100.5,105.25,104.8,8286199,8641.79
2008-03-18,104,109,102.1,104.7,105.2,5370411,5683.73
2008-03-19,107,109.7,101,102.25,102.15,3139855,3287.22
2008-03-24,103.15,104.7,92.65,96.6,96.2,3041824,2937.39
2008-03-25,98.6,105.95,95.25,105.5,104.75,6497651,6696.15
2008-03-26,105,107.4,102.7,106,105.25,4704718,4951.87
2008-03-27,105,111.75,104.75,110.05,110.2,6999069,7668.92
2008-03-28,111,111.95,105.2,108.75,109.05,3294734,3567.98
2008-03-31,109.45,109.9,105.75,105.75,106.45,2240585,2420.95
2008-04-01,107.45,108.9,103.7,103.9,104.3,889992,938.56
2008-04-02,106,108.9,103.7,104.05,104.05,793112,834.56
2008-04-03,104.7,105.7,103.8,104.35,104.35,614798,642.73
2008-04-04,104.3,107.3,101.1,102.85,102.35,1142837,1189.03
2008-04-07,103.25,107,101.7,106.45,106.25,750277,789.4
2008-04-08,105.5,109.6,104.55,107.2,107.45,1453363,1564.66
2008-04-09,106,113.75,105.1,113,112.95,2919388,3233.92
2008-04-10,112.25,115.9,110.05,110.3,111.4,2434329,2767.65
2008-04-11,112.25,113.4,109.25,110.75,111.65,1158929,1294.54
2008-04-15,110,116.8,109.1,116,115.85,2714720,3107.01
2008-04-16,116.8,117.9,113,114.6,114.8,1469639,1692.59
2008-04-17,117,117,115,115.35,115.45,926525,1072.67
2008-04-21,116,118.4,114.5,114.95,114.8,1336261,1556.15
2008-04-22,114.5,115.6,113.1,114.1,113.95,724329,828.42
2008-04-23,115,115.2,111,112.9,112.95,875964,989.93
2008-04-24,113.25,116.75,113,113.5,113.65,1590420,1832.24
2008-04-25,114,118.9,112.15,118.5,117.05,1421994,1645.06
2008-04-28,120,120,111.7,115.2,114.5,3128216,3583.51
2008-04-29,115,120.7,115,119.4,119.55,6705256,7970.89
2008-04-30,121,126.2,120,122.25,122.55,7733561,9553.13
2008-05-02,124.7,125.45,120.3,121.35,121.3,2002179,2440.06
2008-05-05,121.5,125.9,120.6,123.75,123.45,3070434,3808.65
2008-05-06,124.4,124.8,117.3,120,119.65,1903933,2315.84
2008-05-07,120,121.75,118.1,120.5,120.65,1310540,1575.81
2008-05-08,119.55,122.25,118,119.9,120.05,972715,1169.08
2008-05-09,118.9,120,115.15,116,115.9,1275946,1489.05
2008-05-12,114.05,116.9,111.5,116,115.8,960873,1093.67
2008-05-13,117.5,119.4,114.55,114.95,115.3,985814,1156.46
2008-05-14,115.5,117.4,114.2,116.1,116.45,1002185,1163.35
2008-05-15,117.95,118.3,116.35,116.75,117.05,229348,268.3
2008-05-16,117.8,118,116.5,117,117,242683,283.76
2008-05-20,117.7,119,116.5,117.25,117.35,629711,738.6
2008-05-21,116.5,120.85,116.5,118.75,118.8,1474115,1757.96
2008-05-22,118.5,118.5,114.25,115,114.95,803277,934.06
2008-05-23,116.7,116.7,114.1,115,114.95,686409,791.55
2008-05-26,113.05,114.4,110.1,111.25,111.3,444867,497.69
2008-05-27,113.7,115.85,107.75,108,108.3,715701,797.94
2008-05-28,109,111.6,107.6,111.25,110.65,786946,860.95
