"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,62.55,65.5,62.25,NA,NA,NA,NA
1998-03-23,64.75,64.95,64.2,64.75,64.75,58200,37.57
1998-03-24,65.9,68.2,64,64.55,64.5,552900,359.25
1998-03-25,65.25,67.5,64.7,66.7,67.05,592900,392.93
1998-03-26,66.85,67.5,64.65,64.75,64.9,475600,314.68
1998-03-27,64.3,66,64.3,65.85,65.8,221300,144.52
1998-03-30,66.75,66.75,64,64,64.05,279400,181.15
1998-03-31,63.75,64.4,61.55,62.3,62.35,440200,276.39
1998-04-01,64,65,63.6,64.8,64.75,287100,185.29
1998-04-02,65.25,65.25,64.05,64.15,64.2,153500,99.28
1998-04-03,64.65,64.85,63.9,64.8,64.65,180400,116.15
1998-04-06,65,65.9,64.2,64.85,64.95,253000,164.28
1998-04-07,65,71,64.65,71,70.25,758400,517.34
1998-04-09,75,77,73.8,75.7,75.65,861700,649.23
1998-04-10,76,76,73.5,73.95,73.9,475000,354.93
1998-04-13,72.75,73.45,69,72,70.7,821400,588.87
1998-04-15,73.9,77.8,73.25,77.8,77.8,854000,653.26
1998-04-16,81,81,76.2,76.35,76.65,824300,647.86
1998-04-17,76.2,78.25,75,77.45,77.55,608800,467.96
1998-04-20,77.5,79.75,75.1,75.85,76.25,762200,590.76
1998-04-21,76.3,77.5,76,76.95,76.75,559200,429.05
1998-04-22,79.9,81,76.4,76.6,76.7,584800,460.09
1998-04-23,75.1,76.9,73.15,73.4,73.65,360400,271.04
1998-04-24,73,74.25,69.15,72.1,72.15,631900,453.72
1998-04-27,73,73.95,71.5,71.6,71.6,536000,388.78
1998-04-28,72,72,70.05,71,70.55,389500,275.9
1998-04-29,72.5,73,66.85,67,67.5,384500,269.93
1998-04-30,66.55,68.55,66,68.15,68,254800,171.49
1998-05-04,68.75,69.45,68.1,68.85,68.75,214600,147.6
1998-05-05,68.9,70.5,68.1,70,69.45,282000,194.37
1998-05-06,70.5,70.5,67.1,67.5,67.3,216700,147.95
1998-05-08,68.25,68.25,66.6,66.8,66.75,148800,99.56
1998-05-11,66.8,67.2,66.5,66.9,66.85,72400,48.38
1998-05-12,64.05,66.05,61.75,63.8,63.1,322500,204.83
1998-05-13,62,63.1,60,60.05,60.7,270500,167.42
1998-05-14,59,63.35,58.75,63,62.75,318100,193.7
1998-05-15,63.25,63.75,60.9,61.3,61.05,200900,124.47
1998-05-18,61.7,62.3,61.35,61.65,61.5,108700,67.17
