"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2008-05-16",1478.45,1478.45,1438.1,1456.35,1462.95,931435,13602.27
"2008-05-20",1449,1451,1380.55,1392.1,1392.4,1410954,19835.02
"2008-05-21",1380,1386,1355,1381,1377.35,2615126,35943.14
"2008-05-22",1390,1390,1301.2,1322.2,1323.75,1596771,21259.38
"2008-05-23",1333,1355,1280.2,1293.75,1290.4,1654737,21749.12
"2008-05-26",1270,1270,1230,1259,1246.15,1202960,14982.88
"2008-05-27",1270,1295.8,1251,1257.1,1259.9,1778754,22659.27
"2008-05-28",1270,1277.85,1225,1269.75,1272.3,1321562,16516.36
"2008-05-29",1287.8,1297,1210.65,1227,1240.1,1518666,19156.64
"2008-05-30",1247.85,1270,1206.35,1232,1230.25,1621448,20034.67
"2008-06-02",1232,1250,1165,1165.85,1170.95,1794846,21562.01
"2008-06-03",1167.7,1167.7,1085.5,1126.6,1126.8,2001430,22315.2
"2008-06-04",1134,1134,1061.1,1066,1070.45,1820509,19947.41
"2008-06-05",1067,1154.7,1011.05,1128,1128.45,2596462,27875.54
"2008-06-06",1150,1165,1083,1105,1099.65,2375035,26787.43
"2008-06-09",1041,1080,1005,1043.5,1036.45,2458771,25332.37
"2008-06-10",1043.75,1059,976.35,1013,1008.75,2901721,29349.89
"2008-06-11",1055.55,1067,1010.1,1030,1021.8,1289043,13266.42
"2008-06-12",1010,1054.7,980,1048.9,1048.25,1662578,17019.07
"2008-06-13",1050,1069,1007,1009,1021.9,1354737,13918.2
"2008-06-16",1055,1076.7,1020,1056,1061.6,1703613,18059.24
"2008-06-17",1069.5,1112,1045.5,1106.9,1103.95,1773546,19262.75
"2008-06-18",1082.55,1126,1065.35,1069.9,1074.55,1349919,14861.05
"2008-06-19",1059.05,1059.05,1008,1013.8,1013.35,1287814,13280.83
"2008-06-20",1020,1020,942.4,973.4,959.85,2280245,22251.31
"2008-06-23",950.05,955,901.4,910.2,917.5,2036550,18903.84
"2008-06-24",911,938,895.6,905,909.3,2023813,18540.21
"2008-06-25",899.35,955,871.6,935.9,946.65,1680817,15510.46
"2008-06-26",962,972,930.45,967,961.15,2880675,27501.85
"2008-06-27",932,940,874.55,883,886.55,2148844,19384.19
"2008-06-30",870,903,751.55,792.55,783.55,3364022,27663.13
"2008-07-01",800,805.5,688.25,691.5,701.35,3850338,28870.27
"2008-07-02",682,805.4,660.25,778.2,786.55,6650213,47623.64
"2008-07-03",818.85,818.85,695,714.65,723.55,5806414,42233.97
"2008-07-04",728.8,793.65,703.4,771,771.8,5032626,38352.4
"2008-07-07",778,839.9,762.8,773,779.45,3726549,30331.31
"2008-07-08",755,780,706.35,756.9,755.3,6359569,47069.36
"2008-07-09",794.9,844.95,785,836.9,835.75,6049159,49686.34
"2008-07-10",824,862,810.1,857.3,856.15,5337035,44795.26
"2008-07-11",875,879,791.2,798.2,801.25,4600690,38108.04
"2008-07-14",791,844.7,781.35,823,818.05,3859191,31579.57
"2008-07-15",785,799.95,752.35,756,768.45,2522274,19704.26
"2008-07-16",779,802.6,743,786.6,766.85,3586631,27811.43
"2008-07-17",802.15,822,771,802.5,807.3,4166544,33284.02
"2008-07-18",810,864.95,801.1,852,856.05,3831805,32087.82
"2008-07-21",872.5,880,827,859,859.9,3533092,30295.8
"2008-07-22",879,934.45,840,934,919.6,5638241,50822.35
"2008-07-23",961.65,1069.9,961.65,1014,1016.7,5186996,52583.06
"2008-07-24",1001.55,1064.9,996.1,1021,1029,5121080,53031.79
"2008-07-25",1007,1016,962,993,983.8,3746768,37100.4
"2008-07-28",995.05,1025.7,975,981.25,986.5,3513450,35142.79
"2008-07-29",969.6,975,900,901,909.1,3385259,31585.06
"2008-07-30",944.8,978.95,906.65,968.6,971.2,2662575,25464.74
"2008-07-31",969,995.7,955,960.8,965.1,3591115,34984.1
"2008-08-01",940,1019,924,1015,1010.25,4242557,41776.02
"2008-08-04",1001.25,1035,991.85,998.8,1002.95,3291489,33281.41
"2008-08-05",999.9,1050,995,1049.4,1046.35,3165684,32482.89
"2008-08-06",1075,1093.65,1005.5,1010,1012.25,3325541,34859.46
"2008-08-07",1011,1049.8,1000,1019,1024.75,2663926,27420.11
"2008-08-08",1015,1039,996,1032,1032,2494774,25430.32
"2008-08-11",1074.5,1112.9,1045,1110.25,1101.65,3274190,35292.71
"2008-08-12",1115,1121,1073.55,1086.5,1095.85,3576823,39283.03
"2008-08-13",1080,1105,1058,1061.9,1066.2,2548757,27574.42
"2008-08-14",1060,1066,980.5,991.3,986.15,3049068,30757.73
"2008-08-18",985.05,1005,963.15,970.3,972.4,2288440,22390.64
"2008-08-19",960,1003.7,951,1002,993.15,2528816,24615.23
"2008-08-20",995,1024,995,1008.1,1009.85,2240731,22668.49
"2008-08-21",1000,1008.8,947.1,949.8,955.35,2056768,20109.04
"2008-08-22",938.8,988.5,930.4,982.9,980.45,2670454,25870.35
