"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2017-09-18,57.9,59.2,57.85,58.2,58.05,995696,581.99
2017-09-19,58.1,60.4,58.1,58.85,59.15,2301728,1368.58
2017-09-20,59.05,59.3,56.6,56.95,57,1325780,767.09
2017-09-21,57.15,57.45,56,56.15,56.25,1023328,578.92
2017-09-22,56.05,56.4,53.7,54.15,54.2,1470244,811.65
2017-09-25,54,54.4,51.65,53.3,53.15,1332104,704.16
2017-09-26,53.3,55.15,52.85,53.55,53.85,1248947,673.45
2017-09-27,54.45,55.7,52.6,53.15,53.1,1850618,1006.21
2017-09-28,53,53.9,51.7,52.15,52.35,2020418,1070.87
2017-09-29,52.5,53.4,52.5,52.7,52.65,802511,424.46
2017-10-03,52.85,53.3,51.25,51.3,51.5,792157,414.36
2017-10-04,51.25,52.3,51,51.55,51.35,892719,461
2017-10-05,51.35,51.9,50.3,51.15,51.1,794028,406.53
2017-10-06,51.2,52.1,51.2,51.65,51.6,601285,310.91
2017-10-09,51.5,53.15,51.15,52.95,52.8,1375159,718.97
2017-10-10,52.9,54.1,52.65,53.5,53.35,1954120,1041.91
2017-10-11,53.5,54.6,52.15,52.35,52.7,1891485,1014
2017-10-12,54.95,54.95,52,53.05,53.05,893852,473.7
2017-10-13,53,53.65,52.4,53,52.9,756133,401
2017-10-16,52.05,52.95,50.45,51.4,51.5,1657597,853.57
2017-10-17,51.4,51.85,50.75,51.1,51.2,767552,393.12
2017-10-18,51.45,51.6,50.7,51.05,51,520103,265.84
2017-10-19,51.25,51.5,50.8,51.2,51.05,263706,134.82
2017-10-23,51.7,52.5,50.9,51.8,51.7,1839125,950.02
2017-10-24,51.7,52,51.5,51.5,51.65,775751,401.49
2017-10-25,51.5,52.8,51.5,52.05,51.95,1315369,685.5
2017-10-26,51.9,53.3,51.7,52.65,52.4,1461423,768.2
2017-10-27,52.6,52.65,50.9,51.4,51.2,2084178,1073.69
2017-10-30,52.8,53.45,52.35,52.7,52.65,1584112,835.67
2017-10-31,52.5,55.2,52.1,54.1,54.2,2747097,1483.22
2017-11-01,55.8,55.8,53.7,54.2,54.1,1276301,696.32
