"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2008-02-11",530,530,355.3,375,372.3,134392544,560250.4
"2008-02-12",381.35,395,338.5,355.2,354.45,41609953,148166.67
"2008-02-13",365,368.65,333,350.1,350.15,24384113,85362.03
"2008-02-14",355.95,375,355.95,370.5,369.95,12638652,46091.71
"2008-02-15",359.1,388.95,356,385,384.5,17584303,66412.01
"2008-02-18",397.2,430,397.2,411.5,413.95,19993393,83760.54
"2008-02-19",415,419.95,408.5,412.3,413.5,10376288,43034.52
"2008-02-20",409.9,412.8,405.25,411.5,408.55,6756938,27659.04
"2008-02-21",414,425,411.15,423,421.85,9359624,39163.75
"2008-02-22",423,432.4,407.2,414.1,417.15,19236222,80512
"2008-02-25",435,455.95,421.05,450.75,450.7,33554593,148363.76
"2008-02-26",450,456.75,443.15,448.45,447.95,11271755,50543.67
"2008-02-27",454,454,444.75,446.05,446.85,4832741,21702.48
"2008-02-28",446.5,447.9,436.65,441.6,442.05,6000092,26535.68
"2008-02-29",435.1,447.25,425.05,427.8,431,4839578,21098.33
"2008-03-03",422,424,406.3,408.9,412.15,2475139,10357.78
"2008-03-04",410,414.45,388.5,389,392.4,4071551,16273.05
"2008-03-05",390,394.6,373.05,373.65,376.05,4336212,16475.04
"2008-03-07",370,370,330,334.9,336.8,8454677,28838.4
"2008-03-10",330,344.9,310.1,333.25,335.05,7209360,23467.69
"2008-03-11",333,364.85,320.25,357.95,358.6,7511581,26601.33
"2008-03-12",369,377.9,340.1,342,345.05,6273668,22457.24
"2008-03-13",315,337.4,315,322,321.6,4934266,16180.58
"2008-03-14",321.3,343.7,315,341.05,337.75,4877083,16191.5
"2008-03-17",330,333.9,313.45,314.45,315.55,5369477,17343.38
"2008-03-18",305.4,326,305.4,317.8,316.45,4915879,15728.99
"2008-03-19",337,337,313.1,314,315,2709901,8723.06
"2008-03-24",321.95,321.95,303,305.8,306.5,2533459,7810.67
"2008-03-25",312.25,323.45,309.25,319,319.65,3959045,12587.06
"2008-03-26",321.1,330.5,316.25,322.9,323.1,4024033,13093.8
"2008-03-27",320,330,317.25,329.1,327.85,3548651,11590.21
"2008-03-28",332.3,337.35,329,332.9,334.05,3937037,13122.73
"2008-03-31",327,333.9,316,317,318,5486260,17883.85
"2008-04-01",323,329,311.5,322.85,321.3,2727714,8683.81
"2008-04-02",330,334,325.6,326.6,327.25,2103622,6911.23
"2008-04-03",324.25,332.9,324,330.8,330.85,1967987,6470.35
"2008-04-04",331.05,332,321.1,322,322.65,1286949,4184.64
"2008-04-07",322,336,318.05,334.75,333.85,2640625,8748.19
"2008-04-08",333,363,327,350.85,351.3,8007532,28074.09
"2008-04-09",350.9,367.95,346,360.6,362.5,6216906,22474.04
"2008-04-10",361.9,367.8,354.15,356.8,358.5,4104160,14877.98
"2008-04-11",363.05,388,358,363.05,363.1,2919825,10604.83
"2008-04-15",360,388.8,351,387.65,384.4,4912413,18549.86
"2008-04-16",393,404,373,373.6,375.25,6986999,27147.21
"2008-04-17",380,390,378.05,385.3,384.75,3435564,13218.19
"2008-04-21",387,391.2,372.6,373.45,374.2,3031578,11505.08
