"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,11.2,11.35,10.8,NA,NA,NA,NA
1998-03-23,11.25,11.5,11.05,11.4,11.4,216800,24.6
1998-03-24,11.6,11.85,10.6,10.75,10.8,3810000,424.44
1998-03-25,11.05,11.3,10.5,11.1,11.1,1339100,146.04
1998-03-26,10.9,11.2,10.3,10.4,10.45,710000,76.5
1998-03-27,10.35,10.65,10.25,10.55,10.55,546200,57.33
1998-03-30,10.7,11,10.3,10.35,10.35,434200,46.14
1998-03-31,10.4,10.4,9.55,9.85,9.75,955000,95.26
1998-04-01,10.25,10.5,10.15,10.45,10.4,297500,30.74
1998-04-02,10.65,11.25,10.4,10.75,10.8,1520300,165.89
1998-04-03,11,11.9,11,11.9,11.9,1916400,223.2
1998-04-06,12.65,12.7,12.65,12.7,12.7,189600,24.07
1998-04-07,12.7,12.7,12.7,12.7,12.7,21400,2.72
1998-04-09,13.9,14,13.5,13.75,13.75,1958500,270.44
1998-04-10,13.7,14.75,13.5,14.15,14.1,2145300,306.52
1998-04-13,13.75,14.25,13.5,13.7,13.7,1758600,244
1998-04-15,14.5,15.1,14.25,15.1,15.1,576900,86.03
1998-04-16,16.4,16.6,14.5,14.75,14.8,1899500,290.74
1998-04-17,14.6,15.3,14.4,15.25,15.2,1333400,197.91
1998-04-20,15.25,16.55,14.7,14.85,14.85,1550900,239.65
1998-04-21,15.25,15.25,14.75,15,14.85,1161700,173.09
1998-04-22,15.8,16,14.2,14.4,14.4,1591500,237.67
1998-04-23,14.3,14.45,13.6,13.8,13.75,736700,103.35
1998-04-24,13.65,13.9,12.4,13.35,13.35,1205300,157.73
1998-04-27,13.75,14.5,13,13.25,13.25,767100,103.02
1998-04-28,13,13.25,12.75,13,12.9,1101500,142.74
1998-04-29,13.25,13.95,12,12.15,12.2,689700,88.28
1998-04-30,12,12.8,11.5,12.55,12.6,1011600,123.87
1998-05-04,12.95,13.9,12.85,13.6,13.8,1460600,197.87
1998-05-05,14.2,14.2,13.3,13.45,13.4,841400,113.5
1998-05-06,14,14,12.8,12.9,12.9,833400,111.19
1998-05-08,12.8,13.75,12.65,13.2,13.35,1080400,142.81
1998-05-11,13.55,13.65,12.9,12.9,13,967000,127.81
1998-05-12,12.9,12.9,11.7,12.55,12.65,1670500,205.41
1998-05-13,12.15,12.7,11.85,11.85,12,853400,104.8
1998-05-14,11.8,12.9,11.8,12.9,12.75,751400,92.74
1998-05-15,12.95,13,12.3,12.4,12.35,695700,87.99
1998-05-18,12.7,12.75,12.5,12.6,12.6,384200,48.51
1998-05-19,12.7,13.05,12.45,13,12.9,943800,121.23
1998-05-20,13.45,13.5,12.95,13.15,13.05,2032000,267.11
1998-05-21,13.3,13.4,12.6,12.75,12.75,929500,120.59
1998-05-22,12.6,12.95,12.6,12.85,12.9,487300,62.62
1998-05-25,12.65,12.7,12,12.25,12.35,818600,101.18
1998-05-26,12.1,12.4,11.95,12.05,12,1092500,132.7
1998-05-27,12.25,12.65,11.9,12.05,12,1353200,165.97
1998-05-28,12.2,12.35,11.75,11.9,11.85,1093600,130.96
1998-05-29,11.55,13.05,11.15,12.9,12.95,4292400,539.89
1998-06-01,13.4,13.75,11.7,11.8,12.05,5329400,683.31
1998-06-02,12.5,12.5,11.1,11.9,11.5,2609500,307.75
1998-06-03,12.15,12.65,11.45,12.65,12.45,2244400,271.25
1998-06-04,13,13,12,12.65,12.5,3672800,456.26
1998-06-05,12.25,12.5,11.6,12.1,11.95,2755700,333.77
1998-06-08,12.1,12.25,11.25,11.9,12,1208700,141.58
1998-06-09,11.9,12.1,11.35,11.5,11.45,1372300,159.41
1998-06-10,11.5,11.5,10.55,10.6,10.7,931000,102.93
1998-06-11,10.5,10.8,9.65,10.45,10.65,1091400,111.68
1998-06-12,10.5,10.8,9.9,10,10,796900,82.5
1998-06-15,10.35,10.35,9,9,9,668800,62.27
1998-06-16,9,10.35,8.6,10.25,10.25,3113600,302.16
1998-06-17,10.1,11.6,10.1,11.5,11.35,4488200,497.2
1998-06-18,11.5,11.6,10.8,11.5,11.3,3021700,339.49
1998-06-19,11,11.05,10.5,10.8,10.8,576000,62.12
1998-06-22,10.25,10.4,9.35,10.25,10,537500,53.27
1998-06-23,10,10,9.5,9.75,9.75,1294500,125.84
1998-06-24,10,10.2,9.75,9.85,9.85,539700,53.68
1998-06-25,10.15,10.15,9.85,9.85,9.95,633500,63.33
1998-06-26,9.65,10.05,9.5,9.6,9.6,1671100,163.41
1998-06-29,9.15,9.75,9.15,9.45,9.45,478500,45.64
1998-06-30,9.45,10,8.7,9.1,9.25,2135100,195.48
1998-07-01,9.1,9.25,8.75,8.95,9,433200,38.82
1998-07-02,8.95,9.15,8.45,8.7,8.65,651300,56.97
1998-07-03,8.9,8.9,8.4,8.5,8.5,585300,50.03
1998-07-06,8.7,8.9,8.65,8.7,8.75,414000,36.21
1998-07-07,8.7,9.05,8.6,8.8,8.85,705700,62.82
1998-07-08,9,9.05,8.85,8.9,8.95,537800,48.22
1998-07-09,9,9.15,8.9,9,8.95,318100,28.71
1998-07-10,9.05,9.45,8.8,8.95,8.95,1035100,93.75
1998-07-13,9.1,9.2,8.8,8.85,8.85,632300,57.13
1998-07-14,8.8,8.9,8.7,8.75,8.75,446400,39.24
1998-07-15,8.85,9,8.7,8.8,8.8,381000,33.72
1998-07-16,8.75,8.9,8.7,8.9,8.85,320900,28.27
1998-07-17,8.95,9.05,8.55,8.6,8.6,812200,71.12
1998-07-20,8.75,8.75,8.3,8.3,8.35,344900,29.23
1998-07-21,8.25,8.4,7.9,8,7.95,767500,62.78
1998-07-22,8,8.2,7.95,8,8,301200,24.22
1998-07-23,8.05,8.05,7.65,7.7,7.7,450500,35.28
1998-07-24,7.65,7.85,7.6,7.65,7.65,291500,22.37
1998-07-27,7.55,7.8,7.4,7.5,7.55,375800,28.26
1998-07-28,7.5,7.65,7.45,7.5,7.5,524600,39.47
1998-07-29,7.55,8,7.5,7.6,7.55,436300,33.12
1998-07-30,7.55,7.6,7.3,7.3,7.3,336600,25.08
1998-07-31,7.2,7.2,6.6,7.1,7,372300,26.01
1998-08-03,6.9,6.9,6.6,6.8,6.8,375100,25.52
1998-08-04,6.75,6.8,6.55,6.65,6.6,1085600,72.4
1998-08-05,7,7.3,7,7.15,7.15,850600,60.62
1998-08-06,7.15,7.4,7.15,7.25,7.2,616300,44.83
1998-08-07,7.25,7.35,7.2,7.25,7.25,198800,14.41
1998-08-10,7.25,7.3,7.15,7.25,7.2,200900,14.48
1998-08-11,7.2,7.2,7.05,7.1,7.1,212000,15.08
1998-08-12,7.2,7.2,6.7,6.75,6.75,1002700,68.98
1998-08-13,6.8,6.85,6.5,6.75,6.75,649800,43.42
1998-08-14,6.8,6.85,6.6,6.7,6.7,575200,38.38
1998-08-17,6.8,6.8,6.55,6.6,6.6,349000,23.18
1998-08-18,6.65,6.65,6.45,6.6,6.55,635000,41.76
1998-08-19,6.65,6.7,6.4,6.45,6.5,410100,26.71
1998-08-20,6.55,6.6,6.2,6.5,6.35,983900,62.21
1998-08-21,6.45,6.5,6.35,6.4,6.35,473900,30.36
1998-08-24,6.4,6.4,6.25,6.3,6.3,295300,18.56
1998-08-25,6.35,6.45,6.15,6.25,6.2,411900,26.01
1998-08-27,6.3,6.4,6.25,6.4,6.4,420800,26.65
1998-08-28,6.25,6.25,6,6.15,6.15,387500,23.87
1998-08-31,6.2,6.25,6,6.15,6.15,289700,17.82
1998-09-01,6.1,6.1,5.7,5.8,5.75,2376000,139.78
1998-09-02,5.8,5.9,5.55,5.75,5.7,734000,41.71
1998-09-03,5.85,5.9,5.65,5.65,5.65,404500,23.24
1998-09-04,5.75,5.75,5.55,5.7,5.7,769200,43.57
1998-09-07,5.75,6.25,5.7,6.15,6.15,974900,57.94
1998-09-08,6.15,6.25,5.85,5.95,5.95,1432600,85.99
1998-09-09,6.1,6.1,5.95,6,5.95,1324300,79.55
1998-09-10,6.15,6.15,5.85,5.9,5.9,665100,39.42
1998-09-11,5.9,5.9,5.5,5.6,5.55,1166200,65.63
1998-09-14,5.65,5.8,5.55,5.65,5.65,988600,56.31
1998-09-15,5.6,5.95,5.6,5.8,5.8,637800,36.89
1998-09-16,6,6.8,5.95,6.1,6.1,1573500,100.04
1998-09-17,6.2,6.3,6,6.1,6.05,725600,44.51
1998-09-18,6.25,6.8,6.05,6.65,6.6,1436300,93.35
1998-09-21,6.85,7,6.65,6.85,6.8,1554200,106.26
1998-09-22,6.8,6.9,6.6,6.9,6.8,963700,64.76
1998-09-23,7,7,6.75,6.9,6.9,753200,51.65
1998-09-24,7,7.1,6.75,6.8,6.85,755700,52.13
1998-09-25,6.85,7,6.65,6.7,6.7,1029300,70.06
1998-09-28,6.8,6.9,6.55,6.6,6.55,465100,31.15
1998-09-29,6.6,6.6,6.25,6.35,6.3,704200,44.99
1998-09-30,6.35,6.7,6.3,6.6,6.6,288900,18.91
1998-10-05,6.35,6.35,6,6,6,346100,21.01
1998-10-06,6.2,6.2,5.9,6,5.95,412900,24.75
1998-10-07,6.1,6.2,6.05,6.1,6.1,283700,17.29
1998-10-08,6.15,6.15,6,6,6,101400,6.15
1998-10-09,6,6.05,5.8,5.85,5.85,453600,26.81
1998-10-12,5.85,5.85,5.55,5.6,5.6,387700,21.93
1998-10-13,5.5,5.65,5.35,5.45,5.4,626300,34.27
1998-10-14,5.5,5.55,5.05,5.35,5.4,708400,37.47
1998-10-15,5.4,5.5,5.3,5.4,5.35,369000,19.94
1998-10-16,5.4,5.4,5.1,5.35,5.3,284500,14.94
1998-10-19,5.3,5.35,5.2,5.25,5.2,103200,5.42
1998-10-20,5.15,5.15,5,5.05,5,448600,22.65
1998-10-22,5.2,5.45,5.05,5.4,5.35,298900,15.63
1998-10-23,5.25,5.45,5.15,5.3,5.25,358600,19.06
1998-10-26,5.65,6.5,5.45,5.75,5.75,1103900,62.44
1998-10-27,5.75,5.8,5.5,5.75,5.6,330400,18.59
1998-10-28,5.85,5.85,5.5,5.5,5.55,279600,15.72
1998-10-29,5.45,5.45,5.3,5.4,5.4,239000,12.87
1998-10-30,5.35,5.35,5.1,5.1,5.15,435400,22.7
1998-10-31,5.05,5.15,4.9,5.1,5.05,167900,8.42
1998-11-02,5,5.15,5,5.05,5.1,234000,11.83
1998-11-03,5.1,5.15,5,5.05,5.05,441600,22.47
1998-11-05,5.05,5.25,5.05,5.15,5.15,405100,20.91
1998-11-06,5.2,5.3,5.1,5.15,5.15,253100,13.08
1998-11-09,5.2,5.6,5.2,5.4,5.35,684200,36.82
1998-11-10,5.45,5.6,5.3,5.55,5.5,370200,20.15
1998-11-11,5.6,5.8,5.55,5.6,5.6,707500,40.33
1998-11-12,5.5,5.65,5.45,5.6,5.6,243200,13.46
1998-11-13,5.5,5.95,5.5,5.8,5.8,671100,38.97
1998-11-16,5.75,5.95,4.95,5,5,1499500,79.69
1998-11-17,5,5.3,4.95,5,5,1021000,51.66
1998-11-18,5.2,5.5,5.15,5.25,5.25,1179400,62.53
1998-11-19,5.35,5.75,5.2,5.5,5.5,2066500,114.2
1998-11-20,5.7,5.8,5.25,5.25,5.25,1397100,76.71
1998-11-21,5.4,5.45,5.3,5.45,5.45,112900,6.07
1998-11-23,5.45,5.45,5.15,5.25,5.25,651900,34.1
1998-11-24,5.25,5.35,5.15,5.25,5.25,891200,46.55
1998-11-26,5.15,5.45,5.15,5.2,5.2,522700,27.55
1998-11-27,5.25,5.25,5.1,5.2,5.2,452000,23.39
1998-11-28,5.15,5.25,5.05,5.2,5.2,303800,15.69
1998-11-30,5.15,5.2,5.1,5.2,5.2,243500,12.57
1998-12-01,5.2,5.25,5.1,5.15,5.15,568700,29.27
1998-12-02,5.2,5.25,5.15,5.15,5.15,221500,11.5
1998-12-03,5.25,5.25,5.05,5.1,5.1,738700,37.9
1998-12-04,5.1,5.15,5,5.05,5.05,469400,23.83
1998-12-07,5.05,5.2,5,5.15,5.15,524400,26.94
1998-12-08,5.1,5.15,5.05,5.1,5.1,578000,29.45
1998-12-09,5.15,5.2,5.1,5.15,5.15,270700,13.94
1998-12-10,5.15,5.15,5.1,5.1,5.1,156500,8
1998-12-11,5.15,5.3,5.1,5.3,5.3,1344100,69.58
1998-12-14,5.25,5.35,5.1,5.15,5.15,890400,46.54
1998-12-15,5.15,5.2,5.1,5.1,5.1,759700,39.03
1998-12-16,5.15,5.25,5.1,5.15,5.15,456500,23.57
1998-12-17,5.1,5.2,5.05,5.05,5.05,202500,10.34
1998-12-18,5.1,5.1,5.05,5.05,5.05,131800,6.7
1998-12-21,5.1,5.2,5.1,5.2,5.2,233800,12.02
1998-12-22,5.15,5.15,4.95,5,5,666400,33.49
1998-12-23,5.1,5.15,5.05,5.1,5.1,261000,13.35
1998-12-24,5.1,5.15,5.05,5.05,5.05,204600,10.4
1998-12-28,5.1,5.9,5.05,5.75,5.75,1529600,85.21
1998-12-29,5.65,6.05,5.55,5.9,5.9,924400,53.74
1998-12-30,6.15,6.3,5.75,5.85,5.85,1369800,82.03
1998-12-31,5.75,5.85,5.65,5.7,5.7,283500,16.35
1999-01-01,5.7,6.15,5.55,6,6,782600,46.01
1999-01-04,6.05,6.15,5.9,6,6,699300,42.02
1999-01-05,5.85,6,5.75,5.85,5.85,686400,40.35
1999-01-06,6,6.1,5.95,6.05,6.05,538000,32.51
1999-01-07,6.05,6.45,6.05,6.3,6.3,1168100,73.23
1999-01-08,6.4,7.45,6.35,7.45,7.45,2859300,198.53
1999-01-11,7.9,8.2,7.45,7.5,7.5,3146000,244.46
1999-01-12,7.35,7.35,6.65,7,7,2037400,142.43
1999-01-13,7.15,7.45,6.75,6.75,6.75,1390700,98.77
1999-01-14,6.55,6.9,6.5,6.75,6.75,610800,41.18
1999-01-15,6.7,6.8,6.35,6.4,6.4,747400,48.84
1999-01-18,6.4,6.55,6.3,6.5,6.5,565000,36.45
