"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",275.4,278.8,273.3,NA,NA,NA,NA
"1998-03-23",278.45,280.9,278.45,279.95,279.95,591700,1654.91
"1998-03-24",282,288.4,280,282.25,284.35,4979900,14231.55
"1998-03-25",285,290.25,284.5,288.7,289.15,3632600,10436.93
"1998-03-26",289,289,280.1,281.75,281.7,3861750,10996.67
"1998-03-27",281.6,285.5,279.9,285.2,285,3239100,9165.65
"1998-03-30",285.85,287,279.1,279.5,279.8,2641600,7476.52
"1998-03-31",279,282,277.25,278.5,278.9,3657200,10228.23
"1998-04-01",281,287.55,281,287.55,286.75,2944250,8390.5
"1998-04-02",287.95,289,284.5,285.45,285.45,2799350,8028.3
"1998-04-03",287.9,293.9,286.1,293.4,291.75,4212750,12185.94
"1998-04-06",293.95,295.8,290.7,293.2,292.7,2731800,7990.8
"1998-04-07",292.45,302.2,291,302.2,298.6,5030250,14969.13
"1998-04-09",307,308.5,299.15,302.7,302.5,5037000,15286.56
"1998-04-10",301.2,306,299.3,301.7,301.45,5613900,16998.55
"1998-04-13",300.7,300.7,290.05,292.5,291.3,4659250,13677.77
"1998-04-15",299.5,305.4,299,303.5,303.65,5776850,17482.5
"1998-04-16",302.5,302.8,295.5,296.4,296.5,3779950,11302.23
"1998-04-17",296.4,298.5,293.75,298,297.85,3082800,9131.07
"1998-04-20",298,301,295.25,295.4,296.15,3401250,10168.01
"1998-04-21",297,300.75,296.1,298.6,298.6,3755350,11211.33
"1998-04-22",302,305.8,295.4,296,296.4,3559200,10716.29
"1998-04-23",296,297.9,290.1,291.2,291.4,2936600,8644.24
"1998-04-24",291.85,296.35,286.55,296,295.2,4424400,12913.7
"1998-04-27",296,297.2,292.55,294.7,293.95,2846750,8398.42
"1998-04-28",293.1,295,291.5,293.8,293.1,2760200,8084.92
"1998-04-29",298,300.5,285.5,285.95,286.7,6277550,18337.43
"1998-04-30",286,289.75,283.65,288.5,288.1,3092300,8869.25
"1998-05-04",288.85,292,287.5,288.8,289.25,1870550,5414.28
"1998-05-05",288.2,289.85,286.25,289.5,288.85,2645100,7625.15
"1998-05-06",291,291,280.25,282.7,282.05,3707200,10505.74
"1998-05-08",281,282,277.1,277.3,278.05,3209150,8964.91
"1998-05-11",277.1,279.95,276.9,279,278.6,1841700,5130.16
"1998-05-12",278.1,278.1,263.2,264,263.95,5490950,14687.89
"1998-05-13",264,266,255.1,256,256.6,3704300,9674.54
"1998-05-14",255.55,262.9,253.6,262.2,261.9,4289850,11110.58
"1998-05-15",262.95,263.25,251.6,252.65,252.55,5857250,14970.05
"1998-05-18",253.6,259.05,252.6,256,255.85,4146950,10602.94
"1998-05-19",256,257.4,251.85,254.05,254.05,4093150,10418.23
"1998-05-20",256.05,261.95,255.05,260.55,260.65,4044150,10487.39
"1998-05-21",261.8,261.8,253.3,254.65,254.75,3492050,8967.01
"1998-05-22",254.5,257.45,253.25,255.95,256.8,2645600,6754.8
"1998-05-25",254.25,255.75,251.5,253.8,254.45,1490650,3795.63
"1998-05-26",253.5,254,248.9,250.4,249.8,3773350,9453.75
"1998-05-27",249.9,251.9,245,246,245.95,2926750,7277.51
"1998-05-28",245.05,248.75,242.65,243.65,243.25,2418300,5932.14
"1998-05-29",242.8,246.4,236.1,242,242.1,3437800,8301.1
"1998-06-01",244,247.8,235.25,235.5,236.55,3043250,7368.35
"1998-06-02",236,237.9,226.1,227,227.3,3650550,8481.31
"1998-06-03",230,230,208.65,215.75,215.8,8072850,17403.26
"1998-06-04",216.25,216.6,208.1,209.5,209.95,6584850,13958.73
"1998-06-05",208.55,208.55,198.1,199.4,199.35,6627150,13492.75
"1998-06-08",200,202,187,197.25,195.35,7489500,14484.17
"1998-06-09",198,204.85,191.1,203,200.7,6795250,13524.14
"1998-06-10",201.5,204,191.25,191.75,193.15,4670850,9168.37
"1998-06-11",190.3,198,185.05,197.5,197.05,5095350,9902.17
"1998-06-12",198.05,204.95,198.05,203.9,203.45,4331850,8777.47
"1998-06-15",201,201.45,191.5,191.65,192.25,3472150,6804.17
"1998-06-16",191.05,195.95,185.05,194.1,194.85,4109400,7884.21
"1998-06-17",198,214.3,198,214.3,213.55,6026400,12622.43
"1998-06-18",217.8,221.05,208.25,208.75,210.15,7469500,16031.24
"1998-06-19",210.4,210.95,201.9,203.85,203.3,6313800,13005.63
"1998-06-22",201.6,201.6,188,200,196.95,4065000,7844.2
"1998-06-23",195,205.5,193.5,205.3,204.7,4784850,9651.37
"1998-06-24",205,209,203.3,207.75,207.65,3068100,6355.68
"1998-06-25",208.3,212.7,207.5,209.9,211.3,3407550,7156.91
"1998-06-26",211.4,211.4,206.3,208.05,208.1,2866950,5966.15
"1998-06-29",207.35,212.85,206.55,212.35,212.1,3276700,6906.57
"1998-06-30",213,215.8,210,211.75,212.55,4417700,9430.19
"1998-07-01",209.1,211,204.35,206.8,207.65,4159550,8617.06
"1998-07-02",206.25,208,205,205.5,205.45,1864150,3848.16
"1998-07-03",206.15,206.45,198.5,198.9,199.5,3371750,6803.37
"1998-07-06",200.9,209,200.55,208.75,207.45,3643450,7461.33
"1998-07-07",208.25,219,208.25,215.95,216.2,8036950,17299.09
