"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",195.55,205.5,190.3,NA,NA,NA,NA
"1998-03-23",204.25,215.05,204.25,215.05,215.05,13150,27.83
"1998-03-24",215.15,215.2,215.15,215.2,215.2,8200,17.64
"1998-03-25",227,236.75,227,236.75,236.75,29650,69.49
"1998-03-26",250,260.45,238.15,243,240.4,65850,164.7
"1998-03-27",237,251.95,235.15,251,250.7,34200,84.23
"1998-03-30",257,261,239,240,241.3,46100,115.67
"1998-03-31",242.95,244.45,217.2,225,222.7,46650,106.22
"1998-04-01",232.75,245,230.05,245,245,44600,107.55
"1998-04-02",254,254,245,245,248.25,56950,142.05
"1998-04-03",245,250,239.5,245,245.35,20100,49.17
"1998-04-06",246,246,240.15,240.15,241.5,11400,27.71
"1998-04-07",231,245,231,244,242.35,21450,51.89
"1998-04-09",241,264.9,241,259.9,259.45,29750,76.53
"1998-04-10",264,278,250,260,260.8,57900,152.33
"1998-04-13",251,259,248,254.95,250,40200,101.84
"1998-04-15",267,275,266,275,275,11600,31.49
"1998-04-16",289,289.5,271,273.5,273.85,21800,60.59
"1998-04-17",274,282,269,278.5,278.7,18650,51.24
"1998-04-20",272,297.7,272,283,285.55,48300,138.89
"1998-04-21",287.5,312.25,287,312.25,312.25,38700,117.07
"1998-04-22",320,340,310,310,311.15,37600,121.69
"1998-04-23",290,313.5,290,302,300.95,15750,48.27
"1998-04-24",300,304,279,296.7,295.15,20100,58.74
"1998-04-27",294,301,280,283.5,282.35,12550,36.36
"1998-04-28",282,282,260.1,268.95,261.95,19450,52.29
"1998-04-29",282,284,262.25,262.25,264.05,19300,52.87
"1998-04-30",252,286,252,283,283.25,20200,54.7
"1998-05-04",290,300,285,290,289.15,19750,57.67
"1998-05-05",290,293.9,282,289.5,290.1,17500,50.32
"1998-05-06",290,290,272,284,281.8,7800,22.09
"1998-05-08",280,280,273.5,275,274.95,11450,31.58
"1998-05-11",279,279,274.05,278.8,278.65,3500,9.72
"1998-05-12",256,275,256,275,267.55,11750,31.28
"1998-05-13",263,263,245,245,245.25,18950,47.35
"1998-05-14",250,258,235.5,253,255.05,11700,29.11
"1998-05-15",254.5,259,250,250.6,251.85,13000,33.03
"1998-05-18",251,255,248.1,248.75,249.95,10350,26.02
"1998-05-19",250,254,246.05,250,248.45,15850,39.46
"1998-05-20",251,257.9,250,254.1,254.45,8450,21.56
"1998-05-21",255,255,233,237,238.25,8800,21.34
"1998-05-22",241,244.9,235,240,240.4,13850,33.16
"1998-05-25",239.5,242,236,237,237.5,8100,19.36
"1998-05-26",243,243,232.8,236,234.95,21000,49.53
"1998-05-27",249,258.4,249,258.4,258.4,5550,14.22
"1998-05-28",275.4,284.2,275.4,284.2,283.9,29750,84.21
"1998-05-29",275.5,285,265,283.7,280.05,57350,159.86
"1998-06-01",285,293.4,280,280,284.2,59750,174.31
"1998-06-02",279,279.5,257.25,264,261.5,27500,73.79
"1998-06-03",272,285,260,270.2,268.3,25250,68.66
"1998-06-04",271,276,255,255,259.1,20100,53.24
"1998-06-05",251,251,233.25,233.25,233.25,25400,60.5
"1998-06-08",230,230,210,210,210,5850,12.67
"1998-06-09",210,215,199.8,214.75,209.3,28900,59.88
"1998-06-10",216,216,199.8,201,202.65,21150,43.53
"1998-06-11",200,204.95,187,203,203.55,18100,35.23
"1998-06-12",213,219.4,202,204.55,204,19650,41.55
"1998-06-15",195.75,200,185,187.5,186.55,16750,31.98
"1998-06-16",175.35,185,171.5,178,178.95,19850,35.38
"1998-06-17",190,196.5,185,193,192.2,23050,44.1
"1998-06-18",193,195.5,180,182,182.9,18800,35.16
"1998-06-19",178,181,164.75,168.9,166.65,16050,27.7
"1998-06-22",162,167.5,159,165,165.05,10050,16.35
"1998-06-23",159,167,158,158.55,160.85,10450,16.95
"1998-06-24",170,176,169.5,176,176,7250,12.53
"1998-06-25",190,190,177,185,185.35,14450,26.53
"1998-06-26",181,184,175.25,179.8,177,8550,15.37
"1998-06-29",179,191,175,190.45,189.75,14150,26.25
"1998-06-30",185.5,188.5,180,186,185.25,13150,24.22
"1998-07-01",183,183,176.55,181.8,180.7,8000,14.39
"1998-07-02",179.2,182,177.6,178,179.15,3100,5.57
"1998-07-03",179,179,170.55,170.7,170.9,3900,6.73
"1998-07-06",175,178.05,174,178,177.35,3250,5.73
"1998-07-07",181.9,186,179.6,184.5,184.85,11450,21.04
"1998-07-08",187,189,184,187.5,187.35,4600,8.57
"1998-07-09",185,191.95,184.25,184.55,185.05,15700,29.46
"1998-07-10",188,194.4,186,192.2,192.75,13150,24.84
"1998-07-13",196,204.95,193,201.6,202,33650,67.19
"1998-07-14",199.05,213.5,192.25,212,208.95,15800,32.15
"1998-07-15",215,219.9,208.6,210,209.55,16550,35.35
"1998-07-16",208.7,215.9,206.6,214.05,213.9,13500,28.66
"1998-07-17",216,221.75,209,218.8,216.5,21150,46.03
"1998-07-20",210,224,210,215,215.45,22800,49.6
"1998-07-21",213,217.5,206,208.5,207.75,17200,36.51
"1998-07-22",214,214.9,193,196,195.2,41150,82.55
"1998-07-23",193.1,193.1,181.25,185.5,185.1,32550,60.28
"1998-07-24",182.1,186.75,180.3,185.5,184.45,12150,22.34
"1998-07-27",184,188,182,183.5,184.3,9400,17.27
"1998-07-28",184,190,183.05,187.9,187.1,15500,28.98
"1998-07-29",190.95,190.95,185,185.8,186.9,3700,6.93
"1998-07-30",187.95,188,185.15,186,186,2750,5.14
"1998-07-31",185.05,185.05,180,182,181.05,7050,12.81
"1998-08-03",177.7,178,174.55,175.3,175.9,1450,2.56
"1998-08-04",175,176,172,172.2,172.6,4800,8.32
"1998-08-05",174.5,177,171,176.25,175.8,4550,7.9
"1998-08-06",178,184,175,177.75,177.2,4600,8.24
"1998-08-07",176.7,176.7,170,170,170.85,7500,12.93
"1998-08-10",170,173.9,170,172.25,171.45,2650,4.57
"1998-08-11",169.1,170.5,167,168,168.2,9750,16.4
"1998-08-12",169,171.25,169,169.05,169.25,3300,5.62
"1998-08-13",168.6,174,168,172.1,173.25,3950,6.74
"1998-08-14",173,173.7,171,171.95,171.95,4150,7.16
"1998-08-17",174.5,174.9,169.1,169.1,169.1,1950,3.35
"1998-08-18",170,170,166.35,169,168.1,4550,7.67
"1998-08-19",169,174.8,169,170.2,170.2,2700,4.64
"1998-08-20",172,177,170,177,176.4,20900,36.06
"1998-08-21",176.9,190.45,176.9,185.5,184.9,30450,56.94
