"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2000-02-02",500,1100,500,900,895.65,772650,4117.36
"2000-02-03",933.5,967,912,963.45,962.65,8950,85.43
"2000-02-04",973,990,952.05,990,979.8,7400,72.07
"2000-02-07",960,969.8,901.45,901.45,912.8,8100,74.07
"2000-02-08",850,850,839.8,839.8,839.8,1300,10.99
"2000-02-09",772.65,772.65,772.65,772.65,772.65,500,3.86
"2000-02-10",710.85,711,710.85,710.85,710.85,850,6.04
"2000-02-11",654,654,654,654,654,500,3.27
"2000-02-14",601.7,601.7,601.7,601.7,601.7,2500,15.04
"2000-02-15",553.6,649.85,553.6,649.85,613.45,17100,99.52
"2000-02-16",662,662.5,617.5,662.5,658.95,17750,115.84
"2000-02-17",711,711.6,680,699,698.15,10300,72.54
"2000-02-18",670,685,655.1,655.1,665.15,1550,10.48
"2000-02-21",700,700,625,630,627,2550,16.55
"2000-02-22",644,644,581,594,588.8,5650,33.22
"2000-02-23",628.8,629,586,595,587.5,1450,8.74
"2000-02-24",565.6,593,540.5,541,548,1400,7.75
"2000-02-25",511.05,519.9,510,519.9,519.9,700,3.6
"2000-02-28",525,550,486,525,525,1950,10.18
"2000-02-29",520,556,520,520,520.55,1550,8.28
"2000-03-01",530,540,511.1,511.1,513.05,400,2.1
"2000-03-02",533,533,490,490,490,3900,20.71
"2000-03-03",475,506,455,500,488.2,3150,15.19
"2000-03-06",499.75,500,449.5,449.5,462.25,650,3.13
"2000-03-07",450,450,430,431,431,2700,11.7
"2000-03-08",409.95,410,409.95,410,410,200,0.82
"2000-03-09",410,410,410,410,410,50,0.2
"2000-03-10",377.2,420,377.2,420,420,12650,47.74
"2000-03-14",389,389,388,388,388,700,2.72
"2000-03-15",367,367,360,360,360,3650,13.15
"2000-03-16",337,337,331.2,331.2,331.2,2800,9.3
"2000-03-22",319,319,305.1,305.1,305.1,100,0.31
"2000-03-23",285,285.5,281.1,281.1,281.1,950,2.68
"2000-03-24",258.65,258.65,258.65,258.65,258.65,750,1.94
"2000-03-27",238,279.35,238,279.35,279.35,2200,5.53
"2000-03-28",301.65,301.7,301.65,301.7,301.7,750,2.26
"2000-03-29",325.85,325.85,325.85,325.85,325.85,700,2.28
"2000-03-30",351.95,351.95,340,351.95,351.95,2600,9.09
"2000-03-31",375,379.95,361.5,372,374,1950,7.28
"2000-04-03",350,403,350,403,384.35,2250,8.6
"2000-04-04",360,415,353.6,380,382.15,14350,51.89
"2000-04-05",381,399,370,395,395,1500,5.69
"2000-04-06",385,385,365,365,365,850,3.18
"2000-04-07",365,394,365,393.9,393.9,1000,3.81
"2000-04-10",390,395,390,395,393.75,500,1.96
"2000-04-11",398,425,380,425,406,2500,9.94
"2000-04-12",385,422,383.5,422,402.35,1100,4.36
"2000-04-13",403.5,414.5,403.5,414.5,414.5,1050,4.26
"2000-04-17",382,390,382,389,389,1050,4.03
"2000-04-18",367,378.5,357.9,378,378,1600,5.8
"2000-04-19",381,381,351.25,351.25,351.6,600,2.2
"2000-04-24",340,340,340,340,340,50,0.17
"2000-04-25",313,339,313,335,335,1300,4.35
"2000-04-26",361.8,361.8,361.8,361.8,361.8,5050,18.27
"2000-04-27",347.5,347.5,347.5,347.5,347.5,50,0.17
"2000-04-28",349,375.3,349,375.3,375.3,4800,17.8
"2000-05-02",380,380,348,363.5,363.5,1600,5.84
"2000-05-03",359.5,359.5,335.1,339.5,339.5,550,1.92
"2000-05-04",316,321,315,315,315,950,3.02
"2000-05-05",325,340.2,310.25,324,323.75,6300,21.24
"2000-05-08",307,315,302,302,302,700,2.14
"2000-05-09",319,324,302.5,324,320.2,4250,13.56
"2000-05-10",324,344,324,344,344,6850,23.08
"2000-05-11",318,318,317,317,317,400,1.27
"2000-05-12",300.25,316,300,300,300,3950,11.86
"2000-05-15",285,324,285,302,302,10700,33.9
"2000-05-16",296,315,290,315,311.9,8550,26.48
"2000-05-18",301,301,301,301,301,200,0.6
"2000-05-19",318,325.1,290,313,313,2550,8.13
"2000-05-23",300,300,300,300,300,50,0.15
"2000-05-24",301,301,290,297,297,150,0.44
"2000-05-26",273.25,282.1,273.25,282.1,282.1,100,0.28
"2000-05-29",261.25,261.25,261.25,261.25,261.25,50,0.13
"2000-05-30",270,270,241.5,241.5,241.5,300,0.77
"2000-05-31",250,260.5,242.6,242.6,242.8,700,1.75
"2000-06-02",248,248,245,245,245,250,0.62
"2000-06-05",241,241,235,239.9,236.95,550,1.32
"2000-06-06",235,235,235,235,235,50,0.12
"2000-06-07",235,253.8,235,253.8,253.8,7850,19.77
"2000-06-08",274,274.1,274,274.1,274.1,300,0.82
"2000-06-09",296.05,296.05,296.05,296.05,296.05,5250,15.54
"2000-06-12",319,319,280,300,300,15250,44.45
"2000-06-13",276.1,298.95,276.1,285,285,850,2.41
"2000-06-14",285,285,285,285,285,30000,85.5
"2000-06-15",285,285,283,283,283,700,1.99
"2000-06-16",283,283,283,283,283,11500,32.54
"2000-06-19",280,280,271,271,271,5950,16.14
"2000-06-20",270,280,270,270,273.35,800,2.18
"2000-06-21",279.9,284,271.5,273,273,800,2.21
"2000-06-22",262,266,260,265,265,12450,32.98
"2000-06-23",256.5,266,252,266,266,550,1.4
"2000-06-26",268.9,268.9,245,245,245,250,0.63
"2000-06-27",245,245,240,240,242.5,300,0.73
"2000-06-28",256.25,256.5,256.25,256.5,256.35,150,0.38
"2000-06-29",268,268,268,268,268,200,0.54
"2000-06-30",250,250,247,247,247,150,0.37
"2000-07-04",236,257,236,236.6,236.6,200,0.48
"2000-07-05",241,241,241,241,241,50,0.12
"2000-07-06",259.9,259.9,235,250,250,200,0.5
"2000-07-07",245,245,230,230,230.55,2500,5.99
"2000-07-10",230,238.9,230,238.9,238.9,300,0.7
"2000-07-11",226,226.8,226,226.8,226.8,250,0.57
"2000-07-12",221,225,218.05,225,225,950,2.13
"2000-07-13",232,232,218,220,220,1300,2.95
"2000-07-14",230,235,230,230,230,750,1.73
"2000-07-17",214,214,212,212,212,800,1.7
"2000-07-18",210,215,210,210,210.75,350,0.74
"2000-07-20",215,215,215,215,215,250,0.54
"2000-07-21",205,205,205,205,205,50,0.1
"2000-07-24",203,205,195,205,205,1600,3.2
"2000-07-25",199,199,189,196,196,850,1.67
"2000-07-26",198.1,210.9,196,200,200,1850,3.68
"2000-07-27",204,204,190,203,203,950,1.86
"2000-07-31",196.5,201.9,196,201.9,201.9,250,0.49
"2000-08-01",191,201.85,188,196,196,400,0.78
"2000-08-02",188.25,188.25,188.25,188.25,188.25,100,0.19
"2000-08-03",190.25,198,190,195,195,550,1.06
"2000-08-04",195,202,195,199.75,199.8,350,0.7
"2000-08-07",196,200.5,195,200.5,198.05,750,1.48
"2000-08-08",194.1,194.1,194.1,194.1,194.1,100,0.19
"2000-08-09",201,204,200,204,202,550,1.11
"2000-08-10",201,205.5,201,201,201,350,0.71
"2000-08-14",204,204,196.05,196.05,196.05,200,0.4
"2000-08-16",204,211.25,204,211.25,211.25,300,0.62
"2000-08-17",208,210,205,210,210,700,1.45
"2000-08-18",210,210,208,209,208.5,550,1.15
"2000-08-22",210,218,210,211.3,211.3,1100,2.33
"2000-08-23",210,225,210,225,225,150,0.32
"2000-08-24",215,233,215,230,230,1450,3.23
"2000-08-25",230,230.05,230,230,230,400,0.92
"2000-08-28",225,244.75,225,244.75,244.7,400,0.96
"2000-08-29",244,264.25,239,264.25,257.15,950,2.43
"2000-08-30",260,265,260,265,265,550,1.44
"2000-08-31",270,270,269,270,270,400,1.08
"2000-09-04",250,250,250,250,250,100,0.25
"2000-09-05",252,260,250,254,254,1700,4.31
"2000-09-06",260,260,260,260,260,200,0.52
"2000-09-07",250,250,250,250,250,100,0.25
"2000-09-12",243,243,243,243,243,50,0.12
"2000-09-15",251,253,251,253,253,100,0.25
"2000-09-18",235.5,235.5,235.5,235.5,235.5,50,0.12
"2000-09-19",233,250,233,250,250,150,0.36
"2000-09-20",252.5,253,240,240,240,250,0.62
"2000-09-21",240,240,236,236,236,350,0.84
"2000-09-22",235,235,235,235,235,50,0.12
"2000-09-26",221,221,218,220,220,500,1.1
"2000-09-28",215,215,215,215,215,50,0.11
"2000-10-03",214,214,214,214,214,50,0.11
"2000-10-04",199,204.5,199,204.5,204.5,500,1
"2000-10-05",201,203,200,203,203,1050,2.11
"2000-10-06",198,198,196,196,196,150,0.3
"2000-10-09",200,200,195,199,196.8,400,0.79
"2000-10-10",199,200,185,185.1,185.1,1050,2.01
"2000-10-13",181.5,185,181.5,185.1,184.35,350,0.64
"2000-10-16",184.1,184.1,184.1,184.1,184.1,50,0.09
"2000-10-19",172,175,172,175,175,200,0.35
"2000-10-20",170.5,173,161.5,173,173,600,1.02
"2000-10-23",173,173,173,173,173,100,0.17
"2000-10-24",173,173,170,170,171.5,100,0.17
"2000-10-25",170,182.5,168.5,182.5,182.5,300,0.53
"2000-10-27",189.5,189.5,189.5,189.5,189.5,100,0.19
"2000-10-30",182,193,182,193,193,100,0.19
"2000-10-31",186,187,186,187,187,150,0.28
"2000-11-01",190,196.9,190,196.9,196.9,4050,7.81
"2000-11-02",205,211,205,211,211,200,0.42
"2000-11-03",200.05,211.5,200.05,211,211.25,300,0.62
"2000-11-06",211,221,211,221,221,100,0.22
"2000-11-07",234,234,203.35,216,211.5,1300,2.76
"2000-11-08",220,220,219,219,219,100,0.22
"2000-11-09",218,218,215,215,215,100,0.22
"2000-11-10",205,205,200,200,200,200,0.4
"2000-11-13",190,190,190,190,190,50,0.1
"2000-11-14",200,200,200,200,200,50,0.1
"2000-11-16",200,200,200,200,200,100,0.2
"2000-11-17",185,185,185,185,185,50,0.09
"2000-11-20",182,190,182,190,190,100,0.19
"2000-11-21",180,180,180,180,180,50,0.09
"2000-11-23",181,181,181,181,181,50,0.09
"2000-11-28",179,179,179,179,179,50,0.09
"2000-11-29",174,174,171,171,171,150,0.26
"2000-11-30",180,184,175,175,176.75,450,0.81
"2000-12-01",176,189,176,189,187,350,0.64
"2000-12-04",185,189,185,188,188.55,450,0.85
"2000-12-06",180.1,182,180.1,182,182,100,0.18
"2000-12-08",190,190,190,190,190,50,0.1
"2000-12-11",183.05,183.05,180,180,180,300,0.55
"2000-12-12",171.05,191,171.05,191,191,250,0.46
"2000-12-13",185,187,185,187,187,150,0.28
"2000-12-14",172.05,200,172.05,190,190,10450,18.07
"2000-12-15",187.9,187.9,187.9,187.9,187.9,50,0.09
"2000-12-18",193,193,192,192,192,350,0.67
"2000-12-19",178.5,178.5,178.25,178.25,178.25,450,0.8
"2000-12-20",190,190,190,190,190,1,0
"2000-12-28",180,181,180,181,181,150,0.27
"2000-12-29",180,180,167,167,167,550,0.98
"2001-01-01",156,156,156,156,156,50,0.08
