"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2005-10-19,639,698.7,580.25,685,692.85,30425006,198742.85
2005-10-20,701,707.75,637,640.55,646.9,7815706,51594.41
2005-10-21,635.25,695,635.25,688,673.85,5124627,33589.12
2005-10-24,687,690,648.3,651.35,653.95,2225012,14857.01
2005-10-25,641.3,663.65,641.3,660,659.2,1264055,8298.54
2005-10-26,659.9,691.8,650.35,690,687.9,2711242,18417.62
2005-10-27,688.9,703.7,661.2,664,675.85,2695751,18437.01
2005-10-28,670,673,650.35,664.9,655.65,1051204,6964.88
2005-10-31,665,720,656,718.45,714.6,2401240,16695
2005-11-01,718,738.8,703.25,706,709.85,511694,3663.2
2005-11-02,710,741.4,684.8,739,737.1,3258153,23410.21
2005-11-07,740,764.9,710.3,725.65,725.35,2626915,19275.73
2005-11-08,733.8,792,727.5,768,763.65,3071950,23010.07
2005-11-09,760,786,739.75,744.05,746.55,2780154,21192.42
2005-11-10,753,770.7,746.5,762.5,762,1698349,12881.92
2005-11-11,764,783.95,763,770,775.7,1531844,11859.81
2005-11-14,773.85,778.9,750,751.5,752.3,1267073,9651.64
2005-11-16,789,789,748.05,750.5,751.45,891172,6765.51
2005-11-17,755.15,774.8,750,764.15,763.8,1179251,9015.5
2005-11-18,765,776,752,755,755.9,761190,5819.08
2005-11-21,757,765.75,740,742.95,744.1,960047,7175.73
2005-11-22,743,750.9,728.25,728.65,731.75,999652,7398.58
2005-11-23,737.55,745.8,726,739.35,740.45,759775,5618.18
2005-11-24,745,755,739,743.2,743.15,1107063,8280.9
2005-11-25,749.9,762.5,747,759.15,759.1,1082568,8195.25
2005-11-26,765,775,759.05,774.35,772.1,523811,4024.15
2005-11-28,778,824.7,776,821.65,821.3,1949174,15649.08
2005-11-29,825,865,825,864.5,856.45,3034524,25731.4
2005-11-30,860.2,887.85,842.65,851.3,851.3,2902076,25292.71
2005-12-01,879.9,879.9,848.55,863,863.7,1368359,11768.53
2005-12-02,873.7,874.5,833.25,839,837.65,1022326,8710.96
2005-12-05,845.7,853.9,837.9,846.4,845.2,648691,5492.15
2005-12-06,854.35,854.35,818.5,823,821.6,855988,7103.99
2005-12-07,830,836.8,804.05,820,814.6,1376764,11282.23
2005-12-08,818.7,831.8,815.15,829,826.9,762528,6291.28
2005-12-09,830,899.95,829,887.8,890.4,2458663,21342.7
2005-12-12,890,938.7,872,908.2,906.8,4723939,43101.78
2005-12-13,901,926.4,901,910.2,912.6,1653230,15165.52
2005-12-14,913.4,947,905,936.1,934.4,2660426,24784.56
2005-12-15,936.3,949.8,888.1,909.3,902.7,1897070,17497.76
2005-12-16,914.9,929.95,904.15,923.9,923.45,1087796,9986.01
2005-12-19,927,941,909.95,922,919.95,1085922,10074.81
2005-12-20,922,931.35,896.5,906.35,903.5,1309770,11942.44
2005-12-21,916.5,916.5,890.1,899,898.9,810093,7327.37
2005-12-22,905,907,876.2,882,883,793526,7056.2
2005-12-23,887.9,892.8,873,879,877.1,591223,5207.27
2005-12-26,885.4,885.4,852,858,858.3,519988,4485.51
2005-12-27,860,895.7,846,893,892.25,702974,6168.79
2005-12-28,897.1,906.65,882.1,883.5,885.4,671363,5998.52
2005-12-29,907,907,872,881.05,876.05,629906,5558.5
2005-12-30,882,904,880,893.85,894.65,506413,4531.97
2006-01-02,900,905,889.2,895,896.05,328574,2947.88
2006-01-03,900,905,894,896,896.5,213321,1916.42
2006-01-04,903,915.45,896.7,902,903.35,393057,3563.86
2006-01-05,906.45,910,893.95,899,899.5,375063,3384.13
2006-01-06,906,908,883.5,886.5,886.45,281963,2516.98
2006-01-09,905,906,886,890.75,890.9,440615,3933.31
2006-01-10,888,894.9,860.15,863,863.6,213287,1862.44
2006-01-12,859,862.75,815,830.2,832.3,706426,5947.25
2006-01-13,859.8,871.9,825,860,861.6,934645,8017.01
2006-01-16,869,879.8,843.05,865,866.3,577013,4970.71
2006-01-17,872,877.85,855,871,871.65,353748,3074.03
2006-01-18,821.55,885,787,873,877.3,398084,3473.4
2006-01-19,878,906,878,905,898.2,365809,3260.95
2006-01-20,905,925,897,918,919.35,595359,5427.78
2006-01-23,911.9,929.9,900,908.5,916.5,276669,2546.84
2006-01-24,918.05,945,918.05,936,937.9,460733,4307.04
2006-01-25,940,992.9,940,973.45,976.4,658191,6367.88
2006-01-27,985,1148,985,1117,1127.1,1967419,21212.07
2006-01-30,1140,1159.3,1031,1081.5,1076.15,2266485,24532.43
2006-01-31,1090,1192,1076.3,1155,1167.35,2748956,31850.99
2006-02-01,1156,1162.7,1088.3,1105,1098.3,1838449,20819.83
2006-02-02,1101,1141.8,1090.1,1105.1,1103.5,1153424,12824.82
2006-02-03,1110,1113.7,1055,1059,1060.1,1004854,10909.92
2006-02-06,1062,1089,1050,1070,1065.5,765268,8194.05
2006-02-07,1084,1109,1070.3,1104.9,1101.8,1280271,13989.02
2006-02-08,1103,1105,1060,1079.75,1082.55,590360,6388.84
2006-02-10,1090,1108.7,1079,1087,1094.55,540509,5900.75
2006-02-13,1095,1112,1081,1096.25,1096.35,382519,4204.28
2006-02-14,1100,1129.7,1085,1087,1090.65,505782,5603.66
2006-02-15,1104,1110,1060,1062,1066.4,713783,7661.7
2006-02-16,1078,1079,1058,1059.05,1062.55,214494,2296.1
2006-02-17,1060,1072,1020,1022.1,1025.3,243724,2536.96
2006-02-20,1024,1040.5,993.25,1040,1038.1,477878,4880.93
2006-02-21,1040,1047,1030,1030.05,1034.65,221268,2297.66
2006-02-22,1037,1040,1018,1023.25,1024.85,172832,1777.52
2006-02-23,1034,1069.95,1014,1043,1035.15,904086,9430.62
2006-02-24,1049,1074,1036,1073.9,1067,600417,6367.2
