"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",137,139.4,136,NA,NA,NA,NA
"1998-03-23",138.5,143.9,138.5,143,143,50600,71.46
"1998-03-24",145,148,138,145,143.95,153800,221.91
"1998-03-25",146,158.2,144.85,153,153.7,360150,548.75
"1998-03-26",155,161.7,150.05,151,151.2,368650,573.97
"1998-03-27",150,154.45,148.5,153.4,153.1,121500,184.91
"1998-03-30",157.45,157.45,148,149,149.7,152300,233.16
"1998-03-31",148.75,150.5,145.05,147.45,146.8,161950,238.8
"1998-04-01",150,153.35,149,152,152.55,93000,141.28
"1998-04-02",154,154,148.5,149.15,149.8,90300,136.93
"1998-04-03",150.75,150.75,147.6,148.5,148.75,102600,152.86
"1998-04-06",152,163.65,150.05,163.65,163.65,408550,646.64
"1998-04-07",168,169.75,161.5,164,163.2,252500,415.87
"1998-04-09",167,174.75,165.5,168.4,168.25,180800,305.27
"1998-04-10",167,168.9,162.5,164,163.65,227200,376.57
"1998-04-13",160,163.5,155,157,156.5,234500,372.54
"1998-04-15",164,172.15,164,172.15,172.15,164100,280.68
"1998-04-16",180,186.5,176.7,178.55,178.05,542400,991.02
"1998-04-17",178,183.9,177.1,181.5,181.1,291300,525.04
"1998-04-20",177,195.5,177,188,189.65,807100,1533.91
"1998-04-21",188.65,195.5,188.65,195.5,195.5,248200,478.58
"1998-04-22",209,214.7,199.1,201.5,201.75,962900,2002.4
"1998-04-23",198,206.95,196,197.5,197.5,520200,1054.36
"1998-04-24",196,202,177.75,187.5,187.6,728200,1381.31
"1998-04-27",187.9,191.3,179.5,182.5,180.45,432450,798.38
"1998-04-28",180.2,180.2,164.5,167.5,166.05,673850,1137.58
"1998-04-29",168.5,176,163.25,166.35,166.1,448350,759.72
"1998-04-30",168,176.15,161.6,175.5,174.85,549450,937.28
"1998-05-04",176.25,178.15,172,175.5,175.2,334900,587.57
"1998-05-05",175,176.4,170.1,174,173.35,305250,527.11
"1998-05-06",175.05,176.9,167.2,169,168.35,179350,307.56
"1998-05-08",166.1,167,163,163.55,164.05,175200,289.05
"1998-05-11",164.9,164.9,162,164.25,163.8,35100,57.41
"1998-05-12",162.1,162.1,148.1,157.1,156.05,274300,424.58
"1998-05-13",152.1,160,151.1,153.1,153.1,163700,255.17
"1998-05-14",152.1,158.95,152.1,158.5,158.15,99350,154.52
"1998-05-15",158,158.4,153.5,154,154.4,109450,170.47
"1998-05-18",158,162.75,155.55,161.75,160.85,166400,266.72
"1998-05-19",160.75,167,160.75,163,162.95,169450,276.95
"1998-05-20",175,175,164.2,171,171.55,309650,522.52
"1998-05-21",170.05,172,160,161.25,161.45,220250,363.85
"1998-05-22",163,163.5,159,161,160.85,113800,183.58
"1998-05-25",160.9,163.25,158.05,161,161.3,99100,160.34
"1998-05-26",160.15,162,153.1,154.6,154.85,194000,304.81
"1998-05-27",156.9,159,154.5,155.65,155.45,116200,181.8
"1998-05-28",154.05,156.5,151.5,151.5,152.45,51350,79.19
"1998-05-29",148,152,146.15,147.4,148,134250,200.26
"1998-06-01",152,159,148,148,149.4,204350,314.58
"1998-06-02",149,150.5,143.25,146.25,144.55,167350,246.16
"1998-06-03",148.5,150,143.2,148,147.8,61500,90.23
"1998-06-04",149,149,144.65,145,145.6,46250,68.03
"1998-06-05",143.25,143.4,131.15,133.45,132.65,109600,150.34
"1998-06-08",132.25,134.75,125,130.75,129.9,134600,174.51
"1998-06-09",131,134,128.3,134,132.25,211600,279.38
"1998-06-10",135,140,129.05,131,131,274800,363.84
"1998-06-11",129.3,131.85,126.6,131.6,130.65,155950,201.95
"1998-06-12",132.85,135.5,132,132,132.4,184700,246.1
"1998-06-15",131.95,131.95,127.5,127.5,128,97400,125.45
"1998-06-16",127.25,127.25,116,126,125.35,164800,202.9
"1998-06-17",126.9,135,126.9,134.1,134.1,156700,205.84
"1998-06-18",136,137,130,130.9,130.6,122450,162.93
"1998-06-19",128,129.9,125,126.8,126.4,96700,123.12
"1998-06-22",123,124.75,118.75,124.75,123.2,98950,120.54
"1998-06-23",124.75,126,120.6,124,124.55,61450,76.07
"1998-06-24",121.3,129,121,127.5,127.4,65250,82.67
"1998-06-25",128.95,130,127.05,127.8,128.9,73300,94.29
"1998-06-26",127.9,127.9,124.75,125.5,125.5,53200,67.06
"1998-06-29",127.5,128.25,125.6,128.05,127.8,40550,51.51
"1998-06-30",128,128,125.1,127.1,126.9,41350,52.28
"1998-07-01",125.5,125.75,122.6,124.6,125.3,54550,67.92
"1998-07-02",126.45,126.75,123.15,124.25,124.3,22850,28.4
"1998-07-03",123.2,124.2,120.25,121,120.95,50800,61.76
"1998-07-06",122.5,124,120.55,122.95,122.7,51650,63.02
"1998-07-07",123,125.5,121.2,124.6,124.05,61050,75.77
"1998-07-08",124.5,127,123.6,124.35,125.1,56400,70.6
"1998-07-09",124.1,128,124.1,125.25,125.05,76500,96.19
"1998-07-10",126.4,129,124.35,126.1,126.15,107650,135.34
"1998-07-13",127,131,125.05,125.15,125.85,173700,223.88
"1998-07-14",125.5,126.9,124,126.9,125.15,181700,227.82
"1998-07-15",129.9,130,125,125.8,125.2,61600,77.99
"1998-07-16",124.75,127.1,124.5,126.5,126.7,36400,45.91
"1998-07-17",126.5,129.4,125.25,126,125.75,88100,111.92
"1998-07-20",126,126,124.15,124.55,124.55,43300,54.08
"1998-07-21",124,125,121.05,121.9,121.55,85350,104.56
"1998-07-22",123.9,124.4,122.05,122.8,122.5,46550,57.26
"1998-07-23",122.5,123.2,117.8,118.15,118.3,47350,56.7
"1998-07-24",117,117.9,109,110.25,110.1,91900,102.55
"1998-07-27",111.8,111.8,106.5,108.5,108.75,44700,48.65
"1998-07-28",110.7,113,108.7,111,111.85,75850,83.94
"1998-07-29",113,114.5,110,113.5,114.15,42000,47.14
"1998-07-30",114.5,116,109.1,110.95,110.3,37500,42.17
"1998-07-31",112.9,112.9,109,109.8,109.75,20150,22.24
"1998-08-03",107.85,108.3,105.55,106.8,107,27600,29.59
"1998-08-04",105.55,108.95,105.15,106.75,106,36750,39.21
"1998-08-05",107.75,111.35,104.5,109.1,108.65,43950,47.05
"1998-08-06",108,111,107,107.5,107.55,59050,63.98
"1998-08-07",106.3,107.75,105.7,106.15,106.1,25250,26.92
"1998-08-10",106,107,105.5,106,105.8,10750,11.4
"1998-08-11",104,105,102.1,102.8,102.95,35400,36.66
"1998-08-12",102,104.9,101,104,103.6,20200,20.9
"1998-08-13",104,104.45,102.5,103.45,103.4,30550,31.6
"1998-08-14",103.95,104.2,101.1,102.25,101.85,30950,31.72
"1998-08-17",101.5,102.8,101.25,101.25,101.85,16850,17.15
"1998-08-18",101.05,101.5,99.5,100.15,99.75,34500,34.54
"1998-08-19",101.9,102,100,100.5,100.45,21200,21.43
