"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2008-02-25",455.35,499,455.35,490,489.55,136943,665.9
"2008-02-26",497,509,477,505,503.4,263602,1301.74
"2008-02-27",510.25,524.8,481,483.6,487.05,356274,1819.21
"2008-02-28",490,549,490,526.9,525.25,934216,4784.64
"2008-02-29",515,520,495.2,520,512.15,183525,932.65
"2008-03-03",500,511.9,488,489.95,491.9,261954,1309.24
"2008-03-04",482,499.9,465,483,475.2,226891,1094.81
"2008-03-05",483.1,495,460,489.65,491,293533,1409.34
"2008-03-07",488,488,450.05,458,458.3,291247,1339.17
"2008-03-10",452,475,447,471,470.35,254200,1175.02
"2008-03-11",462.8,492.3,453,480.1,486.25,351913,1661.67
"2008-03-12",499.6,516.9,487.05,509,512.65,401854,2017.78
"2008-03-13",502,509.9,481.35,501,501.6,421324,2106.83
"2008-03-14",505,519,490.1,499,503.7,276551,1393.21
"2008-03-17",484.7,496,473.1,488,488.1,216591,1056.15
"2008-03-18",473.5,524,472,514.5,512.6,454018,2269.89
"2008-03-19",530,558.8,501.25,512.25,512.3,375476,1976.97
"2008-03-24",513,528,503.05,524.2,521.25,226282,1168.66
"2008-03-25",535,558.9,534.1,557,554.55,254176,1391.47
"2008-03-26",554,573.35,547,565.05,562.8,304858,1715.59
"2008-03-27",557,580,522.2,535,538.05,812162,4485.88
"2008-03-28",538.15,560,531,554.1,556.4,196438,1077.9
"2008-03-31",556.4,560,505,505.05,512.95,508318,2691.11
"2008-04-01",513,552,500,526,534.85,331170,1711.45
"2008-04-02",546.95,556,525,533.1,532.55,310491,1685.88
"2008-04-03",529,549.1,525.05,533.1,536.3,166203,894.42
"2008-04-04",539,545,510.25,521.5,520,154057,807.64
"2008-04-07",528.6,549,528,541.6,541.75,187636,1013.91
"2008-04-08",535,535,475,479.3,479.45,1091632,5380.4
"2008-04-09",485.1,495,465,470.1,470.3,1171132,5571.71
"2008-04-10",479.7,488.75,465.05,468,468.9,850747,4040.9
"2008-04-11",483.45,483.45,462,472,471.2,328397,1542.81
"2008-04-15",464.4,482,462,477.8,477.65,238197,1133.24
"2008-04-16",485,487.9,475,478,478.25,147342,706.63
"2008-04-17",484,487.4,478.8,481.5,481.85,205805,993.17
"2008-04-21",485,497,478.1,484.25,484.75,390461,1894.04
"2008-04-22",482,488.65,479,480,480.45,127646,616.28
"2008-04-23",479,491.4,476.1,477,480.95,390893,1888.98
"2008-04-24",485,488,442.25,482.05,482.6,706198,3405.29
"2008-04-25",483.05,497,483,488.9,489.5,267515,1311.31
"2008-04-28",497,512,491.15,510,507.8,392416,1978.09
"2008-04-29",505,524.4,500,505.8,505.5,578547,2980.03
"2008-04-30",507,510.9,492.1,498,498.55,294685,1476.88
"2008-05-02",508.65,508.65,492.05,493.05,494.05,109354,547.19
"2008-05-05",505,505,483.2,485,487.75,632165,3089.41
"2008-05-06",490.2,499,478,489.1,489.6,236351,1160.18
"2008-05-07",490.1,494.75,484.25,492,488.6,132105,642.97
"2008-05-08",486,509.6,486,502.5,503.55,724355,3649.81
"2008-05-09",495,502.75,486.2,488,490.3,124886,620.2
"2008-05-12",505,505,480,487,485.9,122330,598.25
"2008-05-13",488,496.4,485.1,493.2,491.85,318235,1565.23
"2008-05-14",488.1,501.9,483,496,494.75,113053,558.93
"2008-05-15",495.2,508,495,499.95,501.15,190719,957.34
"2008-05-16",501,513.75,499.1,511,510.8,265381,1345.5
"2008-05-20",500.35,518,500.35,505.45,507.2,243012,1234.94
"2008-05-21",480,520.3,480,514.5,517.05,186180,951
"2008-05-22",506,514.6,492.55,497.85,500.3,405983,2051.03
"2008-05-23",503.95,507.9,498,505.25,504.15,166127,837.32
"2008-05-26",500,504,487,500,500.35,103700,518.13
"2008-05-27",500.35,505,496.05,501.6,501.85,159137,796.9
"2008-05-28",515,518,500.1,512,516.05,132027,673.13
"2008-05-29",520,522.4,485,510,496.9,561915,2815.4
"2008-05-30",505,525,500.15,509,509.2,148042,755.95
"2008-06-02",510,516.95,492.1,500,500.1,177335,888.74
"2008-06-03",492.8,504,485.5,490,491.3,93255,461.11
"2008-06-04",498,498,465,478.05,477.25,240422,1154.51
"2008-06-05",479.8,492,466,485.1,489.85,81159,395.8
"2008-06-06",495.05,510,476.05,477.5,479.55,89647,439.46
"2008-06-09",474.75,482.45,455.1,480,473.65,253955,1192.68
"2008-06-10",470,471,450,455.6,455.7,272112,1245.86
"2008-06-11",461,463.95,448.1,455.75,453.95,96581,437.57
"2008-06-12",449,449,434,444,445.2,70076,309.7
"2008-06-13",445,445,411.05,418,421.9,217179,940.93
"2008-06-16",423.6,440,423.6,438,437.4,82390,357.94
"2008-06-17",437,440,428.3,433,433.85,157463,682.7
"2008-06-18",428,452,416.1,418.1,420.8,360525,1576.85
"2008-06-19",420.8,421.9,401.5,408,408.15,279841,1143.12
"2008-06-20",408.15,415.1,380,382.95,383.55,212180,831.91
"2008-06-23",383.55,392,352.65,358,357.45,282237,1038.07
"2008-06-24",364,378.5,341.6,346,346.4,408611,1462.14
"2008-06-25",339.9,366,339.9,356.05,360.65,507913,1799.44
"2008-06-26",366,414.45,360.35,384,394.15,655768,2510.9
"2008-06-27",379.75,379.9,363.1,375.2,375.45,190057,710.91
"2008-06-30",388.3,388.3,363.1,372,372.7,161877,599.85
"2008-07-01",375,386,370.7,383,380.25,171842,652.43
"2008-07-02",377,403.7,352.7,396,384.05,257990,973.07
"2008-07-03",385,386.1,345,353.5,352.45,300732,1069.15
"2008-07-04",345,384.5,340.1,370,365.15,462522,1682.49
"2008-07-07",398.7,398.7,368,374.85,373.25,323077,1206.08
"2008-07-08",373.2,386.5,365.9,371.7,373.5,457091,1718.6
"2008-07-09",381,391.6,378,378,380.25,320453,1222.73
"2008-07-10",379,402.5,378.95,393.25,395.9,302737,1186.63
"2008-07-11",412,412,371.05,381.2,381.6,212551,813.9
"2008-07-14",375,394.8,374,378,377.3,228995,881.9
"2008-07-15",374.8,374.8,361.1,372,369.6,144823,534.05
"2008-07-16",377,384,368.55,376,374.25,120118,452.09
"2008-07-17",382.9,395,380.05,387,385.15,152510,589.92
"2008-07-18",394.9,398.25,386.2,394,395.05,187113,732.54
"2008-07-21",395.05,410.5,385,409.05,403.7,307952,1220.86
"2008-07-22",403,424.8,401.2,424.8,418.35,281366,1161.76
"2008-07-23",432,479.9,427.05,466.9,466.25,526286,2356.79
"2008-07-24",472,475,448,465,461,368032,1697.49
"2008-07-25",450.15,455,430,437,434.95,232559,1016.81
"2008-07-28",439,449,413.2,428,424.7,325034,1378.99
"2008-07-29",410,411.1,396.4,402.1,404.7,134054,541.47
"2008-07-30",408.5,461.9,408.5,440,442.85,693945,3054.82
"2008-07-31",441,461,423.85,461,450.65,724389,3215.2
"2008-08-01",450,467.25,439,448.9,449.2,354578,1612.66
"2008-08-04",449,449,434,437.5,435.9,272174,1191.53
"2008-08-05",436.9,455.75,427,445,445.2,473109,2091.96
"2008-08-06",450,473.1,446.55,457,460.55,319247,1476.19
"2008-08-07",459,471,442,454,457.6,531229,2441.32
"2008-08-08",455.2,463.45,444.25,450.9,449.95,238187,1075.9
"2008-08-11",453.9,457,445,446.05,451,202441,915.9
"2008-08-12",454,454,443,448,447.5,628846,2816.06
"2008-08-13",443,451.95,434.1,450.1,449.35,163254,727.52
"2008-08-14",420.05,452,420.05,428,427.3,168153,722.35
"2008-08-18",426,435.6,420.2,426.5,427.1,54174,232.14
"2008-08-19",421,435,420.1,433,431.15,58801,251.18
"2008-08-20",431.15,439.5,422,432.6,433.95,94553,405.8
"2008-08-21",434,434.9,411,414,414,356851,1495.6
"2008-08-22",410,424.85,409,418.5,420.45,93886,392.73
"2008-08-25",429,430,410,415.5,413.25,116229,487.08
"2008-08-26",408.7,416,406,413.65,413.4,148440,610.72
"2008-08-27",412,415.85,410.6,413,413.5,47811,197.64
"2008-08-28",417.5,420,390.35,396.5,394.85,675022,2724.17
"2008-08-29",402,418.1,400.05,415,414.55,199579,822.56
"2008-09-01",414.55,414.55,398,406.1,406.8,217892,881.41
"2008-09-02",408,439,406.25,425,428.15,127270,537.84
"2008-09-04",430,440,420.4,438.2,433.95,145394,628.04
"2008-09-05",427,427,412.55,426.7,425.55,98221,413.67
"2008-09-08",433,457.5,433,450,449.9,295673,1334.67
