"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
1998-03-20,117,119.6,116.6,NA,NA,NA,NA
1998-03-23,119.25,122.45,119.2,120.25,120.25,35800,43.31
1998-03-24,122,122,119,120,119.85,206400,247.57
1998-03-25,121.75,131.5,119.75,128,129.05,409250,515.52
1998-03-26,130,131,122.75,124.5,124.85,220950,279.75
1998-03-27,123,125.4,122.8,125,124.8,96000,119.18
1998-03-30,126.5,126.5,120.05,120.6,120.55,100200,122.95
1998-03-31,119.9,121.2,117.5,118.25,118.35,213700,254.21
1998-04-01,121,123,119.95,122.85,122.6,75950,92.27
1998-04-02,123,125.9,122.7,123.5,123.85,151250,187.97
1998-04-03,121.5,124.7,121,123.75,123.55,96200,118.17
1998-04-06,124.85,125,122.5,123.9,124.15,83350,103.54
1998-04-07,124,125.15,122,123.5,122.9,117000,145.11
1998-04-09,126,131.5,126,129.05,129.5,157650,203.62
1998-04-10,129,129,125.5,126,126.05,114150,144.89
1998-04-13,125.1,125.2,120,123.5,121.2,174800,213.71
1998-04-15,125,128.95,124.9,126.95,126.6,109050,137.81
1998-04-16,127.5,133.9,126.6,128.3,127.95,334150,436.71
1998-04-17,128.5,130,126,128,127.85,199650,255.37
1998-04-20,128,128.5,123.55,123.55,124.1,117150,147.83
1998-04-21,125.8,125.8,122,123.3,122.65,194750,239.29
1998-04-22,125.1,128,119.25,119.55,120.7,213750,264.53
1998-04-23,118,119.8,112.2,113.8,113.1,184700,215.48
1998-04-24,112,112,106,110.95,110.55,185800,203.44
1998-04-27,111,111.8,109.4,110.75,110.1,103950,114.82
1998-04-28,109.9,109.9,106.55,109,108.55,166700,180.68
1998-04-29,113,114,109,110.5,110.15,84400,93.62
1998-04-30,109,112.9,108,111.95,111.7,61650,68.45
1998-05-04,111.9,113,110.9,111.85,112.05,66300,74.32
1998-05-05,112.05,116.5,111.85,116,115.45,96900,110.82
1998-05-06,118.5,118.75,113,114.2,114.2,74100,85.36
1998-05-08,114,115,112.6,114,114.2,45500,51.81
1998-05-11,114.9,115.7,114,115.3,115.35,50150,57.73
1998-05-12,114.2,114.7,108,114.7,113.45,109750,122.6
1998-05-13,111,113,108.2,109.4,109.55,58450,65.04
1998-05-14,110,112.4,108,112,111.6,54750,60.37
1998-05-15,114.35,114.35,109.2,111.3,110.9,68450,75.7
1998-05-18,111,112.4,110.1,111.8,111.8,32650,36.49
1998-05-19,110.2,111,107.75,108,108.8,119750,131.05
1998-05-20,111.5,111.5,107,108.85,108.55,131450,143.77
1998-05-21,106.55,109.7,105,105.85,105.95,123000,131.58
1998-05-22,107.2,107.4,106,106.65,106.95,75400,80.34
1998-05-25,106,107.5,105.25,105.9,106.9,47200,50.39
1998-05-26,105.25,106.5,101.3,102,102.65,97800,101.58
1998-05-27,103,106.8,96.55,105.15,105.2,82900,86.56
1998-05-28,104.35,106.5,102.9,103,103.05,54500,56.66
1998-05-29,101.2,103.95,98,100,101.35,103550,104.99
1998-06-01,102,110.9,102,103.5,103.45,171450,183.46
1998-06-02,102.5,104.2,99,100,99.25,101550,102.29
1998-06-03,102.9,102.9,98.5,100.9,100.2,79800,79.91
