"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2006-08-28",521,569,502,553,554.25,15166163,83717.6
"2006-08-29",555,563.9,535.55,536.1,539.3,3929113,21515.3
"2006-08-30",537,542.9,521.5,529,528.1,2034983,10776.3
"2006-08-31",525,544,515,539.35,538.45,1670990,8904.46
"2006-09-01",539,549,535.1,541.35,541.85,1176195,6380.39
"2006-09-04",542,549,452.8,542,543.95,749788,4077.37
"2006-09-05",544,556,538.5,551.5,552.7,956133,5248.38
"2006-09-06",554.7,562.5,538,540,541.25,957611,5280.11
"2006-09-07",545,545,530,536.25,537.3,351161,1885
"2006-09-08",538.8,544.9,531.55,531.6,534.8,269659,1453.16
"2006-09-11",539.95,545,532.25,533.1,535.95,420466,2262.65
"2006-09-12",535.95,546.85,534,537.85,537.85,514196,2774.15
"2006-09-13",541,549,541,545.1,544.7,401947,2195.21
"2006-09-14",545.2,557.5,545.1,549,549.85,534610,2957.78
"2006-09-15",550.15,554,539,541,540.2,209783,1142.44
"2006-09-18",544,562,544,545.25,546.5,224376,1235.27
"2006-09-19",548.05,623.85,546.5,581,584.25,4793064,28505.85
"2006-09-20",579.8,613.9,573.25,605.95,605.05,2264328,13615.09
"2006-09-21",577,627,577,609.9,608.95,1776100,10949.22
"2006-09-22",625,625,593.25,604.45,601.15,726501,4381.66
"2006-09-25",595.25,611.7,590.05,594.5,593.55,635537,3830.34
"2006-09-26",599.8,626,594,614.55,617.6,1735875,10703.28
"2006-09-27",619.5,631.8,616.3,619.9,619.45,1015312,6340.46
"2006-09-28",624.7,624.7,608.15,614.25,613,302605,1858.56
"2006-09-29",615,630,610,619,618.4,595376,3704.44
"2006-10-03",619,635.85,615,616.1,619.4,800656,5011.65
"2006-10-04",621.6,624,610,613.3,613.7,300674,1856
"2006-10-05",621.2,628,619,625.6,624.15,214316,1334.43
"2006-10-06",629,639.95,618.15,621,621.3,618442,3907.12
"2006-10-09",618,624.9,610,614.4,614.05,240328,1485.02
"2006-10-10",620,624.8,610.35,616.25,615.85,210138,1300.12
"2006-10-11",620,653.8,620,630.65,629.95,1942573,12449.62
"2006-10-12",634.5,637.1,621,629.2,629.7,721172,4547.42
"2006-10-13",635.1,692.9,635.1,687.9,681.95,2521133,16859.49
"2006-10-16",688.25,718,688.25,713,710.45,1859460,13089.63
"2006-10-17",714,717,700.25,706,704.5,826731,5845.04
"2006-10-18",710,715,680,682.15,684.05,754796,5292.17
"2006-10-19",700,792,700,772.45,772.7,4708913,36228.03
"2006-10-20",779,900,776,895,863.35,5252845,43856.28
"2006-10-21",900,976,900,951.25,956.4,2442711,23356.54
"2006-10-23",956,988.95,881,894.1,898.15,4171924,37819.31
"2006-10-26",900,926,892.35,921.1,918.65,2675072,24420.82
"2006-10-27",921.3,1014,921.3,1010,1000.95,4454173,43447.11
"2006-10-30",1010,1047.8,985,1004,1006.55,3142529,32144.95
"2006-10-31",1008,1025,956.6,999,989.7,2238040,22192.38
"2006-11-01",1001,1024,982.6,1008.15,1009.25,1953788,19696.7
"2006-11-02",1008,1018.65,995.15,995.15,1002.5,1094928,11030.6
"2006-11-03",1004,1005,985,990.35,992,712543,7083.85
"2006-11-06",1000,1021,983,995,998.3,870738,8760.58
"2006-11-07",1013.7,1014.4,987.25,989.35,990.95,508981,5097.28
"2006-11-08",998.6,1005,969,995,990.7,823820,8145.38
"2006-11-09",1002,1002.8,982,984.95,987.6,472117,4677.56
"2006-11-10",994.4,1031,975,996,999.35,1328121,13388.78
"2006-11-13",1000,1016.85,994.5,1003,1005.75,634151,6384.14
"2006-11-14",1010,1015,991.15,993,996.15,591832,5933.95
"2006-11-15",1000,1089.8,997.5,1066,1073.6,2710703,28335.76
"2006-11-16",1075.05,1166.6,1062.2,1152,1152.95,4209108,47484.23
"2006-11-17",1160,1177.7,1098,1110,1115.1,2057344,23357.97
"2006-11-20",1100,1148.8,1060.4,1145,1139.1,1813833,20056.3
"2006-11-21",1130.65,1209.7,1130.65,1181,1182.35,1827651,21656.38
"2006-11-22",1187,1199.75,1168.5,1171.05,1174.5,853962,10111.37
"2006-11-23",1185,1185,1140.2,1145.3,1149.7,624661,7259.67
"2006-11-24",1101.05,1182.2,1101.05,1143.5,1140.9,811845,9401.56
"2006-11-27",1143.6,1149.95,1116.7,1131.05,1127.05,407183,4608.78
"2006-11-28",1119.95,1152,1075.3,1117,1116.3,779057,8789.49
"2006-11-29",1125,1149,1117.2,1119.95,1124.9,413684,4695.68
"2006-11-30",1130.7,1137,1112.1,1126,1122.5,243525,2739.45
"2006-12-01",1130,1146.5,1113.1,1122,1120.25,297972,3370.75
"2006-12-04",1125,1137.7,1110.2,1111.25,1112.75,291061,3263.86
