"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",51.4,51.6,50.75,NA,NA,NA,NA
"1998-03-23",50.1,50.9,50.1,50.5,50.5,400,0.2
"1998-03-24",53,53,50.25,50.25,50.55,22700,11.63
"1998-03-25",52.5,55.65,52.5,55.65,55.65,22200,11.96
"1998-03-26",57.05,61.2,57,57,57.15,51200,30.62
"1998-03-27",54.25,59.4,54.25,59.4,59.05,19600,11.37
"1998-03-30",59.5,60.7,58,58,58.05,29000,17.17
"1998-03-31",58.15,58.15,55.25,56.2,55.85,32400,18.46
"1998-04-01",56.75,60.4,56.75,59.8,59.9,12600,7.49
"1998-04-02",61.95,61.95,58,59,59,6900,4.1
"1998-04-03",60.9,60.9,58,58,58.2,5100,2.97
"1998-04-06",57.5,59.2,57.5,58.25,58.75,14700,8.61
"1998-04-07",58,61.9,57.5,61,61.25,19400,11.57
"1998-04-09",68.15,74,68.15,74,74,23200,16.82
"1998-04-10",73,75,69,73,73,29400,21.39
"1998-04-13",69,73.5,68.9,70.75,69.55,31700,22.38
"1998-04-15",74.95,76.25,73.5,74.25,73.95,32400,24.26
"1998-04-16",74.5,75.75,69.15,69.75,69.85,16800,11.96
"1998-04-17",68,68.8,66.25,68.75,68.6,14600,9.89
"1998-04-20",63,68,62.15,65.75,66.4,11500,7.69
"1998-04-21",67.9,68,66.55,66.75,67.05,20400,13.71
"1998-04-22",71,71,67.75,67.75,67.75,15400,10.61
"1998-04-23",67.5,67.5,62,62.05,62.3,10300,6.69
"1998-04-24",63,63,56.45,58.9,58.25,13100,7.61
"1998-04-27",60.5,61,58.5,59.5,59.6,10600,6.34
"1998-04-28",60.25,60.25,57.2,60,59.25,7300,4.27
"1998-04-29",61,61.45,58.25,58.25,58.25,25200,15
"1998-04-30",57.1,57.9,55,57.9,57.5,8300,4.67
"1998-05-04",55,60,55,60,59.85,6600,3.89
"1998-05-05",59.5,62,58.5,61.75,61.2,7500,4.51
"1998-05-06",64,65,60.05,60.05,60.05,4200,2.58
"1998-05-08",59.45,59.5,59,59,59,2900,1.72
"1998-05-11",59.75,60.25,59.15,60.25,60.25,2700,1.61
"1998-05-12",57,59.75,55.1,58,58.35,7200,4.15
"1998-05-13",55.05,58,55,55.1,55.6,13300,7.51
"1998-05-14",57,57.45,54,57.45,57.45,13200,7.48
"1998-05-15",58.4,58.9,56.8,58.35,58.2,3100,1.8
"1998-05-18",59.9,59.9,57.75,58,58,3200,1.87
"1998-05-19",58.7,60,58.15,58.65,58.85,11000,6.5
"1998-05-20",61.5,64,60,63,63,8800,5.49
"1998-05-21",63.5,63.5,61.5,61.85,61.85,14100,8.72
"1998-05-22",61.85,62.5,61.05,61.25,61.25,3400,2.09
"1998-05-25",60.25,62.45,60.25,61,61,2200,1.34
"1998-05-26",60.3,60.55,58.3,58.5,58.55,5900,3.5
"1998-05-27",60,60,57.85,59.45,59.45,1900,1.11
"1998-05-28",59.15,59.15,57.7,57.7,57.7,400,0.23
"1998-05-29",56,57.95,54,57.95,57.95,1200,0.67
"1998-06-01",60,60,55,56.3,56.3,10000,5.79
"1998-06-02",55,55.95,52.65,52.65,52.75,3200,1.73
"1998-06-03",54,55,53,55,55,2200,1.19
"1998-06-04",55.4,55.4,53.9,53.9,53.9,2600,1.41
"1998-06-05",50,53.4,48.75,48.75,48.75,5900,2.97
"1998-06-08",51,52,45.15,46.5,46.5,6700,3.18
"1998-06-09",46.5,48.95,45,48.7,48.1,5600,2.67
"1998-06-10",50.7,50.7,43.5,43.5,45.45,12900,5.96
"1998-06-11",43.25,44.5,42,43,42.8,8300,3.59
"1998-06-12",43.75,44.5,42.65,43,43,14700,6.35
"1998-06-15",42.5,43.4,42,42.1,42.25,5100,2.17
"1998-06-16",38.3,42.9,38.3,42.9,41.7,10400,4.27
"1998-06-17",43.9,43.9,40.75,41,41.2,41000,17.5
"1998-06-18",41,43,41,41.5,41.5,21600,9.03
"1998-06-19",41.9,42.4,39.8,41.55,41.8,9300,3.78
"1998-06-22",40,41,40,41,40.6,8900,3.59
"1998-06-23",38.6,40.5,38.5,38.65,38.65,12000,4.72
