"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2011-07-19",72.05,72.05,69.25,70.65,70.95,250085,176
"2011-07-20",71,72.75,71,71.65,71.75,427885,308.11
"2011-07-21",72.8,75.4,71,71.55,71.7,517545,377.61
"2011-07-22",73.5,73.9,69.55,71.35,71.2,375551,269.82
"2011-07-25",71,72,70.25,70.25,70.8,320692,227.77
"2011-07-26",71.4,71.75,69.8,70,70.45,365613,259.42
"2011-07-27",69.7,71.35,69.7,70.9,70.7,354498,250.69
"2011-07-28",69.8,70.55,67.15,67.15,67.95,113451,78.01
"2011-07-29",68.5,70.8,65.1,70.05,69.1,168624,113.89
"2011-08-01",69.5,70.95,68.05,70,69.7,58027,40.37
"2011-08-02",69.05,70.1,67.1,67.4,67.5,34932,23.68
"2011-08-03",67,67.4,65.4,65.75,65.85,49367,32.81
"2011-08-04",65.5,66.9,65.5,65.7,66.15,27909,18.55
"2011-08-05",63.6,65.5,63.15,64.5,64.5,458675,295.92
"2011-08-08",64.5,64.75,61.25,64.5,64.05,52940,33.3
"2011-08-09",60.15,63.9,58.7,62.6,62.15,24002,14.91
"2011-08-10",63.6,64.8,62.05,62.6,62.7,34493,21.82
"2011-08-11",63.5,66.7,61.8,61.8,63.1,413403,268.8
"2011-08-12",64.1,64.1,53,53.5,54.05,451072,253.29
"2011-08-16",54.5,55.8,51,52.35,52,162718,86.58
"2011-08-17",52,52.5,47.5,49,49.1,245477,122.4
"2011-08-18",49,49.9,46.7,48.95,47.95,262429,126.47
"2011-08-19",45.4,47.8,44,47.1,46.4,346897,157.4
"2011-08-22",45.3,49.3,45,49,47.75,258944,120.35
"2011-08-23",47.55,49.4,45.7,46,46.4,418407,196.73
"2011-08-24",46.1,46.85,43.6,43.85,44.55,242152,108.46
"2011-08-25",45.4,45.4,42,43.6,43.3,315694,136.26
"2011-08-26",42.05,45.2,37,38.25,37.95,592846,233.68
"2011-08-29",39,41.75,38.35,41.75,41.7,428146,172.56
"2011-08-30",42.45,44.3,40.35,40.85,40.75,279809,117.12
"2011-09-02",41.5,41.5,39.1,40.9,40.6,197696,78.96
"2011-09-05",40,41,39.55,40.6,40.6,177822,71.36
"2011-09-06",40.1,41.4,38.7,38.9,39.4,268255,107.21
"2011-09-07",39.9,42.8,39.5,41.25,41.7,392693,159.62
"2011-09-08",42,42.85,41.5,42.5,42.3,122945,51.83
"2011-09-09",42.7,43,41.75,42.15,42.45,106489,45.16
"2011-09-12",42,42.7,41,41.2,42.25,75946,31.64
"2011-09-13",42.35,42.7,41.25,41.9,41.55,40706,17.05
"2011-09-14",41.85,43.8,41.25,42.6,42.95,254135,108.22
"2011-09-15",42.9,43.3,41.55,43.3,42.75,62082,26.21
"2011-09-16",42.75,43.25,40.9,41.5,41.7,184160,76.49
"2011-09-19",42,42.3,40.6,40.6,40.95,105823,43.51
"2011-09-20",40.3,41.55,40.3,41.05,41.15,108519,44.51
"2011-09-21",41.45,45.2,40.6,41.8,42,945929,406.48
"2011-09-22",41.3,42.05,40.3,40.35,40.7,156698,64.55
"2011-09-23",40.1,41.15,39.6,39.85,39.95,188365,76.06
"2011-09-26",40.1,40.4,39,40,39.9,92066,36.47
"2011-09-27",43.5,43.5,39.35,41.7,41.75,99389,40.84
"2011-09-28",42.4,42.4,41.05,41.8,41.5,111702,46.68
"2011-09-29",41,41.5,40.8,41.4,41.1,53150,21.97
"2011-09-30",40.7,42.5,40.55,41.65,41.85,78794,32.88
"2011-10-03",41.15,42,39.8,41.3,41.65,69544,28.45
"2011-10-04",41.7,41.7,39.1,40.95,40.75,110076,44.96
"2011-10-05",40.25,41.45,39.2,40.8,40.95,154495,63.14
"2011-10-07",41.5,42.05,41.25,41.35,41.5,66267,27.55
