"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2001-12-03,169.9,176,169.5,171.5,172.7,5637,9.75
2001-12-04,172,172,168,168,168.95,5227,8.91
2001-12-05,168,170.9,161,162.95,161.6,20074,33.22
2001-12-06,165,171,159,160,160.2,6738,11.03
2001-12-07,160,165,155.05,157,158.9,6910,11.02
2001-12-10,156.45,158.6,153,154.1,154.65,6603,10.25
2001-12-11,155,164.95,153,162.05,163,14236,22.92
2001-12-12,166.8,173.9,164.05,165.5,165,13263,22.11
2001-12-13,165,165,140,156,155.6,10949,17.15
2001-12-14,157,165,153.5,159.5,160.7,3094,4.99
2001-12-18,160.55,161,157,157,158.3,3694,5.86
2001-12-19,155.25,156.05,150,150,150.25,4341,6.59
2001-12-20,150,151,142.1,147.9,146,23069,34.48
2001-12-21,144,144.5,140.3,140.5,140.9,9671,13.78
2001-12-24,138.9,148,131.55,147,145.15,16107,22.65
2001-12-26,141,155,141,155,151.15,8056,12.16
2001-12-27,154,155,150.05,154,154,19297,29.68
2001-12-28,153,163,150.25,160,160,21728,34.3
2001-12-31,163,163.9,160,162.75,161.35,2317,3.75
2002-01-01,161.05,171,161,161.1,161.65,14870,24.8
2002-01-02,165,165.55,162,165.45,165,9097,14.99
2002-01-03,167,177,166.95,176.95,174.85,21433,36.96
2002-01-04,181.5,184.3,177,181,180.8,24821,44.88
2002-01-07,184.9,194,182,189.8,187.85,21128,39.98
2002-01-08,185,192,185,187.5,187.55,9141,17.2
2002-01-09,185.1,191.45,184.1,186,185.2,10118,19.01
2002-01-10,192.2,194.05,186,194,190.95,13599,25.71
2002-01-11,195,202.8,195,202.8,199.4,171430,341.26
2002-01-14,200,218.9,200,217.1,217.8,105303,224.92
2002-01-15,219.9,231.9,215,216,218.15,52730,117.37
2002-01-16,220,226,217,222.9,220.65,49820,110.18
2002-01-17,222.95,234,222.95,230.3,233.25,130709,301.54
2002-01-18,237,256.9,228.4,255,248.65,199479,479.59
2002-01-21,254,260,243,243,246.2,73321,183.99
2002-01-22,249.75,254.65,243,254,251.05,84151,210.66
2002-01-23,253.1,254.9,249,251.5,252,75579,190.54
2002-01-24,253,254,247,252.85,251.75,38351,96.72
2002-01-25,248.1,254.9,245.75,251.7,251.7,88115,220.4
2002-01-28,232.25,254.8,232.25,251,252.75,91226,228.63
2002-01-29,241,278.65,241,269,268.6,116587,305.75
2002-01-30,260,270,258.25,269,267.75,30321,80.3
2002-01-31,267.9,270,264,270,268.25,20520,54.58
2002-02-01,267.05,279,264.95,272.5,272.55,31470,86
2002-02-04,283.7,283.7,270,270.8,272.75,12275,33.34
2002-02-05,275,275.9,270,271.75,271.05,12795,34.84
2002-02-06,275.5,312.5,267.7,302,294,21855,62.15
2002-02-07,305,319,279,305,306.1,45345,136.41
2002-02-08,310,317,300,316,310.45,23640,72.31
2002-02-11,316,328.8,301,301,306.95,17231,54.16
2002-02-12,308,315,296,296.05,297.65,11667,35.43
2002-02-13,291,315,290,313,312.75,22899,70.28
2002-02-14,305,315,305,311.5,309.65,7876,24.5
2002-02-15,307.1,311,304.25,305,305,4207,12.89
2002-02-18,310,318.95,310,317,314.3,12584,39.33
2002-02-19,313.1,320,313.1,313.5,317.8,25803,81.74
2002-02-20,310,349,310,345,342.1,30954,102.99
2002-02-21,345,354.9,336,337.25,339.3,31305,106.71
2002-02-22,340,363,340,358.9,358.55,49932,178.29
2002-02-25,355,367.25,355,355,361.1,28716,103.89
2002-02-26,353,373,352.5,362,361.85,37000,134.43
2002-02-27,367,369,354.1,357.8,356.6,26625,96.1
2002-02-28,357,359,317.05,340,331.15,45050,153.18
2002-03-01,340,350,339.25,349.8,348.85,24828,85.9
2002-03-04,359,370,345.2,348.1,349.25,38039,135.31
2002-03-05,350,352,342.5,346.5,345.85,14793,51.3
2002-03-06,342,352,342,348,347.5,18325,63.64
2002-03-07,349.9,349.95,345,347.7,346.65,10364,36.01
2002-03-08,345,348,343.1,348,345.95,15023,51.96
2002-03-11,368,368,342,342.5,344.15,52476,180.73
2002-03-12,340,350,327.6,349,343.25,10656,35.89
2002-03-13,330.1,347,330.1,345,344.6,6448,22.12
2002-03-14,345,354,340,340,346.45,7337,25.45
2002-03-15,350,351.75,345,348,345.75,2030,7.03
2002-03-18,350,358,345,345,345.5,7904,27.74
2002-03-19,346,347.75,337,338.6,340.05,9083,31.1
2002-03-20,341.1,350,341.1,350,345.55,21402,73.84
2002-03-21,407,407,348,372,371.85,23659,87.24
2002-03-22,362.15,376.95,362.15,374,370.95,14121,52.26
2002-03-26,380,382,360,360,363.85,72418,262.93
2002-03-27,365,379.95,360,370.75,370.65,12254,46.01
2002-03-28,341,384,341,380,378.05,14011,52.45
2002-04-01,375,380,370,370,371.45,4880,18.35
2002-04-02,384.85,384.85,370,375,374.7,9222,34.65
2002-04-03,372.1,381,368,368,370.25,6514,24.36
2002-04-04,370,372,360.1,360.5,365.8,4456,16.39
2002-04-05,367,369,359.75,359.75,360.65,1344,4.9
2002-04-08,368,372,363.15,363.15,363.55,2374,8.71
2002-04-09,369.8,371,356.05,357,357.05,2753,9.98
2002-04-10,364.05,370,364.05,369.9,368.2,5294,19.43
2002-04-11,370,381,365.15,372.6,378.8,12187,46.08
2002-04-12,399,399,371.55,374,375.05,2709,10.23
2002-04-15,382.5,385,372,377,375.45,4752,17.99
2002-04-16,375.05,377.75,367,367.5,369,8759,32.71
2002-04-17,370,425,368.65,425,393.8,18757,72.18
2002-04-18,395,415,390,390,394.85,13391,53.53
2002-04-19,380,400,380,399.95,398,5109,20.24
2002-04-22,410,410,392,392,393.95,3944,15.72
2002-04-23,393,396.65,390,395,393.3,1631,6.39
2002-04-24,385,404.8,385,396.45,399.85,5821,23.31
2002-04-25,400,434,400,430,425.65,49116,206.67
2002-04-26,425,500,425,474.85,470.6,140186,651.05
2002-04-29,480,484,455,460.5,463.1,32924,154.01
2002-04-30,462.1,466.75,452,462,459.65,10457,47.96
2002-05-02,475,487,452.2,455.05,459.7,30924,145.97
2002-05-03,460,467,453.5,460,457.35,12124,55.81
2002-05-06,460,464,445,445,447.3,12397,56.22
2002-05-07,452,465,448,460,461.45,18174,82.91
2002-05-08,460,463.25,451.1,454,455.2,10389,47.52
2002-05-09,460,460,445,445.25,449.35,4300,19.4
