"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2004-08-24",305,340,253.25,259,260.2,6633956,17832.37
"2004-08-25",262,264.7,249.2,255,255.55,2794161,7140.11
"2004-08-26",257.75,272.5,256,270.1,270.7,2340926,6250.23
"2004-08-27",272,272.55,260.65,261.35,262.25,915106,2419.53
"2004-08-30",263.7,269,262.05,267,266.1,387417,1028.11
"2004-08-31",266.8,267.8,264.3,266.45,266.2,261123,694.6
"2004-09-01",267,273.45,265,267,267.2,311985,840.6
"2004-09-02",267.85,269.5,260,264,262.2,205537,543.87
"2004-09-03",262.2,264.9,257.5,262.65,262.65,303156,791.23
"2004-09-06",263.5,267.85,263,264.75,265.3,74691,198.6
"2004-09-07",264,265.8,263.55,265,264.85,128275,339.56
"2004-09-08",266,266,262.6,263.5,263.45,95094,251
"2004-09-09",264.5,265,254.8,256.5,256,229786,594.19
"2004-09-10",256.9,264.4,254.35,258.1,258.6,313469,810.66
"2004-09-13",256,262.15,256,260.8,260.65,100186,261.27
"2004-09-14",261,263.5,259,261,261.1,87282,227.78
"2004-09-15",262.7,266.95,261.5,263,263.9,179209,473.74
"2004-09-16",264,266.7,261,266.7,265.6,113885,301.25
"2004-09-17",267,274.45,266.1,271,271,193931,524.84
"2004-09-20",272,283,272,276.95,277.35,447036,1249.86
"2004-09-21",280,281.8,275,275.8,276.3,317565,882.2
"2004-09-22",281.5,281.95,275.05,280.8,279.25,142156,396.46
"2004-09-23",273,279,268.8,268.95,269.9,71981,197.28
"2004-09-24",269.5,273,267.1,271.3,270.8,64135,173.06
"2004-09-27",271.5,273.9,269.3,273.9,272.8,43976,119.44
"2004-09-28",272.8,272.8,263.6,264.5,265.7,116744,311.61
"2004-09-29",266.9,267.5,262.65,264.5,264.45,84483,223.62
"2004-09-30",266.4,268.75,264.95,265,266.05,45563,121.69
"2004-10-01",266,268,264,264,265.25,59466,158.22
"2004-10-04",268.8,270.9,263,270,269.05,173799,464.94
"2004-10-05",269,271,264,264.75,265.25,74731,199.56
"2004-10-06",266.5,298.9,266.5,293,295,1072401,3107.98
"2004-10-07",295,354,294,316.05,316.45,2122276,6856.32
"2004-10-08",318.1,331.35,316.45,322,320.4,599337,1934.78
"2004-10-09",321.4,322,314,316,315.65,90585,287.61
"2004-10-11",315,318.6,301.25,303.3,304.7,121262,376.98
"2004-10-12",307,311,298.1,298.6,300.15,146878,445.94
"2004-10-14",303.7,303.7,286.55,290.2,289.1,89146,260
"2004-10-15",294.8,299.8,288,289.1,290.7,115264,338.29
"2004-10-18",293.9,295,285,287.2,286.8,59350,171.73
"2004-10-19",291.4,291.4,282.6,285.05,285.6,72458,208.15
"2004-10-20",288.4,292.3,285.5,286.1,286.55,95374,275.73
"2004-10-21",288.4,296.5,285,293,292.25,81976,237.74
"2004-10-25",295.5,305.3,284.6,285.15,286.35,215408,633.65
"2004-10-26",289.9,294.8,281.55,292.5,289.5,105215,302.67
"2004-10-27",285,313.9,285,297.75,299.15,656655,1966.34
"2004-10-28",301,311,297,306.35,306.6,326585,995.38
"2004-10-29",302.2,306.75,301,302.5,303.25,76737,232.8
"2004-11-01",305,305,289,301,301.3,190801,569.37
"2004-11-02",306,310,302,307,306.9,109175,335.01
"2004-11-03",307.5,310,303,305,305.15,93238,284.87
"2004-11-04",308.8,308.8,299,299.65,300,32815,99.3
"2004-11-05",303,303,290,294,292.35,61849,182.17
"2004-11-08",297.4,302,290.25,294,292.5,80765,239.54
"2004-11-09",296.4,300,293.3,294.5,295.55,48772,144.7
"2004-11-10",298,298.8,291.5,292.8,292.5,107489,318.33
"2004-11-11",293.6,296.4,286.55,287.75,287.95,131265,381.65
"2004-11-12",292.9,293.4,289.15,291.5,291.5,29798,86.9
"2004-11-16",293.65,294.95,289,294.95,294.05,48466,141.89
"2004-11-17",296,296,283,283.55,283.85,222899,640.82
"2004-11-18",285,288.75,283.1,285,284.3,95728,273.97
"2004-11-19",286.7,287,280.5,282,282.15,116142,330.39
"2004-11-22",283,284,278.3,278.5,278.9,112962,316.75
"2004-11-23",285,285,276,276.95,277.7,193928,542.68
"2004-11-24",281.8,287,280.4,286.2,285.45,345777,980.63
"2004-11-25",294.6,299.85,289.5,294.5,294.8,397748,1177.53
"2004-11-29",295,299.8,295,297.55,297.6,146544,434.99
"2004-11-30",298.95,298.95,294,295,295.2,172784,510.17
"2004-12-01",296,297.85,295,296,295.55,85290,252.26
"2004-12-02",297,305,296,301.95,302.35,317401,955.31
"2004-12-03",305.55,306.6,295,295,295.75,339368,1013.55
"2004-12-06",297.05,298,293.25,294,294.3,200821,593.3
"2004-12-07",295,304.65,295,302,302.25,288631,866.94
"2004-12-08",302,304.9,297,300.6,300.15,201937,607.47
"2004-12-09",302.6,302.6,297,297.15,298.7,143942,431.42
"2004-12-10",300,304.45,295,303,300.65,318295,951.88
"2004-12-13",303,305,300.65,303,301.95,43952,132.94
"2004-12-14",303,310.75,302.65,306,305.95,141686,435.45
"2004-12-15",308.45,308.5,304,307,305.5,62276,190.42
"2004-12-16",306,310.9,302,308.2,309.3,137963,425.31
"2004-12-17",308.05,312.95,302.2,309.2,305.15,195396,601.1
"2004-12-20",310,314.4,310,314,312.4,212500,663.72
"2004-12-21",316.45,324.9,314.2,317.5,316.55,78287,247.61
"2004-12-22",316.05,318.9,305,306.05,307.65,89638,277.95
"2004-12-23",305,310,304.25,309.5,308.6,79870,245.96
"2004-12-24",312,317,308,315.5,315.55,121155,381.31
"2004-12-27",318,334.2,306.05,326.3,326.55,171748,557.09
"2004-12-28",321.05,333.9,321.05,326.3,326.85,97057,317.99
"2004-12-29",334,334,319.1,328,327.2,98486,320.44
"2004-12-30",329.5,351.8,328.5,338,338.2,222632,756.15
"2004-12-31",340.05,349.5,336,340,340.45,86142,296.12
"2005-01-03",344,348,335,338.55,338.15,73470,249.73
"2005-01-04",342.9,359.9,339.5,343.5,343.1,240543,834.85
"2005-01-05",345,355,323.85,333.9,333.5,230742,782.85
"2005-01-06",337,341.95,326,339,338.25,121746,408.86
"2005-01-07",350,350,331.55,335,333.65,76718,258.86
"2005-01-10",338.9,351.4,334.2,339,339.7,238665,816.93
"2005-01-11",343,343,318.5,325.2,324.65,161462,526.85
"2005-01-12",325,334.95,318.1,321.3,320.1,79473,257.68
"2005-01-13",330,330,316.05,317.05,318.7,157844,506.99
"2005-01-14",328,333,320,330,328.15,453968,1477.88
"2005-01-17",329.5,337.7,322.6,325,324.75,426020,1394.01
"2005-01-18",327,328.95,320.65,324,323.55,109156,354.59
"2005-01-19",327.95,327.95,321.55,324,323.5,71306,230.91
"2005-01-20",325,338.85,325,331.6,333.45,448669,1492.55
"2005-01-24",335,339.8,323.05,326.9,328.5,215699,717.2
"2005-01-25",330,334,300.15,317.05,321.45,158479,513.15
"2005-01-27",313,328,308,326,325.05,222826,722.82
"2005-01-28",325.5,361,325,354,351.5,569873,1977.02
"2005-01-31",351.5,354.4,340.4,344,343.75,140961,489.29
"2005-02-01",345,366.9,337.35,356.05,361.25,269465,942.32
"2005-02-02",360,362.25,348.4,352.6,351.95,157466,556.1
"2005-02-03",359.4,382,356.35,379.05,379.35,399811,1484.27
"2005-02-04",383,391.9,374,382.85,382.75,225957,871.66
"2005-02-07",385.9,390,370,374,372.55,104917,398.62
"2005-02-08",350.1,383,350.1,370.05,371.7,141700,529.59
"2005-02-09",375,382.8,370,371.5,370.7,196371,738.53
