"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2002-09-24,17.05,17.4,16.2,16.25,16.35,8206697,1355.39
2002-09-25,16.25,16.25,15.8,16.1,16.05,1959835,314
2002-09-26,16.2,16.2,15.15,15.4,15.3,1270365,199.51
2002-09-27,15.5,15.6,15.15,15.45,15.35,1357003,207.79
2002-09-30,15.3,15.85,15.15,15.5,15.4,1475227,229.73
2002-10-01,15.4,15.6,15.3,15.55,15.5,339944,52.58
2002-10-03,15.6,15.6,15.4,15.55,15.45,138613,21.44
2002-10-04,15.45,15.5,15.35,15.35,15.4,157713,24.3
2002-10-07,15.25,15.6,15.25,15.5,15.55,179434,27.84
2002-10-08,15.6,15.6,15.15,15.25,15.2,249002,38.15
2002-10-09,15.25,15.4,15,15,15,408547,61.69
2002-10-10,15.05,15.1,14.85,15,14.95,147908,22.12
2002-10-11,15,15,14.75,15,14.95,267590,39.78
2002-10-14,15,15,14.75,14.8,14.8,173558,25.82
2002-10-16,14.75,14.95,14.7,14.7,14.75,206333,30.5
2002-10-17,14.65,14.9,14.6,14.7,14.75,202202,29.68
2002-10-18,14.8,15.65,14.7,15.2,15.2,700416,107.2
2002-10-21,15.25,15.35,15,15.05,15,66861,10.09
2002-10-22,15,15.1,14.9,14.95,14.95,105096,15.76
2002-10-23,15,15.25,14.85,15.1,15.1,91154,13.73
2002-10-24,15,15.45,14.95,15.05,15.05,573557,87.04
2002-10-25,15.2,15.7,15.1,15.35,15.3,1140336,176.31
2002-10-28,15.5,15.5,15.15,15.45,15.35,251903,38.6
2002-10-29,15.4,15.65,15.3,15.5,15.4,477498,74.08
2002-10-30,15.4,15.55,15.2,15.25,15.3,402321,61.87
2002-10-31,15.4,15.45,15.2,15.3,15.25,188728,28.82
2002-11-01,15.45,15.45,15.2,15.25,15.25,152135,23.25
2002-11-04,15.5,15.5,15.25,15.45,15.4,111000,17.09
2002-11-05,15.7,16.3,15.35,16.25,16.25,1346049,216.33
2002-11-07,15.5,16.4,15.5,16.1,16.05,451015,72.71
