"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2008-03-13,90,98.95,72.6,73,75.95,19513848,16185.66
2008-03-14,75,75.9,67.3,70.5,69.95,5095029,3557.27
2008-03-17,67,77.8,62.1,72.1,70.65,13275062,9633.27
2008-03-18,73.7,76.5,70,70,71,2473614,1802.85
2008-03-19,72.9,74.75,67.5,68,68.45,1207626,851.99
2008-03-24,65,69.5,58.65,62.15,61.55,948986,598.53
2008-03-25,63,65,60,63.5,63.5,948751,598.22
2008-03-26,64.7,66.5,61.35,64.3,64,601214,386.92
2008-03-27,63,63.9,62.05,63.25,63.2,276690,174.65
2008-03-28,64.4,68.65,63,66,66.2,992369,660.5
2008-03-31,63.3,67,63.3,64.4,64.6,348065,228.65
2008-04-01,66.5,66.5,63.5,65,64.9,184876,120.1
2008-04-02,66.4,67.45,63.1,63.35,63.85,160007,104.62
2008-04-03,62.6,65.7,62.6,63.7,63.7,158007,101.3
2008-04-04,65,73.7,63.5,69.1,69.95,4814688,3401.33
2008-04-07,70.6,70.85,66.2,67.65,67.85,1352139,925.13
2008-04-08,68,71.8,66.6,67.6,67.4,865255,600.45
2008-04-09,67.6,71.1,67.6,68.15,68.3,552369,382.52
2008-04-10,69.7,70.45,67.05,67.65,67.7,310034,213.09
2008-04-11,68.7,69.85,66.7,67.2,67.25,186375,126.63
2008-04-15,67.5,68.25,66.1,67.45,67.5,179881,121.54
2008-04-16,68,70.9,68,68.15,68.4,402005,279.25
2008-04-17,68.85,71.3,68.5,68.95,69,506832,354.4
2008-04-21,69.8,71.95,69.2,70.35,70.05,269574,190.11
2008-04-22,70.3,74.7,69.1,72.7,72.2,1192169,869.53
2008-04-23,72.8,73.4,70.5,70.7,70.75,200880,144.27
2008-04-24,65.7,75.4,65.7,72,72.55,1003723,741.19
2008-04-25,75,76.9,73.2,74,74.25,800038,599.35
2008-04-28,74,75,72.25,72.4,72.55,156922,114.83
2008-04-29,72.25,73.5,70.1,72.85,72.55,141220,102.62
2008-04-30,73.5,74.7,72.2,73,72.65,190584,139.77
2008-05-02,73.7,73.95,71.55,71.6,72.05,145645,105.96
2008-05-05,72.75,73.2,71.5,71.6,71.75,97460,70.55
2008-05-06,71.1,72.4,69.5,70,69.85,97575,69.07
2008-05-07,71.1,71.1,68.85,68.85,68.95,88962,61.87
2008-05-08,68.1,68.7,67.55,67.55,67.8,69457,47.2
2008-05-09,68.1,69.35,66.1,66.4,66.8,94784,64.15
2008-05-12,66.9,66.9,64.3,65.55,65.45,98281,64.01
2008-05-13,65.95,67.95,65.8,66.45,66.3,72721,48.71
2008-05-14,65.8,67,65.8,66.9,66.55,50670,33.69
2008-05-15,66.75,68.5,66,67.6,67.45,69883,47.25
2008-05-16,68,68.9,67.1,67.5,67.6,90800,61.9
2008-05-20,67,70.6,66.9,68.8,68.7,208073,143.91
2008-05-21,70,72.9,69.9,71.15,71.35,318200,228.11
2008-05-22,71.35,71.95,68.2,70,69.95,126102,88.95
2008-05-23,70.1,70.85,68.25,69,68.6,80775,56.08
2008-05-26,67,69,66.15,66.85,66.5,72826,48.66
2008-05-27,66.85,68.15,65.15,65.8,65.85,67877,45.39
2008-05-28,65.6,67.15,65.5,66,65.9,60279,39.8
2008-05-29,66.5,68,65.2,65.7,65.55,63010,41.73
2008-05-30,65.85,66.95,64.55,64.55,65.1,72850,47.95
2008-06-02,65.5,66.25,63.25,63.8,63.7,63855,41.43
2008-06-03,63.25,63.25,60.7,63.25,62.8,65646,40.85
2008-06-04,63.8,63.8,61.35,61.75,61.75,46745,29.11
2008-06-05,61.25,61.7,60.5,61.5,61.25,45393,27.78
2008-06-06,62,62.5,61.3,61.5,61.6,40059,24.77
2008-06-09,49.5,59.95,49.5,59.95,58.8,61139,35.43
2008-06-10,59.95,59.95,58.2,59.1,59.55,45743,27.08
2008-06-11,58.2,61.7,57.55,60.5,60.5,38083,23.1
2008-06-12,59.8,64.5,59.1,62,61.8,78416,48.38
2008-06-13,61.2,63.25,61.2,61.9,61.85,37247,23.14
2008-06-16,62.5,64,61.1,61.35,61.3,44345,27.73
2008-06-17,61.55,62,60.2,61.5,61.05,42233,25.83
2008-06-18,62.5,62.5,61.15,61.85,61.7,51838,32.02
2008-06-19,61,61.5,56.15,61.15,60.9,37951,23.07
2008-06-20,61.5,61.5,58.9,59.7,59.2,52296,31.3
2008-06-23,58.25,59,57,57.5,57.65,38760,22.34
2008-06-24,57.05,58.45,57,58,57.25,39356,22.69
2008-06-25,56,57,55.05,56.25,56.05,67535,37.73
2008-06-26,58,58.5,56.75,58,57.75,40050,23.01
2008-06-27,54.05,57,50.75,55.6,55.85,52494,29.5
2008-06-30,55.35,55.95,53.7,54.55,54.8,39634,21.86
2008-07-01,56,56.6,53,53.1,53.4,42645,23.04
2008-07-02,54.1,55.25,51.85,54.5,54.65,61279,32.46
2008-07-03,52.5,54.5,52.5,53.3,53.6,40090,21.55
2008-07-04,53.6,53.6,51.2,53,52.65,39455,20.58
2008-07-07,54,54,52.5,52.95,52.95,25154,13.4
2008-07-08,52.1,53.25,51.2,53.2,52.9,19249,10.04
2008-07-09,53.95,54.4,53.1,53.85,53.6,39104,21.04
2008-07-10,53.95,57.35,53.1,54.5,54.4,59673,32.86
2008-07-11,55,57.5,53.15,53.5,53.9,57072,31.5
2008-07-14,51.25,54.1,51.25,52.9,52.95,24051,12.75
2008-07-15,53,55,51.25,53.4,53.4,66699,35.85
2008-07-16,55,59.9,54.5,55.5,55.05,116230,65.22
2008-07-17,56.15,59.7,49.65,55.45,55.25,66637,37.46
2008-07-18,56,58.4,55,56.8,56.75,66468,37.52
2008-07-21,56.5,56.5,54,55.4,55.4,33333,18.38
2008-07-22,56,56.9,55.15,56.65,56.15,28967,16.28
2008-07-23,57,59.5,57,57.1,57.3,64281,37.25
2008-07-24,58.9,59,57.15,57.25,57.5,34778,20.14
2008-07-25,57,57.7,56.05,57.2,56.8,24239,13.75
2008-07-28,55.55,57.9,54.9,56.1,56.5,30108,17.13
2008-07-29,57,58.9,56.4,56.5,56.7,29879,16.99
2008-07-30,57.4,57.5,56.3,56.3,56.6,22672,12.9
2008-07-31,57.25,57.35,55.55,55.55,55.85,19445,10.95
2008-08-01,55.25,56.3,54.6,55.05,55.3,41429,22.9
2008-08-04,56.2,56.5,55.45,56.2,56,29691,16.63
2008-08-05,56,60.6,55.7,57.55,57.9,136029,79.51
2008-08-06,58.65,59.9,57,57.65,57.55,55408,32.39
2008-08-07,57.8,58.45,57,57.5,57.35,20200,11.65
2008-08-08,57.1,58.25,56.05,57.3,57.3,25239,14.42
2008-08-11,57,58.6,57,57.8,57.85,18743,10.87
2008-08-12,57,58.35,57,57.05,57.2,21244,12.24
2008-08-13,58.3,58.3,56.8,56.8,57.1,10391,5.94
2008-08-14,57.5,57.5,56,56.5,56.15,22122,12.49
2008-08-18,55.6,56.5,55.55,55.9,56,9845,5.53
2008-08-19,55.65,56.9,55.4,55.7,55.7,16468,9.24
2008-08-20,56.35,56.7,55.9,56.05,56,7959,4.47
2008-08-21,56.7,56.7,55.05,55.75,55.3,10739,5.97
2008-08-22,55.1,56,55.1,55.85,55.45,15511,8.61
2008-08-25,56.05,56.05,55,55.1,55.1,14625,8.12
2008-08-26,53.55,63,53,56.5,57.45,35980,20.34
2008-08-27,58.75,67.5,58,62.25,61.8,405670,249.44
2008-08-28,63.2,63.2,56.4,56.5,56.95,223202,133.58
2008-08-29,58.2,59.7,56.25,57.35,57.6,73491,42.77
2008-09-01,56.6,58.3,56,57.25,57.05,23265,13.31
2008-09-02,57.9,64.7,56.5,57.35,57.5,36313,21.03
2008-09-04,57.1,57.95,56.7,57.05,57.05,19176,10.94
2008-09-05,56.5,57.25,56.1,56.5,56.55,17787,10.09
2008-09-08,57.25,58.6,56.25,56.5,56.45,18666,10.66
2008-09-09,56.15,56.95,56,56.85,56.65,9630,5.45
2008-09-10,56.1,57,56,56.4,56.2,14985,8.45
2008-09-11,56,56.5,55.6,55.65,55.7,11647,6.5
2008-09-12,56.1,56.1,55.05,55.05,55.3,14157,7.86
2008-09-15,55.2,55.2,52.15,53.75,53.75,29471,15.77
2008-09-16,52.7,54.1,51.05,54.1,53.55,36030,18.91
2008-09-17,53.9,54,52.6,53.95,53.25,26303,13.97
2008-09-18,52.05,52.5,51.2,52.05,52.05,27988,14.48
2008-09-19,53.4,53.95,52.5,53.55,53.3,17100,9.16
2008-09-22,53.5,55.65,52.3,53.45,53.4,16227,8.66
