"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",32,34.5,31.3,NA,NA,NA,NA
"1998-03-23",34.3,34.5,33.35,33.75,33.75,13700,4.65
"1998-03-24",34,35.2,33.6,35.2,35.2,56450,19.76
"1998-03-25",38.5,38.75,37,38.75,38.75,78850,30.2
"1998-03-26",38.75,42.6,38.75,39.75,39.95,114350,46.92
"1998-03-27",38.8,43.85,38.75,43,42.95,121850,50.93
"1998-03-30",43,44,43,44,44,89550,39.25
"1998-03-31",44,44.05,42,43.35,42.55,90750,39.39
"1998-04-01",45,46.85,44,46.85,46.85,148450,68.3
"1998-04-02",48,48,44.55,45.15,45.3,77600,35.96
"1998-04-03",43,45.75,43,44.95,44.7,60950,27.13
"1998-04-06",45.6,46.5,43.6,44.05,43.9,55550,24.84
"1998-04-07",45.05,45.05,42.6,43.15,43.55,56350,24.78
"1998-04-09",43.75,47.95,43.75,47.95,47.65,78500,36.8
"1998-04-10",48.3,52.45,48,52.45,52,115700,58.71
"1998-04-13",50,52.85,48,52,51,100400,51.45
"1998-04-15",55.5,56.1,55.5,56.1,56.1,13350,7.49
"1998-04-16",60,60.5,55,55,55.5,88400,50.48
"1998-04-17",55,56,51,54.55,54.55,49800,26.52
"1998-04-20",52,54,50.6,51.5,52,37050,19.53
"1998-04-21",52.05,53.3,51.1,53,51.95,69600,36.32
"1998-04-22",54,57,50.15,52,51.15,55150,29.42
"1998-04-23",49.2,51.5,48.25,49,49.15,28250,14.03
"1998-04-24",47.1,48,44.25,44.95,44.85,33000,15
"1998-04-27",48,48,43.05,43.35,43.65,24450,10.88
"1998-04-28",43,43,39.5,40.9,40.2,41100,16.83
"1998-04-29",41.5,43.45,40.6,40.75,41,29200,12.31
"1998-04-30",38,43.4,36.9,43,42.6,39500,15.43
"1998-05-04",43,46.45,43,46,45.45,45050,20.31
"1998-05-05",43.7,50,43.7,50,49.75,52000,24.71
"1998-05-06",54,54,47,49.45,48.65,96700,49.11
"1998-05-08",47.6,50,47.5,49.45,49.2,35900,17.36
"1998-05-11",49.9,49.95,47,48.15,48.4,19450,9.36
"1998-05-12",47.5,47.85,43.6,45.05,45.7,59450,26.97
"1998-05-13",45,46.95,43.2,43.7,44.3,36600,16.57
"1998-05-14",44,45.9,41,45.35,45.35,46850,20.52
"1998-05-15",44.55,46,44.5,45.5,45.25,20200,9.17
"1998-05-18",44,46.25,44,45.05,45.4,30050,13.66
