"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2000-02-23,850,870,809.45,809.45,809.45,11000,89.37
2000-02-24,810,840,795,795,795,12800,104.59
2000-02-25,796,800,739,777,764,2600,19.9
2000-02-28,765,774,744,765,765.05,10600,80.06
2000-02-29,780,798,714,714,714.35,8600,67.17
2000-03-01,690,700,676.2,684,683.2,1500,10.29
2000-03-02,655.1,656,628.85,628.85,628.85,8100,51.77
2000-03-03,587,600,578.6,589,584.7,5800,34.09
2000-03-06,561,599,561,582.5,582.9,6100,35.73
2000-03-07,585.1,600,581.1,590,592.3,14700,87.18
2000-03-08,601,625,590,595,595,11800,71.28
2000-03-09,619,619,582.5,589.9,589.9,7000,41.39
2000-03-10,590,599,581,581,581,2900,17.01
2000-03-13,591,612.9,581,599,599,7400,43.8
2000-03-14,600,634.95,600,634.95,631.7,10000,61.08
2000-03-15,634,682,631.5,682,681.75,16562,111.09
2000-03-16,679,736.3,636,736,731.5,9162,63.1
2000-03-21,702,774.9,701.1,765,762.6,13260,100.12
2000-03-22,823.6,823.6,710,745,745,7411,56.55
2000-03-23,725,725,687.5,687.5,688.35,3636,25.57
2000-03-24,705,717.75,688,700,699.65,106331,744.26
2000-03-27,710,710,677.5,677.5,680.3,8431,58.42
2000-03-28,680,682.5,626,626.25,628.6,34842,229.23
2000-03-29,620,638.9,578.35,578.35,578.35,29513,173.97
2000-03-30,546,570,532.25,532.25,532.25,55122,295.41
2000-03-31,522,574.85,515,574.85,574.75,41847,234.05
2000-04-03,588,596,555,560,559.45,30854,176.81
2000-04-04,545,550,514.7,514.7,514.7,15567,82.06
2000-04-05,520,540,473.55,510,474.45,59541,294.08
2000-04-06,500,512.45,495,509,501.4,16195,82.51
2000-04-07,520,541.55,520,541.55,541.55,11628,62.6
2000-04-10,577,584.9,566,583.5,583.5,14168,82
2000-04-11,550,588,540,576,576.2,7799,44.38
2000-04-12,590,594,580,580.1,581.8,11327,66.29
2000-04-13,566.05,590,545.5,550,549.85,21869,122.87
2000-04-17,517,548.85,516.05,548.85,542.75,11328,60.19
2000-04-18,559,560,526,537.9,533.25,10705,57.64
2000-04-19,545,555,517.25,524.9,524.15,10502,56.68
2000-04-20,502,523.5,482.25,523.5,512.15,11742,58.46
2000-04-24,519,530,510.05,525,521.05,4172,21.53
2000-04-25,504,504,481,490,491.15,12204,59.88
2000-04-26,505,514,494,505,504.65,12667,63.78
2000-04-27,507,507,465,465.2,469.3,6890,33.03
2000-04-28,478,478,439,444.25,441.5,8826,39.73
2000-05-02,445,445.1,388.55,390,393.85,12365,49.31
2000-05-03,396.5,424,347.1,390,383.2,19910,74.11
2000-05-04,413.9,429.2,413.9,416.55,425.5,8666,36.93
2000-05-05,435,438.5,410,411.35,414.55,25904,107.8
2000-05-08,400,427,400,420,421.45,10175,42.91
2000-05-09,405,423.8,401,417,418.45,10044,41.85
2000-05-10,419.1,424.9,419.05,422.5,422.15,3685,15.56
2000-05-11,410,425,403,420.45,418.9,4305,17.95
2000-05-12,417.15,419.5,406.15,412,411.2,6125,25.35
2000-05-15,400,414.9,396,405,409,4940,20.05
2000-05-16,400,410,400,400,401.25,5549,22.42
2000-05-17,412.8,415,401,401,401.55,1842,7.48
2000-05-18,399,404.5,396.05,400,399.85,1546,6.19
2000-05-19,394.05,400,390,400,396.7,2767,10.96
2000-05-22,392.75,400,380,388.9,391.4,3935,15.36
2000-05-23,384,389.85,377.5,385.5,379.45,11493,43.79
2000-05-24,380,385,379.95,384.8,381.75,6344,24.21
2000-05-25,390,390,377.6,379.95,379.9,4885,18.68
2000-05-26,377.5,379.9,370,375.7,373.05,2375,8.91
2000-05-29,380,382.5,375,377.5,377.15,4822,18.31
2000-05-30,365,382.95,365,375,376.35,13948,52.57
2000-05-31,390,404.9,373.5,375.5,375.9,12803,49.18
2000-06-01,374.9,376.9,370,375,374.85,6764,25.19
2000-06-02,374.5,381,372.5,381,379.1,8702,32.66
2000-06-05,392.1,416.95,392,399.5,399.8,13388,53.79
2000-06-06,399.95,430,399.1,422,418.4,16851,70.18
2000-06-07,428,432,415,415,415.45,5345,22.53
2000-06-08,423,428,412,413,414.5,6401,26.98
