"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
2005-07-12,65.9,70,60,60.55,60.85,48988303,30521.32
2005-07-13,61,63,57.45,59.3,58.7,12822324,7720.07
2005-07-14,60,60,57,57,57.25,3256573,1884.97
2005-07-15,56.25,64.45,56.25,61.8,61.85,15089606,9298.83
2005-07-18,62.7,65.7,62.5,64.25,64.1,15136955,9747.41
2005-07-19,65,65,63.1,64.15,63.95,5089187,3251.12
2005-07-20,64.1,64.85,63,63.7,63.5,1881334,1199.8
2005-07-21,63.9,64,62.25,62.5,62.5,2032914,1284.24
2005-07-22,62.8,63,61.8,62,62.05,1005201,628.24
2005-07-25,63,63,61.1,61.1,61.4,1080697,667.05
2005-07-26,61.6,64,61,62.45,62.45,2329540,1456.02
2005-07-27,63.3,64.5,62.35,63.25,63.55,2496204,1586.52
2005-07-29,63.55,64.25,62,62.85,62.45,1237293,781.48
2005-08-01,63.05,64.3,62.75,63.55,63.3,3590938,2279.78
2005-08-02,64,74.3,64,70.8,71.6,30856711,21610.41
2005-08-03,72.5,72.85,68.15,69.75,69.55,11393327,8058.56
2005-08-04,70,73.7,69.6,71.75,71.7,8579606,6182.39
2005-08-05,71.5,72.75,71,71.55,71.55,2616074,1877.32
2005-08-08,71.95,72.35,70.45,70.7,70.65,2154325,1532.34
2005-08-09,70.9,71.15,68.55,70,69.7,1503631,1050.15
2005-08-10,70,73.5,70,71.3,71.5,3291467,2370.78
2005-08-11,71.95,72.8,71.2,71.2,71.65,1786252,1285.43
2005-08-12,71.5,71.9,70.5,70.5,70.7,901987,641.4
2005-08-16,70.9,71.45,69,69.4,69.45,1088402,762.18
2005-08-17,69.4,70.9,68.75,68.9,69.05,1035964,722.13
2005-08-18,69.7,70.05,68.55,69,68.95,964612,666.83
2005-08-19,69.65,69.65,67.4,67.85,67.9,814334,556.2
2005-08-22,68.5,68.6,66.25,66.45,66.7,916142,613.19
2005-08-23,67.45,67.45,63.9,64.75,64.6,1476367,958.87
2005-08-24,64.2,65.9,63.9,64.75,64.65,616478,397.39
2005-08-25,65,67.3,64.75,65.6,65.7,496609,326.95
2005-08-26,66.1,68,65.7,66.35,66.2,466074,308.54
2005-08-29,67,67,64.2,65.25,65.25,1245549,807.52
2005-08-30,65.95,67.15,65.7,66.65,66.45,405319,269.15
2005-08-31,67,68.65,66.15,67.2,67.05,852663,573.7
2005-09-01,67.95,68.3,66.5,66.7,67,382169,257.09
2005-09-02,67.1,73.95,65.7,70.5,70.6,3439506,2442.96
2005-09-05,71.1,71.5,68,68.5,68.3,794857,553.27
2005-09-06,68.95,71.4,68,68.45,68.85,1159714,807.31
2005-09-08,68,69.65,68,69.2,69.1,528846,364.73
2005-09-09,69.85,73.35,68.7,72.85,72.7,3011179,2164.49
2005-09-12,73.2,73.8,71.5,71.75,71.7,1453140,1052.87
2005-09-13,72,73,70.9,71.45,71.5,1206319,865.89
2005-09-14,72.55,73.6,70.15,71.9,71.7,1867148,1349.95
2005-09-15,72,72.5,70.8,71.2,71,705326,502.66
2005-09-16,70.5,71.85,64.9,70.75,70.7,444499,314.95
2005-09-19,71.45,71.45,69.5,69.6,69.8,771623,540.25
2005-09-20,70.4,70.4,68.1,68.6,68.85,1084933,745.14
2005-09-21,69,69.45,63.55,65.35,65.35,3364553,2180.44
2005-09-22,65.8,65.8,63.6,63.9,63.9,1132406,727.37
2005-09-23,64.3,66.5,61.2,63.2,62.9,1582416,995.98
2005-09-26,63.9,66.7,63.9,65.3,65.05,948830,622.43
2005-09-27,65.5,66.9,65.1,66.9,66.45,863544,570.48
2005-09-28,67.5,69.8,67.05,68.55,68.65,1384129,951.59
2005-09-29,69.25,69.25,67.2,68,67.65,693380,474.15
2005-09-30,67.6,67.95,65.25,66.3,66.35,824413,547.36
2005-10-03,66.85,67.9,66.15,66.5,66.55,422033,282.17
2005-10-04,67.25,67.7,66.75,67.05,67.1,670644,449.27
2005-10-05,67.7,69.5,66.6,68,67.75,946457,644.29
2005-10-06,68.45,71.2,66.25,68.35,68.4,2606298,1809.34
2005-10-07,69.4,70.5,68.3,69.8,69.2,1765337,1226.25
2005-10-10,70,72.15,67.55,67.75,68.2,4766292,3352.54
2005-10-11,69,69,66.9,67.15,67.2,1067807,720.35
2005-10-13,67.3,67.85,65.4,65.6,65.65,1566298,1042.6
2005-10-14,66.25,66.25,64.25,64.6,64.7,1277885,828.98
2005-10-17,65.5,65.5,62.75,63.05,63,1115967,711.03
2005-10-18,63.6,66.15,63.05,65.7,65.7,977158,638.13
2005-10-19,64.45,65.9,63.2,65.25,64.7,964550,624.97
2005-10-20,65.6,66,64,64.5,64.65,815875,530.26
2005-10-21,65,65,62.15,63.8,63.55,688251,434.98
