"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2007-02-28",230,241.9,210.5,232.5,235.35,2481079,5777.05
"2007-03-01",235,237.9,222,226.5,224.9,1784382,4011.24
"2007-03-02",228.8,229.95,221.2,222,222.2,1656992,3723.22
"2007-03-05",220,229,208,220.55,217.85,1958025,4167.33
"2007-03-06",225,229,215.5,225.8,224.35,1433199,3153.34
"2007-03-07",225.5,231.6,216.65,217.1,218.05,1806574,4069.03
"2007-03-08",219,230,215.1,228,228.15,1536967,3397.04
"2007-03-09",229,234.25,224.6,226,228.15,764569,1746.1
"2007-03-12",228.2,235.8,227,234.4,233.05,891787,2074.51
"2007-03-13",233.05,237,232,234.4,234.4,328623,771.12
"2007-03-14",231.9,235,215,234,232.45,850596,1968.28
"2007-03-15",235,241.8,225.15,230,228.55,886311,2087.55
"2007-03-16",232.9,234.5,225.1,233,233.05,522608,1202.27
"2007-03-19",234.05,238.5,231.95,237.3,237.55,364656,859.77
"2007-03-20",239.75,247.95,238.5,247.95,245.5,444785,1075.87
"2007-03-21",241,255.5,241,249.5,251.5,679211,1696.77
"2007-03-22",254,255.95,246.6,247.6,247.8,1227224,3069.67
"2007-03-23",249.3,251.95,229.35,239.1,237.8,1572564,3834.35
"2007-03-26",240,243.95,235,235,236.1,531472,1266.68
"2007-03-28",222.25,244.9,222.25,239.6,240.65,1363068,3268.15
"2007-03-29",242.65,255,237,249.85,251.4,2170489,5378.3
"2007-03-30",253,253,246.05,252,250.7,766171,1908.93
"2007-04-02",247.3,255,238.2,238.4,239.95,931605,2288.98
"2007-04-03",240.5,245.05,238.1,239.8,240.7,599467,1454.18
"2007-04-04",242.9,255,242.9,253.9,252.35,1170883,2919.88
"2007-04-05",250,275,250,273.5,269.9,2861639,7603.36
"2007-04-09",271,275,266.85,267.7,268,1011116,2728
"2007-04-10",267.9,274.8,263.35,270.05,270,1484377,3973.46
"2007-04-11",270,273.9,261.25,262,264.5,1053213,2821.14
"2007-04-12",260,263.5,251,252.5,253.65,803530,2060.2
"2007-04-13",255,264.5,253.25,255.65,255.2,1330044,3448.02
"2007-04-16",258,274,258,272,272.05,1461412,3934.78
"2007-04-17",272,275,264.35,268.35,266.85,1209574,3269.03
"2007-04-18",268,282.6,268,278,277.95,2518824,6988.23
"2007-04-19",274,278.85,263.05,268,265.65,2089378,5595.15
"2007-04-20",269.2,274.45,262.05,266,267.25,1769524,4726.96
"2007-04-23",267,275.9,263.4,272,273.5,2052713,5589.33
"2007-04-24",271,303.9,263.2,291.5,294.85,4320557,12464.81
"2007-04-25",291,294,282.05,286.8,287.95,1416789,4055.95
"2007-04-26",290,295,287,294,291.95,1325341,3859.83
"2007-04-27",294,295,282.75,287,288.35,973925,2797.01
"2007-04-30",286.5,295,276.3,291.6,293.85,1060248,3042.53
"2007-05-03",296.5,300.7,291,291,293.55,1637708,4845.86
"2007-05-04",294.7,299.8,288.05,288.5,289.65,674453,1976.53
"2007-05-07",290,294.75,285,285.6,287.1,534379,1552.38
"2007-05-08",286.9,292.75,283.1,284.6,286.75,894391,2571.91
"2007-05-09",286.9,288,283.25,286.55,286.75,404450,1156.04
"2007-05-10",288.9,292.8,276.65,278.4,278.15,1342448,3809.04
"2007-05-11",275,283.9,270.05,283.45,282.3,1168231,3254.07
"2007-05-14",287.4,289,283,283.4,284.1,412400,1177.2
"2007-05-15",287.9,294.8,278.65,294.5,293,1424713,4125.48
"2007-05-16",294,303.45,291.1,294.6,294.45,1743227,5184.08
"2007-05-17",296,299.5,290.15,291,293.9,897216,2657.02
"2007-05-18",290,295.8,285.5,289.4,289.55,834056,2419.88
"2007-05-21",292,303.9,290.25,300,298.85,1933284,5778.03
"2007-05-22",301,314.55,299,312.55,312.25,2787653,8640.15
"2007-05-23",311,316.9,306.05,310,309.7,1745833,5425.24
"2007-05-24",310,313,295,295.3,299.85,1421483,4341.61
"2007-05-25",296.4,319.9,285,318.1,317,2320133,7174.76
"2007-05-28",320,325,314,314.2,315.35,1902956,6075.8
"2007-05-29",315,320,311,311.1,312.8,1134694,3581.6
"2007-05-30",310.1,315.85,294.5,297.5,298.05,1366620,4175.78
"2007-05-31",300.7,319.7,300,308.95,313.65,1984469,6160.66
"2007-06-01",317,317,306.05,308.05,307.4,855084,2653.36
"2007-06-04",310,312.5,303,305.35,304.5,679625,2093.12
"2007-06-05",307.3,308.8,301.3,304.5,304.6,744073,2266.59
"2007-06-06",300,307.8,290,291.05,291.6,1242216,3702.47
"2007-06-07",290,295.8,283.1,288.4,287.2,1986026,5740.21
"2007-06-08",286.9,287.8,280,285.6,285.7,2003729,5669.1
"2007-06-11",288,293,275.25,277.1,277.55,1430780,4038.88
"2007-06-12",279.5,282.8,275.5,281.05,280.85,807212,2252.94
"2007-06-13",282,284.5,277.1,281,282.45,793992,2242.12
"2007-06-14",287,288.7,283,283.1,284.35,497833,1423.02
"2007-06-15",285.25,293,283.15,284.9,284.7,749264,2158.54
"2007-06-18",288.8,292.95,284.1,288.1,288.15,897251,2590.53
"2007-06-19",286,298.25,286,297,296.1,796737,2336.73
"2007-06-20",286,298.7,286,296,293.55,1656692,4852.43
"2007-06-21",294,303.05,291.05,300,299.3,1539465,4616.08
"2007-06-22",296.5,301.5,294.1,299,297.4,1096486,3242.38
"2007-06-25",298.8,300.4,293.4,295,294.95,418030,1236.48
"2007-06-26",294.9,298.4,289.2,298,295.95,1030149,3035.77
"2007-06-27",297,298.9,288.9,291.4,291.15,881545,2584.93
"2007-06-28",293.55,294.5,285,288,287.05,2842744,8208.37
"2007-06-29",292.9,305.95,289,295.1,297.3,2054454,6133.93
"2007-07-02",298.2,299.95,290.55,291.35,291.9,1238018,3648.7
"2007-07-03",294.9,299.5,293,293,294.1,977739,2881.92
"2007-07-04",296.5,304.25,295,298.5,299.05,1874445,5614.4
"2007-07-05",299,302.8,291.1,300.1,300.3,1647543,4868.88
"2007-07-06",301,313.45,297,309.25,310.8,2239350,6858.91
"2007-07-09",311,321.5,311,319.4,319.5,2829096,8950.35
"2007-07-10",321.1,326.75,317,318.75,319.85,1984742,6387.73
"2007-07-11",319.6,325.4,315.25,317.1,318,1187149,3792.39
"2007-07-12",320,329.9,320,325,323.65,1977090,6435.7
"2007-07-13",327.8,346.9,321,342.95,342.9,4312231,14419
"2007-07-16",341.9,343.95,325.05,336.1,335.8,3382485,11359.91
"2007-07-17",336,348.4,333.1,335.5,335.05,4342427,14658.23
"2007-07-18",338,345,319.1,326.75,326.65,3681548,12153.64
"2007-07-19",325,344.15,324,335.4,333.95,3128193,10540.88
"2007-07-20",337.8,339,325.9,331,330.85,909108,3008.33
"2007-07-23",327,343.15,327,341.55,339.15,2627997,8879.92
"2007-07-24",342,344.4,329.1,333.05,334.05,1736790,5856.94
"2007-07-25",329.8,343.75,305,338.7,338.3,2239877,7506.01
"2007-07-26",339.7,361.85,338.1,347.05,349.5,4891253,17188.33
"2007-07-27",340,340,310.25,332,330.5,4360553,14319.77
"2007-07-30",305,329,305,327.05,326.2,1382640,4498.77
"2007-07-31",330,334,315.95,333.2,328.3,2725163,8818.4
"2007-08-01",321.05,328.9,299,306.1,309.45,5676624,17614.2
"2007-08-02",309,319.4,304.1,309.25,310.2,1537554,4814.9
"2007-08-03",314,316.95,310.05,312.25,312.05,973961,3051.65
"2007-08-06",308,313,298.2,309.95,306.3,968605,2947.26
"2007-08-07",310.6,316.9,306.05,308.95,309.25,666070,2084.15
"2007-08-08",312.8,315.8,310,310.9,312.3,1205693,3775.38
"2007-08-09",314,323.9,313.05,314,315.75,1552073,4946.72
"2007-08-10",306,309.45,300,304.85,304.95,1278639,3902.65
"2007-08-13",311.6,314,305.1,311,311.35,629523,1948.22
"2007-08-14",312,312.75,307.7,309.1,310.15,597025,1849.46
"2007-08-16",296,303.95,292.4,298.6,300.15,1888885,5625.45
"2007-08-17",291.05,300.9,278.05,292,291.85,1878518,5427.07
"2007-08-20",301.05,307,298,298.4,298.7,914020,2759.59
"2007-08-21",303.8,303.8,278,280,282.1,1751530,5018.59
"2007-08-22",283.4,294.5,276,292.9,292.2,1084617,3120
"2007-08-23",298,299,271,277,279.45,2218118,6358.04
"2007-08-24",280,287.9,278.5,282,282.95,760605,2145.94
"2007-08-27",286.9,297.4,285.2,293.9,293.45,865679,2543.05
"2007-08-28",293.6,295.9,286.5,288,288.9,855047,2481.38
"2007-08-29",281,298.3,281,295.1,294.5,1611034,4707.22
"2007-08-30",295.25,300,287.55,297.5,297.25,2970429,8698.59
"2007-08-31",295.05,311.8,295.05,309.45,309.75,1732668,5280.87
"2007-09-03",312.9,345,310,319.5,319.5,1581051,5019.91
"2007-09-04",319.9,321,309.6,317.5,315.8,781525,2461.75
"2007-09-05",318.9,325.25,315.25,317,319.85,1883766,6061.45
"2007-09-06",317,320,313,316.95,316.45,503368,1591.89
"2007-09-07",315.55,319.6,303.15,306.95,306.1,1818552,5647.3
"2007-09-10",305.8,309.5,296.1,308,305.8,1318824,4004.46
"2007-09-11",309.4,310,296.4,298,299.3,1722522,5182.09
"2007-09-12",302.4,310,301.5,309,308.35,1009164,3088.5
"2007-09-13",309,311,302.5,307,307.6,1367523,4184.37
"2007-09-14",310.8,316.4,305,305.5,306.4,1209610,3756.5
"2007-09-17",305.2,317.45,303.65,309.95,310.3,934348,2891.79
"2007-09-18",301,315.7,301,309.1,309.4,1005009,3135.88
"2007-09-19",316,322.9,312,319.6,320,1169043,3712.89
"2007-09-20",322.8,327,313,315.15,315.4,1240287,3988.12
"2007-09-21",315.4,319.4,308.5,309.6,310.15,1316675,4103.57
"2007-09-24",315,315.4,307,308.85,310.75,1206448,3743.52
"2007-09-25",311,314.65,304.1,312,312.95,1343512,4150.56
"2007-09-26",315,315.75,306.6,312,312.9,1691244,5262.25
"2007-09-27",315,331,312.75,324.4,326,3409963,11006.28
"2007-09-28",328.5,343,326.5,343,341.85,2520946,8479.46
"2007-10-01",345,410,339.1,358,350.3,2591327,9015.46
"2007-10-03",353,355,324.8,347,348.4,2585288,8926.45
"2007-10-04",348.5,348.5,336.6,341,341.35,941065,3205.94
"2007-10-05",340.05,345.45,332,334,334.45,796488,2685.01
"2007-10-08",325.05,344.8,309.05,313.5,315,856594,2736.92
"2007-10-09",312.8,344.9,304,337.8,339.25,1128803,3716.23
"2007-10-10",340.1,346.45,335,340,340.25,818879,2784.33
"2007-10-11",341,350,334.95,349.35,347.6,1115729,3832.53
"2007-10-12",349,362.9,340.1,341.6,345.2,6328838,22253.46
"2007-10-15",344,354.7,344,345.05,348,2171468,7604.74
"2007-10-16",345.1,350,327,336.5,336.5,1313072,4428.01
"2007-10-17",325,338.5,293,337.5,334.05,1079939,3561.2
"2007-10-18",339,350,297.05,299.4,311.85,2107854,6993.13
"2007-10-19",310,316.55,295,304,301,4608664,13940.22
"2007-10-22",298.4,330,293,318,318.15,1869743,5946.17
"2007-10-23",320,349.9,320,347.2,340.65,2627016,8673.49
"2007-10-24",348.9,350,336,341,340.95,3356001,11491.74
"2007-10-25",335,345,330.2,340,338.1,1720843,5834.11
"2007-10-26",338,345.5,337.05,339,340.8,558160,1918.1
"2007-10-29",345,350,339.8,344,343.75,762664,2627.74
"2007-10-30",343,344.95,333.05,339,337.65,1402070,4735.16
"2007-10-31",339.5,341.9,327.55,329.55,330.6,944430,3192.89
"2007-11-01",335,339,310.1,319,318.2,1174673,3787.63
"2007-11-02",310,317,304,315.25,312.4,1524411,4732.42
"2007-11-05",314.4,319,307.65,310.05,309.85,608819,1893.7
"2007-11-06",310,316.3,306.2,310,310.75,2252800,7004.02
