"","pair","perc_profitability","avg_profit","total_profit","avg_holding","count"
"1","ACC.NS-AMBUJACEM.NS",0.666666666666667,3393.29236804177,61079.2626247518,29.6111111111111,18
"2","ACC.NS-DALMIABHA.NS",0.428571428571429,-31759.9987936702,-222319.991555692,32.2857142857143,7
"3","ACC.NS-GRASIM.NS",0.6875,17096.4373058941,273542.996894306,44.125,16
"4","ACC.NS-INDIACEM.NS",0.666666666666667,23627.1796844448,283526.156213337,26,12
"5","ACC.NS-SHREECEM.NS",0.652173913043478,-1037.19274607711,-23855.4331597735,33.5217391304348,23
"6","ACC.NS-ULTRACEMCO.NS",0.666666666666667,9919.84357602563,89278.5921842306,26.2222222222222,9
"7","ADANIENT.NS-PTC.NS",0.4,-10099.7352273744,-50498.676136872,38.4,5
"8","ADANIPORTS.NS-BEML.NS",0,-106003.102644246,-530015.513221228,37.8,5
"9","ADANIPORTS.NS-BHEL.NS",0.444444444444444,-11693.443167788,-105240.988510092,30.2222222222222,9
"10","ADANIPORTS.NS-CUMMINSIND.NS",0.666666666666667,1640.22661656629,29524.0790981932,19.9444444444444,18
"11","ADANIPORTS.NS-ENGINERSIN.NS",0.5,-9688.27194725831,-58129.6316835499,23.3333333333333,6
"12","ADANIPORTS.NS-GMRINFRA.NS",0.583333333333333,11696.8116250048,140361.739500058,28.0833333333333,12
"13","ADANIPORTS.NS-IRB.NS",0.714285714285714,16430.2404180934,345035.048779962,16.5238095238095,21
"14","ADANIPORTS.NS-JPASSOCIAT.NS",0.2,-145384.772294384,-726923.86147192,44.4,5
"15","ADANIPORTS.NS-LT.NS",0.666666666666667,13373.9838163561,401219.514490682,17.4333333333333,30
"16","ADANIPORTS.NS-NBCC.NS",0.571428571428571,3024.71444916476,21173.0011441533,26,7
"17","ADANIPORTS.NS-SIEMENS.NS",0.666666666666667,7931.48464706423,142766.723647156,14.5555555555556,18
"18","ADANIPOWER.NS-CESC.NS",0.333333333333333,-37683.1407566299,-226098.84453978,37.8333333333333,6
"19","ADANIPOWER.NS-JSWENERGY.NS",0.5,-8615.23412872785,-34460.9365149114,18,4
"20","ADANIPOWER.NS-NHPC.NS",0.538461538461538,-12736.5990731756,-165575.787951282,33.6923076923077,13
"21","ADANIPOWER.NS-NTPC.NS",0.555555555555556,8374.62295788211,75371.606620939,34.5555555555556,9
"22","ADANIPOWER.NS-POWERGRID.NS",0.5,-20192.8167804977,-201928.167804977,24.9,10
