Row Labels,Count of Stock,Average of Avg,Average of Avg2
BAJFINANCE.NS,3,0.704269184,0.598157313
DHFL.NS,3,0.510362678,0.399332998
ESCORTS.NS,3,0.499361052,0.604648637
INDUSINDBK.NS,2,0.376723601,0.29664819
HINDPETRO.NS,2,0.63057015,0.592595873
NBCC.NS,2,0.68466434,0.25049073
BERGEPAINT.NS,2,0.293483085,0.436834755
IGL.NS,2,0.317851535,0.520976967
BPCL.NS,2,0.42653898,0.370344623
JSWSTEEL.NS,2,0.391644476,0.418656921
CANFINHOME.NS,2,0.787050756,0.59994153
BALKRISIND.NS,2,0.47280135,0.430181239
CENTURYTEX.NS,2,0.274790918,0.458913868
VOLTAS.NS,2,0.445465942,0.359715324
DALMIABHA.NS,2,0.783840617,0.758640915
INDIANB.NS,2,0.287937417,0.412308844
BAJAJFINSV.NS,2,0.521751175,0.604044875
IOC.NS,2,0.302411207,0.464056353
EICHERMOT.NS,2,0.580568264,0.300668384
MUTHOOTFIN.NS,2,0.356310185,0.596014747
PEL.NS,2,0.378737124,0.6164861
PCJEWELLER.NS,2,0.538957593,0.365714942
TATACHEM.NS,2,0.268258042,0.364759218
TVSMOTOR.NS,2,0.547595378,0.506074002
TATACOMM.NS,2,0.286439762,0.247623682
HAVELLS.NS,2,0.362752236,0.486595281
VGUARD.NS,2,0.355810865,0.570208856
HDFCBANK.NS,2,0.24092842,0.270346456
YESBANK.NS,2,0.454935227,0.476183169
BOSCHLTD.NS,1,0.465564799,0.244713075
PVR.NS,1,0.253126372,0.409174038
BIOCON.NS,1,0.435506274,0.617813858
CADILAHC.NS,1,0.198658911,0.279273597
SUNTV.NS,1,0.208535243,0.40543657
AXISBANK.NS,1,0.443163962,0.212699323
BEML.NS,1,0.287389037,0.507132337
ADANIENT.NS,1,0.262478209,0.53229074
PETRONET.NS,1,0.332978104,0.263323544
IBULHSGFIN.NS,1,0.41960091,0.432049327
SHREECEM.NS,1,0.491277379,0.419707558
CAPF.NS,1,0.368258794,0.698335444
GODREJIND.NS,1,0.168609584,0.377488385
BALRAMCHIN.NS,1,0.414221606,0.485794118
HDFC.NS,1,0.162055316,0.245760145
CHOLAFIN.NS,1,0.492674408,0.629124027
AJANTPHARM.NS,1,0.831496365,0.279856355
BEL.NS,1,0.329276776,0.456278552
GAIL.NS,1,0.288079734,0.287622714
JINDALSTEL.NS,1,0.425525714,0.476320253
PIDILITIND.NS,1,0.401269005,0.233457867
DCBBANK.NS,1,0.188166649,0.423946482
RELIANCE.NS,1,0.329840727,0.449221042
KOTAKBANK.NS,1,0.297517328,0.239776795
SRF.NS,1,0.998457356,0.474330979
L&TFH.NS,1,0.211841428,0.730161164
GODREJCP.NS,1,0.226486027,0.454839815
LICHSGFIN.NS,1,0.420250386,0.226447696
TITAN.NS,1,0.351854333,0.372680239
MARICO.NS,1,0.31712191,0.415876208
UPL.NS,1,0.338487805,0.267342672
MARUTI.NS,1,0.2679608,0.430952086
ASIANPAINT.NS,1,0.298455741,0.35668638
MOTHERSUMI.NS,1,0.529401837,0.37807973
HINDUNILVR.NS,1,0.229624741,0.391865402
HINDZINC.NS,1,0.27156624,0.358485269
Grand Total,97,0.420993772,0.441451673
