"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2006-09-20",123,125,122.5,124.5,124,87129,107.88
"2006-09-21",126.8,129,125.15,127.75,127.15,242085,308.24
"2006-09-22",126.5,128,123.8,124,124.35,73158,91.32
"2006-09-25",124.1,126,123.5,124.5,124.35,163336,203.78
"2006-09-26",124.8,126,124,125.35,125.6,124677,156.23
"2006-09-27",124,129,124,127.5,127.25,252738,321.73
"2006-09-28",127.6,129,126.5,128.7,128.2,130298,166.31
"2006-09-29",129,134.65,127,134.65,134.65,717288,959.24
"2006-10-03",139.4,141.4,132.5,133.9,133.65,454644,617.6
"2006-10-04",134.3,140.35,132,140.35,139.75,739659,1022.14
"2006-10-05",143,146.75,140.5,146.75,146.75,457986,663.43
"2006-10-06",152.4,153.8,141.2,142,142.15,814335,1187.72
"2006-10-09",143,148.75,135.6,148,147.3,481342,706.14
"2006-10-10",149,151.8,137.35,142.25,140.85,347271,505.73
"2006-10-11",144,146,139.1,142.5,140.4,409428,588.39
"2006-10-12",141.5,144.45,140.25,142.7,143.15,192372,274.16
"2006-10-13",144.5,146.5,141,141.15,141.9,194874,278.16
"2006-10-16",143.5,145,140.05,141,140.5,186435,265.22
"2006-10-17",141,141.9,137.2,138.25,137.85,130400,180.29
"2006-10-18",137.8,139,135.15,136.7,136.9,86598,118.61
"2006-10-19",138,145,136,138,139.3,307809,433.86
"2006-10-20",139.95,145,138.7,140.3,140.4,182966,259.5
"2006-10-21",141.45,142.7,139.6,139.65,140.4,37405,52.64
"2006-10-23",141.3,141.3,136.55,137,137.05,92701,128.1
"2006-10-26",135.5,138.9,135.05,135.75,135.65,68227,93.29
"2006-10-27",135,144.5,135,141.4,141.4,359295,506.39
"2006-10-30",141,142.9,134.1,137.2,136.95,177774,245.71
"2006-10-31",138.45,142.4,134,135,135.2,200745,276.73
"2006-11-01",136.45,138.25,133.2,133.5,134.1,102474,139.3
"2006-11-02",134.95,139,134.9,137,137.7,263376,361.61
"2006-11-03",137.95,139,135.6,137.6,136.65,127756,174.91
"2006-11-06",137.85,149.45,135.35,145.5,146,1033345,1501.34
"2006-11-07",147.95,153.9,146.4,146.65,147.6,725763,1090.91
"2006-11-08",147.8,149,137.05,141.4,141.1,311513,440.95
"2006-11-09",142.6,152,142.15,149.5,148.7,478790,709.63
"2006-11-10",149.5,154.4,147.5,151.8,151.85,704895,1068.24
"2006-11-13",153,156,146.5,148.65,148.7,540017,819.61
"2006-11-14",151,152.4,144.25,146.05,146.4,456390,675.46
"2006-11-15",148.85,150,144.8,146,146.35,165068,241.89
"2006-11-16",147.75,161,147,160.5,160.65,2774050,4398.1
"2006-11-17",164.4,172,151.65,156,155.95,2693716,4377.78
"2006-11-20",155.4,155.4,145.6,150.3,150.55,642212,956.82
"2006-11-21",152.05,164.4,152,160.5,160.4,991400,1575.68
"2006-11-22",162.45,172.4,158.45,167.45,167.1,1636553,2726.95
"2006-11-23",168.1,183.85,168.1,183.85,183.85,1539354,2778.05
"2006-11-24",193,202.25,191,202.25,202.25,1362755,2728.6
"2006-11-27",212.35,212.35,192.15,202.5,202.75,3871518,7702.99
"2006-11-28",199,210,193.7,206.45,206.5,2646713,5363.33
"2006-11-29",209,216.85,209,216.85,216.85,1381276,2980.83
"2006-11-30",227.7,227.7,210.9,211.25,213.9,1291122,2809.09
"2006-12-01",216.9,223.4,212.5,215.5,214.9,943827,2058.9
"2006-12-04",218.75,222,215.05,216.9,216.6,556997,1216.34
"2006-12-05",222,227.45,209.5,211,210.8,985164,2152.95
"2006-12-06",218,221.35,200.5,221.35,221.35,8224476,17026.58
"2006-12-07",230,232.45,223.95,232.45,232.45,752378,1733.8
"2006-12-08",239,244.1,226.7,234.55,235.45,2062333,4871.89
"2006-12-11",238,247.25,225,246,243.95,1868501,4430.26
"2006-12-12",245,251,231.75,231.75,231.75,1471318,3578.16
"2006-12-13",225,241.9,220.2,235.15,234.65,1406877,3184.95
"2006-12-14",237,243.4,236,237,237.65,651874,1559.73
"2006-12-15",240,242.4,230,233,232.7,683495,1626.48
"2006-12-18",233.5,239.4,229.3,237.45,237.1,482666,1137.47
"2006-12-19",234,237,225.25,225.25,225.95,406995,933.58
"2006-12-20",225.25,230.95,215.65,220,220.4,448017,997.31
"2006-12-21",221.1,230.8,217.05,223.05,222.1,374269,842.1
"2006-12-22",224.8,226.9,221,221,222.15,187434,419.81
"2006-12-26",223,230,222,225.85,226,212210,478.71
"2006-12-27",228,237.3,225,237.3,237.3,641394,1492.71
"2006-12-28",239.1,242.7,229.35,230.45,231.1,491618,1162.5
"2006-12-29",232,235.7,227,228.75,228.2,213309,493.49
"2007-01-02",230,235.25,228.5,232.1,231.75,162286,376.72
"2007-01-03",234,236.4,225.55,229.6,230.35,273391,631.68
"2007-01-04",231.45,233.25,226.7,228,227.35,177784,409.12
"2007-01-05",228.1,238,226,236.9,235.85,576437,1352.58
"2007-01-08",235,238,231.2,232.9,232.9,372086,872.99
"2007-01-09",233.2,235.4,222,224,224.6,286370,653.37
"2007-01-10",225.05,225.05,219.1,221.05,220.15,177437,395.23
"2007-01-11",222.8,226,214,223.4,222.95,262519,579.03
"2007-01-12",225,228,222,225,225.15,299552,673.84
"2007-01-15",227.4,227.5,222.5,227.4,226.45,201283,453.78
"2007-01-16",228,228,220,221.25,222.7,273580,609.75
"2007-01-17",223.8,233.85,222.1,228.8,229.1,846292,1943.13
"2007-01-18",230,235,220.05,227.15,227.2,448447,1032.94
"2007-01-19",237.7,237.7,216,222.9,222.35,281572,627.52
"2007-01-22",224.25,228,221,221.05,222.6,177144,396.45
"2007-01-23",221.05,223.95,218.05,219,219.35,200154,442.02
"2007-01-24",224.9,224.9,219.1,220.15,220.3,150867,332.51
"2007-01-25",222.4,225.5,220.05,221.25,222.55,160686,357.25
"2007-01-29",224,231.9,218,221,221.4,476813,1073.84
"2007-01-31",221,232.5,221,229.7,230.45,776748,1786.84
"2007-02-01",233.5,241.75,226,237.1,237.4,677035,1601.25
"2007-02-02",238.9,244.9,238,238.25,239.65,583712,1411.08
"2007-02-05",240,241,232.5,240,239.7,333560,792.83
"2007-02-06",240.65,251.7,240,251.7,251.5,1103502,2746.95
"2007-02-07",252,255.7,239.05,239.8,240.65,639303,1577.15
"2007-02-08",240,244.7,234.4,235.6,237.3,377529,903.29
"2007-02-09",238,238,225.45,225.45,225.55,411658,938.63
"2007-02-12",225,226,203.15,210,210,647332,1351.34
"2007-02-13",205.15,221.5,200.2,217.55,214.95,531995,1150.37
"2007-02-14",215.5,232.5,209.5,229,228.1,835609,1868.89
"2007-02-15",231.4,233.95,225.05,226.6,226.8,793944,1833.02
"2007-02-19",230,230,219.4,220.5,221.75,656894,1467.08
"2007-02-20",222.1,223.9,217.05,217.65,218.15,235153,517.14
"2007-02-21",218,221,216,217.1,216.85,199121,434.19
"2007-02-22",218,219.5,216.35,218,218,224354,489
"2007-02-23",217,219,211.1,215,213.05,178405,381.84
"2007-02-26",215,215,207.5,213.6,214.05,176017,374.2
"2007-02-27",214.9,216.5,211.5,212.1,212.25,203443,434.65
"2007-02-28",203,211.5,196,210.2,210.5,295924,620.01
"2007-03-01",212,214,202.25,209,209.05,475921,988.39
"2007-03-02",210.5,211.5,205.05,206,206.15,290897,607.04
"2007-03-05",201,202.5,192,192,193.7,209417,409.44
"2007-03-06",198,209.95,176.8,188,186.55,926792,1782.9
"2007-03-07",192,193.7,182.15,186.8,186.25,236349,443.61
"2007-03-08",188,195.35,181.5,194.7,193.1,316076,589.42
"2007-03-09",195.7,195.7,190,193,192.55,134491,259.09
"2007-03-12",193,199.75,192.15,197.25,196.7,230590,455.09
"2007-03-13",198,199,195,198,198.5,380504,751.26
"2007-03-14",193.3,195,187.5,192,192.1,174082,335.27
"2007-03-15",195.7,198.75,193.25,193.5,193.9,442873,871.99
"2007-03-16",197.7,197.7,191.15,194.75,193.8,284451,549.46
"2007-03-19",198.7,198.7,194.3,196.95,196.45,236989,464.65
"2007-03-20",197.15,201,191.25,195,194.2,368916,725.71
"2007-03-21",195.9,198.75,193,198,197.6,408790,801.79
"2007-03-22",201.5,205,199,204.95,203,343648,691.08
"2007-03-23",205.2,208.7,200.5,206.1,206.5,302718,620.63
"2007-03-26",208.95,209.75,205.05,206.5,205.55,232771,483.06
"2007-03-28",204,208,198.6,201,200.7,384455,777.06
"2007-03-29",203.9,208.25,200.5,208,207.35,98449,202.61
"2007-03-30",208.65,210.75,208,209.5,210.05,154785,324.46
"2007-04-02",209,209,200,205.25,204.8,70314,144.02
"2007-04-03",205,207.95,204,207,206.9,111987,230.83
"2007-04-04",208.15,211.95,205.5,211.95,210.95,184391,386.05
"2007-04-05",215,215,210,211.05,211.55,201225,426.29
"2007-04-09",214,219.4,213.05,218.4,218.25,158428,342.82
"2007-04-10",219,220.7,216.6,217.75,218,217101,472.83
"2007-04-11",218,220.25,217,218.5,218.15,196454,429.38
"2007-04-12",205,219.25,205,219.25,218.45,236134,514.21
"2007-04-13",220,221.9,218,221.9,221.15,210449,463.02
"2007-04-16",224.5,225,220.5,223,223.4,189066,421.08
"2007-04-17",225,225,215,221.5,221.35,175210,387.55
"2007-04-18",224.5,224.9,220.8,221.05,221.05,195456,433.75
"2007-04-19",220.5,222.9,216,222.5,221.65,115647,255.57
"2007-04-20",224,226.8,221.2,222.5,222.6,76625,170.46
"2007-04-23",224.5,224.7,218.55,221,221.9,80561,178.14
"2007-04-24",221.2,229,219,222.1,222.65,218773,487.81
"2007-04-25",218.25,227,215.1,226.5,226.1,404161,906.42
"2007-04-26",227,232.5,225,226,227,393292,903.59
"2007-04-27",226.9,227.25,218.05,220.2,220.05,142873,315.93
"2007-04-30",222.8,223.05,218.2,223,222.9,78161,173.87
"2007-05-03",224.9,226,221.2,222,222.55,120386,268.34
"2007-05-04",222,222.2,219.2,221.15,221.05,100017,220.46
"2007-05-07",223,224,219.1,224,222.15,55004,121.81
"2007-05-08",222.9,223,218.55,220.85,220.25,50442,111.16
"2007-05-09",220,222.9,218.1,222.75,221.8,50990,112.25
"2007-05-10",221.25,224.5,219.55,221,221.05,58143,129.24
"2007-05-11",216,221,216,220,219.85,93190,204.81
"2007-05-14",223.8,226.1,220,226,224,44257,98.41
"2007-05-15",227,229,223.3,228,227.85,71630,162.21
"2007-05-16",229.9,231,227.55,229.2,229.15,72745,166.67
"2007-05-17",233,236,231.1,234.25,232.95,121446,283.58
"2007-05-18",232,254,232,248.95,250,1019524,2521.57
"2007-05-21",251.85,253.7,233.1,236.25,235.25,420187,1018.92
"2007-05-22",237.8,248.7,228.1,240.4,241.05,566031,1368.36
"2007-05-23",241.2,247.9,235.75,244.9,243.4,211105,513.45
"2007-05-24",240.3,244.1,232,235,236.2,101714,242.51
"2007-05-25",232.6,239.9,230,239.45,237.7,110597,261.76
"2007-05-28",240.2,242.7,230,237.5,236.4,148244,349.47
"2007-05-29",212.8,212.8,212.8,212.8,212.8,51333,109.24
"2007-05-30",200,220,191.55,215,215.65,1031179,2165.9
"2007-05-31",219,237.25,219,237.25,234.85,322112,736.16
"2007-06-01",242,249,230.9,237,238.4,317102,749.5
"2007-06-04",237.5,240,235,236.15,236.4,136151,321.55
"2007-06-05",235.1,240,233,239,238.7,141977,336.68
"2007-06-06",237.5,240,234,235.45,236,120088,284.86
"2007-06-07",235,237.9,233.1,235.15,236,72287,170.06
"2007-06-08",234,235.45,231,232.9,232.85,68865,160.27
"2007-06-11",233.05,239.05,233.05,235.05,235.9,135121,319.57
"2007-06-12",233.1,237,228.5,235,235.05,114452,266.98
"2007-06-13",235,235,231.05,232.05,232.65,21238,49.41
"2007-06-14",234.45,236.95,232.5,236.1,236.45,53143,124.76
"2007-06-15",237.5,238.75,234.1,235.1,235.15,103933,244.52
"2007-06-18",237,240,233,236.25,236.95,110085,259.68
"2007-06-19",236.65,240,234.2,239.5,239.05,87670,208.14
"2007-06-20",239,252,239,245.5,244.45,146946,360.26
"2007-06-21",247.9,249,241.5,243.5,244.35,86779,212.34
"2007-06-22",246,248,239,242.2,242.45,45403,110.37
"2007-06-25",243,249,239.1,248,247.5,100604,247.37
"2007-06-26",250,261,247,253.25,256,334519,845.61
"2007-06-27",253.9,262.25,251.05,256.05,259.5,288969,746.54
"2007-06-28",258.15,279,258.15,270.1,269.45,334998,903.18
"2007-06-29",269.45,282.5,269.45,275,274.3,255112,708.58
"2007-07-02",276,281,269.5,271.9,270.7,129620,354.23
"2007-07-03",272,278,268,277,276.7,89028,243.93
"2007-07-04",278,281,274.15,278,278.15,130801,362.73
"2007-07-05",279,288.4,270,272,272.85,228502,638.39
"2007-07-06",274.5,279.4,268.05,271.5,270.25,101750,277.17
"2007-07-09",269,277,269,277,275.95,63578,174.45
"2007-07-10",276,279.5,272,279,277.6,57490,159.06
"2007-07-11",275,284.9,272.55,282,281.15,89382,250.15
"2007-07-12",282,297.9,277,296.95,295.25,299514,866.29
"2007-07-13",299.75,314.9,296.1,312,310.85,654218,2002.09
