"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2012-01-17",137.1,141,135,140.1,140,1636196,2260.07
"2012-01-18",142,143.8,138.7,143,141.7,890591,1257.99
"2012-01-19",144,150.55,143.15,149.5,149.4,1456077,2136.38
"2012-01-20",151.9,157.6,150.25,155.4,155.4,1634070,2512.58
"2012-01-23",155.4,155.4,145.1,146.4,146.75,1657609,2478.77
"2012-01-24",147.05,152.9,145.6,149.8,150.05,1337362,2009.9
"2012-01-25",150.95,150.95,142.25,144.35,143.2,1859617,2692.71
"2012-01-27",145.8,149.65,144.8,146.75,147.1,1264483,1867.46
"2012-01-30",147.1,147.4,137.35,138.4,138.4,757694,1076.95
"2012-01-31",138.95,148.5,137,147.1,146.25,1291344,1848.83
"2012-02-01",146.55,147.75,142.15,143.4,143.9,899183,1297.78
"2012-02-02",144.5,151.8,144.5,151,151,2355597,3505.53
"2012-02-03",151,152.7,148.25,149.6,150.25,814359,1222.46
"2012-02-06",152.85,152.85,146.3,148.15,148.1,1518103,2282.29
"2012-02-07",149.15,149.45,137.85,137.85,139.15,1735290,2472.62
"2012-02-08",139,143.3,136.6,140,140.3,1532614,2158.92
"2012-02-09",139.65,141.8,135.2,138,137.95,1907732,2634.41
"2012-02-10",138.15,144.15,137.2,142.95,142.9,1780060,2497.08
"2012-02-13",143.95,144.3,141,142.75,143.05,718239,1024.42
"2012-02-14",143.3,145.55,142,143.8,144.15,1580236,2262.89
"2012-02-15",145,147.95,144.15,146.6,147.15,886834,1294.53
"2012-02-16",147.45,149.9,145.75,147.25,147.6,856476,1265.97
"2012-02-17",149,152.9,145.75,151.5,150.5,1749511,2630.56
"2012-02-21",151.2,155.75,150.65,152.35,152.65,1744030,2675.95
"2012-02-22",155.75,157.75,142.4,143.5,143.85,1863666,2818.08
"2012-02-23",142,145.4,140.5,144.95,144.05,1533912,2204.1
"2012-02-24",145.05,146.5,141,142.25,142.7,527338,752.37
"2012-02-27",144.4,145.15,137.25,142.7,143.65,947560,1344.29
"2012-02-28",144.8,149.45,144.1,148.65,148.1,629276,924.52
"2012-02-29",149.75,152,145.25,147.3,148.65,627017,933
"2012-03-01",148,152,144,145.5,146.85,370864,542.85
"2012-03-02",147.5,150,144,146.3,147.35,497666,728.06
"2012-03-03",147.6,147.75,145.4,145.6,146.15,22092,32.35
"2012-03-05",147,147.05,142.4,142.9,143.2,264293,381.41
"2012-03-06",144.65,147,140.65,144.9,143.55,502716,723.89
"2012-03-07",141.05,146.65,141.05,145.45,145.25,389292,559.91
"2012-03-09",146.3,148.5,129.75,134,135,5833743,7891.37
"2012-03-12",135,137.3,128.4,130.35,129.9,5786647,7576.55
"2012-03-13",125,133.95,125,131.2,131.1,5344550,7017.97
"2012-03-14",132.05,137.25,132.05,135.4,135.75,2528804,3415.91
"2012-03-15",136,136,130.4,132.1,132.05,1691856,2230.56
"2012-03-16",132.75,135.75,130.25,131.85,133.15,1024696,1365.98
"2012-03-19",133.45,133.85,130.85,131.6,131.85,886890,1167.38
"2012-03-20",131.85,133.3,129.45,132.35,132.35,1991819,2631.33
"2012-03-21",131.4,132.6,130.25,131.4,131.15,1329184,1746.21
"2012-03-22",132.85,133.2,124.8,126.3,125.9,2489358,3224.98
"2012-03-23",125.1,127.95,120.75,123,123.45,4212337,5182.56
"2012-03-26",123,123.7,119.05,119.75,120.55,1124699,1360.85
"2012-03-27",121.55,123,118.25,121.65,121.5,1098462,1325.45
"2012-03-28",121.5,121.5,117,118.55,118.25,1756343,2080.28
"2012-03-29",118,125.5,116.1,124.15,124.2,2869127,3459.16
"2012-03-30",124.5,130,124.1,128.9,129.5,1405080,1794.83
"2012-04-02",129.4,132.7,128.6,129.85,129.5,773104,1013.59
"2012-04-03",129.5,132.4,125.1,128.8,129.4,598189,779.57
"2012-04-04",129.4,132.25,128.3,131.8,131.65,763340,1000.04
"2012-04-09",131.05,136.25,129.65,133.15,133.75,1171110,1575.24
"2012-04-10",134.3,134.7,131,131.6,131.95,364048,481.74
"2012-04-11",130.1,133.45,125.45,127.4,127.35,607896,789.13
"2012-04-12",129.7,131,127.8,128.15,128.25,567378,732.88
"2012-04-13",129.85,130.9,128.75,130,129.9,573117,744.51
"2012-04-16",129.9,130.95,128.65,128.9,128.9,225281,291.44
"2012-04-17",130,130.95,128.65,129.7,129.65,429108,557.75
"2012-04-18",130.75,133.9,129.2,129.8,129.75,594109,782.31
"2012-04-19",130.3,135.4,129.4,134.1,134.1,845571,1121.18
"2012-04-20",134,137.2,129.95,130.3,130.65,1357915,1817.72
"2012-04-23",130,131.6,126.7,127.55,127.25,671276,867.04
"2012-04-24",128.7,130,126.2,129.3,128.65,487818,624.95
"2012-04-25",130,131.95,127.65,129.8,129.65,939012,1222.54
"2012-04-26",130.1,131.5,124.05,124.5,124.6,1267245,1602.55
"2012-04-27",125,127.35,124.7,125.8,126.35,383798,483.86
"2012-04-28",126.35,127,125,126.25,125.95,19218,24.16
"2012-04-30",126.9,128.5,125,127.15,127.8,892604,1134.89
"2012-05-02",128.9,128.9,125.5,126.5,126.05,591736,751
"2012-05-03",126.55,127.5,124.45,124.75,124.95,626023,786.28
"2012-05-04",124.9,125.8,122.5,124.9,124.1,1173453,1451.56
"2012-05-07",122.7,129,121,128.25,127.7,564358,705.38
"2012-05-08",127.15,128.95,121.65,122.8,123.05,339686,426.63
"2012-05-09",122.95,125.25,120.2,123.85,122.85,1961492,2416.4
"2012-05-10",120,126.3,118.9,125.5,125.05,1266715,1574.77
"2012-05-11",123,126.4,119.35,120.9,121.5,2334822,2869.07
"2012-05-14",121.45,121.95,114.2,115,114.9,1957717,2297.54
"2012-05-15",114,115.45,112.25,114.95,114.7,921396,1051.77
"2012-05-16",114,114,109.8,111,111,2319699,2593.96
"2012-05-17",109.1,116,109.1,114,113.8,1943986,2204.46
"2012-05-18",111.05,113.4,109.75,112.95,111.7,1538120,1710.03
"2012-05-21",111.7,113.75,109.5,112.5,112.6,1491072,1662.38
"2012-05-22",113.1,113.9,111.3,111.5,111.75,388799,435.59
"2012-05-23",112,112.05,109.8,110,110.25,1245523,1374.54
"2012-05-24",111.45,112.7,109.8,112,112,1116442,1243.81
"2012-05-25",112,115.45,112,113.5,113.8,1089233,1241.59
"2012-05-28",114.85,115.75,114.1,115,114.9,501829,575.96
"2012-05-29",115.9,122.25,114.75,118.85,118.3,1379146,1650.93
