"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",97,98,96.2,NA,NA,NA,NA
"1998-03-24",96.05,96.2,91.2,94.9,93.3,1700,1.59
"1998-03-25",96,98,96,98,98,1800,1.75
"1998-03-26",100,101,96,96,96,1900,1.88
"1998-03-27",97.9,98,96,96,96,1200,1.16
"1998-03-30",96.1,99.25,95.5,95.5,95.5,1700,1.65
"1998-03-31",99,99,92.9,92.9,92.9,900,0.85
"1998-04-01",97.95,102,96,102,99.1,3400,3.34
"1998-04-02",103,104,100,100.25,100.25,2300,2.33
"1998-04-03",101,101,98.1,100.75,100.75,1300,1.3
"1998-04-06",101.95,105,101.95,104,104,3100,3.22
"1998-04-07",104,104,99.1,99.1,100.25,2300,2.34
"1998-04-09",105,110.3,105,110.3,110.2,4100,4.46
"1998-04-10",114,121.2,113,121.2,121.2,5600,6.52
"1998-04-13",120,125.25,120,125.25,125.25,1000,1.24
"1998-04-15",137.75,137.8,137.75,137.8,137.8,1100,1.52
"1998-04-16",148,151.6,143,151,151.55,8600,12.97
"1998-04-17",145,149.5,136.4,149.5,148.7,6000,8.59
"1998-04-20",145,147.75,142,145,144.6,5000,7.23
"1998-04-21",141.1,152.75,135.1,151.5,150,5500,7.97
"1998-04-22",155,165,154,155,156.2,23900,38.25
"1998-04-23",148,153,141,141.55,141.6,11100,16.21
"1998-04-24",143,143,129,134.25,134.25,5700,7.78
"1998-04-27",137,140,122,122,122.4,8600,11.04
"1998-04-28",120.2,120.2,115,115.55,115.55,8900,10.44
"1998-04-29",127,127,119.15,119.15,121.55,6600,8.22
"1998-04-30",117.5,131.95,116,131.95,128.8,4200,5.09
"1998-05-04",131,138.9,131,135.5,134.95,6000,8.12
"1998-05-05",135,140.95,132.6,137.5,139.1,9300,12.83
"1998-05-06",143.1,145,140.1,143,143,12400,17.67
"1998-05-08",142,152,140.85,147,147.25,8600,12.5
"1998-05-11",148,151.95,144,149.75,149.15,8600,12.74
"1998-05-12",144.9,147.95,137.5,142.75,144.65,13000,18.62
"1998-05-13",144,159,140,144,146,20700,31.19
"1998-05-14",145,148,139,146.55,146.45,11700,16.9
"1998-05-15",148.95,150,145.4,147.45,146.6,5300,7.83
"1998-05-18",156,161.3,152,160,160.1,15400,24.29
"1998-05-19",165.95,176.15,165.95,176.15,176.15,6900,12.01
"1998-05-20",191,193.8,191,193.8,193.8,3500,6.78
"1998-05-21",210,213.2,196,202,201.9,40200,83.33
"1998-05-22",195,209,195,208,205.45,17500,35.71
"1998-05-25",210,220,206.7,220,220,24700,52.55
"1998-05-26",220.1,220.1,220.1,220.1,220.1,3200,7.04
"1998-05-27",242,242.1,242,242.1,242.1,14900,36.07
"1998-05-28",245,266,243.05,265,262,48400,124.09
"1998-05-29",241.5,263,240,250,251.95,44100,110.85
"1998-06-01",260,265,232.5,242,240.2,37100,92.85
"1998-06-02",239.95,242.9,216.25,216.25,216.25,21800,49.13
"1998-06-03",209.5,237.75,205.05,228.75,224.5,25800,56.43
"1998-06-04",225,235,218,219,220.4,13000,29.62
"1998-06-05",225,227,205,207,207.9,16600,35.32
"1998-06-08",210,210,187.15,187.15,187.15,14900,28.46
"1998-06-09",187.5,205.85,168.6,205.85,205.85,27800,54.4
"1998-06-10",225.95,226.4,219,224.75,225.8,28000,62.84
"1998-06-11",215,224,204.25,216.55,218.4,22600,48.45
"1998-06-12",223.95,240.2,223.95,240.2,240,32400,77.19
"1998-06-15",255,255,216.25,221,221.6,21000,49.36
"1998-06-16",213.9,216,199.5,209,208.5,24400,50.54
"1998-06-17",214,228.5,214,227.75,224.65,14500,32.41
"1998-06-18",242,245,230.05,230.05,230.85,22100,52.46
"1998-06-19",224.9,227.85,213,216.75,215.05,10300,22.5
"1998-06-22",200,200,193.6,194,193.6,13100,25.48
"1998-06-23",190,190,180,184.25,186.6,12700,23.67
"1998-06-24",198,205.25,198,205.25,205.25,3400,6.93
"1998-06-25",222,225,216.5,224,223.55,16000,35.59
"1998-06-26",221.25,221.25,213,218.5,218.8,9500,20.69
"1998-06-29",232,232,200.25,217,214.75,13900,30.1
"1998-06-30",229,233,214,223.7,220.35,33000,72.98
"1998-07-01",225,229,221,226,227,15300,34.47
"1998-07-02",222,226.5,218,218,219.35,7700,17.13
"1998-07-03",215,216,207,208,208.5,7000,14.72
"1998-07-06",214,215,200.3,206,205.1,7400,15.29
"1998-07-07",208.95,208.95,198,202,199.85,10900,21.96
"1998-07-08",209,209,204,205,205.6,8300,17.04
"1998-07-09",204,204,199,199,200.3,7600,15.25
"1998-07-10",199,204,198.05,203.05,203.3,3700,7.42
"1998-07-13",205,217,205,211.1,212.75,18200,38.32
"1998-07-14",208.2,217.9,208.15,214,214.7,17500,37.41
"1998-07-15",231.85,231.85,231.85,231.85,231.85,3600,8.35
"1998-07-16",249.85,250.35,238,250.35,250.35,28700,70.45
"1998-07-17",261.9,263,247.95,252.1,252.65,26900,68.46
"1998-07-20",250,256.25,244,247.3,249.1,18100,45.25
"1998-07-21",252,262.5,247.25,258.9,257.8,35500,90.79
"1998-07-22",259,265,258,261,260.7,27200,70.88
"1998-07-23",261.95,264.5,254,256.75,256.2,20800,53.86
"1998-07-24",253.05,262.5,250.1,262,259.95,24200,61.96
"1998-07-27",264,279.8,263.5,271,271.3,54700,147.53
"1998-07-28",274,293,274,293,292.2,87300,248.12
"1998-07-29",300,313,295.1,308.95,309.45,96900,297.65
"1998-07-30",311,332,310,317.95,316.25,97800,312.2
"1998-07-31",319.55,326,311.5,318.4,318.95,53300,169.46
"1998-08-03",310,314,305,307.25,307.7,38600,118.95
"1998-08-04",305,307.4,284.25,292.9,293.25,80300,237.31
"1998-08-05",289,297.95,285,294,294.85,69600,202.95
"1998-08-06",295,297.45,288,288.3,289.15,28600,83.62
"1998-08-07",288,295.4,284.3,292.7,291.9,38800,112.78
"1998-08-10",290.3,295,287.15,293,292.7,27500,80.42
"1998-08-11",287.25,315,287.25,307.4,307.1,104000,318.25
"1998-08-12",306,312,296,297,298.8,57200,173.86
"1998-08-13",295,307,295,303,303.05,34200,103.04
"1998-08-14",308.25,308.25,295.5,297.1,296.45,26500,79.53
"1998-08-17",298,299.95,283.2,284,286.3,36800,107.72
"1998-08-18",283,287,273.05,278,276.95,65900,184.01
"1998-08-19",277,288.45,277,282.95,281,11500,32.59
"1998-08-20",283.5,292,278.95,289.4,290.2,11400,32.44
"1998-08-21",285,289,281.5,283,282.55,7300,20.81
"1998-08-24",281.1,284.7,280,281,281.15,5900,16.63
"1998-08-25",280.35,299,280.25,290.05,291.15,13100,37.59
"1998-08-27",302,314.45,302,314.45,314.45,17800,55.72
"1998-08-28",314.45,314.45,295,303,300.75,23900,72.61
"1998-08-31",299.95,303,295.1,300,299.75,6600,19.76
"1998-09-01",296.05,296.05,285,292.5,287.1,12600,36.56
"1998-09-02",294,303,292,302,300.9,9700,28.88
"1998-09-03",303.45,305,287,287,291.3,16500,48.84
"1998-09-04",290.1,294,285,289.75,288.65,13100,37.99
"1998-09-07",289.85,302,287.1,298,298.1,11000,32.67
"1998-09-08",292,310,291,310,307.9,17600,53.12
"1998-09-09",316.85,320,312,314.1,315.15,25300,80.03
"1998-09-10",306,317.85,305.5,312.95,311.75,9600,30.09
"1998-09-11",309,310,302,308.75,308.05,9500,29.15
"1998-09-14",311.1,315,310,314.7,314.8,8700,27.24
"1998-09-15",312.5,320,311.8,319.5,317.2,16500,51.92
"1998-09-16",318.9,341,318.9,334,333.6,33600,112.1
"1998-09-17",340.9,355.6,340,353.6,353.65,26500,92.7
"1998-09-18",352,354,345,351,349.85,14800,51.59
"1998-09-21",353.8,354,343,344.25,343.55,14000,48.71
"1998-09-22",346,347,340.25,347,343.35,13400,45.98
"1998-09-23",348,356,348,350.25,352.7,13900,49.01
"1998-09-24",343,355.5,343,352.9,351.85,5000,17.63
"1998-09-25",348,356,348,356,353.8,9300,32.79
"1998-09-28",356.5,382,350,380,376.5,24200,89.15
"1998-09-29",399,399,376,385,384.65,22200,85.99
"1998-09-30",395,415.45,386,415.45,415.45,28300,115.02
"1998-10-05",415.45,417.5,382.5,386,383.5,32400,129.33
"1998-10-06",387,397.7,371.15,386,388.4,22500,87.53
"1998-10-07",395,419.5,395,419.5,419.5,17600,73.5
"1998-10-08",439.95,448.6,422,435,431.4,34200,149.13
"1998-10-09",437,440,430.2,432.5,433.05,15600,68
"1998-10-12",435,435,406,424.5,424.4,25900,110.46
"1998-10-13",421,428,401,410,406.7,45800,191.58
"1998-10-14",421,428.9,411,424,423.15,12900,54.31
"1998-10-15",423.9,428,413.25,415.5,416.25,12200,51.26
"1998-10-16",417.05,421,402.1,415,414.7,20100,82.92
"1998-10-19",399,400,386.25,391,388.5,16000,62.58
"1998-10-20",390,390,365.6,380,377.35,51300,194.85
"1998-10-22",214.5,231.7,214.5,221.6,220.45,90500,200.99
"1998-10-23",219.05,227.8,215.55,227,225.8,64600,144.16
"1998-10-26",230,242.7,230,237.75,237.85,69400,163.65
"1998-10-27",240.5,243,236,240.8,239.95,90500,216.71
"1998-10-28",245,245,232,234.25,233.5,65300,154.96
"1998-10-29",232,232.1,226.15,229.5,229.15,35800,81.73
"1998-10-30",234.4,239,228,230.5,229.5,54600,127.02
"1998-10-31",228.05,230,226.5,230,229.5,16200,37.03
"1998-11-02",230,230,211.15,211.5,212.45,113800,247.69
"1998-11-03",213,216.9,207.3,214,214,58300,123.98
"1998-11-05",211.1,215,208.05,210.35,209.85,39800,83.81
"1998-11-06",209.35,212,205.55,208.5,208.25,43000,89.6
"1998-11-09",210,214.9,201.9,205.5,204.4,59000,122.41
"1998-11-10",205.5,211,199,210,209.7,84700,173.82
"1998-11-11",210.8,211,204.1,206,206,41700,86.41
