"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2010-09-29",780,805,770,776,774.6,26000,203.69
"2010-09-30",775,783.45,766.25,772,773.55,17350,134.35
"2010-10-01",763,797.3,760.25,773.6,774.95,35941,280.42
"2010-10-04",788,795,775,786.65,783.4,31160,245.19
"2010-10-05",775.1,788,772.05,778.95,779,32141,250.31
"2010-10-06",812,812,773,799.95,799.45,69177,551.32
"2010-10-07",791,807,778.2,786.9,783.85,38093,303.35
"2010-10-08",780,799,776.55,779.5,779.25,20060,157.3
"2010-10-11",782.5,798,782.5,792,793.65,16798,133.34
"2010-10-12",782.1,803.95,782.1,800,798.15,22402,177.7
"2010-10-13",791,805,791,797.95,797.6,36541,292.17
"2010-10-14",798,807,798,805,805.4,47108,378.72
"2010-10-15",795,806,782.05,785,784.9,14809,117.41
"2010-10-18",799,799,745,760,759.95,64137,490.38
"2010-10-19",775,775,747,750.05,751.2,52109,397.47
"2010-10-20",760,775,757,765.8,765.8,26636,204.62
"2010-10-21",770,774,768,771.95,771.6,24106,185.83
"2010-10-22",777,777,770,772,772.9,8814,68.1
"2010-10-25",772,797.25,770,790.45,791.2,18209,143.38
"2010-10-26",788,797.9,775.2,784,783.95,8898,70.24
"2010-10-27",784.2,789.85,770,780.1,777.35,7409,57.75
"2010-10-28",771,780,770.1,770.15,770.6,5769,44.71
"2010-10-29",768.45,790,739.8,790,774.45,36854,282.67
"2010-11-01",790,801,781.5,796.95,798.6,22483,178.79
"2010-11-02",805,838,799,805,806.4,158531,1302.17
"2010-11-03",810,818.65,795,800,799.25,21687,174.9
"2010-11-04",785.5,811.8,785.5,810,810.3,16533,133.78
"2010-11-05",812,820,805,807,811.9,7313,59.42
"2010-11-08",811.95,817,801.55,806.95,809.15,13274,107.39
"2010-11-09",803,828,803,812,815.8,34403,279.77
"2010-11-10",810,823.9,808,809.9,809.9,24918,202.61
"2010-11-11",812,814,786,795,795.9,39459,315.43
"2010-11-12",795.9,798,775.1,775.2,782.75,35124,276.47
"2010-11-15",778,799.9,778,780.15,781.55,21302,167.27
"2010-11-16",780.1,794.85,751.1,781,778.6,35834,276.5
"2010-11-18",798,798,736,774.95,772.3,16263,123.72
"2010-11-19",769.95,786.9,750.15,760,761.6,14753,112.09
"2010-11-22",760,776,752,776,763.85,10724,81.35
"2010-11-23",765,772,753,772,764.2,11373,86.64
"2010-11-24",757,774.55,755,756,758.55,8722,66.91
"2010-11-25",761,761,725.05,725.05,734.65,18648,138.12
"2010-11-26",729,742,650,742,730.15,53587,378.62
"2010-11-29",730.15,730.15,676.2,721,713.6,43622,307.38
"2010-11-30",706,719.9,696,700.7,707.35,9093,64.36
"2010-12-01",710,731.8,710,712,713.3,9889,71.08
"2010-12-02",718,748,712.4,746,741.85,11280,82.9
"2010-12-03",742,742,710,720,719.95,6205,44.99
