"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",106.8,111.2,105.5,NA,NA,NA,NA
"1998-03-23",112,115.7,111,112.25,112.25,9400,10.54
"1998-03-24",113,116,112,115,114.9,49250,56.63
"1998-03-25",118.75,118.75,113,117,116.95,26750,30.97
"1998-03-26",118.7,118.7,113.15,114.2,114,21500,24.93
"1998-03-27",112,117.5,111,117.5,116.85,27900,32.22
"1998-03-30",117,123.9,116,117.2,117.6,79600,96.01
"1998-03-31",116.15,118.5,114,115.9,115.3,61550,71.51
"1998-04-01",119.5,121.5,118,119,118.9,74350,88.84
"1998-04-02",122.5,130.8,120,129.75,129,186150,235.91
"1998-04-03",132.95,134.9,130,133.75,133.4,132000,175
"1998-04-06",134,136.9,127,128.4,129.65,222150,292.44
"1998-04-07",129.9,134,128.55,130,130.15,74300,97.04
"1998-04-09",142,143,138,140,139.85,83250,117.04
"1998-04-10",141.75,142,137.25,138.95,138.9,32950,46.03
"1998-04-13",137,147.7,137,144.85,143.05,120300,172.71
"1998-04-15",145,153,145,150.6,150.85,139300,209.22
"1998-04-16",153.5,157,148,151,151.2,174200,267.72
"1998-04-17",151.75,162,151,161.5,160,170300,267.37
"1998-04-20",160,176,157.2,169.5,170.05,384650,649.49
"1998-04-21",172,174,169,172,172.85,110650,190.26
"1998-04-22",180,183.9,164,164,165.6,182050,316.84
"1998-04-23",165,166.5,149.1,149.1,151.05,162800,256.69
"1998-04-24",150,153,136.2,147.35,147.7,174250,253.21
"1998-04-27",149.5,153.25,142.5,144.5,144.55,91000,134.82
"1998-04-28",142.25,144.3,138.25,141.25,140.2,104700,147.45
"1998-04-29",152.9,154.25,150,151.15,152.05,112400,172.37
"1998-04-30",149,167.3,148,167.3,167.2,260500,414.96
"1998-05-04",171,175.15,168.5,172.7,172.55,204050,352.67
"1998-05-05",175,175.1,169.25,175.1,175.1,93450,161.22
"1998-05-06",182,182,171.2,172.6,172.75,145200,255.94
"1998-05-08",170.05,177,167.1,171.5,171.95,125250,216.43
"1998-05-11",170.05,173,170.05,171.25,171.2,27750,47.56
"1998-05-12",167,168.95,154.1,164.9,162.65,207650,336.4
"1998-05-13",161,163.95,146.55,151.8,149.15,85950,135.24
"1998-05-14",153,159.6,148,159.6,158.05,154650,240.35
"1998-05-15",162,164,157.3,158.1,158.25,103150,165.16
"1998-05-18",162.5,165,161.7,164,163.4,83150,136.03
"1998-05-19",163.5,173.5,163.5,173.5,171.45,115250,194.34
"1998-05-20",177.5,179.75,171,173,172.8,208000,361.83
"1998-05-21",175.5,175.5,164.05,166.5,167.7,315500,537.74
"1998-05-22",170,170.5,163,164.6,165.75,63850,105.95
"1998-05-25",161.6,165,160,160.25,161.55,65250,106.02
"1998-05-26",157,161,153,155.5,154.3,174600,273.16
"1998-05-27",155,156.25,149,151.25,150.7,78500,120.42
"1998-05-28",151,151.85,145,146.8,145.6,69400,102.9
"1998-05-29",142.25,156,139.5,151.4,152.45,135200,200.85
"1998-06-01",154,158,145.65,147.75,148.75,162300,248.71
"1998-06-02",147.5,148.5,140.1,142.9,141.35,121300,174.68
"1998-06-03",148,153,144.05,148.4,147.55,213900,315.13
"1998-06-04",148,149,145.1,145.5,145.6,88800,130.76
"1998-06-05",144,145,133,135,134.55,273950,379.22
"1998-06-08",136,137.9,123,130.5,129.15,188950,240.86
"1998-06-09",130.9,136,127,133.7,134,1e+05,132.63
"1998-06-10",140,140,125.1,125.75,126.05,107850,139.39
"1998-06-11",123.05,129,120,129,127.8,161000,200.87
"1998-06-12",129.7,132.9,126,127.95,127.6,100850,130.64
"1998-06-15",126.05,128,118,118,119.05,93150,113.6
"1998-06-16",115.5,119,110.5,117,117.25,128500,147.4
"1998-06-17",120.95,125,118,124,123.3,113150,137.98
"1998-06-18",124.5,124.95,119.05,119.05,119.3,44700,54.39
"1998-06-19",117,118,110.5,111.95,111.3,92050,104.35
"1998-06-22",110,110,101,106.8,106.4,82400,86.52
"1998-06-23",104.1,111,103.1,109,108.45,64500,69.62
"1998-06-24",109,114,108.15,113,112.25,43900,48.61
"1998-06-25",115.85,120.4,113.7,116.6,117.7,114900,134.62
"1998-06-26",117,129.45,117,128.75,128.45,340250,431.33
"1998-06-29",128,134.9,128,132.6,132.1,138800,183.95
"1998-06-30",132.5,132.5,124.3,128.3,127.95,113950,145.88
"1998-07-01",126.1,128.4,121.3,125,125.25,66400,82.46
"1998-07-02",122.1,125,120,120.25,120.75,62300,76.18
"1998-07-03",118.15,119.45,112.2,112.4,113.15,72900,83.75
"1998-07-06",115,119,114.1,117.95,117.3,142750,166.31
"1998-07-07",118.25,123,118.1,118.1,120.25,209600,253.35
"1998-07-08",121,123.05,118.1,120,120.7,48400,58.45
"1998-07-09",121.8,122.9,120,120,120.45,45650,55.43
"1998-07-10",121.3,130.1,121.3,130,129.7,114750,146.09
"1998-07-13",130.5,134,123.1,126,126.4,104600,136.84
"1998-07-14",126,127.85,124,126.95,126.4,53400,67.38
"1998-07-15",130,132,127.65,131,128.7,78550,101.92
"1998-07-16",132.85,135.4,129.1,134.75,133.85,49000,64.78
"1998-07-17",136,136,130.1,132,131.25,54900,72.99
"1998-07-20",133.85,138,128.3,134.2,134,145700,195.6
"1998-07-21",133.95,141.95,132.5,141.5,141.2,103400,142.73
"1998-07-22",143.5,144.9,136.5,141.65,141.25,119750,168.61
"1998-07-23",143.9,143.9,132,132.8,133.8,99350,136.28
"1998-07-24",131.5,134.6,127.5,130,130.75,106050,139.05
"1998-07-27",129.35,132.5,120.3,120.3,120.35,206850,262.38
"1998-07-28",115.15,122,115.15,121.4,120.75,81550,96.55
"1998-07-29",120.1,121.5,117,119.95,119.85,32250,38.42
"1998-07-30",120.35,121,116,118,117.85,25950,30.72
"1998-07-31",118,118.75,116.5,118.55,118.55,11150,13.09
"1998-08-03",115,115.6,113,113.85,114,15650,17.85
"1998-08-04",115.95,118,114.3,116,117.35,35100,40.98
"1998-08-05",115.05,119,114.5,119,118.75,19350,22.64
"1998-08-06",121.25,121.25,115.7,116.3,117.1,45800,53.98
"1998-08-07",116,119,115.75,117.5,117.85,17250,20.31
"1998-08-10",117,118.5,116.1,117.3,117.3,27350,32.15
"1998-08-11",116.3,117.9,116,117.45,116.9,63850,74.45
"1998-08-12",113.5,116.75,113.5,116.2,116.4,14050,16.3
"1998-08-13",114.5,117,114.5,116.5,116.8,12850,14.91
"1998-08-14",116.3,116.7,115,116.35,116.1,15200,17.64
"1998-08-17",119.5,123,117.25,118,118.6,32050,38.27
"1998-08-18",120.5,120.5,113.55,115,114.4,36850,42.63
"1998-08-19",116,117.35,114.5,114.9,114.75,16000,18.47
"1998-08-20",116.5,120,115.35,120,118.7,44200,51.93
"1998-08-21",120.95,127,120.95,122.3,122.4,143450,178.46
"1998-08-24",122,130,120.2,127,127.45,243550,310.01
"1998-08-25",125.2,134,123.2,131,132.1,331600,433.49
"1998-08-27",134.5,136,128,128,128.35,68450,89.54
"1998-08-28",127,127,120.5,121.5,121.3,56250,69.61
"1998-08-31",120.25,124,118,123.35,122.9,90900,110.41
"1998-09-01",117,122,114.05,121.2,120.55,65000,78.51
"1998-09-02",122.9,129,122.25,128,128.45,210800,268.54
"1998-09-03",128.7,130,126,127.85,126.9,46850,59.89
"1998-09-04",128.1,129.9,127.5,128.5,128.85,24800,31.97
"1998-09-07",129,131.35,128.15,129,128.5,30950,40.14
"1998-09-08",130,130,127.05,129,128.2,34900,44.69
"1998-09-09",130,133,128,128.95,128.4,33750,43.85
"1998-09-10",128,128.95,127,127.75,127.25,27050,34.65
"1998-09-11",126,126.6,124.6,124.6,125,13250,16.61
"1998-09-14",126,132.4,124.5,129.5,129.65,156350,201.64
"1998-09-15",128.75,131,127,127.6,128.05,66800,85.8
"1998-09-16",130,130,127,127.1,127.45,17850,22.87
"1998-09-17",129.45,130.2,125.5,127.05,127.55,43000,54.73
"1998-09-18",127.9,129.5,125.65,127,126.85,34850,44.19
"1998-09-21",125.25,126.95,123.5,123.5,124,23150,28.94
"1998-09-22",123,126,120,125,124.25,58850,72.54
"1998-09-23",127,127,125,126,125.5,10050,12.63
"1998-09-24",126.5,127,125.3,126,125.8,6700,8.45
"1998-09-25",125.05,126,122.35,122.5,122.8,12650,15.64
"1998-09-28",123,123,119.25,119.8,119.5,14750,17.84
"1998-09-29",118.5,119.2,116.25,117,117.6,40600,47.92
"1998-09-30",117.25,120,117,119.3,119.75,13800,16.34
"1998-10-05",114.1,116,112,112.35,112.7,54900,62.45
"1998-10-06",112,113.5,111,111.2,111.25,17050,19.1
"1998-10-07",114,114,112.8,113.6,113.6,49800,56.34
"1998-10-08",114,114,111,111.25,111.4,26500,29.64
"1998-10-09",112,112,111.05,111.8,111.75,5650,6.31
"1998-10-12",111,111.9,105,106.15,105.8,29200,31.69
"1998-10-13",106,106,99.05,100.9,100.35,46800,47.72
"1998-10-14",101.6,103.9,100.5,102.5,103.5,47350,48.59
"1998-10-15",102.75,108.95,101,105.9,105.2,31550,32.92
"1998-10-16",106,106,102.45,105,105.05,9850,10.23
"1998-10-19",104.4,106,103.5,105.1,104.95,6200,6.5
"1998-10-20",104,104,98,102.95,102.3,37400,37.64
"1998-10-22",104.95,104.95,95,95,97.9,77600,77.33
"1998-10-23",98.85,101,95,101,100.5,76650,75.89
"1998-10-26",107.9,108.55,105,108,107.65,35500,38.15
"1998-10-27",108.5,108.5,100,101.2,101.8,64000,65.73
"1998-10-28",96.1,103.25,96.1,99.65,99.95,30950,30.93
"1998-10-29",98,99.95,96.5,99.95,99.15,23750,23.42
"1998-10-30",99.05,104,98.1,101.6,102.15,27450,27.96
"1998-10-31",98.5,100,98.3,100,100,2650,2.65
"1998-11-02",100.35,102,99.5,101.75,101.6,14700,14.78
"1998-11-03",109.5,109.5,99.5,101.3,100.4,24100,24.2
"1998-11-05",100,102.5,100,101.55,101.55,15400,15.63
"1998-11-06",99.15,104,99.15,104,103.85,16700,17.15
