"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",45.8,46.5,44.75,NA,NA,NA,NA
"1998-03-23",46.5,47,45.5,46.15,46.15,79400,36.75
"1998-03-24",47.25,47.25,43,43.5,43.6,880300,396.09
"1998-03-25",44.9,46.5,44.55,46,46.3,498500,227.54
"1998-03-26",46.5,47.45,45,45,45.1,470600,217.89
"1998-03-27",44.75,45.6,43.6,45.5,45.35,429200,192.45
"1998-03-30",46,46,43.55,43.9,43.85,314400,141.29
"1998-03-31",43.75,44.2,41.15,42.5,42.15,574800,244.1
"1998-04-01",43.2,43.45,42.5,42.85,43.05,314400,135.13
"1998-04-02",43.6,44.7,42.85,43.2,43.25,360300,157.67
"1998-04-03",43.9,44,42.8,43.6,43.6,215200,93.29
"1998-04-06",43.95,46.2,43.7,45.7,45.45,664200,299.19
"1998-04-07",45.5,50,44.6,50,49.75,889900,425.64
"1998-04-09",51.45,52.6,49.75,52.2,51.9,1070100,547.74
"1998-04-10",52.85,52.85,50,51.35,51.1,1011700,519.32
"1998-04-13",52.5,56.25,50.5,56.25,55.75,2185100,1181.18
"1998-04-15",59,61.35,59,61.35,61.35,2193100,1335.84
"1998-04-16",61.75,63.85,57.05,57.5,57.8,1187500,710.58
"1998-04-17",57.75,58.7,55.75,58.6,58.25,1040900,600.19
"1998-04-20",57.05,59.5,56.7,56.95,57.25,1283000,745.46
"1998-04-21",57.4,58.4,54.45,55.2,54.9,1453900,807.67
"1998-04-22",56.6,58.95,55.75,56.1,56.05,1581700,907.19
"1998-04-23",56,56.1,52,52.9,52.8,475600,258.91
"1998-04-24",53.9,53.9,47.6,50.75,50.4,917100,460.71
"1998-04-27",52.3,52.5,49.55,50.6,50.4,785800,397.84
"1998-04-28",49.95,51.3,48,49.5,48.65,884600,436.09
"1998-04-29",51,52,46.3,46.9,46.75,1007600,495.89
"1998-04-30",46.1,48,45,47,47.4,538000,250.33
"1998-05-04",48,49,47.1,47.75,47.55,408300,195.8
"1998-05-05",48.2,49.5,46.9,49.5,49.05,728300,352.43
"1998-05-06",50.25,50.5,47,47.5,47.5,570600,275.74
"1998-05-08",47.3,47.3,45.7,46.3,46.3,506500,234.85
"1998-05-11",46.2,47.2,46.1,46.75,46.75,281300,131.13
"1998-05-12",46.1,46.15,42.1,43.75,43.3,774500,336.88
"1998-05-13",43,43.75,40,40.4,40.35,477100,200
"1998-05-14",40,42.7,40,42.6,42.4,425100,175.91
"1998-05-15",42.6,42.6,39.75,40.45,40.5,761300,310.43
"1998-05-18",41.2,44,40.6,43.3,43.25,1099000,467.2
"1998-05-19",43.4,44.9,43.05,44.5,44,980900,430.83
"1998-05-20",45.9,48.4,45.9,48.4,48.4,1908000,899.19
"1998-05-21",50,50.85,46.5,47,47.1,1351100,649.26
"1998-05-22",47.6,48.45,46.8,47.95,48.25,796600,379.15
"1998-05-25",47.5,48.45,47.1,47.8,47.9,362500,173.83
"1998-05-26",47.95,47.95,47,47.5,47.4,449100,212.53
"1998-05-27",47.35,47.5,45.45,46.15,45.8,674400,313.1
"1998-05-28",45.5,46.5,44.65,45.05,44.85,788400,359.24
"1998-05-29",44.6,44.75,43,43.9,43.8,1437600,628.52
"1998-06-01",44.2,44.9,42.1,42.75,42.8,857100,373.75
"1998-06-02",42.2,43.2,41.05,41.9,41.7,414900,173.63
"1998-06-03",42.7,42.7,39.7,41.35,41.25,544900,222.66
"1998-06-04",41.2,41.95,40.65,41,41.05,334900,138.41
"1998-06-05",40.7,40.7,38.6,39,38.9,391000,155.56
"1998-06-08",39,39.3,35.6,37.85,37.5,779000,290.52
"1998-06-09",37.5,39.25,37.25,39.25,39.05,517900,198.88
"1998-06-10",38.65,38.65,36.25,36.5,36.7,474200,175.9
"1998-06-11",36.1,38,34.5,38,37.2,754800,271.04
"1998-06-12",38,38.85,37.05,37.1,37.35,450300,170.59
"1998-06-15",37.9,37.9,34.8,35.25,35.1,438000,155.92
"1998-06-16",34.8,34.8,32,33.9,34.1,671700,224.73
"1998-06-17",34.5,37.5,34.5,37.5,37.5,770200,280.91
"1998-06-18",38.9,40,36.5,38.15,38.5,1236900,475.65
"1998-06-19",36.5,37.35,35,35.2,35.05,506900,181.91
"1998-06-22",33.3,34.35,31.7,33.5,33.45,633200,208.38
"1998-06-23",33,33,30.75,31.5,31.5,1234800,391.38
"1998-06-24",32,34,31.3,33.85,33.8,446100,147.01
"1998-06-25",34.5,35.35,34.05,34.25,34.55,228100,78.97
"1998-06-26",34,34,32.55,33,32.9,263100,86.94
"1998-06-29",33,33.7,32.1,33.45,32.95,445300,147.16
"1998-06-30",33.5,33.7,32.5,32.85,32.95,557700,184.23
"1998-07-01",34,34,32.25,32.75,32.9,152400,49.94
"1998-07-02",33,33,32.5,32.5,32.55,68900,22.53
"1998-07-03",32.05,32.5,30.6,31,31,244800,77.19
"1998-07-06",31.5,32.2,31,31,31.15,169200,53.17
"1998-07-07",31.5,31.9,30.95,31.4,31.35,262000,82.48
