"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",25,25,25,NA,NA,NA,NA
"1998-03-24",25.5,26,25.05,25.5,25.5,800,0.2
"1998-03-25",27.8,28,27.8,28,28,400,0.11
"1998-03-26",30,30.8,30,30.5,30.5,4200,1.28
"1998-03-27",30.7,30.7,30.25,30.25,30.25,400,0.12
"1998-03-30",30.15,31.5,30.15,30.5,30.5,1000,0.31
"1998-03-31",30.5,30.5,27.75,28,28,1500,0.43
"1998-04-01",29.95,30,29.95,30,30,300,0.09
"1998-04-02",30,30,28.85,28.85,28.85,300,0.09
"1998-04-06",29.05,31,29,31,30.35,1600,0.47
"1998-04-07",31,31.5,30.05,31.5,31.5,700,0.22
"1998-04-09",34.65,34.65,34.65,34.65,34.65,200,0.07
"1998-04-10",38.15,38.15,37,38.15,38.15,1000,0.38
"1998-04-13",39.35,39.35,39.35,39.35,39.35,800,0.31
"1998-04-15",42.95,43.2,42.75,43.05,43.05,4400,1.9
"1998-04-16",43.05,47.3,43.05,45.5,46.25,29300,13.26
"1998-04-17",45,45.95,41.8,45.25,45.25,7900,3.45
"1998-04-20",43,44.85,41.1,41.1,41.3,3400,1.46
"1998-04-21",41.1,43,38.9,41.35,42.05,3800,1.57
"1998-04-22",42.1,46.3,42,44.25,44.25,31300,14.43
"1998-04-23",42.5,45.5,41.75,44,44,3300,1.44
"1998-04-24",43,43.85,41,42.1,42.1,5700,2.38
"1998-04-27",42.3,45.75,42.3,45.75,44.15,4600,2
"1998-04-28",45,45.75,43.15,44.7,44.4,6000,2.66
"1998-04-29",44,46.95,44,45,45,2300,1.05
"1998-04-30",45,47,42.2,47,46.3,1900,0.86
"1998-05-04",48.45,50.95,48.45,50.95,50.95,2500,1.26
"1998-05-05",50.5,55.5,50.5,54.9,52.55,32700,17.2
"1998-05-06",54,57,54,55.8,55.6,9100,5.06
"1998-05-08",55,56,53.5,54.5,54.4,7200,3.92
"1998-05-11",53.9,53.9,50.55,51.95,51.95,6800,3.51
"1998-05-12",48.5,49.7,46.85,49,48.8,10400,5
"1998-05-13",46,46.9,44,44,44.75,5000,2.27
"1998-05-14",45.4,49,41,45.1,45.75,3200,1.45
"1998-05-15",45,45,44,44,44,800,0.36
"1998-05-18",45,48.4,45,48.4,48.4,3700,1.76
"1998-05-19",50,53,50,53,53,5800,3.02
"1998-05-20",54,58.25,54,58.25,58.25,14300,8.21
"1998-05-21",63.85,63.85,54.5,57,57,8800,5.05
"1998-05-22",56,62.7,56,62.7,62.7,29900,18.15
"1998-05-25",61,66.2,59.05,66.2,66.2,11200,7.29
"1998-05-26",66.25,66.25,66.25,66.25,66.25,500,0.33
"1998-05-27",72.9,72.9,70,71.6,72.45,36900,26.68
"1998-05-28",72.05,73.2,68,69.65,69.2,33900,24.2
"1998-05-29",66,71,63.05,67.75,67.95,16800,11.46
"1998-06-01",70.75,74,70,70,70.5,24900,18
"1998-06-02",70,70,63.7,65,64.2,28800,18.92
"1998-06-03",61,66.45,61,65.5,64.95,5400,3.48
"1998-06-04",66.5,69,65.1,65.15,66.1,8700,5.77
"1998-06-05",63.2,63.4,59.5,59.5,59.55,2800,1.72
"1998-06-08",58.5,58.5,53.65,55,55,5200,2.8
"1998-06-09",55.9,58,53.35,55.1,55.7,4900,2.73
"1998-06-10",55,55,52,52,52,700,0.37
"1998-06-11",47,48,47,48,48,400,0.19
"1998-06-12",48,48.2,48,48,48,800,0.38
"1998-06-15",46.95,46.95,44,44.1,44.1,1100,0.49
"1998-06-16",41.85,48.4,41.85,48.4,47.9,7400,3.44
"1998-06-17",50,51.7,48.5,51.5,51.3,6200,3.16
"1998-06-18",48,50,48,48.55,48.55,1100,0.54
"1998-06-19",46.5,46.5,44.9,46.5,46.45,1500,0.69
"1998-06-22",42.05,42.05,41.95,41.95,41.95,500,0.21
"1998-06-23",45,45,40.5,40.65,42.2,1000,0.42
"1998-06-24",44,46.25,44,46.25,46.25,600,0.27
"1998-06-25",47.5,47.5,45,45.3,45.5,2400,1.11
"1998-06-26",45,47.5,45,47.5,47.4,900,0.42
"1998-06-29",49.25,49.25,46,46,46,2500,1.17
"1998-06-30",46,46,42,42.1,42.15,2000,0.87
"1998-07-01",43.7,43.7,42.55,42.55,42.55,200,0.09
"1998-07-02",43,43,42.55,42.55,42.6,600,0.26
"1998-07-03",42,42,40.05,40.05,40.05,300,0.12
"1998-07-06",42,42.05,42,42,42,5100,2.14
"1998-07-07",37.85,41.25,37.85,41.2,41.2,300,0.12
"1998-07-08",44,44,42,42,42.05,1200,0.52
"1998-07-09",42.6,44.25,42.6,44.25,44.2,1400,0.61
"1998-07-10",44.25,44.25,44,44.25,44.25,600,0.27
"1998-07-13",43.55,43.55,43.5,43.5,43.5,200,0.09
"1998-07-14",43,43,42,42,42,800,0.34
"1998-07-15",43,43,42.9,42.9,42.9,400,0.17
"1998-07-16",41.5,41.5,40.95,41,40.95,1100,0.45
"1998-07-17",38.3,40,38.3,39.95,39.95,300,0.12
"1998-07-20",39,39,37,37,37,600,0.23
"1998-07-21",36.1,36.1,35.7,35.7,35.75,700,0.25
"1998-07-22",36,36,34.1,34.1,34.1,300,0.11
