"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2006-06-19",358,370,355.15,362.65,362.15,352849,1274.47
"2006-06-20",355,357.9,345.05,350,352.2,669171,2354.69
"2006-06-21",348,370.95,341,370.95,368.75,758384,2708.03
"2006-06-22",379.1,384,360,363,364.7,1021510,3800.14
"2006-06-23",355,374,347,370,370.4,1676407,6090.23
"2006-06-25",375,375,363.5,367.95,366.15,63021,231.74
"2006-06-26",365,372,357.05,357.2,360.85,551789,2020.23
"2006-06-27",363,370,350.5,359.7,361,1230438,4431.5
"2006-06-28",361,367,351,359,362.25,1017346,3641.1
"2006-06-29",353.5,379,353.5,361.5,359.5,2084109,7688.75
"2006-06-30",373.3,375,366.25,370.15,370,856081,3167.04
"2006-07-03",370.05,371.9,361.25,369.85,369.9,711185,2612.89
"2006-07-04",365.2,373,361,365,364.4,493438,1805.96
"2006-07-05",368,372,360,371.5,370,731840,2678.36
"2006-07-06",367,371.5,364.4,367.5,367.05,520374,1909.69
"2006-07-07",371.9,378.25,361,371.15,371,1140389,4232.59
"2006-07-10",372.5,391.5,370,388.2,389.65,1786853,6858.14
"2006-07-11",386,389,380,382.5,382.25,686932,2637.16
"2006-07-12",374,391,374,383.75,382.85,602982,2299.24
"2006-07-13",383.4,384,366,374,371.3,1100805,4095.93
"2006-07-14",363.65,370,358,361.5,362,1086315,3943.54
"2006-07-17",362,362,351,360,355.45,712533,2527.42
"2006-07-18",359,364.9,351,360,360.4,584199,2082.62
"2006-07-19",364.95,365.85,345.4,355.5,353.9,591005,2105.22
"2006-07-20",359.9,370,358.5,365.9,364.45,1125335,4115.15
"2006-07-21",364,364,354.25,357,357.85,339763,1217.77
"2006-07-24",357,369,348.1,365,365.25,690793,2495.68
"2006-07-25",367,374.8,365.05,367.25,369.45,693189,2559.37
"2006-07-26",372,384,367,380.05,382.6,2176566,8190.54
"2006-07-27",384,400,384,395,395.65,1890509,7415.07
"2006-07-28",395.25,398,381.25,384.2,385.65,680134,2643.42
"2006-07-31",404.8,404.8,380,381,383.05,646112,2504.77
"2006-08-01",383,392.9,377.1,390.5,391.2,606302,2339.34
"2006-08-02",392,396.8,390,391.1,393.05,781676,3072.38
"2006-08-03",396,405,390.05,398,399.15,1111889,4447.77
"2006-08-04",399,408,398.5,400,400.7,1195775,4834.35
"2006-08-07",402,403,390,392.95,392.3,398610,1568.68
"2006-08-08",392.5,405.7,386,404.95,404.65,966320,3891.76
"2006-08-09",408.1,410.5,401.1,403.6,404,1135679,4625.43
"2006-08-10",395.65,410,395.65,408.95,409.05,975158,3961.77
"2006-08-11",408.5,415,400.1,405,405.05,532394,2161.07
"2006-08-14",407,414.5,403.5,414.5,413,670593,2750.17
