"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2004-04-07",425,506.7,425,483,484.05,4805956,23467.45
"2004-04-08",489,580.9,487,580.9,580.9,7122560,38856.83
"2004-04-12",620,697.1,600,694,695.55,3949983,26896
"2004-04-13",710,780,605.65,630,622.1,9795443,63945.48
"2004-04-15",644,675,626.5,648,647.4,4784053,31259.92
"2004-04-16",659,670.4,641.7,644,645.95,2202547,14428.75
"2004-04-17",650,651.9,626.05,632.25,630.3,1112119,7083.42
"2004-04-19",635,663.7,608,610,612.5,3933018,24702.4
"2004-04-20",620,623,595.3,596.35,601,3821754,23295.33
"2004-04-21",602.1,623.5,590.35,603.9,606.85,5068929,30737.19
"2004-04-22",609.9,653,608,646.7,641.7,3892900,24437.49
"2004-04-23",650,667,635,641.15,640.6,3737376,24361.78
"2004-04-27",618,630,596,598.15,600.65,2119856,12911.86
"2004-04-28",601,628,597.75,610.6,614.9,3150327,19351.62
"2004-04-29",614.45,619.95,606.65,609,609.05,1259065,7719.18
"2004-04-30",610,616.45,593.35,595.5,599.5,904319,5497.32
"2004-05-03",598,602.75,576,583.1,586.4,1445950,8508.62
"2004-05-04",588,609.7,588,591.25,591.9,1466411,8797.92
"2004-05-05",595.9,603,591.1,596.05,595.45,901726,5382.71
"2004-05-06",604,614.8,597.25,599.8,600.5,1052535,6381.63
"2004-05-07",602,603.9,585,587,586.65,620562,3670.63
"2004-05-10",580,584.9,560,560.5,563.1,799993,4541.56
"2004-05-11",557.8,557.8,516.25,520,525.05,864737,4611.24
"2004-05-12",529.7,534.7,500,509.95,511.2,1877936,9644.55
"2004-05-13",495,553.9,470.05,551,543.4,2980696,15687.86
"2004-05-14",573,587.7,511.15,514,521.9,2630004,14343.37
"2004-05-17",522.7,525,418,499.9,498.4,1286851,6320.58
"2004-05-18",501.1,589,496,536,536,1321552,6915.22
"2004-05-19",549,570,543,552,552,829847,4597.06
"2004-05-20",556.7,574,515.1,518,519.65,1322423,7063.67
"2004-05-21",520,524.95,505.05,518.5,520.15,1045779,5417.7
"2004-05-24",526.55,546.7,522,541.3,540,890561,4793.33
"2004-05-25",545,545,525,527.75,527.85,651395,3452.62
"2004-05-26",530,541.95,530,533.5,532.2,446027,2392.41
"2004-05-27",528.9,533,522.05,530,527,306113,1616.56
"2004-05-28",525,531,508.3,508.3,510.6,544394,2825.09
"2004-05-31",507,507,478.6,486,485.45,561556,2741.1
"2004-06-01",490.7,503,483.15,484.9,485.4,437972,2157.87
"2004-06-02",486,498,486,495.2,493.45,298433,1466.59
"2004-06-03",498.8,510.85,485.3,488,488.2,747630,3740.11
"2004-06-04",485,492,470,485.1,482.55,673118,3234.91
"2004-06-07",487.3,492.85,478,482.15,481.3,571205,2769.27
"2004-06-08",487,503.5,484,494,492.65,1149671,5700.59
"2004-06-09",498,528.6,498,524.4,524.95,3112104,16025.65
"2004-06-10",526.7,540,519.9,530.5,531.85,1805332,9641.43
"2004-06-11",533.8,534.6,516.35,519,519.75,853219,4489.59
"2004-06-14",520,520,495.3,496.35,497.3,821158,4141.64
"2004-06-15",495.9,513.8,495.9,510.05,510.25,1053112,5334.42
"2004-06-16",513,520.9,507.5,509,509.55,1011940,5203.85
