"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",368,369.7,367,NA,NA,NA,NA
"1998-03-24",390,390,365.5,375,375,8400,31.38
"1998-03-25",386.6,387,381,385,385,22600,86.99
"1998-03-26",387,387,382.05,382.05,382.05,2100,8.09
"1998-03-27",380,382,372.1,380,379.8,5900,22.41
"1998-03-30",380,383,378,383,379.35,8600,32.62
"1998-03-31",378.45,381,368.05,368.25,370.45,3900,14.55
"1998-04-01",389,394.4,388.25,390,389.95,7300,28.45
"1998-04-02",399,405,390,390,390.5,3300,13.1
"1998-04-03",390,390,383,388,388,2300,8.92
"1998-04-06",389,390,382.75,383,383.5,1800,6.92
"1998-04-07",382,407.5,382,400,399.9,77100,303.53
"1998-04-09",400,400,390,393,393,373500,1488.88
"1998-04-10",395.25,400.35,390,390.1,394.9,30600,121.12
"1998-04-13",395.65,395.65,387,389,389.45,98800,387.19
"1998-04-15",387,391.95,380,390,390,1600,6.2
"1998-04-16",382,396,380,395,393.85,58500,228.17
"1998-04-17",390.05,410,390,410,406.35,9400,37.65
"1998-04-20",400,416,400,416,414.15,9400,38.65
"1998-04-21",408.2,408.9,400.1,403,402.2,4300,17.39
"1998-04-22",409.8,410,400,400,401.35,1600,6.5
"1998-04-23",400,410,395,402,409.25,29500,120.2
"1998-04-24",397.5,401,395,401,401,5600,22.41
"1998-04-27",393,400.1,393,400,400,2200,8.75
"1998-04-28",394,400,394,400,398.65,129000,513.64
"1998-04-29",388,401,388,400,400.35,4200,16.66
"1998-04-30",398,400,398,400,400,21000,83.7
"1998-05-04",399,399,393.25,393.25,393.25,600,2.37
"1998-05-05",390,393,390,390,390,40300,157.17
"1998-05-06",390,400,390,400,399.8,16600,65.97
"1998-05-08",384,394,384,390.55,390.75,500,1.95
"1998-05-11",387,387,355,380,380,1400,5.24
"1998-05-12",380,400,376,398,390.7,133800,509.22
"1998-05-13",385,392,381,381,381.05,4000,15.57
"1998-05-14",385,386,380,380,380,800,3.07
"1998-05-15",376,376,371,373,373.05,20400,75.7
"1998-05-18",371,379,370,370,370.45,1500,5.57
"1998-05-19",373,374,370,371,372,2700,10.05
"1998-05-20",375.6,380,375.6,379.95,379.1,5400,20.46
"1998-05-21",379.7,379.85,370,376,376,8700,32.34
"1998-05-22",372.5,375,371.05,373,373,2000,7.48
"1998-05-25",380,381.6,370.6,370.6,370.6,1200,4.51
"1998-05-26",370,370,336,340,343.4,14100,51.31
"1998-05-27",362.9,363,349,355,359.55,13200,47.3
"1998-05-28",360,368,348,358.85,356.9,115700,414.7
"1998-05-29",350.05,356,350.05,355.5,355.75,8300,29.2
"1998-06-01",363,391,363,365,368.35,9600,36.58
"1998-06-02",356,362,340,352.05,352.15,4400,15.61
"1998-06-03",358,361.9,355,361.9,361.9,300,1.07
"1998-06-04",380,380,351,362,368.05,59700,216.09
"1998-06-05",365,365,351,364,361,80300,289.05
"1998-06-08",350,355,346,354,354,1800,6.34
"1998-06-09",345,380,345,366.55,370.5,35200,127.75
"1998-06-10",380,393,370,373,371.5,4200,16.02
"1998-06-11",361,365,359.8,365,365,1800,6.52
"1998-06-12",365.05,365.1,360,360,360.35,1600,5.79
"1998-06-15",347,350,341.5,341.5,341.5,1700,5.88
"1998-06-16",320,341,320,330,332.4,2600,8.62
"1998-06-17",345,352,345,352,352,400,1.4
"1998-06-18",337,340,336.5,340,340,500,1.69
"1998-06-19",335,335,330,330,330,200,0.66
"1998-06-22",330,330,311.1,329.5,323.85,1600,5.14
"1998-06-23",325.05,332,325,325,325,1300,4.24
"1998-06-24",335,335,335,335,335,200,0.67
"1998-06-25",338,338,327.3,329.05,329.05,600,2.01
"1998-06-26",334.95,335,332.5,332.5,332.5,400,1.34
"1998-06-29",332,335,332,335,335,200,0.67
"1998-06-30",327.25,350,327.25,350,349.7,25200,88
"1998-07-01",345,345,335,335,335,10800,36.2
"1998-07-02",333.05,333.05,316,316,317.1,27700,90.68
"1998-07-03",320,320,320,320,320,200,0.64
"1998-07-06",322.6,325,320,322,323.3,17300,55.9
"1998-07-07",325,325,311.5,311.5,314.5,1500,4.77
"1998-07-08",324,324,324,324,324,100,0.32
"1998-07-10",325,325,324.75,325,325,500,1.62
"1998-07-13",325.1,330,325.05,326.25,326.25,1100,3.59
"1998-07-14",312.1,327.9,312.1,327.8,326.15,1300,4.21
"1998-07-15",329.2,337,329.2,334.55,334.55,1900,6.35
"1998-07-16",334,340,332.2,337,337,1300,4.38
"1998-07-17",339,340,336.1,338.8,337.9,1500,5.07
"1998-07-20",335,336,315,325,328.75,44500,147.23
"1998-07-21",326,328,319,319,326.65,3300,10.75
"1998-07-22",321.5,322.5,320,322,321,1000,3.21
"1998-07-23",322.5,322.5,320.5,320.5,320.75,2700,8.66
"1998-07-24",320,320,314.3,315,315,3400,10.74
"1998-07-27",310,330,310,330,326,23800,77.26
"1998-07-28",331,340,316,340,327.65,91100,296.25
"1998-07-29",336,340,325,340,333.05,87300,289.66
"1998-07-30",342,343.9,328.6,330,330.1,24700,82.84
"1998-07-31",333,333,316,320,320,41200,133.02
"1998-08-03",306,321.9,306,319,320.05,17000,53.88
"1998-08-04",320.7,321,317.1,317.1,319.05,16800,53.64
"1998-08-05",315,319,315,319,318.35,11100,35.34
"1998-08-06",319.7,319.75,311.7,311.7,314.85,21700,68.59
"1998-08-07",310,310,289.75,289.75,294.6,54400,163.78
"1998-08-10",276,290,275,275,276.3,44000,125.45
"1998-08-11",267.5,272,262.3,265.95,265.75,69300,185.49
"1998-08-12",260,274.9,257,259.8,258.7,68800,182.34
"1998-08-13",260,266.5,258,259.95,259.55,96500,253.83
"1998-08-14",262.7,264.55,260,262,261.35,37100,97.14
"1998-08-17",263.95,264,259.4,259.4,259.9,40900,107.09
"1998-08-18",258,259,245.25,246.9,246.6,86300,216.8
"1998-08-19",251.85,254.5,234,236,235.45,114300,276.92
"1998-08-20",238.5,248.45,236,248,244.3,112700,272.32
"1998-08-21",248.5,258,244,249,250.4,150100,377.56
"1998-08-24",250,255.7,245.3,255,254.85,58300,146.9
"1998-08-25",258,267.75,257,266.05,265.25,353800,940.33
"1998-08-27",268.9,278,258,269,273.75,259500,697.24
"1998-08-28",263,267,252.65,252.7,253.9,221600,568.99
"1998-08-31",262.35,262.35,241.5,250.1,253.1,250900,639.28
"1998-09-01",246.2,247.5,232.85,232.85,232.85,223600,526.13
"1998-09-02",240,240,222.8,228.1,228.55,128500,295.12
"1998-09-03",229,237,215.1,219.35,220,107100,241.11
"1998-09-04",223.5,232,220,230.45,228.85,243200,553.06
"1998-09-07",235.5,247.2,231,246.95,246.6,213800,516.04
"1998-09-08",248,252.5,243,248.1,249.65,122800,304.21
"1998-09-09",260,269.65,255,266.75,266.6,211600,565.71
"1998-09-10",264.8,282.4,264.3,271,271.8,132300,363.94
"1998-09-11",268,271,265.1,268,267.9,140900,378.31
"1998-09-14",271.75,282.9,271.75,278,278.7,204400,568.61
"1998-09-15",275,284,273.55,282,280.5,108900,303.18
"1998-09-16",284,284.5,275.6,276,276.85,68300,190.3
"1998-09-17",276,276,272.6,275.15,275.2,26400,72.41
"1998-09-18",271.55,273.5,269.7,271.1,271.3,66100,178.78
"1998-09-21",269.7,273.95,264,264,266.1,22600,60.53
"1998-09-22",265.9,267.5,257.25,260.1,259.85,88600,230.37
"1998-09-23",261.2,274,261.2,267.05,267.6,70000,188.28
"1998-09-24",274,276,271,272.1,273.3,91800,251.11
"1998-09-25",274,281.75,270,275,274.75,152600,421.04
"1998-09-28",277.75,277.8,266.4,268.6,269.35,132000,357.82
"1998-09-29",269,272,260.3,264,263.45,105800,281.04
"1998-09-30",274.4,275.5,260,267.4,266.45,71100,188.78
"1998-10-05",261.25,261.25,245.15,245.15,245.15,24500,60.92
"1998-10-06",237,237,225.55,225.55,225.55,178200,403.14
