"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"1998-03-20",476,493,470,NA,NA,NA,NA
"1998-03-23",477.1,483.75,477.1,482.8,482.8,2300,11.06
"1998-03-24",470,487,461,469.8,465.5,45100,214.6
"1998-03-25",486,486,473.5,476,476.15,9300,44.31
"1998-03-26",476,478,468.05,469.6,470.1,6300,29.78
"1998-03-27",467,472.9,467,468,468,3200,15.05
"1998-03-30",468,476,467.3,470,470,7700,36.26
"1998-03-31",468.5,472.95,463,467,467.75,16300,76.24
"1998-04-01",477,514.55,477,514.55,514.5,49300,248.68
"1998-04-02",514.55,520,500,500.75,502.8,21800,111.19
"1998-04-03",500,505,499.25,502,502.7,12600,63.39
"1998-04-06",507,515,502.25,515,513.65,12700,64.62
"1998-04-07",520,524,504,505,506.95,25800,132.38
"1998-04-09",521.1,536.5,520,525.25,526.05,19300,102.03
"1998-04-10",529,529,515,515,515.95,10400,54.04
"1998-04-13",500,520,496,520,514.35,23000,118.25
"1998-04-15",529,565.8,529,561,560.05,60200,334.31
"1998-04-16",560,567,541,544,545.35,13400,73.74
"1998-04-17",547,558.65,543.35,558.65,555,20400,112.38
"1998-04-20",558,575,552.75,553,558.6,45500,256.95
"1998-04-21",562,600,562,593,596,32200,186.93
"1998-04-22",625,625,577,577,578.7,29900,180.34
"1998-04-23",561,584.85,560,570,568.9,15300,87.57
"1998-04-24",570,585,542,585,579.8,18600,104.65
"1998-04-27",588,605,582.5,585.95,584.95,27500,163.09
"1998-04-28",580,580,552.1,574,560.25,25100,141.64
"1998-04-29",600,600,562.15,570,571.45,10800,62.53
"1998-04-30",565,584.85,555,580,581.65,13000,74.55
"1998-05-04",592,612.8,585.1,605.9,605.9,24900,148.86
"1998-05-05",606.9,611,592,608.95,607.15,24700,148.88
"1998-05-06",615,635,595,610.1,610.35,52000,320.88
"1998-05-08",599.95,614.5,592,596.5,599.9,23700,143.11
"1998-05-11",596.55,600,590.05,599.5,599.9,12200,72.58
"1998-05-12",590,590,539.95,565,567.9,45900,258.71
"1998-05-13",525,572.5,524.9,525,533.9,40900,226.73
"1998-05-14",535,565,527,560,561.3,28600,156.73
"1998-05-15",558,568,550,554,553.95,8800,49.17
"1998-05-18",563,599.7,563,586,585.3,26900,157.26
"1998-05-19",590,615,586.05,600,605.35,21300,127.69
"1998-05-20",620,620,608,613,615.65,20700,127.48
"1998-05-21",608,611,585,599.9,599.25,15900,95.34
"1998-05-22",597,597,590.3,591,591.6,8200,48.6
"1998-05-25",587.95,600,587.95,600,597.8,9400,55.99
"1998-05-26",595,603,593,601.75,600.55,23200,139.17
"1998-05-27",600,605,593.75,600,600.2,10800,64.76
"1998-05-28",595,606,592,600,596.1,7200,43.12
"1998-05-29",590,599.95,569,596.5,595.75,6400,37.51
"1998-06-01",604,610,585,585.25,588.85,7800,46.83
"1998-06-02",573,585,568.75,585,576.4,15900,92.31
"1998-06-03",578,600,568.5,600,599.2,9900,57.64
"1998-06-04",601,628,601,605,607.2,16000,98.44
"1998-06-05",605,605,575,575,579.25,5700,33.49
"1998-06-08",578,578,526.5,543.5,539.45,10400,56.62
"1998-06-09",538,593.3,531.3,593.3,593.3,13100,75.37
"1998-06-10",583,585,538,541,546.15,25900,144.57
"1998-06-11",540,549.9,503.25,543.25,543.55,26900,140.73
"1998-06-12",555,575,555,560.5,561.05,13000,73.06
