"Index","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)"
"2000-04-27",170,178.95,126.6,129,130.15,794500,1165.07
"2000-04-28",130.15,134.9,119.75,119.75,119.75,270450,328.14
"2000-05-02",112.5,112.5,110.2,110.2,110.2,56000,61.82
"2000-05-03",101.6,119,101.4,107,102.9,680700,697.35
"2000-05-04",108.7,111.15,108.7,111.15,111.15,441550,490.32
"2000-05-05",119.95,120.05,115,120.05,120.05,169900,203.74
"2000-05-08",129.65,129.65,129.65,129.65,129.65,17800,23.08
"2000-05-09",140.05,140.05,121.15,140.05,140.05,507800,697.77
"2000-05-10",148,151.25,144,151.25,151.25,173650,260.74
"2000-05-11",160,163.35,143.2,163,161.55,831500,1316.3
"2000-05-12",167.95,172,152,154.55,154.05,413950,669.3
"2000-05-15",151,166.05,141.75,163.3,163.25,438350,684.25
"2000-05-16",164.5,168,155,164,163.25,259450,423.32
"2000-05-17",166,170.9,163,166,165.55,248250,415.83
"2000-05-18",165,167.7,155.05,158.6,157.75,256450,410.25
"2000-05-19",156,170.4,153.3,168.4,168.1,666050,1104.5
"2000-05-22",169.9,174.5,163,168.45,168.2,238300,402.54
"2000-05-23",167,169.4,157,158,158.6,231850,375.65
"2000-05-24",157,166,155.25,160,160,67850,108.59
"2000-05-25",161.9,166.5,157.65,160,159.4,83650,135.59
"2000-05-26",164,164.6,159,160,159.95,47250,75.76
"2000-05-29",160.95,166,159.25,165.2,165,94800,155.33
"2000-05-30",164.1,178.2,162.55,178.2,173.45,77650,130.67
"2000-05-31",185,187.35,177,187.35,187.25,153650,285.68
"2000-06-01",192,192,182,185.5,185.8,69200,129.55
"2000-06-02",190,195.95,186,192,192.85,82300,158.09
"2000-06-05",196.9,208,191,195,194.35,78700,156.82
"2000-06-06",199,209,190.05,208.7,206.35,117100,235.29
"2000-06-07",211.75,222.4,209,222,221.4,131100,286.78
"2000-06-08",224.85,239.1,224.85,232,231.85,135400,316.04
"2000-06-09",220,234,213.3,213.3,215.25,148600,322.42
"2000-06-12",218,227,198.05,198.05,198.05,90450,181.98
"2000-06-13",185.05,193,183.3,185,187.95,96500,179.64
"2000-06-14",199.8,202.7,192,199,199.7,91050,181.86
"2000-06-15",196,199.9,186.1,194.5,193.9,47900,92.84
"2000-06-16",194,198,190,198,197.55,41100,80.77
"2000-06-19",205,206,195,196.95,197.2,160500,322.98
"2000-06-20",200,206.45,196.3,200.9,199.5,227850,459.73
"2000-06-21",206.45,206.45,190,192.25,191.25,131950,262.27
"2000-06-22",191.6,194,185.1,186,187,49950,94.52
"2000-06-23",184,186.5,176,177,177.6,45700,82.89
"2000-06-26",171,176,166.1,170,170.7,52800,90.49
"2000-06-27",179,179,163.05,165.25,165.4,72250,121.34
"2000-06-28",167,172.9,165.25,169,169.25,89050,151.16
"2000-06-29",172.7,173.7,167.15,167.9,167.85,80850,137.38
"2000-06-30",169.5,169.5,164,165.3,164.7,34000,56.46
"2000-07-03",166.4,168,164.25,166.25,166.1,23000,38.19
"2000-07-04",166,166.8,161,162.65,161.75,76850,125.17
"2000-07-05",165,174.7,162.95,174.65,173.35,201150,341.29
"2000-07-06",174,178.9,171,171.4,171.8,103500,181.19
"2000-07-07",170.05,172.95,159,163.95,163.9,192600,314.3
"2000-07-10",163,165,162,162.65,162.85,37600,61.55
"2000-07-11",164,164,158.7,160.75,159.9,103750,166.98
"2000-07-12",162,165.85,161.1,164,164,41600,68.34
"2000-07-13",165,167.5,163.25,164.5,164.5,33300,55.25
"2000-07-14",168,168,158,161.95,161,54400,87.39
"2000-07-17",163,164,160.5,161,161.2,41300,66.78
"2000-07-18",159.55,161,157,158.6,158.4,72400,114.93
"2000-07-19",160.95,163.75,159,159.25,159.45,48741,78.79
"2000-07-20",157.1,158.75,153.05,157.6,156.9,34576,53.99
"2000-07-21",158.7,158.9,150,151,151.1,45646,70.05
"2000-07-24",140,150,139.05,139.05,139.05,30607,42.75
"2000-07-25",131,139,128,133.5,134.05,122498,163.53
"2000-07-26",139.75,144.8,139,144.8,144.8,21190,30.19
"2000-07-27",151,155.5,146,147.6,148.85,90908,136.68
"2000-07-28",149,149.75,138.5,140,139.65,116975,167.81
"2000-07-31",139,141.8,135,137,135.75,79105,109.45
"2000-08-01",136.95,139.85,134.5,137,135.4,64521,88.05
"2000-08-02",136.4,138.8,132,133.7,133.55,77244,104.73
"2000-08-03",134,142,132.55,135.55,136.1,64916,89.64
"2000-08-04",138,138,134,134.9,134.65,240523,327.76
"2000-08-07",132.8,136,128,129.4,128.8,37677,49.8
"2000-08-08",128,130,125.5,126.1,127.8,66042,84.49
"2000-08-09",131.1,135,130,133.1,133.25,50774,67.41
"2000-08-10",135.35,135.35,132,133.9,133.65,26633,35.68
"2000-08-11",134.8,135.2,131,132.35,131.8,27634,36.65
"2000-08-14",130.5,133.8,128.55,133,131.75,49898,65.22
"2000-08-16",129,135.95,129,135,134.85,33871,45.61
"2000-08-17",135,135.95,133.3,135.3,134.6,26260,35.39
"2000-08-18",134.5,135.7,133.1,134,134.35,19010,25.55
"2000-08-21",135,136,134.1,135.8,135.45,20020,27.06
"2000-08-22",130,137,130,133,133.35,56777,75.85
"2000-08-23",135.8,138,134.05,135,134.85,50807,69.14
"2000-08-24",134.15,135.6,133.5,135.6,135.25,16469,22.16
"2000-08-25",137.4,142.5,135,141.1,141.15,91207,127.52
"2000-08-28",142,145,138,138.25,138.5,53451,75.41
"2000-08-29",137.3,139.75,135,137.45,136.95,46270,63.24
"2000-08-30",139.85,139.85,137.25,138,138.05,27598,38.18
"2000-08-31",136.25,139.95,136,139.95,139.4,13597,18.83
"2000-09-04",139.3,141.75,137.5,138,137.95,30262,42.13
"2000-09-05",137.2,138.4,134.5,136.35,135.45,66835,90.77
"2000-09-06",135.5,145,135.1,142,141.8,78958,111.6
"2000-09-07",140.5,153.15,140.5,150,149.45,226714,339.51
"2000-09-08",154,154,144.1,145.9,145.05,68045,99.64
"2000-09-11",145.9,146,138.6,139.25,139.6,89656,127.22
"2000-09-12",138.75,139.95,133.6,135,134.85,117303,159.24
"2000-09-13",138,138.5,134.8,136,135.65,58770,80.24
"2000-09-14",136,137.55,135,135.5,135.95,25434,34.61
"2000-09-15",135.2,135.5,131.5,132.35,131.95,36424,48.58
"2000-09-18",131.1,131.5,125.1,127.85,128.05,38446,49.7
"2000-09-19",125.1,129.8,124.2,125.2,125,67025,84.85
"2000-09-20",129,130.65,127.55,130.2,130.2,25351,32.73
"2000-09-21",130,131.7,127,129.5,128.85,25361,32.62
"2000-09-22",126,126.5,122,124,123.8,56266,69.65
"2000-09-25",125.5,131,123.5,130,129.7,42396,54.01
"2000-09-26",127,128.25,125,127.4,127.4,37284,47.26
"2000-09-27",121,130.7,121,130.35,129.6,23312,30.09
"2000-09-28",128.6,130.45,127.35,128.85,128.9,10034,12.9
"2000-09-29",129.05,129.25,126.55,128.8,128.5,15826,20.27
"2000-10-03",127,129.75,125.2,129.5,128.75,25716,32.92
"2000-10-04",128.15,133.4,127.55,130.85,130.65,25896,33.79
"2000-10-05",132.5,134.7,129.35,129.65,129.8,23214,30.65
"2000-10-06",129,130.3,127.55,129.9,129.95,11610,14.95
"2000-10-09",130,130,126.55,127.8,127.8,12102,15.45
"2000-10-10",127.25,127.75,123.25,123.25,124.7,24973,31.38
"2000-10-11",123.5,126.25,122.55,123.3,123.2,12980,16.09
"2000-10-12",122.05,122.1,115.25,115.9,117.1,35332,42.01
"2000-10-13",114.25,120,113.4,115.9,118.2,27530,32.23
"2000-10-16",124.9,125.4,118.05,118.05,118.5,28710,34.75
"2000-10-17",120,120,115.15,115.5,115.55,32628,38.07
"2000-10-18",117.5,118.95,115.1,116.5,116.2,22029,25.83
"2000-10-19",116.15,119.45,116.05,117.5,118,22312,26.33
"2000-10-20",120,121.75,113.1,114.5,114.65,42827,49.86
"2000-10-23",115,116.4,112,114.35,113.9,29218,33.19
"2000-10-24",111.1,115.5,110.1,115,115.1,88048,101.11
"2000-10-25",117.75,124.35,116.1,124.35,124.35,79142,96.48
"2000-10-26",126.1,131,125,128.5,128.8,29184,37.4
"2000-10-27",129.8,129.8,127.5,128,128.2,32485,41.64
"2000-10-30",127,128.9,127,128,128.05,26998,34.58
"2000-10-31",128,133.9,127,132.75,132.3,42400,55.31
"2000-11-01",134,134.9,132,134.5,133.75,22752,30.34
"2000-11-02",132.55,133.5,130.6,130.6,131.65,15509,20.5
"2000-11-03",132.45,132.45,130.25,131.95,131.8,13881,18.22
"2000-11-06",133.25,136,131.9,134.4,134.15,228295,302.13
"2000-11-07",133,144.8,133,143,142.45,55804,77.75
"2000-11-08",145,152.3,142.3,144.25,144.7,89871,132.63
"2000-11-09",140,145,139,141.1,141.5,45286,64.17
"2000-11-10",143.7,143.7,138.55,140.7,140.55,28743,40.35
"2000-11-13",138.5,138.5,135,136.35,136.2,36464,49.95
"2000-11-14",136,145,136,143.8,142.8,79461,112.19
"2000-11-15",148,148,142.1,143,142.6,37154,53.52
"2000-11-16",143.85,143.85,141.1,143.5,142.6,10598,15.08
"2000-11-17",141.2,145.9,141.2,144.55,145.1,22336,32.11
"2000-11-20",145,145.95,143.3,144,143.85,21483,31.07
"2000-11-21",141,147.9,141,144.95,145.8,40505,58.55
"2000-11-22",144,157.5,143.8,154,153.9,202800,310.34
"2000-11-23",156,157,150.15,152,153.95,169565,261.07
"2000-11-24",153.5,160,152,153.5,153.25,351190,552.65
"2000-11-27",154,156.4,151.6,153.9,153.55,100188,154.77
"2000-11-28",156.35,156.35,145,146,146.5,260873,392.36
"2000-11-29",145.5,153,145.5,151,150.65,598700,893.28
"2000-11-30",151,154,150,150.4,151.2,62856,95.58
"2000-12-01",148.9,152.9,148.9,152.25,152.05,60728,92.19
"2000-12-04",151,154.65,151,152,152.05,44978,68.86
"2000-12-05",152,153,151,152.4,151.65,62354,94.63
"2000-12-06",154,159.9,152,154.25,154.1,79833,122.75
"2000-12-07",155.75,155.75,151.8,152,152.25,69701,107.07
"2000-12-08",154.8,154.8,151.25,154.05,154.1,49659,76.08
"2000-12-11",154,166.45,153,166.45,165.3,142327,228.16
"2000-12-12",173.4,173.4,162,171.5,171.05,177566,300.03
"2000-12-13",173.35,173.35,166.4,168.05,167.7,113064,192.59
"2000-12-14",162,174.9,162,166,166.7,104512,177.8
"2000-12-15",166,168,156,157.05,158.1,61448,99.01
"2000-12-18",155.5,161.7,154.05,160,160.05,44763,70.55
"2000-12-19",158.1,161.25,156,156.15,156.3,90432,142.89
"2000-12-20",157.75,161.4,155,158.6,159.2,34827,55.26
"2000-12-21",156.2,158.95,151.7,154.25,154.2,59209,90.99
"2000-12-22",155,157,151.6,153.5,152.95,45179,69.48
"2000-12-26",153.5,154.9,148.15,150,149.05,62847,94.26
"2000-12-27",153.9,154.5,151.5,154,153.2,22961,35.13
"2000-12-28",154.5,157,153.5,157,156.1,19052,29.66
"2000-12-29",155.55,158.25,155,158.25,157.9,18642,29.26
"2001-01-01",157.5,160.7,157.5,160,159.9,20483,32.69
"2001-01-02",160,164,159.15,163.85,161.9,582407,928.59
"2001-01-03",161,166.9,160.9,166.9,165.9,36125,59.56
"2001-01-04",168,169,166,168.1,168.2,45659,76.6
"2001-01-05",167.9,169,166,167.5,166.7,30808,51.51
"2001-01-08",166,167.65,163.1,164.5,164.85,26192,43.46
"2001-01-09",167.8,175,166.1,167.1,166.9,70126,118.86
"2001-01-10",171.55,174,167.35,168.5,168.35,59871,101.88
"2001-01-11",169.9,170,163.5,164,163.95,21913,36.4
"2001-01-12",166.8,166.8,158,159.45,158.95,35777,57.7
"2001-01-15",158,160.25,157,158.95,158.85,19655,31.16
"2001-01-16",159.95,161,154,154.55,154.9,54073,84.69
"2001-01-17",158,159.4,156.1,156.7,156.35,18431,29.03
"2001-01-18",157,157,154.65,156.6,156.2,11889,18.54
"2001-01-19",157,157.45,155.6,156.6,156.45,23307,36.49
"2001-01-22",155.3,167.4,155.3,166.9,164.3,52331,84.82
"2001-01-23",167.9,170,158.95,160,159.55,56286,90.38
"2001-01-24",163.95,163.95,157,157.85,158.05,49260,78.18
"2001-01-25",159,159,154,155,154.75,49543,76.99
"2001-01-29",153.7,153.7,142.5,148.5,148.1,64756,94.91
"2001-01-30",148.1,149,139,143,142.85,188204,268.66
"2001-01-31",149.9,149.9,140.05,142.3,142.35,137941,198.35
"2001-02-01",142.9,143.2,140.2,142,142.05,41579,59.03
"2001-02-02",141.95,142.8,140.8,142,141.55,48000,68.07
"2001-02-05",138.05,146.9,138,146.9,146.15,74360,107.01
"2001-02-06",145.6,149,143.45,148.4,147.25,88069,128.7
"2001-02-07",150,152.4,146.5,151.1,151.2,41009,61.38
"2001-02-08",147.25,155.85,147.25,155,154.75,49643,75.56
"2001-02-09",154,158,153.15,156,155.5,57962,90.53
"2001-02-12",156.75,161,153.25,153.25,154.1,62867,98.93
"2001-02-13",155,155,151,152.9,152.2,44617,68.33
"2001-02-14",152.8,154.75,151,153,153.05,25168,38.45
"2001-02-15",154,154.65,152.25,152.6,152.75,13215,20.28
"2001-02-16",152.95,153.75,149.9,151.5,150.8,33816,51.21
"2001-02-19",148.55,150.25,145.35,145.75,145.8,20318,30.03
"2001-02-20",146.25,147,144,146.75,146.4,43787,63.85
"2001-02-21",147,152,146.75,147.7,147.55,28603,42.65
"2001-02-22",147.3,150.9,141.55,150.75,148.4,61345,89.34
"2001-02-23",148,148.9,144,148,147.75,566561,833.07
"2001-02-26",151.9,159.25,145,149.5,149.7,53869,81.48
"2001-02-27",151,151,148.55,150.1,150.1,68740,102.95
"2001-02-28",153.9,156,148,150,150.2,66328,100.82
"2001-03-01",150,154,149,150.8,150.1,580714,879.81
"2001-03-02",149,151,145,146.9,146.9,47164,69.3
"2001-03-05",145,145,136.55,140.3,139.9,89737,127.33
"2001-03-07",147,149.75,138.5,145.5,144.3,24837,35.45
"2001-03-08",143.85,145,140,144.5,144.5,29348,41.93
"2001-03-09",140.05,142.5,137.7,140.8,140.95,34965,48.89
"2001-03-12",138.7,140.3,138,139.75,139.25,49283,68.76
"2001-03-13",138,138,128.15,129.05,129.7,46273,59.98
"2001-03-14",130,137,125.1,135,136.2,23797,31.75
"2001-03-15",128.5,139.95,128.5,139.6,138.8,27491,37.58
"2001-03-16",135.05,139,133,137,137.15,22845,31.04
"2001-03-19",133.25,137,133.25,134.2,134.4,14090,18.95
"2001-03-20",134.8,135,130.6,132.85,132.95,20460,27.16
"2001-03-21",133,133.95,130.25,133.95,133.5,9846,13.02
"2001-03-22",134.85,134.9,132.1,133.25,133,7892,10.52
"2001-03-23",132.1,133.35,128.05,129.05,128.8,14995,19.52
"2001-03-26",131,132,128.55,129.2,129.55,13887,18.04
"2001-03-27",129.95,132,128.55,132,130.55,18270,23.73
"2001-03-28",132,137,132,134.7,134.8,17041,23
"2001-03-29",140.9,140.9,132.75,134.9,135.1,18203,24.48
"2001-03-30",134.95,135.05,128,128,128.65,18968,24.78
"2001-04-02",127,127,121.05,124.25,124,14447,17.81
"2001-04-03",124,125.35,121.3,122.6,122.75,19411,23.87
"2001-04-04",122,123.5,119.5,120.5,120.9,9793,11.83
"2001-04-06",123,126,120.25,120.3,120.55,15117,18.43
"2001-04-09",120,120.5,116.1,117.75,118.2,8872,10.46
"2001-04-10",117.05,118,114.15,115.35,115.45,20063,23.29
"2001-04-11",119.95,124.55,115,115,115.55,51280,61.57
"2001-04-12",111.05,113,106.35,110,109.55,43548,47.9
"2001-04-16",108,110,103.5,107.9,106.6,27237,28.83
"2001-04-17",107.5,108.5,104,105.05,105.05,42060,44.61
"2001-04-18",107.5,111.8,107.2,111.5,110.15,61780,67.72
"2001-04-19",112.25,119,110.05,112.85,113.95,56354,64.64
"2001-04-20",114,115.8,111,113.85,113.65,19026,21.46
"2001-04-23",111.15,114.95,111.15,112.75,113.4,24860,28.32
"2001-04-24",112,113,110.1,112.9,111.85,28711,32.02
"2001-04-25",114.9,116,113.7,115,115.45,23938,27.49
"2001-04-26",116,116,112.55,113.4,113.6,11420,13.04
"2001-04-27",112.55,115.5,104.55,104.55,104.55,35531,38.01
"2001-04-30",102,106,97.65,99.7,98.65,41072,41.85
"2001-05-02",102.25,105.9,98.5,100.25,101.7,188274,190.54
"2001-05-03",102.8,105,100.1,101,100.65,107752,110.53
"2001-05-04",100,101.5,97.5,98.5,97.9,94001,93.03
"2001-05-07",99.45,100.05,98.1,98.1,98.6,47486,47.05
"2001-05-08",98.85,98.9,96.75,96.9,97.3,84878,82.74
"2001-05-09",100,101.4,99,99.5,99.7,69275,69.48
"2001-05-10",100.95,102.8,99.1,99.5,99.5,39531,39.76
"2001-05-11",99.5,99.5,97.5,98.5,97.95,29044,28.49
"2001-05-14",98,101.5,97,99,98.75,98433,97.63
"2001-05-15",96.15,97.95,95,96.35,96.65,46578,45.1
"2001-05-16",99.8,104.4,98,104.4,104.35,143763,147.28
"2001-05-17",109.7,109.7,103,104.5,103.8,163776,170.96
"2001-05-18",105.8,107,103.75,106.15,105.45,178257,187.67
"2001-05-21",105,105.6,103.15,103.7,103.75,67661,70.84
"2001-05-22",103.1,106.8,103.1,104.9,104.95,100579,105.62
"2001-05-23",105,107.7,104.7,105,105,114188,120.93
"2001-05-24",105,106,104,104.25,104.3,62764,65.95
"2001-05-25",104.85,104.85,101.4,102,102,67970,69.63
"2001-05-28",102.9,103.1,100,100.9,100.35,56313,56.99
"2001-05-29",100.7,100.9,98.8,99.85,99.55,96741,96.4
"2001-05-30",105,107.55,101.05,105,106.65,379804,398.5
"2001-05-31",105.55,115.2,102,115.2,115.1,715238,788.88
"2001-06-01",118,118,107.55,108.95,108.15,407082,453.9
"2001-06-04",108.05,110,105.4,106.2,106.4,157166,168.62
"2001-06-05",105.35,106.4,100.1,101.45,101.6,197855,203.24
"2001-06-06",103.5,104.6,102.6,102.6,102.9,85289,88.32
"2001-06-07",102.25,103,97.9,100.65,100.5,105018,105.27
"2001-06-08",100,104,99.5,102.15,102.15,149375,152.04
"2001-06-11",102.8,105.75,101,104,104.05,175968,182.41
"2001-06-12",103.05,104.45,102,103.7,103.5,139044,143.38
"2001-06-13",99,107.3,99,105.3,105.4,172005,181.07
"2001-06-14",103.65,105.25,101,102,101.9,140264,143.56
"2001-06-15",100.9,101.5,99.25,101,100.35,147180,147.82
"2001-06-18",100,100.95,98,99.85,99.6,170206,168.68
"2001-06-19",98.1,102.8,98,100,99.65,261533,261.49
"2001-06-20",99.1,99.1,95.9,97.1,96.95,68354,66.13
"2001-06-21",97.2,98,96.55,96.75,96.85,25355,24.6
"2001-06-22",96.5,97,94.8,95.4,95.7,31522,30.11
"2001-06-25",94.5,95.95,92.75,93.45,93.15,30686,28.72
"2001-06-26",92.7,96.8,92.7,95.45,95,45904,43.66
"2001-06-27",95.25,96.35,94.55,95.35,95.45,22490,21.47
"2001-06-28",94.75,96,93.85,95.1,95.1,18600,17.63
"2001-06-29",95.15,95.7,93.55,95.1,94,50224,47.48
"2001-07-02",95.25,96.8,94.05,95.85,96.1,12895,12.32
"2001-07-03",98,98,93.6,94.15,94.3,6010,5.67
"2001-07-04",95.45,95.45,93,94.85,95,6900,6.52
"2001-07-05",95.55,96.4,95,95.5,95.35,17499,16.72
"2001-07-06",96,96,94.05,95.95,95.4,7578,7.21
"2001-07-09",94,95,93.4,94.85,94.8,8128,7.66
"2001-07-10",95.95,96.25,94.75,95.85,95.5,7524,7.2
"2001-07-11",96,97.15,95.7,97,96.75,7808,7.52
"2001-07-12",97,98,96,97.55,97.55,8575,8.31
"2001-07-13",100,100,96,96.1,96.45,27045,26.16
"2001-07-16",97,97.5,96.15,97,96.65,5082,4.93
"2001-07-17",96.1,97.75,96.05,97.4,97.45,7305,7.06
"2001-07-18",97,97,96.05,96.7,96.7,60877,58.95
"2001-07-19",96.55,96.95,94,94.55,95.15,20829,19.93
"2001-07-20",94.75,95.7,94,94.55,94.6,7920,7.49
"2001-07-23",94.05,95.7,94,94.85,94.7,1675,1.59
"2001-07-24",97,97,91.2,91.85,91.65,67832,63.66
"2001-07-25",93,93,83,85.4,85,21209,18.44
"2001-07-26",86,86.5,83.55,85.9,85.75,10144,8.68
"2001-07-27",86,86.7,84.65,85.55,85.75,7417,6.36
"2001-07-30",86,87,85.55,85.55,86,9958,8.6
"2001-07-31",87,87,84.7,85.5,85.55,9620,8.22
"2001-08-01",86,86,85,86,85.4,4800,4.11
"2001-08-02",86,86,85,85.5,85.8,3672,3.15
"2001-08-03",86,87,85,86,86.4,22600,19.51
"2001-08-06",96.95,96.95,84.6,85,84.95,20331,17.32
"2001-08-07",85.95,86,83.5,84.5,83.95,10867,9.18
"2001-08-08",84.9,84.9,84,84.35,84.1,6076,5.12
"2001-08-09",85.5,86,84.1,84.85,84.9,12930,10.96
"2001-08-10",85,85.35,83.85,84,83.9,16184,13.62
"2001-08-13",84.5,85,84,84,84.15,3710,3.13
"2001-08-14",84.05,84.5,83.6,84.3,84.2,5000,4.2
"2001-08-16",84.15,86,84,85.1,85.15,3752,3.19
"2001-08-17",89.6,89.6,85,85.7,85.05,13911,11.98
"2001-08-20",87.8,87.8,85,85,85.45,5761,4.93
"2001-08-21",86.8,86.8,85.5,86,85.75,6465,5.55
"2001-08-23",86.85,87.5,85.5,85.5,85.95,14415,12.45
"2001-08-24",86.5,86.8,85.1,85.5,85.75,8525,7.33
"2001-08-27",86.5,86.5,85.15,85.5,85.85,12883,11.05
"2001-08-28",85.15,86.7,85.15,85.7,85.4,10848,9.31
"2001-08-29",85,86.2,85,85.6,85.65,11003,9.45
"2001-08-30",86.05,97,86.05,92.05,92.1,151340,140.14
"2001-08-31",92.7,94.9,89.1,90.8,90.45,54928,50.24
"2001-09-03",90.85,93.9,90.85,93,92.85,40354,37.41
"2001-09-04",94,97,92.5,94.75,94.75,88792,84.68
"2001-09-05",94,100.5,93.55,99.35,99.65,163843,161.06
"2001-09-06",100,104.6,100,102.15,102.45,228850,235.7
"2001-09-07",101,102.8,98.1,101.15,101.05,134047,135.42
"2001-09-10",101.9,104.7,101,102.55,102.3,85820,88.26
"2001-09-11",101.75,104.5,101.25,104.5,104.05,55017,56.63
"2001-09-12",95,101.5,93.1,100,100.75,135550,134.98
"2001-09-13",103,107.7,102,102.65,102.9,107803,112.5
"2001-09-14",102.9,103,94.5,96.5,96.4,105543,102.86
"2001-09-17",95.8,96,89.15,90,89.95,69348,63.13
"2001-09-18",93.8,97.9,92.3,97.85,97.05,65825,62.99
"2001-09-19",100,104.7,99.95,102.95,102.5,122744,125.41
"2001-09-20",95.5,101,95,98.6,98.1,45550,44.53
"2001-09-21",96,98,95,96.85,96.85,23054,22.29
"2001-09-24",98.8,101.05,98,99.3,99.2,35733,35.52
"2001-09-25",100,101.5,99.5,100.75,100.95,32264,32.5
"2001-09-26",100.05,101.5,99.6,101,101.25,15436,15.55
"2001-09-27",101.5,101.8,99.75,101.05,101,57952,58.25
"2001-09-28",101,105.2,101,101,101.85,60975,62.9
"2001-10-01",101.1,101.6,100.05,101,100.95,15285,15.42
"2001-10-03",102.25,102.5,99.7,100.4,100.4,29433,29.53
"2001-10-04",102.5,102.5,100.5,102,101.25,9611,9.72
"2001-10-05",102,102.65,100.5,102.65,102.05,21702,22.14
